CAMPUS,YEAR,BA0GA96N,BA0GR96N,BB0GR96N,BH0GR96N,BI0GR96N,BP0GR96N,BPERRA7R,BPERSA7R,BS0GR96N,BW0GR96N,CA0GA96N,CA0GR96N,CB0GR96N,CH0GR96N,CI0GR96N,CP0GR96N,CPEMALLC,CPEMALLP,CPERRA7R,CPERSA7R,CPETALLC,CPETBILC,CPETBILP,CPETBLAC,CPETBLAP,CPETECOC,CPETECOP,CPETG01C,CPETG01P,CPETG02C,CPETG02P,CPETG03C,CPETG03P,CPETG04C,CPETG04P,CPETG05C,CPETG05P,CPETG06C,CPETG06P,CPETG07C,CPETG07P,CPETG08C,CPETG08P,CPETG09C,CPETG09P,CPETG10C,CPETG10P,CPETG11C,CPETG11P,CPETG12C,CPETG12P,CPETGEEC,CPETGEEP,CPETGIFC,CPETGIFP,CPETGKNC,CPETGKNP,CPETGPKC,CPETGPKP,CPETHISC,CPETHISP,CPETINDC,CPETINDP,CPETLEPC,CPETLEPP,CPETPACC,CPETPACP,CPETSPEC,CPETSPEP,CPETVOCC,CPETVOCP,CPETWHIC,CPETWHIP,CS0GR96N,CW0GR96N
'001902001,1997,3303,6810,282,381,13,155,2,0,690,5979,16,34,1,0,0,1,24,10.9,.,.,211,0,0,21,10,19,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,23.7,54,25.6,56,26.5,51,24.2,0,0,18,8.5,0,0,0,0,7,3.3,2,0.9,0,0,0,0,26,12.3,149,70.6,181,85.8,4,32
'001902041,1997,0,0,0,0,0,0,1.5,1.9,0,0,.,.,.,.,.,.,29,17,0,0,146,0,0,15,10.3,22,15.1,0,0,0,0,0,0,0,0,0,0,53,36.3,53,36.3,40,27.4,0,0,0,0,0,0,0,0,0,0,10,6.8,0,0,0,0,3,2.1,0,0,0,0,1,0.7,32,21.9,0,0,127,87,.,.
'001902103,1997,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,60,22.1,.,.,262,0,0,44,16.8,65,24.8,46,17.6,40,15.3,43,16.4,51,19.5,41,15.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.1,13,5,38,14.5,0,0,7,2.7,2,0.8,0,0,0,0,47,17.9,0,0,209,79.8,.,.
'001903001,1997,3000,5880,205,240,12,81,2.7,3.4,536,5342,34,58,9,1,1,0,79,15.5,0,0,311,2,0.6,25,8,64,20.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,28.9,91,29.3,67,21.5,63,20.3,0,0,26,8.4,0,0,0,0,9,2.9,0,0,2,0.6,0,0,59,19,208,66.9,277,89.1,11,47
'001903041,1997,0,0,0,0,0,0,1.5,0.9,0,0,.,.,.,.,.,.,.,.,.,.,240,0,0,17,7.1,84,35,0,0,0,0,0,0,0,0,0,0,67,27.9,86,35.8,87,36.3,0,0,0,0,0,0,0,0,0,0,25,10.4,0,0,0,0,5,2.1,0,0,1,0.4,0,0,42,17.5,87,36.3,218,90.8,.,.
'001903101,1997,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,119,21.4,.,.,570,0,0,40,7,276,48.4,62,10.9,86,15.1,90,15.8,80,14,87,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.9,19,3.3,89,15.6,71,12.5,17,3,0,0,0,0,0,0,110,19.3,0,0,513,90,.,.
'001904001,1997,2189,4534,205,188,14,53,0.8,2,479,4074,19,45,5,0,0,0,49,19.9,.,.,213,0,0,22,10.3,48,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,30.5,53,24.9,54,25.4,41,19.2,0,0,23,10.8,0,0,0,0,2,0.9,0,0,0,0,1,0.5,26,12.2,189,88.7,188,88.3,3,40
'001904041,1997,0,0,0,0,0,0,1.5,1.5,0,0,.,.,.,.,.,.,31,14,0,0,195,1,0.5,21,10.8,74,37.9,0,0,0,0,0,0,0,0,0,0,57,29.2,60,30.8,78,40,0,0,0,0,0,0,0,0,0,0,24,12.3,0,0,0,0,5,2.6,0,0,1,0.5,1,0.5,30,15.4,54,27.7,168,86.2,.,.
'001904102,1997,0,0,0,0,0,0,.,.,0,0,.,.,.,.,.,.,64,19.9,.,.,347,7,2,47,13.5,170,49,44,12.7,45,13,59,17,57,16.4,62,17.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9,12,3.5,45,13,32,9.2,14,4,0,0,7,2,3,0.9,45,13,0,0,283,81.6,.,.
'001906002,1997,2116,4799,338,212,12,69,2.8,4.1,473,4168,3,19,1,0,0,0,31,19,13.6,0,142,0,0,20,14.1,36,25.4,0,0,0,0,0,0,0,0,0,0,0,0,23,16.2,25,17.6,27,19,27,19,22,15.5,18,12.7,0,0,13,9.2,0,0,0,0,1,0.7,0,0,0,0,0,0,25,17.6,117,82.4,121,85.2,4,18
'001906102,1997,0,1,0,0,0,0,7.1,0,0,1,.,.,.,.,.,.,28,19.3,.,.,190,0,0,22,11.6,88,46.3,27,14.2,23,12.1,34,17.9,15,7.9,30,15.8,20,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5.3,27,14.2,14,7.4,4,2.1,0,0,0,0,0,0,58,30.5,0,0,164,86.3,.,.
'001907001,1997,4401,10310,1744,1605,35,521,7.1,6.7,875,6405,0,182,50,16,0,1,196,17.2,.,.,988,18,1.8,310,31.4,269,27.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,30.3,284,28.7,220,22.3,185,18.7,0,0,73,7.4,0,0,0,0,136,13.8,1,0.1,28,2.8,3,0.3,124,12.6,740,74.9,538,54.5,22,115
'001907002,1997,.,.,.,.,.,.,.,.,.,.,0,3,0,0,1,0,128,96.2,0,0,46,0,0,8,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.3,24,52.2,12,26.1,6,13,2,4.3,0,0,0,0,0,0,0,0,9,19.6,0,0,0,0,0,0,5,10.9,0,0,29,63,0,2
'001907041,1997,0,0,0,0,0,0,2.3,3.7,0,0,.,.,.,.,.,.,99,15.8,3.7,0,610,18,3,207,33.9,282,46.2,0,0,0,0,0,0,0,0,0,0,0,0,310,50.8,300,49.2,0,0,0,0,0,0,0,0,0,0,7,1.1,0,0,0,0,93,15.2,0,0,25,4.1,2,0.3,82,13.4,227,37.2,308,50.5,.,.
'001907042,1997,0,0,0,0,0,0,2.5,1.6,0,0,.,.,.,.,.,.,41,12,.,.,297,16,5.4,101,34,166,55.9,0,0,0,0,0,0,0,0,0,0,297,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3.4,0,0,0,0,48,16.2,0,0,17,5.7,0,0,36,12.1,0,0,148,49.8,.,.
'001907101,1997,0,0,0,0,0,0,.,.,0,0,.,.,.,.,.,.,53,19.3,.,.,397,104,26.2,71,17.9,245,61.7,120,30.2,127,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,115,29,35,8.8,135,34,0,0,106,26.7,1,0.3,29,7.3,0,0,190,47.9,.,.
'001907104,1997,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,13,15.3,.,.,119,0,0,28,23.5,46,38.7,40,33.6,38,31.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.4,41,34.5,0,0,4,3.4,0,0,0,0,1,0.8,7,5.9,0,0,86,72.3,.,.
'001907107,1997,0,0,0,0,0,0,7.1,20,0,0,.,.,.,.,.,.,67,35.4,.,.,291,0,0,124,42.6,183,62.9,94,32.3,85,29.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3.8,3,1,78,26.8,23,7.9,25,8.6,0,0,4,1.4,2,0.7,34,11.7,0,0,140,48.1,.,.
'001907108,1997,0,0,0,0,0,0,.,.,0,0,.,.,.,.,.,.,46,36.2,.,.,157,0,0,70,44.6,123,78.3,61,38.9,51,32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,28.7,0,0,33,21,0,0,6,3.8,1,0.6,7,4.5,0,0,53,33.8,.,.
'001907110,1997,0,0,0,0,0,0,.,.,0,0,.,.,.,.,.,.,166,16.8,.,.,876,44,5,280,32,488,55.7,0,0,0,0,272,31.1,300,34.2,304,34.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,5.9,0,0,0,0,154,17.6,1,0.1,44,5,6,0.7,93,10.6,0,0,435,49.7,.,.
'001908002,1997,3368,7620,500,554,17,272,.,.,693,6277,26,84,11,1,0,0,159,28.9,.,.,516,0,0,81,15.7,56,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,31.2,122,23.6,136,26.4,97,18.8,0,0,35,6.8,0,0,0,0,23,4.5,1,0.2,0,0,1,0.2,81,15.7,178,34.5,410,79.5,11,72
'001908041,1997,0,0,0,0,0,0,1.7,3.3,0,0,.,.,.,.,.,.,50,15.9,1.8,0,289,0,0,42,14.5,81,28,0,0,0,0,0,0,0,0,0,0,0,0,142,49.1,147,50.9,0,0,0,0,0,0,0,0,0,0,11,3.8,0,0,0,0,17,5.9,2,0.7,0,0,1,0.3,34,11.8,168,58.1,227,78.5,.,.
'001908101,1997,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,130,20,.,.,572,0,0,77,13.5,198,34.6,0,0,0,0,140,24.5,137,24,137,24,158,27.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,4.4,0,0,0,0,49,8.6,2,0.3,0,0,1,0.2,83,14.5,0,0,443,77.4,.,.
'001908102,1997,0,0,0,0,0,0,5.9,0,0,0,.,.,.,.,.,.,90,25.7,.,.,460,7,1.5,81,17.6,208,45.2,149,32.4,155,33.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1.7,14,3,148,32.2,0,0,40,8.7,0,0,8,1.7,2,0.4,51,11.1,0,0,337,73.3,.,.
'001909001,1997,1170,3005,52,80,7,16,1.9,3.7,414,2850,6,23,0,1,0,0,40,19.6,4.3,0,180,0,0,5,2.8,60,33.3,0,0,0,0,0,0,0,0,0,0,0,0,29,16.1,29,16.1,34,18.9,37,20.6,29,16.1,22,12.2,0,0,23,12.8,0,0,0,0,4,2.2,0,0,0,0,0,0,35,19.4,72,40,171,95,6,22
'001909101,1997,0,0,0,0,0,0,3.3,0,0,0,.,.,.,.,.,.,43,27.7,.,.,183,0,0,2,1.1,83,45.4,27,14.8,19,10.4,24,13.1,24,13.1,25,13.7,24,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4.4,18,9.8,22,12,16,8.7,0,0,2,1.1,0,0,38,20.8,0,0,165,90.2,.,.
'002901001,1997,3284,8607,689,2183,20,387,1.4,20,760,5328,46,189,4,62,1,3,159,15.1,.,.,979,8,0.8,15,1.5,217,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,28.3,259,26.5,214,21.9,229,23.4,0,0,81,8.3,0,0,0,0,409,41.8,5,0.5,29,3,10,1,160,16.3,672,68.6,540,55.2,35,119
'002901041,1997,0,0,0,0,0,0,2.5,3.1,0,0,.,.,.,.,.,.,115,11.8,0.4,0,896,15,1.7,16,1.8,357,39.8,0,0,0,0,0,0,0,0,0,0,279,31.1,291,32.5,326,36.4,0,0,0,0,0,0,0,0,0,0,69,7.7,0,0,0,0,396,44.2,4,0.4,57,6.4,4,0.4,194,21.7,407,45.4,476,53.1,.,.
'002901101,1997,0,0,0,0,0,0,.,.,0,0,.,.,.,.,.,.,32,10.7,.,.,327,76,23.2,1,0.3,115,35.2,71,21.7,38,11.6,48,14.7,52,15.9,48,14.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,14.7,70,21.4,0,0,144,44,1,0.3,83,25.4,11,3.4,40,12.2,0,0,170,52,.,.
'002901102,1997,0,0,0,0,0,0,.,.,0,0,.,.,.,.,.,.,33,17.8,.,.,218,18,8.3,1,0.5,139,63.8,36,16.5,30,13.8,38,17.4,36,16.5,43,19.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,35,16.1,0,0,131,60.1,0,0,30,13.8,0,0,40,18.3,0,0,86,39.4,.,.
'002901103,1997,0,0,0,0,0,0,1.7,4.8,0,0,.,.,.,.,.,.,56,20.9,.,.,258,22,8.5,3,1.2,145,56.2,37,14.3,42,16.3,48,18.6,43,16.7,56,21.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5.4,32,12.4,0,0,121,46.9,0,0,40,15.5,1,0.4,69,26.7,0,0,133,51.6,.,.
'002901104,1997,0,0,0,0,0,0,2.4,0,0,0,.,.,.,.,.,.,60,19.8,.,.,284,26,9.2,13,4.6,198,69.7,40,14.1,56,19.7,56,19.7,52,18.3,50,17.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,8.8,30,10.6,0,0,175,61.6,1,0.4,39,13.7,0,0,49,17.3,0,0,95,33.5,.,.
'002901105,1997,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,106,21.4,.,.,612,100,16.3,17,2.8,357,58.3,73,11.9,97,15.8,79,12.9,80,13.1,85,13.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3.3,34,5.6,44,7.2,134,21.9,313,51.1,0,0,111,18.1,3,0.5,145,23.7,0,0,279,45.6,.,.
