CAMPUS,CAMPNAME,REGION,CFLCHART,C_RATING,CSUPRATE,CIADDACK,CFLYRE,COUNTY,CNTYNAME,PAIRCAMP,PAIRNAME,GRDSPAN,GRDTYPE,DISTNAME
'109901001,ABBOTT SCHOOL,'12,N,E,AT,M,N,'109,HILL,,,'PK - 12,B,ABBOTT ISD
'095901002,ABERNATHY ACAD,'17,N,N,NR,,N,'095,HALE,,,'07 - 12,S,ABERNATHY ISD
'095901101,ABERNATHY EL,'17,N,R,NA,NQ,N,'095,HALE,,,'EE - 05,E,ABERNATHY ISD
'095901001,ABERNATHY H S,'17,N,R,NQ,NQ,N,'095,HALE,,,'09 - 12,S,ABERNATHY ISD
'095901041,ABERNATHY J H,'17,N,A,NA,NQ,N,'095,HALE,,,'06 - 08,M,ABERNATHY ISD
'221901001,ABILENE H S,'14,N,A,NQ,NQ,N,'221,TAYLOR,,,'09 - 12,S,ABILENE ISD
'221901129,ABILENE STATE SCH,'14,N,N,NR,,N,'221,TAYLOR,,,'07 - 12,S,ABILENE ISD
'221901101,ALTA VISTA EL,'14,N,E,NA,NQ,N,'221,TAYLOR,,,'EE - 05,E,ABILENE ISD
'221901102,AUSTIN EL,'14,N,E,NA,NQ,N,'221,TAYLOR,,,'KG - 05,E,ABILENE ISD
'221901153,BASSETTI EL,'14,N,E,NA,NQ,N,'221,TAYLOR,,,'EE - 05,E,ABILENE ISD
'221901103,BONHAM EL,'14,N,E,NA,NQ,N,'221,TAYLOR,,,'KG - 05,E,ABILENE ISD
'221901104,BOWIE EL,'14,N,R,NA,NQ,N,'221,TAYLOR,,,'KG - 05,E,ABILENE ISD
'221901047,CLACK MIDDLE,'14,N,A,NA,NQ,N,'221,TAYLOR,,,'06 - 08,M,ABILENE ISD
'221901106,COLLEGE HEIGHTS EL,'14,N,A,NA,NQ,N,'221,TAYLOR,,,'KG - 05,E,ABILENE ISD
'221901002,COOPER H S,'14,N,A,NQ,NQ,N,'221,TAYLOR,,,'09 - 12,S,ABILENE ISD
'221901107,CROCKETT EL,'14,N,R,NA,NQ,N,'221,TAYLOR,,,'KG - 05,E,ABILENE ISD
'221901108,DYESS EL,'14,N,E,NA,NQ,N,'221,TAYLOR,,,'EE - 05,E,ABILENE ISD
'221901003,EXCEL ALTER H S,'14,N,1,PE,,N,'221,TAYLOR,,,'09 - 12,S,ABILENE ISD
'221901110,FANNIN EL,'14,N,A,NA,NQ,N,'221,TAYLOR,,,'EE - 05,E,ABILENE ISD
'221901041,FRANKLIN MIDDLE,'14,N,A,NA,NQ,N,'221,TAYLOR,,,'06 - 08,M,ABILENE ISD
'221901124,HOUSTON STUDENT ACH CTR,'14,N,N,NR,,N,'221,TAYLOR,,,'01 - 11,B,ABILENE ISD
'221901112,JACKSON EL,'14,N,E,NA,RM,N,'221,TAYLOR,,,'EE - 05,E,ABILENE ISD
'221901042,JEFFERSON MIDDLE,'14,N,A,NA,NQ,N,'221,TAYLOR,,,'06 - 08,M,ABILENE ISD
'221901113,JOHNSTON EL,'14,N,R,NA,R,N,'221,TAYLOR,,,'KG - 05,E,ABILENE ISD
'221901114,JONES EL,'14,N,R,NA,NQ,N,'221,TAYLOR,,,'KG - 05,E,ABILENE ISD
'221901139,LACY SCH,'14,N,N,NR,,N,'221,TAYLOR,,,'06 - 10,B,ABILENE ISD
'221901116,LEE EL,'14,N,A,NA,NQ,N,'221,TAYLOR,,,'KG - 05,E,ABILENE ISD
'221901141,LILLY SMITH FARMER CTR,'14,N,N,NR,,N,'221,TAYLOR,,,'02 - 09,B,ABILENE ISD
'221901043,LINCOLN MIDDLE,'14,N,A,NA,NQ,N,'221,TAYLOR,,,'06 - 08,M,ABILENE ISD
'221901117,LOCUST PRE-K,'14,N,N,NR,,N,'221,TAYLOR,,,'EE - PK,E,ABILENE ISD
'221901118,LONG EL,'14,N,E,NA,R,N,'221,TAYLOR,,,'KG - 05,E,ABILENE ISD
'221901044,MADISON MIDDLE,'14,N,R,NA,NQ,N,'221,TAYLOR,,,'06 - 08,M,ABILENE ISD
'221901045,MANN MIDDLE,'14,N,A,NA,NQ,N,'221,TAYLOR,,,'06 - 08,M,ABILENE ISD
'221901152,ORTIZ EL,'14,N,A,NA,NQ,N,'221,TAYLOR,,,'KG - 05,E,ABILENE ISD
'221901120,REAGAN EL,'14,N,A,NA,NQ,N,'221,TAYLOR,,,'KG - 05,E,ABILENE ISD
'221901122,SCHOOL AGE MOTHERS,'14,N,N,NR,,N,'221,TAYLOR,,,'07 - 12,S,ABILENE ISD
'221901127,SP ED HOMEBOUND,'14,N,N,NR,,N,'221,TAYLOR,,,'03 - 12,B,ABILENE ISD
'221901128,SP ED O J T,'14,N,N,NR,,N,'221,TAYLOR,,,'EE - 12,B,ABILENE ISD
'221901121,TAYLOR EL,'14,N,E,NA,R,N,'221,TAYLOR,,,'EE - 05,E,ABILENE ISD
'221901151,THOMAS EL,'14,N,A,NA,NQ,N,'221,TAYLOR,,,'EE - 05,E,ABILENE ISD
'221901006,TRAVIS OPPORTUNITY CTR,'14,N,3,PE,,N,'221,TAYLOR,,,'06 - 12,B,ABILENE ISD
'221901123,VALLEY VIEW EL,'14,N,A,NA,NQ,N,'221,TAYLOR,,,'KG - 05,E,ABILENE ISD
'221901150,WARD EL,'14,N,E,NA,NQ,N,'221,TAYLOR,,,'EE - 05,E,ABILENE ISD
'221901125,WOODSON PRE-K,'14,N,N,NR,,N,'221,TAYLOR,,,'EE - PK,E,ABILENE ISD
'221901046,WOODSON PROJECT PASS,'14,N,1,PE,,N,'221,TAYLOR,,,'06 - 08,M,ABILENE ISD
'221901126,WOODSON SKILL CTR,'14,N,N,NR,,N,'221,TAYLOR,,,'04 - 10,B,ABILENE ISD
'014901101,ACADEMY EL,'12,N,E,NA,NQ,N,'014,BELL,,,'EE - 04,E,ACADEMY ISD
'014901001,ACADEMY H S,'12,N,E,NQ,NQ,N,'014,BELL,,,'09 - 12,S,ACADEMY ISD
'014901041,ACADEMY J H,'12,N,R,NA,R,N,'014,BELL,,,'05 - 08,M,ACADEMY ISD
'178801001,ACADEMY OF TRANSITIONAL STUDIES,'02,Y,2,PE,,N,'178,NUECES,,,'06 - 12,B,ACADEMY OF TRANSITIONAL STUDIES
'180903001,ADRIAN SCHOOL,'16,N,E,AC,NQ,N,'180,OLDHAM,,,'KG - 12,B,ADRIAN ISD
'178901101,AGUA DULCE EL,'02,N,R,NA,NQ,N,'178,NUECES,,,'EE - 05,E,AGUA DULCE ISD
'178901001,AGUA DULCE H S,'02,N,E,NQ,NQ,N,'178,NUECES,,,'09 - 12,S,AGUA DULCE ISD
'178901041,AGUA DULCE J H,'02,N,A,NA,NQ,N,'178,NUECES,,,'06 - 08,M,AGUA DULCE ISD
'015901001,ALAMO HEIGHTS H S,'20,N,A,NQ,R,N,'015,BEXAR,,,'09 - 12,S,ALAMO HEIGHTS ISD
'015901041,ALAMO HEIGHTS J H,'20,N,A,NA,RM,N,'015,BEXAR,,,'06 - 08,M,ALAMO HEIGHTS ISD
'015901002,BEXAR CO J J A E P,'20,N,N,NR,,N,'015,BEXAR,,,'08 - 08,M,ALAMO HEIGHTS ISD
'015901101,CAMBRIDGE EL,'20,N,A,NA,NQ,N,'015,BEXAR,,,'01 - 05,E,ALAMO HEIGHTS ISD
'015901102,HOWARD EL,'20,N,N,NR,,N,'015,BEXAR,,,'EE - KG,E,ALAMO HEIGHTS ISD
'015901104,WOODRIDGE EL,'20,N,A,NA,NQ,N,'015,BEXAR,,,'01 - 05,E,ALAMO HEIGHTS ISD
'250906101,ALBA-GOLDEN EL,'07,N,A,NA,NQ,N,'250,WOOD,,,'PK - 06,E,ALBA-GOLDEN ISD
'250906001,ALBA-GOLDEN H S,'07,N,A,NQ,R,N,'250,WOOD,,,'07 - 12,S,ALBA-GOLDEN ISD
'250906002,ALTER SCHOOL,'07,N,1,PE,,N,'250,WOOD,,,'07 - 12,S,ALBA-GOLDEN ISD
'209901001,ALBANY JR-SR H S,'14,N,E,NQ,NQ,N,'209,SHACKELFORD,,,'07 - 12,S,ALBANY ISD
'209901101,NANCY SMITH EL,'14,N,E,NA,NQ,N,'209,SHACKELFORD,,,'EE - 06,E,ALBANY ISD
'101902001,ALDINE H S,'04,N,A,NQ,NQ,N,'101,HARRIS,,,'09 - 12,S,ALDINE ISD
'101902099,ALDINE J J A E P,'04,N,N,NR,,N,'101,HARRIS,,,'09 - 11,S,ALDINE ISD
'101902041,ALDINE MIDDLE,'04,N,A,NA,NQ,N,'101,HARRIS,,,'07 - 08,M,ALDINE ISD
'101902101,ANDERSON ACAD,'04,N,R,NA,NQ,N,'101,HARRIS,,BETHUNE ACADEMY,'01 - 03,E,ALDINE ISD
'101902102,BETHUNE ACAD,'04,N,R,NA,NQ,N,'101,HARRIS,,,'04 - 05,E,ALDINE ISD
'101902126,BLACK EL,'04,N,R,NA,NQ,N,'101,HARRIS,,,'PK - 04,E,ALDINE ISD
'101902128,CALVERT EL,'04,N,A,NA,NQ,N,'101,HARRIS,,,'EE - 04,E,ALDINE ISD
'101902066,CARAWAY INT,'04,N,R,NA,NQ,P,'101,HARRIS,,,'05 - 06,M,ALDINE ISD
'101902122,CARMICHAEL EL,'04,N,R,NA,NQ,N,'101,HARRIS,,,'EE - 04,E,ALDINE ISD
'101902103,CARROLL ACADEMY,'04,N,R,NA,NQ,N,'101,HARRIS,,,'EE - 04,E,ALDINE ISD
'101902002,CARVER CONTEMP H S,'04,N,A,NQ,NQ,N,'101,HARRIS,,,'09 - 12,S,ALDINE ISD
'101902005,CHESTER W NIMITZ H S,'04,N,A,NQ,NQ,N,'101,HARRIS,,,'09 - 12,S,ALDINE ISD
'101902115,COLONIAL HILLS EL,'04,N,A,NA,NQ,N,'101,HARRIS,,,'PK - 04,E,ALDINE ISD
'101902123,CONLEY EL,'04,N,E,NA,NQ,N,'101,HARRIS,,,'PK - 04,E,ALDINE ISD
'101902042,DREW ACAD,'04,N,A,NA,NQ,N,'101,HARRIS,,,'06 - 08,M,ALDINE ISD
'101902124,DUNN EL,'04,N,R,NA,NQ,N,'101,HARRIS,,,'EE - 04,E,ALDINE ISD
'101902061,ECKERT INT,'04,N,A,NA,R,N,'101,HARRIS,,,'05 - 06,M,ALDINE ISD
'101902153,EE-PK # 1,'04,N,N,NR,,N,'101,HARRIS,,,'EE - PK,E,ALDINE ISD
'101902004,EISENHOWER H S,'04,N,A,NQ,NQ,N,'101,HARRIS,,,'09 - 12,S,ALDINE ISD
'101902121,ERMEL EL,'04,N,A,NA,NQ,P,'101,HARRIS,,,'EE - 04,E,ALDINE ISD
'101902063,ESCAMILLA INT,'04,N,R,NA,R,N,'101,HARRIS,,,'05 - 06,M,ALDINE ISD
'101902117,EVELYN S THOMPSON EL,'04,N,A,NA,NQ,N,'101,HARRIS,,,'EE - 04,E,ALDINE ISD
'101902105,FRANCIS EL,'04,N,R,NA,NQ,N,'101,HARRIS,,,'EE - 04,E,ALDINE ISD
'101902125,GRAY EL,'04,N,R,NA,NQ,N,'101,HARRIS,,,'EE - 04,E,ALDINE ISD
'101902043,HAMBRICK MIDDLE,'04,N,R,NA,R,N,'101,HARRIS,,,'07 - 08,M,ALDINE ISD
'101902106,HIDDEN VALLEY EL,'04,N,A,NA,NQ,N,'101,HARRIS,,,'EE - 04,E,ALDINE ISD
'101902046,HOFFMAN MIDDLE,'04,N,A,NA,NQ,N,'101,HARRIS,,,'07 - 08,M,ALDINE ISD
'101902114,INWOOD ACADEMY,'04,N,A,NA,NQ,N,'101,HARRIS,,,'EE - 04,E,ALDINE ISD
'101902116,JOHNSON EL,'04,N,A,NA,NQ,N,'101,HARRIS,,,'KG - 04,E,ALDINE ISD
'101902108,LANE SCH,'04,N,N,NR,,N,'101,HARRIS,,,'EE - 12,B,ALDINE ISD
'101902003,MACARTHUR H S,'04,N,A,NQ,NQ,N,'101,HARRIS,,,'09 - 12,S,ALDINE ISD
'101902120,MAGRILL EL,'04,N,R,NA,NQ,N,'101,HARRIS,,,'EE - 04,E,ALDINE ISD
'101902109,MENDEL EL,'04,N,E,NA,NQ,N,'101,HARRIS,,,'KG - 04,E,ALDINE ISD
'101902006,NIGHT H S,'04,N,2,PE,,N,'101,HARRIS,,,'09 - 12,S,ALDINE ISD
'101902111,OLESON EL,'04,N,R,NA,NQ,N,'101,HARRIS,,,'KG - 04,E,ALDINE ISD
'101902112,ORANGE GROVE EL,'04,N,A,NA,NQ,N,'101,HARRIS,,,'EE - 04,E,ALDINE ISD
