CAMPUS,YEAR,CPSTTOFC,CPSETOFC,CPSPTOFC,CPSTTOSA,CPST00FC,CPST01FC,CPST06FC,CPST11FC,CPST20FC,CPST00SA,CPST01SA,CPST06SA,CPST11SA,CPST20SA,CPSTINFC,CPSTPAFC,CPSTBLFC,CPSTHIFC,CPSTWHFC,CPSTMAFC,CPSTFEFC,CPSTTENA,CPSTEXPA,CPSTREFC,CPSTVOFC,CPSTBIFC,CPSTCOFC,CPSTGIFC,CPSTSPFC,CPSTOPFC,CPSOTOFC,CPSUTOFC,CPSSTOFC,CPSATOFC,CPSAMIFC,CPSTTOFP,CPSUTOFP,CPSSTOFP,CPSETOFP,CPSPTOFP,CPSAMIFP,CPST00FP,CPST01FP,CPST06FP,CPST11FP,CPST20FP,CPSTREFP,CPSTVOFP,CPSTBIFP,CPSTCOFP,CPSTGIFP,CPSTSPFP,CPSTOPFP,CPSTWHFP,CPSTBLFP,CPSTHIFP,CPSTMAFP,CPSTFEFP,CPSTINFP,CPSTPAFP,CPSTKIDR,CPSSTOSA,CPSUTOSA,BPSOTOFC,BPSATOFC,BPSTTOFP,BPSUTOFP,BPSSTOFP,BPSETOFP,BPSPTOFP,BPSAMIFP,BPST00FP,BPST01FP,BPST06FP,BPST11FP,BPST20FP,BPSTREFP,BPSTVOFP,BPSTBIFP,BPSTCOFP,BPSTGIFP,BPSTSPFP,BPSTOPFP,BPSTWHFP,BPSTBLFP,BPSTHIFP,BPSTMAFP,BPSTFEFP,BPSTINFP,BPSTPAFP,BPSTEXPA,BPSTTENA,BPSTKIDR,BPSTTOSA,BPSUTOSA,BPSSTOSA,BPST00SA,BPST01SA,BPST06SA,BPST11SA,BPST20SA
'001902001,1998,19.4,2.9,22.6,32399,0.3,7.4,1,5.9,4.8,25096,23904,30411,36466,41271,0,0,0,0,19.4,8.2,11.2,5.8,12.2,16,2.7,0,0,0,0.8,0,0,1.2,2,25.5,1,76.3,4.6,7.8,11.2,88.8,3.9,1.7,37.9,5.1,30.5,24.8,82.3,13.8,0,0,0,3.9,0,100,0,0,42.3,57.7,0,0,10.3,46557,35038,1.1,3145,82.1,7.2,4.1,6.7,93.3,4.7,5.8,24.5,16.6,30.3,22.7,70.3,11.2,0.3,1.2,1.8,7.9,7.3,95.5,1.6,2.2,36.7,63.3,0.2,0.5,12.6,6.9,15.4,33792,40757,52538,23918,26517,30802,37014,42058
'001902041,1998,13.8,2.4,16.3,28842,1.7,5.3,3.4,2.1,1.3,22688,24314,29355,36407,41491,0,0,0,0,13.8,3.8,10,4.3,8.5,11.9,0,0,0.4,0,1.5,0,0,1.2,1.3,18.7,0,73.8,6.3,7.1,12.8,87.2,0,12.2,38.5,24.5,15,9.8,86.4,0,0,2.7,0,10.9,0,100,0,0,27.5,72.5,0,0,10.8,39522,35038,2.1,2037.9,80.2,5.9,3.9,10,90,6.6,6,26.3,16.6,30.7,20.4,78,2.3,0.4,2.8,2.6,10.1,3.9,94.2,3.5,1.5,25.6,74.4,0.4,0.3,11.9,7.7,15.4,33302,38643,50833,24900,26459,30426,36792,41702
'001902103,1998,25,8.7,27.6,30170,0,9.3,5.6,4,6,0,23433,29161,35150,38277,0,0,1,1,23,0.3,24.6,6.1,11.1,20.8,0,0,0.6,0.5,3,0,0,1.3,1.3,36.3,3,68.7,3.7,3.7,24,76,8.3,0,37.4,22.5,16,24,83.5,0,0,2.5,2,12,0,92,4,4,1.3,98.7,0,0,11,43070,29548,1.3,1703.6,75.5,7.3,3.5,13.8,86.2,5.6,4.1,21.7,20,33.5,20.6,82.2,0,1.9,4.7,2.1,9.1,0,94.8,3,2,4.4,95.6,0.1,0.2,12.6,8.3,15.7,33585,36981,52969,24864,26438,30159,36534,41372
'001903001,1998,26.4,4,30.5,31278,1.1,7.8,4.7,5.7,7,23540,23411,29821,35908,38501,0,0,0,0,26.4,9.8,16.5,5.6,12.7,20.8,2.1,0,0,0,3.5,0,0,2.3,1.8,34.5,0.3,76.4,6.8,5.2,11.6,88.4,1,4.3,29.6,18,21.4,26.7,78.7,7.9,0,0,0,13.3,0,100,0,0,37.2,62.8,0,0,12.1,49899,33072,1.1,2640.7,81.9,7.4,4.1,6.6,93.4,4.4,5.8,24.6,18,29.5,22.1,70.5,12.1,0.2,1.3,2.9,7.5,5.5,95.9,1.8,1.7,37,63,0.1,0.4,12.3,7,14.9,33488,40111,51670,24689,26292,30579,36689,41924
'001903041,1998,17.9,3.8,19.3,30220,1.1,6.2,4.3,3.5,2.8,27981,22370,29618,39708,37457,0,0,0,0,17.9,8.4,9.5,4.3,9.1,15.8,0.2,0,0,0,1.9,0,0,0.3,1,23.1,1.1,77.7,1.4,4.3,16.5,83.5,4.9,6.4,34.6,23.8,19.8,15.5,88.3,1.1,0,0,0,10.7,0,100,0,0,46.8,53.2,0,0,14.2,46928,16634,0.5,1713.5,79.6,5.8,3.9,10.7,89.3,2.7,6.3,27.4,18.6,29.7,18,82.2,1.6,0.3,1.1,2.3,9,3.4,97.6,1.2,0.8,23.6,76.4,0.3,0.1,11.3,6.7,15.8,31843,37539,48503,24009,25435,29618,35783,40135
'001903101,1998,37,14,40.3,31459,0,10,7,9,11,0,23173,27818,35324,38147,0,0,1,0,36,3,34,9.3,12.9,30.5,0,0,1,0,5.5,0,0,2.3,1,54.3,1.3,68.1,4.3,1.8,25.7,74.3,2.5,0,27,18.9,24.3,29.7,82.3,0,0,2.7,0,15,0,97.3,2.7,0,8.1,91.9,0,0,15,48828,33650,1.2,1621,72.7,6.6,3.6,17.2,82.8,3.4,4.6,22.8,19.6,35.6,17.5,85,0,0.5,4.5,1.6,8.4,0.1,97.6,1.4,0.7,4.6,95.4,0.1,0.2,12,8,16.2,32895,35933,49191,23425,26101,30031,36307,40514
'001904001,1998,22.3,3,23.3,33190,1,3.9,3.7,9.7,3.9,21547,25593,28190,36883,39192,0,0,1,0,21.3,9.3,13,5.8,14.2,18.4,3.8,0,0,0,0,0,0,0,1,26.3,2,84.8,0,3.8,11.4,88.6,7.6,4.5,17.3,16.7,43.7,17.7,82.7,17.2,0,0,0,0.1,0,95.5,4.5,0,41.6,58.4,0,0,10.8,48500,0,0.5,1674.8,81.5,6.2,4.4,8,92,4.2,6.8,25.3,18.7,27.5,21.8,69.8,14.3,0.2,2.5,0.5,7.7,5.1,96.2,2.3,1.2,41.8,58.2,0.1,0.2,12.1,6.8,13.9,32461,39654,49145,23585,25360,30191,36547,40244
'001904041,1998,14.1,0,15.1,32196,1,3.1,1.3,5,3.7,21549,22840,30959,35814,38632,1,0,0,0,13.1,4.8,9.3,6,13.1,13.6,0.2,0,0,0,0.3,0,0,0,1,15.1,1,93.4,0,6.6,0,100,6.6,7.1,22.2,9.4,35.2,26.1,96.5,1.7,0,0,0,1.8,0,92.9,0,0,34.3,65.7,7.1,0,13.1,48600,0,3.3,1721.2,78.9,6.5,3.8,10.7,89.3,4.3,6.6,29.8,16.5,27.6,19.5,82.5,1.5,0.4,1.9,1.9,9.7,2.1,96.5,1.9,1,24.5,75.5,0.3,0.3,11.5,6.8,15.5,32309,38257,49862,24173,25862,29891,36386,41168
'001904102,1998,24,5,25.2,33457,0,3.8,4,7.3,8.9,0,23561,27901,36199,37960,0,0,0,0,24,0.4,23.6,10.6,16.5,14.8,0,0,1,5.8,2.3,0,0,0.2,1,30.2,1,79.4,0.7,3.3,16.6,83.4,3.3,0,16,16.5,30.4,37.1,61.9,0,0,4.2,24.4,9.6,0,100,0,0,1.7,98.3,0,0,15,45000,.,1.2,1845.3,74.1,7.5,3.3,15.1,84.9,5.8,3.6,23.8,19.4,34.5,18.7,83.8,0,1.7,3.5,0.9,10.1,0,95,2.4,2.1,3.6,96.4,0.3,0.2,12.2,8.2,16,33541,36477,52423,25137,26365,30449,36643,41804
'001906002,1998,13,2,15.1,31914,0,3.7,2,4.3,2.9,0,23368,28964,36882,37462,0,0,1,0,12,5.2,7.7,6.8,13.3,11,1.9,0,0,0,0,0,0,1.1,1.1,17.1,2,75.9,6.2,6.2,11.7,88.3,11.7,0,28.7,15.4,33.2,22.7,85.1,14.5,0,0,0,0.4,0,92.3,7.7,0,40.5,59.5,0,0,10.7,42363,33934,1,2031.9,80.3,6.4,4.1,9,90.9,6.3,5.7,21.4,16.7,30.6,25.7,67.9,13.9,0.2,2.3,0.5,8.6,6.6,95.3,2.8,1.3,41.9,58.1,0.5,0.1,13.5,8.2,13.3,33399,39086,50337,23913,25255,30285,36691,40382
