CAMPUS,YEAR,CA0AD97R,CA0AD98R,CA0AT97R,CA0AT98R,CA0CA97R,CA0CA98R,CA0CC97R,CA0CC98R,CA0CS97R,CA0CS98R,CA0CT97R,CA0CT98R,CA0DR97R,CA0DR98R,CA0EQ97R,CA0EQ98R,CA0GH97R,CA0GH98R,CB0AD97R,CB0AD98R,CB0AT97R,CB0AT98R,CB0CA97R,CB0CA98R,CB0CC97R,CB0CC98R,CB0CS97R,CB0CS98R,CB0CT97R,CB0CT98R,CB0DR97R,CB0DR98R,CB0EQ97R,CB0EQ98R,CB0GH97R,CB0GH98R,CE0AD97R,CE0AD98R,CE0AT97R,CE0AT98R,CE0DR97R,CE0DR98R,CE0EQ97R,CE0EQ98R,CE0GH97R,CE0GH98R,CF0AD97R,CF0AD98R,CF0AT97R,CF0AT98R,CF0CA97R,CF0CA98R,CF0CC97R,CF0CC98R,CF0CS97R,CF0CS98R,CF0CT97R,CF0CT98R,CF0DR97R,CF0DR98R,CF0EQ97R,CF0EQ98R,CF0GH97R,CF0GH98R,CH0AD97R,CH0AD98R,CH0AT97R,CH0AT98R,CH0CA97R,CH0CA98R,CH0CC97R,CH0CC98R,CH0CS97R,CH0CS98R,CH0CT97R,CH0CT98R,CH0DR97R,CH0DR98R,CH0EQ97R,CH0EQ98R,CH0GH97R,CH0GH98R,CI0AD97R,CI0AD98R,CI0AT97R,CI0AT98R,CI0CA97R,CI0CA98R,CI0CC97R,CI0CC98R,CI0CS97R,CI0CS98R,CI0CT97R,CI0CT98R,CI0DR97R,CI0DR98R,CI0EQ97R,CI0EQ98R,CI0GH97R,CI0GH98R,CM0AD97R,CM0AD98R,CM0AT97R,CM0AT98R,CM0CA97R,CM0CA98R,CM0CC97R,CM0CC98R,CM0CS97R,CM0CS98R,CM0CT97R,CM0CT98R,CM0DR97R,CM0DR98R,CM0EQ97R,CM0EQ98R,CM0GH97R,CM0GH98R,CP0AD97R,CP0AD98R,CP0AT97R,CP0AT98R,CP0CA97R,CP0CA98R,CP0CC97R,CP0CC98R,CP0CS97R,CP0CS98R,CP0CT97R,CP0CT98R,CP0DR97R,CP0DR98R,CP0EQ97R,CP0EQ98R,CP0GH97R,CP0GH98R,CS0AD97R,CS0AD98R,CS0AT97R,CS0AT98R,CS0DR97R,CS0DR98R,CS0EQ97R,CS0EQ98R,CS0GH97R,CS0GH98R,CW0AD97R,CW0AD98R,CW0AT97R,CW0AT98R,CW0CA97R,CW0CA98R,CW0CC97R,CW0CC98R,CW0CS97R,CW0CS98R,CW0CT97R,CW0CT98R,CW0DR97R,CW0DR98R,CW0EQ97R,CW0EQ98R,CW0GH97R,CW0GH98R,GA0AD97R,GA0AD98R,GA0AT97R,GA0AT98R,GA0CA97R,GA0CA98R,GA0CC97R,GA0CC98R,GA0CS97R,GA0CS98R,GA0CT97R,GA0CT98R,GA0DR97R,GA0DR98R,GA0EQ97R,GA0EQ98R,GA0GH97R,GA0GH98R
'001902001,1999,38.9,34.5,96,95.7,19.2,20.5,25.9,21.4,1026,973,64.3,65.1,0.4,1.9,41.9,50,0,0,20,11.1,97.1,96.9,.,.,.,0,.,908,.,.,0,0,.,16.7,0,0,20,15.4,95.6,95.1,0,0,.,.,.,.,49,43.5,95.2,95.4,20.7,18.9,27.8,0,1054,920,69.2,88.2,0,2,50,46.7,0,0,.,.,97.1,.,.,.,.,.,.,.,.,.,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27.4,26.7,96.9,95.9,16.4,22.1,22.2,46.2,.,1031,56.3,50,0.9,1.8,29.4,51.9,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,95.5,93.6,0,2.9,.,.,0,0,40.3,36.4,95.9,95.6,19.4,21.1,25,25,1026,980,64.9,57.1,0.5,2.2,44.7,55.9,0,0,16.8,17.7,95.4,95.2,21,20.9,26.6,23.1,999,990,71.1,65.3,1,0.7,48.2,51.7,0,0
'001902041,1999,.,.,96.1,96.9,.,.,.,.,.,.,.,.,0,0,.,.,.,.,.,.,97,97.9,.,.,.,.,.,.,.,.,0,0,.,.,.,.,.,.,96.4,96.8,0,0,.,.,.,.,.,.,96.7,97.5,.,.,.,.,.,.,.,.,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,95.5,96.4,.,.,.,.,.,.,.,.,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,95.4,96.2,0,0,.,.,.,.,.,.,96.1,96.7,.,.,.,.,.,.,.,.,0,0,.,.,.,.,.,.,96.2,96.1,.,.,.,.,.,.,.,.,0,0,.,.,.,.
'001902103,1999,.,.,96.5,96,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97.5,96.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,95.4,95.1,.,.,.,.,.,.,.,.,96.5,95.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,95.9,95,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.5,96.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,95.3,94.6,.,.,.,.,.,.,.,.,96.3,96,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.9,96.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001903001,1999,26.8,23.9,94.9,94.7,19.1,19.4,13.2,12.8,950,943,71.7,72.2,1.2,0,44,39.2,0,0,23.5,26.9,96.4,96.2,.,.,.,.,.,.,.,80,0,0,.,20,0,0,13.9,17.5,94.3,93.8,2.9,0,0,23.1,0,0,30.4,27.1,94,94.1,18.4,19.7,9.5,10,924,946,75,87,0.7,0,37.9,39.1,0,0,16.7,12.5,96.3,96.8,.,.,.,.,.,.,.,.,0,0,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23.9,21.5,95.5,95.2,20.4,19.1,17.6,15.8,979,939,68,61.3,1.6,0,52.4,39.3,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8.2,3.8,93.5,93,0,0,.,.,0,0,27.3,23.7,94.7,94.5,19.3,19.7,14.3,11.8,967,963,72.9,75.6,1.3,0,48.9,42.9,0,0,15.9,17.2,95.2,95.2,20.6,20.6,23.4,22.1,986,984,70.7,65.2,0.9,0.9,47.6,51.2,0,0
'001903041,1999,.,.,96.2,96.1,.,.,.,.,.,.,.,.,0,0,.,.,.,.,.,.,97.2,98.1,.,.,.,.,.,.,.,.,0,0,.,.,.,.,.,.,95.1,95.6,0,0,.,.,.,.,.,.,96.2,95.8,.,.,.,.,.,.,.,.,0,0,.,.,.,.,.,.,.,97.3,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.2,96.4,.,.,.,.,.,.,.,.,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,94.6,95.5,0,0,.,.,.,.,.,.,96.1,95.9,.,.,.,.,.,.,.,.,0,0,.,.,.,.,.,.,96.3,96.3,.,.,.,.,.,.,.,.,0,0,.,.,.,.
'001903101,1999,.,.,96.8,96.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97.7,96.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.6,96.1,.,.,.,.,.,.,.,.,96.7,96,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97.4,97,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97,96.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.7,96.2,.,.,.,.,.,.,.,.,96.7,96.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.8,96.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001904001,1999,20.7,34.4,95,96.5,.,20.1,31.6,30.4,1019,1031,51.4,46.9,2.9,0.4,50,47.9,0,0,26.7,13.6,94.3,95.7,.,.,.,.,.,.,.,.,0,0,.,.,.,0,14.8,13,92.8,95.8,3.8,0,.,20,.,0,20,45.3,95.1,96.6,.,.,37.5,20,1070,1043,57.1,41.7,1,0.8,53.8,45.8,0,0,.,33.3,.,94.3,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,21.2,24.6,95,96.5,.,.,27.3,38.5,991,1025,47.8,52,4.3,0,47.8,50,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,3.4,91.8,94,8.6,0,.,.,.,0,19.3,36.9,95.2,96.7,.,20.9,31.6,30.4,1019,1045,55.9,51.1,3.3,0.4,52.9,52.3,0,0,15.5,17.7,95,94.9,19.6,20.6,20,22,965,984,66.1,63.7,1.1,0.7,44.4,51.2,0,0
'001904041,1999,.,.,96.1,96.1,.,.,.,.,.,.,.,.,0,0,.,.,.,.,.,.,97,96.2,.,.,.,.,.,.,.,.,0,0,.,.,.,.,.,.,95.3,95.5,0,0,.,.,.,.,.,.,95.7,96,.,.,.,.,.,.,.,.,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.4,96.2,.,.,.,.,.,.,.,.,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,94.6,95.2,0,0,.,.,.,.,.,.,96,96.1,.,.,.,.,.,.,.,.,0,0,.,.,.,.,.,.,96.3,96.1,.,.,.,.,.,.,.,.,0,0,.,.,.,.
'001904102,1999,.,.,96.1,96.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.7,97.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,95.1,95.8,.,.,.,.,.,.,.,.,95.6,96.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,95.2,95.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.4,96.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,95.5,95.6,.,.,.,.,.,.,.,.,96,96.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97,96.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001906002,1999,25.3,6.4,96.4,95.2,19.1,.,11.1,20,920,.,64.3,27.8,0.6,1.3,53.3,38.9,52.9,0,40,7.1,97.7,93.2,.,.,.,.,.,.,.,.,0,0,.,.,.,0,30.8,5.3,96.2,94.7,0,2.4,.,.,.,.,23.8,8.1,95.7,94.3,18.7,.,0,.,877,.,63.6,37.5,0,3.1,54.5,50,50,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27,5.3,97,95.9,.,.,.,.,.,.,.,20,1.1,0,.,30,60,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5.6,0,96,95.5,0,0,.,.,.,0,23.2,6.3,96.2,95.6,21,.,16.7,.,.,.,54.5,20,0.7,1.6,58.3,40,46.2,0,14.6,17.8,94.8,95.2,20.2,20.6,20,22.1,985,984,64.6,63.7,1.1,0.7,42.7,51.2,0,0
