CAMPUS,CAMPNAME,CFLCHART,CFLYRE,CIADDACK,CNTYNAME,COUNTY,CSUPRATE,C_RATING,DISTNAME,GRDSPAN,GRDTYPE,PAIRCAMP,PAIRNAME,REGION
'109901001,ABBOTT SCHOOL,N,N,RM,HILL,'109,NQ,E,ABBOTT ISD,'EE - 12,B,,,'12
'095901101,ABERNATHY EL,N,N,NQ,HALE,'095,NA,E,ABERNATHY ISD,'EE - 05,E,,,'17
'095901001,ABERNATHY H S,N,N,NQ,HALE,'095,NQ,R,ABERNATHY ISD,'09 - 12,S,,,'17
'095901041,ABERNATHY J H,N,N,M,HALE,'095,NA,R,ABERNATHY ISD,'06 - 08,M,,,'17
'221901001,ABILENE H S,N,N,NQ,TAYLOR,'221,NQ,A,ABILENE ISD,'09 - 12,S,,,'14
'221901129,ABILENE STATE SCH,N,N,,TAYLOR,'221,NR,N,ABILENE ISD,'08 - 12,S,,,'14
'221901101,ALTA VISTA EL,N,N,NQ,TAYLOR,'221,NA,A,ABILENE ISD,'KG - 05,E,,,'14
'221901102,AUSTIN EL,N,N,NQ,TAYLOR,'221,NA,R,ABILENE ISD,'KG - 05,E,,,'14
'221901153,BASSETTI EL,N,N,RM,TAYLOR,'221,NA,E,ABILENE ISD,'EE - 05,E,,,'14
'221901103,BONHAM EL,N,N,NQ,TAYLOR,'221,NA,R,ABILENE ISD,'EE - 05,E,,,'14
'221901104,BOWIE EL,N,N,NQ,TAYLOR,'221,NA,R,ABILENE ISD,'KG - 05,E,,,'14
'221901047,CLACK MIDDLE,N,N,R,TAYLOR,'221,NA,A,ABILENE ISD,'06 - 08,M,,,'14
'221901106,COLLEGE HEIGHTS EL,N,N,NQ,TAYLOR,'221,NA,A,ABILENE ISD,'KG - 05,E,,,'14
'221901002,COOPER H S,N,N,NQ,TAYLOR,'221,NQ,A,ABILENE ISD,'09 - 12,S,,,'14
'221901107,CROCKETT EL,N,N,NQ,TAYLOR,'221,NA,E,ABILENE ISD,'EE - 05,E,,,'14
'221901108,DYESS EL,N,N,NQ,TAYLOR,'221,NA,E,ABILENE ISD,'EE - 05,E,,,'14
'221901003,EXCEL ALTER H S,N,N,,TAYLOR,'221,PE,1,ABILENE ISD,'09 - 12,S,,,'14
'221901110,FANNIN EL,N,N,NQ,TAYLOR,'221,NA,A,ABILENE ISD,'EE - 05,E,,,'14
'221901041,FRANKLIN MIDDLE,N,N,NQ,TAYLOR,'221,NA,A,ABILENE ISD,'06 - 08,M,,,'14
'221901200,HARMONY FAMILY SERVICES,N,N,,TAYLOR,'221,NR,N,ABILENE ISD,'03 - 10,B,,,'14
'221901124,HOUSTON STUDENT ACH CTR,N,N,,TAYLOR,'221,NR,N,ABILENE ISD,'01 - 11,B,,,'14
'221901112,JACKSON EL,N,N,R,TAYLOR,'221,NA,E,ABILENE ISD,'EE - 05,E,,,'14
'221901042,JEFFERSON MIDDLE,N,N,NQ,TAYLOR,'221,NA,A,ABILENE ISD,'06 - 08,M,,,'14
'221901113,JOHNSTON EL,N,N,R,TAYLOR,'221,NA,E,ABILENE ISD,'KG - 05,E,,,'14
'221901114,JONES EL,N,N,NQ,TAYLOR,'221,NA,R,ABILENE ISD,'EE - 05,E,,,'14
'221901116,LEE EL,N,N,NQ,TAYLOR,'221,NA,R,ABILENE ISD,'KG - 05,E,,,'14
'221901043,LINCOLN MIDDLE,N,N,NQ,TAYLOR,'221,NA,R,ABILENE ISD,'06 - 08,M,,,'14
'221901117,LOCUST PRE-K,N,N,,TAYLOR,'221,NR,N,ABILENE ISD,'EE - PK,E,,,'14
'221901118,LONG EL,N,N,NQ,TAYLOR,'221,NA,R,ABILENE ISD,'KG - 05,E,,,'14
'221901044,MADISON MIDDLE,N,N,NQ,TAYLOR,'221,NA,A,ABILENE ISD,'06 - 08,M,,,'14
'221901045,MANN MIDDLE,N,N,NQ,TAYLOR,'221,NA,A,ABILENE ISD,'06 - 08,M,,,'14
'221901152,ORTIZ EL,N,N,NQ,TAYLOR,'221,NA,R,ABILENE ISD,'EE - 05,E,,,'14
