CAMPUS,YEAR,BPSAMIFP,BPSATOFC,BPSETOFP,BPSOTOFC,BPSPTOFP,BPSSTOFP,BPSSTOSA,BPST00FP,BPST00SA,BPST01FP,BPST01SA,BPST06FP,BPST06SA,BPST11FP,BPST11SA,BPST20FP,BPST20SA,BPSTBIFP,BPSTBLFP,BPSTCOFP,BPSTEXPA,BPSTFEFP,BPSTGIFP,BPSTHIFP,BPSTINFP,BPSTKIDR,BPSTMAFP,BPSTOPFP,BPSTPAFP,BPSTREFP,BPSTSPFP,BPSTTENA,BPSTTOFP,BPSTTOSA,BPSTVOFP,BPSTWHFP,BPSUTOFP,BPSUTOSA,CPSAMIFC,CPSAMIFP,CPSATOFC,CPSETOFC,CPSETOFP,CPSOTOFC,CPSPTOFC,CPSPTOFP,CPSSTOFC,CPSSTOFP,CPSSTOSA,CPST00FC,CPST00FP,CPST00SA,CPST01FC,CPST01FP,CPST01SA,CPST06FC,CPST06FP,CPST06SA,CPST11FC,CPST11FP,CPST11SA,CPST20FC,CPST20FP,CPST20SA,CPSTBIFC,CPSTBIFP,CPSTBLFC,CPSTBLFP,CPSTCOFC,CPSTCOFP,CPSTEXPA,CPSTFEFC,CPSTFEFP,CPSTGIFC,CPSTGIFP,CPSTHIFC,CPSTHIFP,CPSTINFC,CPSTINFP,CPSTKIDR,CPSTMAFC,CPSTMAFP,CPSTOPFC,CPSTOPFP,CPSTPAFC,CPSTPAFP,CPSTREFC,CPSTREFP,CPSTSPFC,CPSTSPFP,CPSTTENA,CPSTTOFC,CPSTTOFP,CPSTTOSA,CPSTVOFC,CPSTVOFP,CPSTWHFC,CPSTWHFP,CPSUTOFC,CPSUTOFP,CPSUTOSA
'001902001,1999,4.5,2690.4,6.8,2.6,93.2,4.3,51583,4.8,25457,24.5,26928,19.8,30555,29.4,37294,21.5,42143,0.2,1.5,1,12.5,62.2,1.7,1.8,0.1,14.4,37.8,7.8,0.3,67.3,7.8,7.1,81.7,33904,14.2,96.2,7.2,40382,1,3.8,26.3,3,11.4,0,23.3,88.6,1.8,6.8,48769,3,14.8,21474,6.6,32.2,24269,1,4.9,31770,4.7,22.9,38290,5.1,25.1,41097,0,0,0,0,0,0,10.5,12.7,62.2,0,0,0,0,0,0,9.4,7.7,37.8,0,0,0,0,15.8,77.2,1.5,7.3,4.3,20.4,77.7,31669,3.2,15.4,20.4,100,1.1,4.1,35455
'001902041,1999,5.4,1813.6,9.1,4.9,90.9,4,53618,6.9,26737,28,27701,15.8,31222,27.6,37677,21.8,42790,0.4,2.1,2.2,12,75.1,2.4,1.6,0.5,15.8,24.9,3.2,0.3,79.1,9.8,7.5,79.5,34227,2.9,95.6,7.5,39550,0,0,19.2,2,10.4,0,17.2,89.6,1.3,7,41071,2,13.3,22937,7.1,48,24877,1.5,10,31829,2.8,19.3,35565,1.4,9.5,43690,0,0,0,0,0.5,3.2,7.3,10.3,69.7,0,0,0,0,0,0,10.6,4.5,30.3,0,0,0,0,11.8,79.7,1.4,9.4,2.6,14.8,77.1,29157,1.1,7.7,14.8,100,1.1,5.6,35455
'001902103,1999,5.5,1830.7,16.2,3.1,83.8,3.1,54032,5.7,26439,22.2,27132,18.9,31240,32.7,37562,20.5,42490,0.9,2.7,4.8,12.4,94.8,1.6,1,0.3,15.5,5.2,0,0.3,83,9.6,8.6,73.9,34432,0,95.6,6.9,38119,3,8,37.5,9,24,0.1,28.5,76,1.3,3.6,44725,0,0,0,9.3,36.1,24182,5.5,21.4,28791,6,23.2,35655,5,19.3,38799,0,0,1,3.9,0.5,2,11.4,25.5,98.7,0.5,1.9,1,3.9,0,0,10.6,0.3,1.3,0,0,0,0,21.8,84.4,3,11.6,6,25.9,68.9,30655,0,0,23.9,92.3,1.3,3.6,30460
'001903001,1999,3.6,1890.9,8,1.2,92,4.7,49246,3.4,22690,23.2,25566,19.2,30217,31.2,37015,23,41447,0.2,1.2,1.3,12.9,59.2,0.3,1.1,0.1,13.7,40.8,5.9,0.2,68.2,7.4,7.4,81.1,33581,16.7,97.5,6.2,39718,0.3,0.9,35.3,4.8,13.6,0,30.5,86.4,1.6,4.5,47850,1,3.8,21242,4.9,18.3,25288,6.6,24.9,28519,4.8,18,35373,9.3,35,37800,0,0,0,0,0,0,14.4,16.1,60.4,0,0,0,0,0,0,12.4,10.5,39.6,0.7,2.5,0,0,19.1,71.8,2.9,10.8,6.2,26.6,75.3,32140,4,14.9,26.6,100,2.3,6.6,34697
'001903041,1999,5.5,1768.5,11.9,92.6,88.1,4,51452,6.2,24734,29.2,26635,18.4,30713,29.1,36862,17.2,41713,0.4,2,1.4,11.1,76.5,1.5,1.9,0.3,15.6,23.5,3.2,0.3,81.7,9.7,6.6,77.8,32823,2.2,95.4,6.3,38997,2.2,8.2,26.5,5,18.8,0,21.6,81.2,1,3.8,50100,1,4.9,21239,8.4,41.6,23069,3.4,16.7,28129,4.8,23.5,36503,2.7,13.3,37799,0,0,0,0,0,0,9.7,13.2,65.3,0,0,0,0,0,0,12.2,7,34.7,0.1,0.6,0,0,16.8,82.9,2.4,11.9,4.2,20.2,76.2,28939,0.9,4.6,20.2,100,0.3,1.3,17324
'001903101,1999,3.3,1634.6,16.4,80,83.6,3.4,50737,4.7,24544,23.8,26197,20.2,30246,32,36655,19.2,40670,0.6,1,5.9,12.2,95.1,1.2,0.6,0.2,15.5,4.9,0,0.1,82.4,9.9,7.7,73.6,33073,0,98,6.6,38336,1.3,2.4,54.7,14.9,27.3,0.1,39.7,72.7,1,1.8,55000,5.5,15,29268,7,19.2,23570,7.9,21.7,28249,8,22,35916,8,22,37799,0,0,1,2.7,3.4,9.4,13,33.4,91.8,0,0,0,0,0,0,15.1,3,8.2,0,0,0,0,25.3,69.6,7.6,21,10,36.4,66.6,31288,0,0,35.4,97.3,2.3,4.3,33852
'001904001,1999,4.1,1922.1,7.7,58.4,92.3,4.7,50995,4,25721,23.5,26562,18.4,30519,30.4,37568,23.7,41932,0.2,1.8,1.6,12.9,59.1,1.4,1.3,0,13.9,40.9,5.7,0.1,67.4,8,7.2,81,34243,15.6,96.8,6.6,40229,1,3.9,25.5,3,11.7,0,22.5,88.3,1,3.9,49000,2,9.8,23742,3,14.8,24670,2.9,14.4,27982,8.2,40.2,35897,4.3,20.8,38301,0,0,0,0,0,0,14.6,10.7,52.5,0,0,0,0,0,0,11.5,9.7,47.5,0,0,0,0,16.3,79.6,0,0,6.1,20.4,79.9,32409,4.2,20.4,20.4,100,1.1,4.4,38740
'001904041,1999,5,1710.5,10.4,3.2,89.6,4.1,51233,6.3,25552,28.8,27023,18,30755,27.3,37140,19.6,42485,0.4,1.7,1.7,11.5,75.4,2.1,1.5,0.5,15.6,24.6,3.8,0.4,80,9.9,6.9,77.9,33393,2.1,95.9,7.7,38190,1,5.9,17,0,0,0,17,100,1,5.9,48600,1,6.3,21740,4,24.9,23279,1.1,6.6,28820,6.3,39.3,33958,3.7,22.9,38299,0,0,0,0,0,0,13.7,10.7,66.9,0,0,0,0,1,6.3,12.1,5.3,33.1,0,0,0,0,14.3,89.4,1,6.1,6.3,16,94.1,31184,0.7,4.5,15,93.7,0,0,0
'001904102,1999,7.9,1752.3,18.8,0.7,81.2,3.3,51193,6.1,25599,25.6,26680,20.8,30476,29.6,37012,17.9,41882,1,3.5,5.1,11.4,94.7,1.6,1.7,0.2,16,5.3,0,0.2,82.9,9.4,7.9,71.5,33182,0,94.4,6.4,36397,1,3.3,30,4,13.3,0.1,26,86.7,1,3.3,46000,0,0,0,5,20.4,23956,4,16.3,28203,6.9,28.1,37131,8.6,35.1,38300,0,0,0,0,1,4.1,16.8,24.5,100,6,24.5,0,0,0,0,15.5,0,0,0,0,0,0,15.6,63.7,1.9,7.7,11.2,24.5,81.7,33390,0,0,24.5,100,0.5,1.7,35640
'001906002,1999,3.9,1968.2,7.1,0.3,92.9,4.7,50697,4,25845,23.4,26704,18.9,30558,30.3,37556,23.4,42130,0.2,1.7,1.5,13,59.6,0.8,1.3,0,14,40.4,6.4,0.1,67.5,8.1,7.3,81.8,34297,15.5,96.9,6.5,40291,2,12.3,16.3,2,12.3,0,14.3,87.7,1.3,8.3,43640,0,0,0,2.9,24.6,24201,4,33.5,28484,2.4,19.7,39513,2.7,22.2,37800,0,0,1,8.4,2,17,12.1,6.9,58.1,0,0,0,0,0,0,12.4,5,41.9,0,0,0,0,7.6,64,1,8.7,6.3,11.9,73.3,31673,1.2,10.3,10.9,91.6,1,6.1,35220
