CAMPUS,YEAR,BA0GA98N,BA0GH98N,BA0GR98N,BB0GR98N,BH0GR98N,BI0GR98N,BP0GR98N,BPEMALLP,BPERRA1R,BPERRA2R,BPERRA3R,BPERRA4R,BPERRA5R,BPERRA6R,BPERRA7R,BPERRA8R,BPERRAKR,BPERSA1R,BPERSA2R,BPERSA3R,BPERSA4R,BPERSA5R,BPERSA6R,BPERSA7R,BPERSA8R,BPERSAKR,BPETALLC,BPETBILP,BPETBLAP,BPETECOP,BPETG01P,BPETG02P,BPETG03P,BPETG04P,BPETG05P,BPETG06P,BPETG07P,BPETG08P,BPETG09P,BPETG10P,BPETG11P,BPETG12P,BPETGEEP,BPETGIFP,BPETGKNP,BPETGPKP,BPETHISP,BPETINDP,BPETLEPP,BPETPACP,BPETSPEP,BPETVOCP,BPETWHIP,BS0GR98N,BW0GR98N,CA0GA98N,CA0GH98N,CA0GR98N,CB0GR98N,CH0GR98N,CI0GR98N,CP0GR98N,CPEMALLC,CPEMALLP,CPERRA1R,CPERRA2R,CPERRA3R,CPERRA4R,CPERRA5R,CPERRA6R,CPERRA7R,CPERRA8R,CPERRAKR,CPERSA1R,CPERSA2R,CPERSA3R,CPERSA4R,CPERSA5R,CPERSA6R,CPERSA7R,CPERSA8R,CPERSAKR,CPETALLC,CPETBILC,CPETBILP,CPETBLAC,CPETBLAP,CPETECOC,CPETECOP,CPETG01C,CPETG01P,CPETG02C,CPETG02P,CPETG03C,CPETG03P,CPETG04C,CPETG04P,CPETG05C,CPETG05P,CPETG06C,CPETG06P,CPETG07C,CPETG07P,CPETG08C,CPETG08P,CPETG09C,CPETG09P,CPETG10C,CPETG10P,CPETG11C,CPETG11P,CPETG12C,CPETG12P,CPETGEEC,CPETGEEP,CPETGIFC,CPETGIFP,CPETGKNC,CPETGKNP,CPETGPKC,CPETGPKP,CPETHISC,CPETHISP,CPETINDC,CPETINDP,CPETLEPC,CPETLEPP,CPETPACC,CPETPACP,CPETSPEC,CPETSPEP,CPETVOCC,CPETVOCP,CPETWHIC,CPETWHIP,CS0GR98N,CW0GR98N
'001902001,1999,1648,1334,6559,283,254,21,105,13.7,.,.,.,.,.,.,0.8,0,.,.,.,.,.,.,.,7.7,3.6,.,31586,0.4,4.5,9.6,0,0,0,0,0,0,0.6,0.5,24.3,27,25.4,22.2,0,12.9,0,0,4.4,0.3,0.4,1.6,11.3,56.2,89.2,620,5896,26,0,53,7,3,0,0,27,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,17,8.9,31,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,33.9,37,19.3,46,24,44,22.9,0,0,16,8.3,0,0,0,0,1,0.5,1,0.5,0,0,2,1,35,18.2,138,71.9,171,89.1,10,43
'001902041,1999,0,0,0,0,0,0,0,13.3,.,.,.,.,0.2,1.3,1.6,1,.,.,.,.,.,0,2.1,2.8,2.2,.,22716,0.7,6.2,18.1,0,0,0,0,2.4,23,35.2,35.2,4.2,0,0,0,0,12.3,0,0,7,0.4,0.8,2.3,12.8,13.2,84.1,0,0,.,.,.,.,.,.,.,23,13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,23,14.6,40,25.5,0,0,0,0,0,0,0,0,0,0,48,30.6,48,30.6,61,38.9,0,0,0,0,0,0,0,0,0,0,11,7,0,0,0,0,2,1.3,0,0,0,0,0,0,29,18.5,48,30.6,132,84.1,.,.
'001902103,1999,0,0,0,0,0,0,0,15.8,4.3,1.1,0.7,0.5,0.5,1,.,.,2,12.7,3.3,1.7,1.4,1.9,5.2,.,.,9.8,21001,1.6,7.3,26.1,15.2,15,16,16.6,16.3,4.9,0,0,0,0,0,0,1,5.9,13.5,1.7,7.9,0.4,1.9,2.6,12.6,0,81.8,0,0,.,.,.,.,.,.,.,61,23.6,3,0,0,2.9,0,0,0,0,8.3,0,9.1,0,0,0,0,0,0,10,275,5,1.8,36,13.1,83,30.2,50,18.2,39,14.2,42,15.3,50,18.2,42,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.5,15,5.5,48,17.5,0,0,11,4,3,1.1,5,1.8,0,0,33,12,0,0,225,81.8,.,.
'001903001,1999,1571,553,4124,195,133,15,36,15.4,.,.,.,.,.,.,2,1.3,.,.,.,.,.,.,.,4.8,2.3,.,21004,0.3,5,15,0,0,0,0,0,0,1.5,1.2,28.3,25.3,23.3,20.4,0,9.9,0,0,3.9,0.3,0.3,0.9,13.6,64.4,89.9,459,3745,31,0,64,6,5,1,0,54,15.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,0,0,24,7.3,94,28.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,30.3,87,26.4,72,21.8,71,21.5,0,0,36,10.9,0,0,0,0,7,2.1,0,0,1,0.3,1,0.3,55,16.7,193,58.5,298,90.3,10,52
'001903041,1999,0,0,0,0,0,0,0,13.9,.,.,.,1.1,1.4,1.6,1.4,1,.,.,.,.,5,0.6,1.9,2.2,3.1,.,21480,0.4,4.5,17.8,0,0,0,0,5.7,26.5,32.8,32.5,2.5,0,0,0,0,13.2,0,0,6.1,0.3,0.6,1.2,13.1,11.1,87.8,0,0,.,.,.,.,.,.,.,40,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,23,9.3,91,36.8,0,0,0,0,0,0,0,0,0,0,78,31.6,93,37.7,76,30.8,0,0,0,0,0,0,0,0,0,0,19,7.7,0,0,0,0,4,1.6,1,0.4,0,0,1,0.4,49,19.8,119,48.2,218,88.3,.,.
'001903101,1999,0,0,0,0,0,0,0,15.3,3.5,1.3,0.6,0.4,0.5,0.6,.,.,2.5,8.8,5.1,2.3,1.3,1.4,1.7,.,.,8.7,18653,0.8,3.3,26.8,14.2,16.1,17.8,20.1,14.4,3.7,0,0,0,0,0,0,0.4,6.5,11.3,2,4.8,0.7,1.2,0.7,11.6,0,90.5,0,0,.,.,.,.,.,.,.,70,15.7,3,0,0,0,0,0,0,0,0,5.3,6.3,0,8.7,0,0,0,0,12.5,549,0,0,33,6,269,49,72,13.1,91,16.6,66,12,82,14.9,89,16.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.9,18,3.3,72,13.1,72,13.1,19,3.5,0,0,0,0,0,0,115,20.9,0,0,497,90.5,.,.
'001904001,1999,1491,742,4319,246,192,17,44,16.8,.,.,.,.,.,.,1.3,0,.,.,0,.,.,0,.,5.7,2.9,.,21692,0.5,5.4,14.8,0,0,0,0,0,0,1.2,0.9,27.1,26.1,23.9,20.8,0,12.3,0,0,5,0.3,0.5,1.1,13.1,63.9,88.3,518,3820,0,0,54,7,1,0,0,44,16.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,0,0,24,10.2,64,27.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,26.4,78,33.2,46,19.6,49,20.9,0,0,59,25.1,0,0,0,0,2,0.9,0,0,0,0,1,0.4,36,15.3,206,87.7,208,88.5,5,46
'001904041,1999,0,0,0,0,0,0,0,14.5,.,.,.,.,0.7,1.4,1.8,1.2,.,.,.,.,.,0.9,2.2,2.9,3,.,20817,0.6,5.9,20.3,0,0,0,0,3.3,23.9,36.6,34.8,1.4,0,0,0,0,13.5,0,0,6.8,0.5,0.7,1.5,13.2,9.8,85.4,0,0,.,.,.,.,.,.,.,40,18.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,24,12.4,75,38.9,0,0,0,0,0,0,0,0,0,0,65,33.7,66,34.2,62,32.1,0,0,0,0,0,0,0,0,0,0,25,13,0,0,0,0,3,1.6,0,0,0,0,1,0.5,46,23.8,69,35.8,165,85.5,.,.
'001904102,1999,0,0,0,0,0,0,0,17.5,2.5,1,0.9,0.5,0.5,0.8,0,0,1.8,9.1,2.5,2.2,3,1.2,1.1,0,0,4.9,20007,1.8,11.2,32.3,18.2,17.7,16.2,16.4,10.9,2.7,0.1,0.1,0,0,0,0,0.8,6.4,13.9,3,8.5,0.4,2,1.6,12.7,0,78.3,0,0,.,.,.,.,.,.,.,67,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,11,2.9,57,15,223,58.8,69,18.2,49,12.9,51,13.5,45,11.9,65,17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.8,65,17.2,35,9.2,21,5.5,1,0.3,11,2.9,3,0.8,47,12.4,0,0,297,78.4,.,.
'001906002,1999,1691,730,4484,258,186,16,48,16.2,.,.,.,.,.,.,3.4,0,.,.,0,.,.,0,.,2.9,2.5,.,22601,0.4,5.5,14.3,0,0,0,0,0,0,1.2,1,28.4,25.4,23.5,20.4,0,11.2,0,0,4.8,0.3,0.5,1.2,12.5,62.2,88.3,487,3976,0,0,23,6,0,0,0,28,18.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3,0,0,148,0,0,15,10.1,40,27,0,0,0,0,0,0,0,0,0,0,0,0,36,24.3,20,13.5,24,16.2,24,16.2,22,14.9,22,14.9,0,0,0,0,0,0,0,0,2,1.4,0,0,0,0,0,0,20,13.5,87,58.8,131,88.5,5,17
'001906102,1999,0,0,0,0,0,0,0,16,4,1.1,0.8,0.6,0.6,0.9,.,.,1.9,11,3.8,1.8,0.8,1.6,5.4,.,.,10.1,21494,1.7,7.7,27.9,15.5,15.1,16.1,16.6,15.2,4.8,0,0,0,0,0,0,1,5.4,13.5,2.1,8,0.4,2.1,2.1,12.5,0,81.7,0,0,.,.,.,.,.,.,.,40,21.9,0,0,0,0,0,0,0,0,0,20,0,0,14.3,0,0,0,0,0,191,0,0,30,15.7,84,44,18,9.4,29,15.2,23,12,26,13.6,34,17.8,19,9.9,0,0,0,0,0,0,0,0,0,0,0,0,2,1,10,5.2,21,11,19,9.9,4,2.1,0,0,0,0,1,0.5,48,25.1,0,0,156,81.7,.,.
'001907001,1999,2350,1051,9686,1874,1838,19,451,18.7,.,.,.,.,.,.,0.7,0.7,0,.,.,.,.,.,0,0,0,.,51927,2.4,19.7,28.8,0,0,0,0,0,0,0.4,0.4,31.4,25.3,22.6,20.1,0,11.8,0,0,24.7,0.2,3.1,3.9,12.3,57.8,51.4,969,5504,100,0,194,58,27,1,3,190,16.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1048,32,3.1,351,33.5,367,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,32,272,26,213,20.3,228,21.8,0,0,110,10.5,0,0,0,0,160,15.3,1,0.1,35,3.3,5,0.5,127,12.1,539,51.4,531,50.7,15,105
'001907002,1999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,81,81.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,6,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.4,2,4.8,19,45.2,14,33.3,5,11.9,1,2.4,0,0,0,0,0,0,0,0,11,26.2,1,2.4,0,0,0,0,11,26.2,0,0,24,57.1,.,.
'001907041,1999,0,0,0,0,0,0,0,17.7,.,.,.,.,0.6,1.8,1.6,1.6,.,.,.,.,.,0.4,1.1,1.1,2.2,.,20319,2.1,25.1,49.5,0,0,0,0,8.9,24.1,31.6,34.4,1,0,0,0,0,9.2,0,0,18,0.3,2.4,0.8,16.1,7.6,55.7,0,0,.,.,.,.,.,.,.,109,17.1,0,0,0,0,0,0,4.8,2.1,0,0,0,0,0,0,0,0,2.6,0,563,19,3.4,195,34.6,278,49.4,0,0,0,0,0,0,0,0,0,0,1,0.2,289,51.3,273,48.5,0,0,0,0,0,0,0,0,0,0,32,5.7,0,0,0,0,105,18.7,0,0,19,3.4,3,0.5,73,13,55,9.8,260,46.2,.,.
'001907042,1999,0,0,0,0,0,0,0,18.4,.,.,.,2.2,0.9,1.6,2.8,1.9,.,.,.,.,1.5,0.4,2.3,2.9,4,.,19809,3.5,22.2,55.2,0,0,0,1.3,12.1,29.6,28.8,28.1,0,0,0,0,0,8.9,0,0,24.8,0.3,4.1,1,17,9.4,51.7,0,0,.,.,.,.,.,.,.,40,12.5,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,3.2,0,0,0,264,8,3,86,32.6,146,55.3,0,0,0,0,0,0,0,0,0,0,264,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5.3,0,0,0,0,52,19.7,0,0,12,4.5,3,1.1,32,12.1,0,0,123,46.6,.,.
'001907101,1999,0,0,0,0,0,0,0,22,5.6,2.6,1.4,0.9,0.2,0.3,.,.,2,10,4.6,2.9,1.4,1.2,0,.,.,9.8,19205,7.9,22.2,62.4,17.8,19.4,15.7,12.4,9.3,2.5,0,0,0,0,0,0,0.7,4.4,15.2,7.2,26.5,0.5,8.6,1.3,13.4,0,49.5,0,0,.,.,.,.,.,.,.,84,22.8,4.6,2.9,0,0,0,0,0,0,2.9,15.4,9.1,0,0,0,0,0,0,0,455,45,9.9,145,31.9,283,62.2,155,34.1,148,32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.4,152,33.4,0,0,112,24.6,0,0,49,10.8,0,0,40,8.8,0,0,198,43.5,.,.
'001907104,1999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,158,37,23.4,68,43,148,93.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8.2,0,0,0,0,145,91.8,48,30.4,1,0.6,37,23.4,1,0.6,18,11.4,0,0,40,25.3,.,.
'001907107,1999,0,0,0,0,0,0,0,22.4,4.1,2.4,1.1,1.5,0.9,1,4.3,0,1.3,7.3,5.2,1.5,1.5,2.1,1,10,0,7.9,21613,10.8,26,55.9,16.4,16.6,17.3,14,11.9,2.6,0.1,0.1,0,0,0,0,0.5,4.3,14.4,6.1,23.9,0.3,11.7,3.9,11.6,0,45.9,0,0,.,.,.,.,.,.,.,88,26.8,6.4,2.1,0,0,0,0,0,0,2.8,18.2,11.1,0,0,0,0,0,0,12.5,374,46,12.3,115,30.7,209,55.9,125,33.4,105,28.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,38.5,0,0,91,24.3,2,0.5,51,13.6,3,0.8,22,5.9,0,0,163,43.6,.,.
'001907110,1999,0,0,0,0,0,0,0,18.2,4.7,2.6,1.5,1.4,1.1,1.7,5.7,0,2.3,6,4.2,2.4,0.7,0.3,0.6,20,0,6.8,18565,7.6,20.4,56.4,16,15.5,15.9,17.7,11.8,4,0,0,0,0,0,0,0.4,5,14,4.7,23.9,0.4,8.2,1.5,13.2,0,53.8,0,0,.,.,.,.,.,.,.,151,16.6,0,0,0.9,2.7,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,815,44,5.4,257,31.5,460,56.4,0,0,0,0,302,37.1,270,33.1,243,29.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,6,0,0,0,0,177,21.7,0,0,51,6.3,4,0.5,72,8.8,0,0,377,46.3,.,.
'001908002,1999,1854,865,6356,528,452,17,135,16.6,.,.,.,.,.,.,2.3,3,.,.,.,.,.,.,.,0,3.3,.,32956,0.9,8.7,18.3,0,0,0,0,0,0,0.4,0.4,28.7,26,23.1,21.5,0,9.6,0,0,9.7,0.4,1.1,2.1,13.1,55.4,79.2,644,5224,33,0,108,20,3,0,1,171,30.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504,0,0,67,13.3,115,22.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,31.7,135,26.8,119,23.6,90,17.9,0,0,26,5.2,0,0,0,0,32,6.3,4,0.8,0,0,2,0.4,78,15.5,250,49.6,399,79.2,9,84
'001908041,1999,0,0,0,0,0,0,0,16.5,.,.,.,.,0.4,1.3,1.8,1.6,.,.,.,.,.,1.1,2.5,3.2,4.7,.,22624,1.4,10.9,28.6,0,0,0,0,11.8,28.8,28.2,28.6,2.6,0,0,0,0,12.4,0,0,9.4,0.3,1.7,1.9,14,10.7,77.4,0,0,.,.,.,.,.,.,.,66,20.2,0,0,0,0,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,302,0,0,47,15.6,105,34.8,0,0,0,0,0,0,0,0,0,0,0,0,148,49,154,51,0,0,0,0,0,0,0,0,0,0,11,3.6,0,0,0,0,19,6.3,1,0.3,0,0,1,0.3,35,11.6,191,63.2,234,77.5,.,.
