CAMPUS,CACKDTL,CAMPNAME,CFLCHART,CFLYRE,CIADDACK,CNTYNAME,COUNTY,C_RATING,DISTNAME,GRDSPAN,GRDTYPE,PAIRCAMP,PAIRNAME,REGION
'057816101,NA,A W BROWN-FELLOWSHIP CHARTER SCHOO,Y,N,NQ,DALLAS,'057,A,A W BROWN-FELLOWSHIP CHARTER SCHOO,'EE - 03,E,'057905277,THOMAS TOLBERT,'10
'109901001,T,ABBOTT SCHOOL,N,N,NQ,HILL,'109,R,ABBOTT ISD,'PK - 12,B,,,'12
'095901101,NA,ABERNATHY EL,N,N,NQ,HALE,'095,R,ABERNATHY ISD,'EE - 05,E,,,'17
'095901001,NQ,ABERNATHY H S,N,N,NQ,HALE,'095,R,ABERNATHY ISD,'09 - 12,S,,,'17
'095901041,NA,ABERNATHY J H,N,N,NQ,HALE,'095,R,ABERNATHY ISD,'06 - 08,M,,,'17
'221901001,NQ,ABILENE H S,N,N,NQ,TAYLOR,'221,A,ABILENE ISD,'09 - 12,S,,,'14
'221901129,NO,ABILENE STATE SCH,N,N,,TAYLOR,'221,X,ABILENE ISD,'09 - 12,S,,,'14
'221901101,NA,ALTA VISTA EL,N,N,R,TAYLOR,'221,R,ABILENE ISD,'EE - 05,E,,,'14
'221901102,NA,AUSTIN EL,N,N,R,TAYLOR,'221,E,ABILENE ISD,'EE - 05,E,,,'14
'221901153,NA,BASSETTI EL,N,N,NQ,TAYLOR,'221,E,ABILENE ISD,'KG - 05,E,,,'14
'221901103,NA,BONHAM EL,N,N,M,TAYLOR,'221,E,ABILENE ISD,'KG - 05,E,,,'14
'221901104,NA,BOWIE EL,N,N,R,TAYLOR,'221,R,ABILENE ISD,'KG - 05,E,,,'14
'221901047,NA,CLACK MIDDLE,N,N,M,TAYLOR,'221,A,ABILENE ISD,'06 - 08,M,,,'14
'221901106,NA,COLLEGE HEIGHTS EL,N,N,NQ,TAYLOR,'221,A,ABILENE ISD,'KG - 05,E,,,'14
'221901002,NQ,COOPER H S,N,N,NQ,TAYLOR,'221,A,ABILENE ISD,'09 - 12,S,,,'14
'221901107,NA,CROCKETT EL,N,N,NQ,TAYLOR,'221,E,ABILENE ISD,'KG - 05,E,,,'14
'221901108,NA,DYESS EL,N,N,NQ,TAYLOR,'221,E,ABILENE ISD,'KG - 05,E,,,'14
'221901003,PE,EXCEL ALTER H S,N,N,,TAYLOR,'221,1,ABILENE ISD,'09 - 12,S,,,'14
'221901110,NA,FANNIN EL,N,N,NQ,TAYLOR,'221,A,ABILENE ISD,'KG - 05,E,,,'14
'221901041,NA,FRANKLIN MIDDLE,N,N,NQ,TAYLOR,'221,A,ABILENE ISD,'06 - 08,M,,,'14
'221901200,NO,HARMONY FAMILY SERVICES,N,N,,TAYLOR,'221,X,ABILENE ISD,'05 - 11,B,,,'14
'221901124,NO,HOUSTON STUDENT ACH CTR,N,N,,TAYLOR,'221,X,ABILENE ISD,'02 - 12,B,,,'14
'221901112,NA,JACKSON EL,N,N,M,TAYLOR,'221,E,ABILENE ISD,'EE - 05,E,,,'14
'221901042,NA,JEFFERSON MIDDLE,N,N,NQ,TAYLOR,'221,A,ABILENE ISD,'06 - 08,M,,,'14
'221901113,NA,JOHNSTON EL,N,N,NQ,TAYLOR,'221,E,ABILENE ISD,'EE - 05,E,,,'14
'221901114,NA,JONES EL,N,N,R,TAYLOR,'221,E,ABILENE ISD,'KG - 05,E,,,'14
'221901116,NA,LEE EL,N,N,R,TAYLOR,'221,A,ABILENE ISD,'KG - 05,E,,,'14
'221901043,NA,LINCOLN MIDDLE,N,N,NQ,TAYLOR,'221,R,ABILENE ISD,'06 - 08,M,,,'14
'221901117,NR,LOCUST ECC,N,N,,TAYLOR,'221,N,ABILENE ISD,'EE - PK,E,,,'14
'221901118,NA,LONG EL,N,N,R,TAYLOR,'221,R,ABILENE ISD,'KG - 05,E,,,'14
'221901044,NA,MADISON MIDDLE,N,N,NQ,TAYLOR,'221,A,ABILENE ISD,'06 - 08,M,,,'14
'221901045,NA,MANN MIDDLE,N,N,NQ,TAYLOR,'221,A,ABILENE ISD,'06 - 08,M,,,'14
'221901152,NA,ORTIZ EL,N,N,NQ,TAYLOR,'221,E,ABILENE ISD,'EE - 05,E,,,'14
'221901120,NA,REAGAN EL,N,N,NQ,TAYLOR,'221,A,ABILENE ISD,'KG - 05,E,,,'14
'221901122,NO,SCHOOL AGE MOTHERS,N,N,,TAYLOR,'221,X,ABILENE ISD,'07 - 08,M,,,'14
'221901127,NO,SP ED HOMEBOUND,N,N,,TAYLOR,'221,X,ABILENE ISD,'05 - 12,B,,,'14
'221901128,NO,SP ED O J T,N,N,,TAYLOR,'221,X,ABILENE ISD,'09 - 12,S,,,'14
'221901121,NA,TAYLOR EL,N,N,R,TAYLOR,'221,E,ABILENE ISD,'KG - 05,E,,,'14
'221901151,NA,THOMAS EL,N,N,NQ,TAYLOR,'221,R,ABILENE ISD,'EE - 05,E,,,'14
'221901006,NO,TRAVIS OPPORTUNITY CTR,N,N,,TAYLOR,'221,X,ABILENE ISD,'07 - 11,S,,,'14
'221901123,NA,VALLEY VIEW EL,N,N,R,TAYLOR,'221,R,ABILENE ISD,'KG - 05,E,,,'14
'221901150,NA,WARD EL,N,N,M,TAYLOR,'221,E,ABILENE ISD,'EE - 05,E,,,'14
'221901125,NR,WOODSON ECC,N,N,,TAYLOR,'221,N,ABILENE ISD,'EE - PK,E,,,'14
'221901046,PE,WOODSON PROJECT PASS,N,N,,TAYLOR,'221,1,ABILENE ISD,'06 - 08,M,,,'14
'221901126,NO,WOODSON SKILL CTR,N,N,,TAYLOR,'221,X,ABILENE ISD,'08 - 08,M,,,'14
'014901101,NA,ACADEMY EL,N,N,NQ,BELL,'014,A,ACADEMY ISD,'KG - 04,E,,,'12
'014901001,NQ,ACADEMY H S,N,N,NQ,BELL,'014,R,ACADEMY ISD,'09 - 12,S,,,'12
'014901041,NA,ACADEMY J H,N,N,R,BELL,'014,R,ACADEMY ISD,'05 - 08,M,,,'12
