CAMPUS,YEAR,CPCTENGA,CPCTFLAA,CPCTG01A,CPCTG02A,CPCTG03A,CPCTG04A,CPCTG05A,CPCTG06A,CPCTGKGA,CPCTGMEA,CPCTMATA,CPCTSCIA,CPCTSOCA,CPSAMIFC,CPSAMIFP,CPSATOFC,CPSETOFC,CPSETOFP,CPSOTOFC,CPSPTOFC,CPSPTOFP,CPSSTOFC,CPSSTOFP,CPSSTOSA,CPST00FC,CPST00FP,CPST00SA,CPST01FC,CPST01FP,CPST01SA,CPST06FC,CPST06FP,CPST06SA,CPST11FC,CPST11FP,CPST11SA,CPST20FC,CPST20FP,CPST20SA,CPSTBIFC,CPSTBIFP,CPSTBLFC,CPSTBLFP,CPSTCOFC,CPSTCOFP,CPSTEXPA,CPSTFEFC,CPSTFEFP,CPSTGIFC,CPSTGIFP,CPSTHIFC,CPSTHIFP,CPSTINFC,CPSTINFP,CPSTKIDR,CPSTMAFC,CPSTMAFP,CPSTOPFC,CPSTOPFP,CPSTPAFC,CPSTPAFP,CPSTREFC,CPSTREFP,CPSTSPFC,CPSTSPFP,CPSTTENA,CPSTTOFC,CPSTTOFP,CPSTTOSA,CPSTVOFC,CPSTVOFP,CPSTWHFC,CPSTWHFP,CPSUTOFC,CPSUTOFP,CPSUTOSA
'001902001,2000,13.5,12.8,.,.,.,.,.,.,.,.,14.6,12.7,14.4,1,3.7,27.3,4,14.6,.,23.3,85.4,1.3,4.9,53658,0,.,.,8.3,40.3,28396,3.5,17,33012,3.1,15.2,39673,5.7,27.6,44383,0,0,0,0,0,0,11.1,12,57.9,0,0,0,0,0,0,9.5,8.7,42.1,0,0,0,0,16,77.5,1.5,7.3,4,20.6,75.6,35300,3.1,15.3,20.6,100,1.3,4.9,39433
'001902041,2000,14.1,.,.,.,.,.,.,13.4,.,14,12.5,17,16.5,0,0,19,2,10.5,.,17,89.5,1.3,7,44371,0,.,.,8.4,58.1,28202,1.8,12.8,35410,1.9,12.9,38156,2.3,16.1,44537,0,0,0,0,0.3,2.4,9,10.4,72.3,0,0,0,0,0,0,10.3,4,27.7,0,0,0,0,11.4,79.7,1.4,9.7,2.9,14.4,75.5,33043,1.2,8.3,14.4,100,1.3,7,39433
'001902103,2000,.,.,11.8,15.8,14.3,16.6,15.5,.,13.3,20,.,.,.,3,8.3,36.3,8.7,23.9,.,27.7,76.1,1.3,3.7,48250,3,12,24240,8.3,33.3,27806,3.7,14.6,32300,5,20,38322,5,20,41829,0,0,1,4,0.7,2.6,10.7,24.7,98.7,0.5,2,1,4,0,0,11.2,0.3,1.3,0,0,0,0,21.8,87.4,2,8,6.2,25,68.8,32946,0,0,23,92,1.3,3.7,33763
'001903001,2000,14,14.3,.,.,.,.,.,.,.,.,13.8,15.7,16.5,0,0,37.1,4.7,12.7,.,32.4,87.3,1.8,4.8,54402,1.2,4.2,24240,5.2,18.5,26991,7.2,25.5,32120,5.9,21,39418,8.7,30.8,41736,0,0,0,0,0,0,13.9,17.5,61.7,0,0.1,0,0,0,0,11.1,10.8,38.3,1,3.4,0,0,20.6,72.8,2.7,9.5,6.1,28.3,76.2,35333,4,14.2,28.3,100,2.3,6.3,38574
'001903041,2000,15.7,.,.,.,.,.,.,21,.,.,15.6,19.7,20,1,3.4,29.1,5.3,18.1,.,23.8,81.9,1,3.4,53700,0.8,3.7,24240,6.3,29.2,26324,7.8,36.2,32408,2.4,11,40878,4.3,19.9,40800,0,0,0,0,0,0,10.2,14,65.2,0,0,0,0,0,0,11.9,7.5,34.8,0,0,0,0,16.5,76.7,2.8,13.2,5.2,21.5,73.8,32932,2.2,10.1,21.5,100,1.3,4.6,36461
'001903101,2000,.,.,18.9,16.6,16.9,16.9,14.4,.,13.2,15.4,.,.,.,1,1.8,56.3,16,28.4,.,40.3,71.6,1,1.8,58600,1,2.7,24240,7,18.9,27505,8,21.6,31367,10,27,37684,11,29.7,41550,0,0,1,2.7,2.6,6.9,13.5,35,94.6,0,0,0,0,0,0,14.7,2,5.4,0,0,0,0,12.7,34.3,21.7,58.7,10.6,37,65.7,35179,0,0,36,97.3,2.3,4.1,36907
'001904001,2000,17.3,14.7,.,.,.,.,.,.,.,.,15.6,17.4,17.8,1,3.9,25.6,4,15.6,.,21.6,84.4,1,3.9,53000,2.4,12.7,26147,3.7,19.6,28415,4.1,21.2,32031,4.8,25.1,39392,4.1,21.3,42742,0,0,1,5.2,0,0,13,11.4,59.6,0,0,0,0,0,0,13.2,7.7,40.4,0,0,0,0,14.9,78.1,0,0,5.6,19.1,74.6,34697,4.2,21.9,18.1,94.8,1.5,5.9,43064
'001904041,2000,14.9,26,.,.,.,.,.,17,.,.,14.1,24.7,20,1,5.3,18.7,0,0,.,18.7,100,1,5.3,55600,0.6,3.2,25759,5.3,29.6,27522,2.4,13.5,32531,7.2,40.7,38191,2.3,12.9,41299,0,0,0,0,0,0,11.8,12,67.6,0,0,0,0,1,5.6,11.8,5.7,32.4,0,0,0,0,15.3,86.1,1.7,9.4,5.4,17.7,94.7,34263,0.8,4.5,16.7,94.4,0,0,.
'001904102,2000,.,.,14.3,17,17.8,16.5,15.7,.,17,.,.,.,.,2,6.1,32.7,4,12.2,.,28.7,87.8,1,3.1,50000,1,3.9,24740,4.5,17.6,29645,4.5,17.6,37094,4,15.6,38529,11.7,45.4,41300,0,0,1,3.9,1,3.9,15.9,25.7,100,5.1,19.8,0,0,0,0,14.6,0,0,0,0,0,0,16.6,64.6,3,11.7,9.9,25.7,78.6,37438,0,0,24.7,96.1,2,6.1,32905
'001906002,2000,14.9,8,.,.,.,.,.,.,.,.,10.3,18.4,18.9,2,12.6,15.8,2,12.6,.,13.8,87.4,1,6.3,53447,0,.,.,3,24.4,27190,3.4,27.9,32461,1.9,15.3,41588,4,32.5,41820,0,0,1,8.1,0,0,12.7,7,56.8,0,0,0,0,0,0,11.4,5.3,43.2,0,0,0,0,8.7,70.4,1.2,9.4,7,12.3,77.9,35612,2.5,20.2,11.3,91.9,0.5,3.2,39080
