CAMPUS,YEAR,CA0GA99N,CA0GH99N,CA0GR99N,CB0GR99N,CH0GR99N,CI0GR99N,CP0GR99N,CPEMALLC,CPEMALLP,CPETALLC,CPETBILC,CPETBILP,CPETBLAC,CPETBLAP,CPETDISC,CPETDISP,CPETECOC,CPETECOP,CPETG01C,CPETG01P,CPETG02C,CPETG02P,CPETG03C,CPETG03P,CPETG04C,CPETG04P,CPETG05C,CPETG05P,CPETG06C,CPETG06P,CPETG07C,CPETG07P,CPETG08C,CPETG08P,CPETG09C,CPETG09P,CPETG10C,CPETG10P,CPETG11C,CPETG11P,CPETG12C,CPETG12P,CPETGEEC,CPETGEEP,CPETGIFC,CPETGIFP,CPETGKNC,CPETGKNP,CPETGPKC,CPETGPKP,CPETHISC,CPETHISP,CPETINDC,CPETINDP,CPETLEPC,CPETLEPP,CPETPACC,CPETPACP,CPETSPEC,CPETSPEP,CPETVOCC,CPETVOCP,CPETWHIC,CPETWHIP,CS0GR99N,CW0GR99N
'001902001,2000,21,20,44,5,0,0,0,35,16.5,196,0,0,17,8.7,5,2.4,30,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,33.2,56,28.6,34,17.3,41,20.9,0,0,14,7.1,0,0,0,0,3,1.5,1,0.5,0,0,2,1,41,20.9,134,68.4,173,88.3,4,39
'001902041,2000,.,.,.,.,.,.,.,29,16.6,148,0,0,31,20.9,3,1.7,46,31.1,0,0,0,0,0,0,0,0,0,0,42,28.4,53,35.8,53,35.8,0,0,0,0,0,0,0,0,0,0,10,6.8,0,0,0,0,6,4.1,1,0.7,0,0,0,0,25,16.9,44,29.7,110,74.3,.,.
'001902103,2000,.,.,.,.,.,.,.,69,25.8,280,5,1.8,39,13.9,0,0,75,26.8,52,18.6,49,17.5,44,15.7,39,13.9,49,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2.5,20,7.1,40,14.3,0,0,9,3.2,1,0.4,5,1.8,0,0,39,13.9,0,0,231,82.5,.,.
'001903001,2000,35,0,65,8,1,0,0,70,18.8,313,0,0,20,6.4,9,2.4,95,30.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,26.2,80,25.6,88,28.1,63,20.1,0,0,32,10.2,0,0,0,0,8,2.6,0,0,1,0.3,0,0,56,17.9,189,60.4,285,91.1,12,56
'001903041,2000,.,.,.,.,.,.,.,41,15.4,256,0,0,20,7.8,3,1.1,90,35.2,0,0,0,0,0,0,0,0,0,0,95,37.1,79,30.9,82,32,0,0,0,0,0,0,0,0,0,0,13,5.1,0,0,0,0,8,3.1,0,0,0,0,0,0,69,27,118,46.1,228,89.1,.,.
'001903101,2000,.,.,.,.,.,.,.,87,19,544,0,0,43,7.9,0,0,305,56.1,76,14,72,13.2,98,18,71,13.1,84,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.9,18,3.3,71,13.1,67,12.3,21,3.9,0,0,0,0,0,0,108,19.9,0,0,480,88.2,.,.
'001904001,2000,0,0,50,2,1,0,1,39,15.2,251,0,0,29,11.6,3,1.2,81,32.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,27.5,62,24.7,77,30.7,43,17.1,0,0,54,21.5,0,0,0,0,1,0.4,0,0,0,0,0,0,48,19.1,230,91.6,221,88,7,46
'001904041,2000,.,.,.,.,.,.,.,40,17.9,209,0,0,21,10,0,0,84,40.2,0,0,0,0,0,0,0,0,0,0,70,33.5,71,34,68,32.5,0,0,0,0,0,0,0,0,0,0,19,9.1,0,0,0,0,5,2.4,0,0,0,0,1,0.5,32,15.3,82,39.2,182,87.1,.,.
'001904102,2000,.,.,.,.,.,.,.,62,19.4,376,9,2.4,66,17.6,0,0,204,54.3,58,15.4,70,18.6,54,14.4,51,13.6,48,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2.4,68,18.1,27,7.2,16,4.3,1,0.3,9,2.4,0,0,47,12.5,0,0,293,77.9,.,.
'001906002,2000,0,0,21,4,0,0,0,16,10.2,141,0,0,14,9.9,5,3.2,43,30.5,0,0,0,0,0,0,0,0,0,0,0,0,23,16.3,30,21.3,28,19.9,21,14.9,19,13.5,20,14.2,0,0,16,11.3,0,0,0,0,4,2.8,0,0,0,0,0,0,25,17.7,116,82.3,123,87.2,2,17
'001906102,2000,.,.,.,.,.,.,.,29,17.6,180,0,0,24,13.3,0,0,73,40.6,22,12.2,15,8.3,31,17.2,24,13.3,24,13.3,34,18.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6.7,14,7.8,16,8.9,3,1.7,0,0,0,0,1,0.6,43,23.9,0,0,152,84.4,.,.
'001907001,2000,115,0,238,59,21,0,2,211,18.4,984,28,2.8,346,35.2,5,0.4,421,42.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,31.3,264,26.8,250,25.4,162,16.5,0,0,109,11.1,0,0,0,0,164,16.7,0,0,29,2.9,6,0.6,130,13.2,784,79.7,468,47.6,22,156
