CAMPUS,CACKDTL,CAMPNAME,CFLCHART,CIADDACK,CNTYNAME,COUNTY,C_RATING,DISTNAME,GRDSPAN,GRDTYPE,PAIRCAMP,PAIRNAME,REGION
'057816101,,A W BROWN-FELLOWSHIP CHARTER SCHOO,Y,NQ,DALLAS,'057,E,A W BROWN-FELLOWSHIP CHARTER SCHOO,'PK - 04,E,,,'10
'057829001,,A+ ACADEMY,Y,,DALLAS,'057,H,A+ ACADEMY,'PK - 06,E,,,'10
'109901001,A,ABBOTT SCHOOL,N,RM,HILL,'109,R,ABBOTT ISD,'KG - 12,B,,,'12
'095901101,,ABERNATHY EL,N,NQ,HALE,'095,R,ABERNATHY ISD,'PK - 05,E,,,'17
'095901001,A,ABERNATHY H S,N,NQ,HALE,'095,E,ABERNATHY ISD,'09 - 12,S,,,'17
'095901041,A,ABERNATHY J H,N,NQ,HALE,'095,R,ABERNATHY ISD,'06 - 08,M,,,'17
'221901001,,ABILENE H S,N,NQ,TAYLOR,'221,R,ABILENE ISD,'09 - 12,S,,,'14
'221901129,,ABILENE STATE SCH,N,,TAYLOR,'221,X,ABILENE ISD,'07 - 12,S,,,'14
'221901101,,ALTA VISTA EL,N,NQ,TAYLOR,'221,E,ABILENE ISD,'KG - 05,E,,,'14
'221901102,,AUSTIN EL,N,NQ,TAYLOR,'221,E,ABILENE ISD,'KG - 05,E,,,'14
'221901153,,BASSETTI EL,N,NQ,TAYLOR,'221,E,ABILENE ISD,'KG - 05,E,,,'14
'221901103,,BONHAM EL,N,NQ,TAYLOR,'221,E,ABILENE ISD,'KG - 05,E,,,'14
'221901104,,BOWIE EL,N,NQ,TAYLOR,'221,R,ABILENE ISD,'KG - 05,E,,,'14
'221901047,,CLACK MIDDLE,N,RM,TAYLOR,'221,E,ABILENE ISD,'06 - 08,M,,,'14
'221901106,,COLLEGE HEIGHTS EL,N,NQ,TAYLOR,'221,A,ABILENE ISD,'KG - 05,E,,,'14
'221901002,,COOPER H S,N,NQ,TAYLOR,'221,R,ABILENE ISD,'09 - 12,S,,,'14
'221901107,,CROCKETT EL,N,NQ,TAYLOR,'221,R,ABILENE ISD,'KG - 05,E,,,'14
'221901108,,DYESS EL,N,NQ,TAYLOR,'221,E,ABILENE ISD,'KG - 05,E,,,'14
'221901003,,EXCEL ALTER H S,N,,TAYLOR,'221,1,ABILENE ISD,'09 - 12,S,,,'14
'221901110,,FANNIN EL,N,NQ,TAYLOR,'221,R,ABILENE ISD,'KG - 05,E,,,'14
'221901041,,FRANKLIN MIDDLE,N,R,TAYLOR,'221,R,ABILENE ISD,'06 - 08,M,,,'14
'221901200,,HARMONY FAMILY SERVICES,N,,TAYLOR,'221,X,ABILENE ISD,'06 - 10,B,,,'14
'221901124,,HOUSTON STUDENT ACH CTR,N,,TAYLOR,'221,X,ABILENE ISD,'KG - 12,B,,,'14
'221901112,,JACKSON EL,N,NQ,TAYLOR,'221,E,ABILENE ISD,'EE - 05,E,,,'14
'221901042,,JEFFERSON MIDDLE,N,NQ,TAYLOR,'221,R,ABILENE ISD,'06 - 08,M,,,'14
'221901113,A,JOHNSTON EL,N,R,TAYLOR,'221,E,ABILENE ISD,'EE - 05,E,,,'14
'221901114,A,JONES EL,N,NQ,TAYLOR,'221,R,ABILENE ISD,'KG - 05,E,,,'14
'221901116,,LEE EL,N,NQ,TAYLOR,'221,A,ABILENE ISD,'KG - 05,E,,,'14
'221901043,,LINCOLN MIDDLE,N,NQ,TAYLOR,'221,E,ABILENE ISD,'06 - 08,M,,,'14
'221901117,,LOCUST ECC,N,,TAYLOR,'221,N,ABILENE ISD,'EE - PK,E,,,'14
'221901118,A,LONG EL,N,NQ,TAYLOR,'221,R,ABILENE ISD,'KG - 05,E,,,'14
'221901044,,MADISON MIDDLE,N,R,TAYLOR,'221,R,ABILENE ISD,'06 - 08,M,,,'14
'221901045,,MANN MIDDLE,N,RM,TAYLOR,'221,A,ABILENE ISD,'06 - 08,M,,,'14
'221901152,,ORTIZ EL,N,NQ,TAYLOR,'221,A,ABILENE ISD,'EE - 05,E,,,'14
'221901120,,REAGAN EL,N,R,TAYLOR,'221,R,ABILENE ISD,'KG - 05,E,,,'14
'221901122,,SCHOOL AGE MOTHERS,N,,TAYLOR,'221,X,ABILENE ISD,'08 - 08,M,,,'14
'221901127,,SP ED HOMEBOUND,N,,TAYLOR,'221,X,ABILENE ISD,'01 - 12,B,,,'14
'221901128,,SP ED O J T,N,,TAYLOR,'221,X,ABILENE ISD,'10 - 12,S,,,'14
'221901121,,TAYLOR EL,N,R,TAYLOR,'221,E,ABILENE ISD,'KG - 05,E,,,'14
'221901151,,THOMAS EL,N,NQ,TAYLOR,'221,R,ABILENE ISD,'KG - 05,E,,,'14
'221901006,,TRAVIS OPPORTUNITY CTR,N,,TAYLOR,'221,X,ABILENE ISD,'06 - 11,B,,,'14
'221901123,,VALLEY VIEW EL,N,NQ,TAYLOR,'221,E,ABILENE ISD,'KG - 05,E,,,'14
'221901150,A,WARD EL,N,NQ,TAYLOR,'221,E,ABILENE ISD,'KG - 05,E,,,'14
'221901125,,WOODSON ECC,N,,TAYLOR,'221,N,ABILENE ISD,'EE - PK,E,,,'14
'221901046,,WOODSON PROJECT PASS,N,,TAYLOR,'221,1,ABILENE ISD,'06 - 08,M,,,'14
'014901101,,ACADEMY EL,N,NQ,BELL,'014,E,ACADEMY ISD,'KG - 04,E,,,'12
'014901001,,ACADEMY H S,N,NQ,BELL,'014,R,ACADEMY ISD,'09 - 12,S,,,'12
'014901041,,ACADEMY J H,N,NQ,BELL,'014,R,ACADEMY ISD,'05 - 08,M,,,'12
'101810001,,ACADEMY OF ACCELERATED LEARNING HI,Y,NE,HARRIS,'101,L,"ACADEMY OF ACCELERATED LEARNING, I",'09 - 12,S,,,'04
'123801101,,ACADEMY OF BEAUMONT,Y,NE,JEFFERSON,'123,L,ACADEMY OF BEAUMONT,'KG - 07,E,,,'05
'015816001,,ACADEMY OF CAREERS AND TECHNOLOGIE,Y,,BEXAR,'015,H,ACADEMY OF CAREERS AND TECHNOLOGIE,'09 - 09,S,,,'20
'057810101,,ACADEMY OF DALLAS,Y,NQ,DALLAS,'057,A,ACADEMY OF DALLAS,'KG - 07,E,,,'10
'101808101,,ACADEMY OF HOUSTON,Y,NE,HARRIS,'101,L,ACADEMY OF HOUSTON,'EE - 07,E,,,'04
'015809101,,ACADEMY OF SAN ANTONIO,Y,NQ,BEXAR,'015,A,ACADEMY OF SAN ANTONIO,'KG - 07,E,,,'20
'212801101,,ACADEMY OF SKILLS & KNOWLEDGE,Y,,SMITH,'212,1,ACADEMY OF SKILLS & KNOWLEDGE,'02 - 08,E,,,'07
'178801001,,ACADEMY OF TRANSITIONAL STUDIES,Y,,NUECES,'178,1,ACADEMY OF TRANSITIONAL STUDIES,'06 - 12,B,,,'02
'178801101,,G C C L R EMERGENCY SHELTER/ASSESS,Y,,NUECES,'178,X,ACADEMY OF TRANSITIONAL STUDIES,'01 - 10,B,,,'02
'180903001,TR,ADRIAN SCHOOL,N,NQ,OLDHAM,'180,E,ADRIAN ISD,'PK - 12,B,,,'16
'178901101,,AGUA DULCE ELEMENTARY SCHOOL,N,NQ,NUECES,'178,R,AGUA DULCE ISD,'PK - 06,E,,,'02
'178901001,R,AGUA DULCE H S,N,NQ,NUECES,'178,R,AGUA DULCE ISD,'07 - 12,S,,,'02
'015901001,,ALAMO HEIGHTS H S,N,M,BEXAR,'015,R,ALAMO HEIGHTS ISD,'09 - 12,S,,,'20
'015901041,,ALAMO HEIGHTS J H,N,NQ,BEXAR,'015,A,ALAMO HEIGHTS ISD,'06 - 08,M,,,'20
'015901002,,BEXAR CO J J A E P,N,,BEXAR,'015,X,ALAMO HEIGHTS ISD,'09 - 10,S,,,'20
'015901101,,CAMBRIDGE EL,N,M,BEXAR,'015,R,ALAMO HEIGHTS ISD,'01 - 05,E,,,'20
'015901102,,HOWARD EL,N,,BEXAR,'015,N,ALAMO HEIGHTS ISD,'EE - KG,E,,,'20
'015901104,,WOODRIDGE EL,N,NQ,BEXAR,'015,R,ALAMO HEIGHTS ISD,'01 - 05,E,,,'20
'250906101,,ALBA-GOLDEN EL,N,R,WOOD,'250,R,ALBA-GOLDEN ISD,'EE - 06,E,,,'07
'250906001,A,ALBA-GOLDEN H S,N,R,WOOD,'250,E,ALBA-GOLDEN ISD,'07 - 12,S,,,'07
'250906002,,ALTER SCHOOL,N,,WOOD,'250,2,ALBA-GOLDEN ISD,'09 - 12,S,,,'07
'209901001,TA,ALBANY JR-SR H S,N,NQ,SHACKELFORD,'209,A,ALBANY ISD,'07 - 12,S,,,'14
'209901101,,NANCY SMITH EL,N,NQ,SHACKELFORD,'209,E,ALBANY ISD,'EE - 06,E,,,'14
'101902001,,ALDINE H S,N,R,HARRIS,'101,R,ALDINE ISD,'09 - 12,S,,,'04
'101902099,,ALDINE J J A E P,N,,HARRIS,'101,X,ALDINE ISD,'05 - 11,B,,,'04
'101902041,,ALDINE MIDDLE,N,NQ,HARRIS,'101,A,ALDINE ISD,'07 - 08,M,,,'04
'101902081,,ALDINE NINTH GRADE SCHOOL,N,R,HARRIS,'101,R,ALDINE ISD,'09 - 09,S,'101902001,ALDINE H S,'04
'101902101,,ANDERSON ACAD,N,NQ,HARRIS,'101,E,ALDINE ISD,'01 - 03,E,'101902102,BETHUNE ACAD,'04
'101902102,,BETHUNE ACAD,N,NQ,HARRIS,'101,R,ALDINE ISD,'04 - 05,E,,,'04
'101902126,,BLACK EL,N,NQ,HARRIS,'101,R,ALDINE ISD,'EE - 04,E,,,'04
'101902128,,CALVERT EL,N,NQ,HARRIS,'101,A,ALDINE ISD,'EE - 04,E,,,'04
'101902066,,CARAWAY INT,N,NQ,HARRIS,'101,R,ALDINE ISD,'05 - 06,M,,,'04
'101902122,,CARMICHAEL EL,N,R,HARRIS,'101,A,ALDINE ISD,'EE - 04,E,,,'04
'101902103,,CARROLL ACADEMY,N,NQ,HARRIS,'101,A,ALDINE ISD,'KG - 04,E,,,'04
'101902107,,CARTER ELEMENTARY,N,R,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,,,'04
'101902002,RA,"CARVER H S FOR APPLIED TECH, ENGI",N,NQ,HARRIS,'101,A,ALDINE ISD,'09 - 12,S,,,'04
'101902005,,CHESTER W NIMITZ H S,N,NQ,HARRIS,'101,R,ALDINE ISD,'09 - 12,S,,,'04
'101902123,,CONLEY EL,N,R,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,,,'04
'101902155,,DE SANTIAGO EC/PRE-K CENTER,N,,HARRIS,'101,N,ALDINE ISD,'EE - PK,E,,,'04
'101902042,,DREW ACAD,N,NQ,HARRIS,'101,A,ALDINE ISD,'06 - 08,M,,,'04
'101902124,,DUNN EL,N,R,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,,,'04
'101902061,,ECKERT INT,N,RM,HARRIS,'101,R,ALDINE ISD,'05 - 06,M,,,'04
'101902004,,EISENHOWER H S,N,NQ,HARRIS,'101,R,ALDINE ISD,'09 - 12,S,,,'04
'101902084,,EISENHOWER NINTH GRADE SCHOOL,N,NQ,HARRIS,'101,R,ALDINE ISD,'09 - 09,S,'101902004,EISENHOWER H S,'04
'101902121,,ERMEL EL,N,R,HARRIS,'101,A,ALDINE ISD,'KG - 04,E,,,'04
'101902063,,ESCAMILLA INT,N,M,HARRIS,'101,R,ALDINE ISD,'05 - 06,M,,,'04
'101902117,,EVELYN S THOMPSON EL,N,R,HARRIS,'101,R,ALDINE ISD,'EE - 04,E,,,'04
'101902105,,FRANCIS EL,N,NQ,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,,,'04
'101902302,,FRANCIS HEAD START,N,,HARRIS,'101,N,ALDINE ISD,'PK - PK,E,,,'04
'101902125,,GRAY EL,N,NQ,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,,,'04
'101902301,,HALL HEAD START,N,,HARRIS,'101,N,ALDINE ISD,'PK - PK,E,,,'04
'101902043,,HAMBRICK MIDDLE,N,RM,HARRIS,'101,E,ALDINE ISD,'07 - 08,M,,,'04
'101902129,,HARRIS ACADEMY,N,NQ,HARRIS,'101,A,ALDINE ISD,'KG - 04,E,,,'04
'101902153,,HINOJOSA EC/PRE-K CENTER,N,,HARRIS,'101,N,ALDINE ISD,'EE - PK,E,,,'04
'101902046,,HOFFMAN MIDDLE,N,R,HARRIS,'101,R,ALDINE ISD,'07 - 08,M,,,'04
'101902114,,J RUTH SMITH ACADEMY,N,NQ,HARRIS,'101,A,ALDINE ISD,'KG - 04,E,,,'04
'101902116,,JOHNSON EL,N,NQ,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,,,'04
'101902151,,KEEBLE EC/PRE-K CENTER,N,,HARRIS,'101,N,ALDINE ISD,'EE - PK,E,,,'04
'101902108,,LANE SCH,N,,HARRIS,'101,X,ALDINE ISD,'EE - 12,B,,,'04
'101902303,,LAUDER RD HEAD START,N,,HARRIS,'101,N,ALDINE ISD,'PK - PK,E,,,'04
'101902003,R,MACARTHUR H S,N,M,HARRIS,'101,R,ALDINE ISD,'09 - 12,S,,,'04
'101902083,,MACARTHUR NINTH GRADE SCHOOL,N,M,HARRIS,'101,R,ALDINE ISD,'09 - 09,S,'101902003,MACARTHUR H S,'04
'101902120,,MAGRILL EL,N,R,HARRIS,'101,R,ALDINE ISD,'EE - 04,E,,,'04
'101902109,,MENDEL EL,N,NQ,HARRIS,'101,E,ALDINE ISD,'KG - 04,E,,,'04
'101902085,,NIMITZ NINTH GRADE SCHOOL,N,NQ,HARRIS,'101,R,ALDINE ISD,'09 - 09,S,'101902005,CHESTER W NIMITZ H S,'04
'101902111,A,OLESON EL,N,R,HARRIS,'101,E,ALDINE ISD,'KG - 04,E,,,'04
'101902112,,ORANGE GROVE EL,N,NQ,HARRIS,'101,A,ALDINE ISD,'EE - 04,E,,,'04
'101902065,,PARKER INT,N,M,HARRIS,'101,R,ALDINE ISD,'05 - 06,M,,,'04
'101902106,,RALPH G GOODMAN,N,R,HARRIS,'101,R,ALDINE ISD,'EE - 04,E,,,'04
'101902113,,RAYMOND ACADEMY,N,R,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,,,'04
'101902104,,REECE ACADEMY,N,,HARRIS,'101,N,ALDINE ISD,'PK - KG,E,,,'04
'101902068,,RUBY REED ACADEMY,N,RM,HARRIS,'101,E,ALDINE ISD,'05 - 06,M,,,'04
'101902118,,SAMMONS EL,N,NQ,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,,,'04
'101902047,,SHOTWELL MIDDLE,N,R,HARRIS,'101,A,ALDINE ISD,'07 - 08,M,,,'04
'101902304,,SMITH HEAD START,N,,HARRIS,'101,N,ALDINE ISD,'PK - PK,E,,,'04
'101902064,,STEHLIK INT,N,M,HARRIS,'101,R,ALDINE ISD,'05 - 06,M,,,'04
'101902119,,STEPHENS EL,N,R,HARRIS,'101,E,ALDINE ISD,'KG - 04,E,,,'04
'101902127,,STOVALL ACADEMY,N,NQ,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,,,'04
'101902044,,STOVALL MIDDLE,N,R,HARRIS,'101,E,ALDINE ISD,'07 - 08,M,,,'04
'101902048,,T S GRANTHAM MIDDLE,N,RM,HARRIS,'101,R,ALDINE ISD,'07 - 08,M,,,'04
