CAMPUS,YEAR,BA0GA00N,BA0GR00N,BB0GR00N,BH0GR00N,BI0GR00N,BP0GR00N,BPEMALLP,BPERRA1R,BPERRA2R,BPERRA3R,BPERRA4R,BPERRA5R,BPERRA6R,BPERRA7R,BPERRA8R,BPERRAKR,BPERSA1R,BPERSA2R,BPERSA3R,BPERSA4R,BPERSA5R,BPERSA6R,BPERSA7R,BPERSA8R,BPERSAKR,BPETALLC,BPETBILP,BPETBLAP,BPETDISC,BPETDISP,BPETECOP,BPETG01P,BPETG02P,BPETG03P,BPETG04P,BPETG05P,BPETG06P,BPETG07P,BPETG08P,BPETG09P,BPETG10P,BPETG11P,BPETG12P,BPETGEEP,BPETGIFP,BPETGKNP,BPETGPKP,BPETHISP,BPETINDP,BPETLEPP,BPETPACP,BPETSPEP,BPETVOCP,BPETWHIP,BS0GR00N,BW0GR00N,CA0GA00N,CA0GR00N,CB0GR00N,CH0GR00N,CI0GR00N,CP0GR00N,CPEMALLC,CPEMALLP,CPERRA1R,CPERRA2R,CPERRA3R,CPERRA4R,CPERRA5R,CPERRA6R,CPERRA7R,CPERRA8R,CPERRAKR,CPERSA1R,CPERSA2R,CPERSA3R,CPERSA4R,CPERSA5R,CPERSA6R,CPERSA7R,CPERSA8R,CPERSAKR,CPETALLC,CPETBILC,CPETBILP,CPETBLAC,CPETBLAP,CPETDISC,CPETDISP,CPETECOC,CPETECOP,CPETG01C,CPETG01P,CPETG02C,CPETG02P,CPETG03C,CPETG03P,CPETG04C,CPETG04P,CPETG05C,CPETG05P,CPETG06C,CPETG06P,CPETG07C,CPETG07P,CPETG08C,CPETG08P,CPETG09C,CPETG09P,CPETG10C,CPETG10P,CPETG11C,CPETG11P,CPETG12C,CPETG12P,CPETGEEC,CPETGEEP,CPETGIFC,CPETGIFP,CPETGKNC,CPETGKNP,CPETGPKC,CPETGPKP,CPETHISC,CPETHISP,CPETINDC,CPETINDP,CPETLEPC,CPETLEPP,CPETPACC,CPETPACP,CPETSPEC,CPETSPEP,CPETVOCC,CPETVOCP,CPETWHIC,CPETWHIP,CS0GR00N,CW0GR00N
'001902001,2001,42,6167,376,483,24,105,16.3,.,.,.,.,.,.,9.2,0,.,.,.,.,.,.,.,0,0,.,31797,0.8,6.1,972,2.9,14.2,0,0,0,0,0,0,0.4,0.3,28.1,26.4,23.9,21,0,9.7,0,0,9.5,0.4,1,1.9,12.8,59.1,82,664,5179,0,41,1,1,1,0,45,20.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,199,0,0,30,15.1,5,2.3,35,17.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,26.1,61,30.7,53,26.6,33,16.6,0,0,13,6.5,0,0,0,0,4,2,0,0,0,0,1,0.5,40,20.1,145,72.9,164,82.4,6,38
'001902041,2001,0,2,0,0,0,0,13.3,.,.,.,.,0.2,1.2,1.7,0.9,.,.,.,.,0,0.4,2.2,3.3,3.6,.,24415,1,8.4,534,2.1,21.2,0,0,0,0,7.1,28.3,30,32.1,2.6,0,0,0,0,11.7,0,0,8.8,0.5,1.2,3,12.9,14.2,79.3,2,2,.,.,.,.,.,.,25,15,.,.,.,.,.,0,4.1,0,.,.,.,.,.,.,0,0,0,.,154,2,1.3,21,13.6,3,1.8,44,28.6,0,0,0,0,0,0,0,0,0,0,53,34.4,47,30.5,54,35.1,0,0,0,0,0,0,0,0,0,0,15,9.7,0,0,0,0,10,6.5,1,0.6,2,1.3,0,0,24,15.6,21,13.6,122,79.2,.,.
'001902103,2001,.,.,.,.,.,.,13.9,3.3,1.4,0.5,0.4,0.7,0.7,3.3,0,2.2,8.6,3.6,1.1,0.9,1.9,2.4,0,0,11.6,22309,1.3,5.5,40,0.2,18.3,16,16.7,15.6,14.4,13.8,6,0.2,0.2,0,0,0,0,0.7,7.2,14.2,2.2,6.7,0.4,1.8,2,10.7,0,85.4,.,.,.,.,.,.,.,.,48,18.3,4.3,0,0,0,0,.,.,.,2.8,0,0,0,0,0,.,.,.,0,282,3,1.1,30,10.6,0,0,75,26.6,45,16,53,18.8,47,16.7,50,17.7,38,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.1,31,11,34,12.1,12,4.3,10,3.5,1,0.4,3,1.1,0,0,38,13.5,0,0,241,85.5,.,.
'001903001,2001,102,3465,170,135,11,24,15.6,12.5,0,0,0,0,2.9,4.9,0.3,0,0,0,0,0,0,0,5.9,0,25,19553,0.5,4.3,375,2,16.8,0,0,0,0,0,0,2.1,1.7,31.3,27,19.7,18.2,0,14.3,0,0,4.6,0.3,0.5,1,13.6,61.7,89.8,440,3125,0,63,2,1,0,0,58,17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,328,0,0,27,8.2,2,0.6,95,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,31.1,81,24.7,68,20.7,77,23.5,0,0,28,8.5,0,0,0,0,6,1.8,0,0,0,0,0,0,63,19.2,0,0,295,89.9,9,60
'001903041,2001,.,.,.,.,.,.,13.4,.,.,0,0.9,0.7,1.2,1.5,1.2,.,.,.,6.7,5.9,0.7,2.6,2,3.6,.,18228,0.5,4.2,377,1.9,18.1,0,0,0,0,6.1,19.6,37.4,36.9,0,0,0,0,0,11.2,0,0,5.4,0.3,0.7,1.3,12.3,13.2,88.8,.,.,.,.,.,.,.,.,37,13.2,.,.,.,.,.,1.5,2,0,.,.,.,.,.,.,0,0,0,.,269,0,0,19,7.1,7,2.5,105,39,0,0,0,0,0,0,0,0,0,0,80,29.7,102,37.9,87,32.3,0,0,0,0,0,0,0,0,0,0,13,4.8,0,0,0,0,11,4.1,0,0,0,0,0,0,70,26,135,50.2,239,88.8,.,.
'001903101,2001,.,.,.,.,.,.,15.2,2.3,1.1,0.7,0.9,0.2,0.2,0,0,2.9,8.5,2.2,2.1,2.3,0.6,1.3,0,0,7.5,18217,1.3,3.8,24,0.1,22.3,13.9,16.2,17.4,17.9,15.1,4,0,0.1,0,0,0,0,0.4,6.2,12.9,2,7,0.4,1.5,1,11.8,0,87.8,.,.,.,.,.,.,.,.,67,15.1,3.4,1.8,1.5,1.9,0,.,.,.,3.3,10,0,0,5.6,0,.,.,.,30,550,0,0,41,7.5,0,0,303,55.1,73,13.3,71,12.9,75,13.6,97,17.6,77,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.9,24,4.4,83,15.1,69,12.5,25,4.5,0,0,0,0,0,0,102,18.5,0,0,484,88,.,.
'001904001,2001,251,5154,226,251,12,54,14.9,12.5,0,0,0,0,2.9,5.6,0.4,0,0,0,0,0,0,0,7.7,0,25,27666,0.6,4.5,579,2.1,12.4,0,0,0,0,0,0,1.1,1,30.4,27.7,20.9,18.9,0,12.8,0,0,5.8,0.3,0.6,1.2,11.8,59.9,88.1,501,4611,0,44,9,0,0,0,30,11.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,248,0,0,25,10.1,3,1.1,63,25.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,29.8,62,25,52,21,60,24.2,0,0,49,19.8,0,0,0,0,3,1.2,0,0,0,0,1,0.4,39,15.7,187,75.4,219,88.3,11,35
'001904041,2001,.,.,.,.,.,.,13.2,.,.,.,.,0.3,1.4,1.4,0.9,.,.,.,.,0,1,1.8,1.7,3.1,.,20446,0.9,7,383,1.8,21.7,0,0,0,0,6.8,26.8,32.7,32.5,1.3,0,0,0,0,12.7,0,0,8.1,0.6,1.1,1.7,13.2,10.9,82.6,.,.,.,.,.,.,.,.,42,17.6,.,.,.,.,.,1.8,2,1.7,.,.,.,.,.,.,7.7,0,0,.,181,0,0,23,12.7,7,2.9,70,38.7,0,0,0,0,0,0,0,0,0,0,47,26,65,35.9,69,38.1,0,0,0,0,0,0,0,0,0,0,7,3.9,0,0,0,0,5,2.8,1,0.6,0,0,1,0.6,38,21,48,26.5,151,83.4,.,.
'001904102,2001,.,.,.,.,.,.,15.5,3.7,2,0.8,0.7,0,0.5,0,0,2.7,8,3,2.4,2,1.2,1.3,0,0,7.1,18716,2.4,9.4,40,0.2,27.7,15.8,15.4,14.9,19.5,13.3,2.3,0.2,0.2,0,0,0,0,1,5.3,14.2,3.2,10,0.4,2.7,2.4,12.4,0,77.9,.,.,.,.,.,.,.,.,62,19,5.8,0,0,0,0,.,.,.,1.8,12.5,0,0,0,0,.,.,.,16.7,359,12,3.3,56,15.6,0,0,189,52.6,66,18.4,55,15.3,69,19.2,45,12.5,51,14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.6,12,3.3,50,13.9,21,5.8,24,6.7,0,0,12,3.3,0,0,47,13.1,0,0,279,77.7,.,.
'001906002,2001,83,4735,317,285,23,46,15.7,.,.,.,.,.,.,0,1.7,.,.,.,.,.,.,.,0,4.8,.,21781,0.6,6.6,665,2.8,15.1,0,0,0,0,0,0,0.7,0.7,26.7,26.9,23.4,21.6,0,9.7,0,0,7.2,0.4,0.7,1.2,12.5,66.3,84.6,510,4064,0,20,0,0,0,0,22,14.7,.,.,.,.,.,.,40,0,.,.,.,.,.,.,.,0,0,.,149,0,0,19,12.8,13,8.7,43,28.9,0,0,0,0,0,0,0,0,0,0,0,0,39,26.2,15,10.1,29,19.5,29,19.5,20,13.4,17,11.4,0,0,17,11.4,0,0,0,0,4,2.7,0,0,0,0,0,0,28,18.8,0,0,126,84.6,3,20
'001906102,2001,.,.,.,.,.,.,14.1,3.3,1.9,0.9,0.8,0.4,0.7,.,.,2.4,5.6,4.9,1.5,0.8,1.7,2.4,.,.,8.3,21397,2,6.2,27,0.2,19.9,16.2,15.5,15.3,16.4,13.9,5.1,0,0,0,0,0,0,0.7,6.8,15,2,8,0.4,2.2,2.1,11.3,0,83.3,.,.,.,.,.,.,.,.,15,9.6,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,.,.,0,169,0,0,22,13,1,0.6,66,39.1,16,9.5,22,13,14,8.3,29,17.2,26,15.4,26,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.4,19,11.2,17,10.1,5,3,0,0,0,0,1,0.6,35,20.7,0,0,141,83.4,.,.
'001907001,2001,28,8608,1571,2241,17,300,19.2,.,.,.,.,.,.,7.5,5.7,.,.,.,.,.,.,.,4.5,0,.,49025,3.1,19.9,1763,3.4,34.6,0,0,0,0,0,0,0.3,0.3,34.1,25.1,21.5,18.8,0,16.4,0,0,29.9,0.2,3.9,3.1,13.3,56.6,47,901,4479,0,183,62,20,0,0,210,19.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,969,24,2.5,332,34.3,14,1.3,415,42.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,29.7,237,24.5,256,26.4,188,19.4,0,0,89,9.2,0,0,0,0,172,17.8,0,0,39,4,11,1.1,108,11.1,813,83.9,454,46.9,23,101
'001907041,2001,0,1,0,0,0,0,19,.,.,.,.,0.9,1.1,2.2,1.3,.,.,.,.,.,0,1.2,1.2,2.6,.,21458,3.8,26,805,3.3,55.9,0,0,0,0,8.7,33.4,29.4,28.5,0,0,0,0,0,9.7,0,0,23,0.4,4.3,1.6,16.6,9.4,49,0,1,.,.,.,.,.,.,114,18.8,.,.,.,.,.,.,7.5,0.5,.,.,.,.,.,.,.,2.7,12.1,.,500,12,2.4,161,32.2,9,1.5,279,55.8,0,0,0,0,0,0,0,0,0,0,0,0,245,49,255,51,0,0,0,0,0,0,0,0,0,0,28,5.6,0,0,0,0,104,20.8,0,0,26,5.2,2,0.4,63,12.6,219,43.8,233,46.6,.,.
'001907042,2001,.,.,.,.,.,.,20.1,.,.,.,.,0.4,2.1,3,2.3,.,.,.,.,.,0,1.6,2.9,4.6,.,22088,5.1,26.2,1083,4.2,62.4,0,0,0,0,6.4,27.1,33.7,31.8,1,0,0,0,0,9.2,0,0,35.3,0.2,6.1,1.5,17.7,14.4,36.7,.,.,.,.,.,.,.,.,58,21.3,.,.,.,.,.,0.5,.,.,.,.,.,.,.,.,0,.,.,.,241,14,5.8,81,33.6,0,0,153,63.5,0,0,0,0,0,0,0,0,0,0,241,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7.1,0,0,0,0,53,22,0,0,15,6.2,4,1.7,28,11.6,0,0,103,42.7,.,.
'001907101,2001,.,.,.,.,.,.,24.7,8,3.7,3,1.9,1.4,1.6,.,.,3.5,14.7,5.4,3.4,1.7,2.5,0,.,.,11.9,17532,10.9,20.2,91,0.6,72.5,16.9,17.2,15.9,12.9,8.8,4.1,0,0,0,0,0,0,1.1,2.9,16.7,6.3,43.3,0.3,12,1.5,13.2,0,34.8,.,.,.,.,.,.,.,.,84,23.8,4.6,1.6,.,.,.,.,.,.,4.8,0,0,.,.,.,.,.,.,0,406,63,15.5,132,32.5,0,0,295,72.7,132,32.5,133,32.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,34.7,0,0,112,27.6,0,0,63,15.5,1,0.2,46,11.3,0,0,161,39.7,.,.
'001907104,2001,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,133,36,27.1,52,39.1,.,.,122,91.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,125,94,51,38.3,0,0,36,27.1,0,0,15,11.3,0,0,30,22.6,.,.
'001907107,2001,.,.,.,.,.,.,25.4,7.7,3.7,3,2.7,1.5,3.9,14.9,1.2,2.9,11.5,4.7,4.3,2.2,2.9,2.6,9.5,1.9,9,21541,15.1,23.4,132,0.7,68.5,16.5,15.4,16.1,14.8,11,2.8,1.6,1.3,0,0,0,0,0.6,5,14.7,5.4,38.1,0.4,17.5,2.8,12,1.2,35.3,.,.,.,.,.,.,.,.,87,29.2,2.5,2.2,.,.,.,.,.,.,0.9,25,0,.,.,.,.,.,.,30,361,68,18.8,110,30.5,0,0,247,68.4,112,31,116,32.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,36.8,0,0,111,30.7,1,0.3,64,17.7,8,2.2,15,4.2,0,0,131,36.3,.,.
'001907110,2001,.,.,.,.,.,.,20.3,6.4,2.6,2.1,1.8,1,0.5,0,.,2.5,10.8,2.1,1.9,1.4,1.1,3.3,0,0,10.2,16783,6.3,25.2,67,0.4,62.4,17.5,15.8,14.7,13.6,13.4,3.1,0.1,0,0,0,0,0,0.9,6.5,14.8,6,25.9,0.4,7,1,12.7,0,47.5,.,.,.,.,.,.,.,.,168,18.6,.,.,2.4,3.8,1.8,.,.,.,.,.,.,2.5,3.4,0,.,.,.,.,764,36,4.7,262,34.3,2,0.2,477,62.4,0,0,0,0,254,33.2,244,31.9,266,34.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,4.5,0,0,0,0,163,21.3,1,0.1,47,6.2,2,0.3,88,11.5,0,0,336,44,.,.
'001908002,2001,40,5956,657,446,20,151,16.5,.,.,.,.,.,.,2.7,1.4,.,.,.,.,.,.,.,10.4,10.3,.,27689,1.1,11.4,1569,5.2,20.7,0,0,0,0,0,0,0.7,0.7,26.7,25.9,23.5,22.5,0,9.2,0,0,9.3,0.3,1.5,2.2,13.3,60.1,76.7,592,4682,0,106,14,4,0,0,125,21.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,524,0,0,81,15.5,17,3,133,25.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,33.4,141,26.9,105,20,103,19.7,0,0,22,4.2,0,0,0,0,35,6.7,2,0.4,0,0,3,0.6,89,17,276,52.7,403,76.9,10,88
'001908041,2001,.,.,.,.,.,.,15,.,.,.,.,0.6,0.9,1.4,1,.,.,.,.,.,0,3.3,1.6,3.3,.,23887,1.4,10,544,2.3,24.4,0,0,0,0,5.1,24.2,34.6,33.3,2.8,0,0,0,0,10.7,0,0,12.1,0.4,1.7,2.5,13.3,18.1,75,.,.,.,.,.,.,.,.,60,19.3,.,.,.,.,.,.,0,3.1,.,.,.,.,.,.,.,0,0,.,281,0,0,43,15.3,2,0.6,80,28.5,0,0,0,0,0,0,0,0,0,0,0,0,143,50.9,138,49.1,0,0,0,0,0,0,0,0,0,0,19,6.8,0,0,0,0,26,9.3,1,0.4,0,0,0,0,39,13.9,213,75.8,211,75.1,.,.
'001908101,2001,.,.,.,.,.,.,17.9,4.3,2.1,1,0.7,0.5,0.1,.,.,3.3,6.6,2.6,4.2,1.8,2.6,0.7,.,.,7.9,18694,3.3,13.4,43,0.2,32.4,14,14.7,19,19.4,15.4,4.5,0,0,0,0,0,0,0.4,7.1,11.2,1.5,11.1,0.5,3.6,2.4,12.8,0,72.5,.,.,.,.,.,.,.,.,114,17.7,.,.,3.4,1.6,4.2,0,.,.,.,.,.,0,0,0,0,.,.,.,570,5,0.9,99,17.4,1,0.2,262,46,0,0,0,0,128,22.5,139,24.4,151,26.5,152,26.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,7,0,0,0,0,54,9.5,2,0.4,7,1.2,2,0.4,86,15.1,0,0,413,72.5,.,.
'001908102,2001,.,.,.,.,.,.,19.5,4.7,2.2,1.4,0.6,0.5,0.6,.,.,2.9,8.7,3.1,1.8,0.9,2.1,0.8,.,.,9.6,20310,2.9,14.3,88,0.5,36.1,15.4,14.7,16.7,17.1,14.3,2.4,0,0,0,0,0,0,1,6.7,14.6,3.7,14,0.4,3.5,2.4,12.4,0,68.9,.,.,.,.,.,.,.,.,83,27.5,6.7,4,.,.,.,.,.,.,6.3,10,0,.,.,.,.,.,.,6.3,471,0,0,89,18.9,0,0,253,53.7,146,31,132,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.6,21,4.5,151,32.1,39,8.3,55,11.7,0,0,0,0,3,0.6,49,10.4,0,0,324,68.8,.,.
'001909001,2001,137,4033,160,144,15,42,14.5,.,.,.,.,.,.,4,0,.,.,.,.,.,.,0,2.9,0,.,21630,0.5,3.8,494,2.4,14.7,0,0,0,0,0,0,0.9,0.8,31,27.2,20.6,19.3,0,14.2,0,0,4.1,0.3,0.5,1.2,13.1,62.2,90.5,486,3672,0,27,0,0,0,0,27,15.7,.,.,.,.,.,.,0,0,.,.,.,.,.,.,.,0,0,.,157,0,0,8,5.1,1,0.6,74,47.1,0,0,0,0,0,0,0,0,0,0,0,0,29,18.5,27,17.2,31,19.7,26,16.6,23,14.6,21,13.4,0,0,24,15.3,0,0,0,0,6,3.8,0,0,0,0,0,0,34,21.7,78,49.7,143,91.1,5,27
'001909101,2001,.,.,.,.,.,.,15.8,4.3,1.5,1,0.5,0.9,0.4,1,1.1,2.8,14.2,2.6,2.5,0.6,1,0.9,0,0,11.6,18113,0.6,2.3,21,0.1,23.8,16.2,15,16.9,20.7,13.6,3,0.1,0.1,0,0,0,0,0.7,7,12.1,1.7,4.2,0.5,0.8,1,12.4,0.1,91.9,.,.,.,.,.,.,.,.,47,25.3,0,4.2,0,0,0,0,0,.,5.3,0,0,0,0,0,0,.,.,0,226,0,0,9,4,0,0,131,58,31,13.7,19,8.4,39,17.3,25,11.1,24,10.6,34,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4.4,31,13.7,23,10.2,9,4,0,0,0,0,0,0,48,21.2,0,0,208,92,.,.
'002901001,2001,18,13074,1303,3639,31,495,18.6,.,.,.,.,.,.,100,.,.,.,.,.,.,.,.,.,0,.,62038,2.8,10.4,3232,4.7,24.8,0,0,0,0,0,0,0,0,27.3,27.6,24,21.1,0,11.9,0,0,31.7,0.3,3.7,3.7,12.2,52.5,53.8,1248,7606,0,226,4,101,0,3,183,16.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1005,9,0.9,19,1.9,69,6.2,185,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,26.6,257,25.6,247,24.6,234,23.3,0,0,95,9.5,0,0,0,0,439,43.7,2,0.2,46,4.6,7,0.7,198,19.7,719,71.5,538,53.5,35,118
'002901002,2001,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,87,100,.,.,.,.,.,0,.,.,.,.,.,.,.,.,0,0,.,.,19,1,5.3,0,0,1,1.1,8,42.1,0,0,0,0,0,0,0,0,0,0,0,0,2,10.5,1,5.3,0,0,6,31.6,6,31.6,4,21.1,0,0,1,5.3,0,0,0,0,14,73.7,0,0,1,5.3,0,0,8,42.1,0,0,5,26.3,.,.
'002901041,2001,.,.,.,.,.,.,16.7,.,.,.,.,0.6,1.5,2.3,1.1,.,.,.,.,.,0,1.9,2.5,2.5,.,24814,2.3,5.9,854,3.2,41.3,0,0,0,0,0.9,28.1,34.6,35,1.4,0,0,0,0,9.8,0,0,53.1,0.2,3.7,1.5,14.9,19.5,39.3,.,.,.,.,.,.,.,.,82,10.1,.,.,.,.,.,0.6,1.1,0,.,.,.,.,.,.,0,0,0,.,751,24,3.2,12,1.6,11,1.4,259,34.5,0,0,0,0,0,0,0,0,0,0,258,34.4,245,32.6,248,33,0,0,0,0,0,0,0,0,0,0,71,9.5,0,0,0,0,389,51.8,0,0,35,4.7,7,0.9,190,25.3,409,54.5,343,45.7,.,.
