CAMPUS,YEAR,BA0GH01N,BA0GR01N,BB0GR01N,BH0GR01N,BI0GR01N,BP0GR01N,BPEMALLP,BPERRA1R,BPERRA2R,BPERRA3R,BPERRA4R,BPERRA5R,BPERRA6R,BPERRA7R,BPERRA8R,BPERRAKR,BPERSA1R,BPERSA2R,BPERSA3R,BPERSA4R,BPERSA5R,BPERSA6R,BPERSA7R,BPERSA8R,BPERSAKR,BPETALLC,BPETBILP,BPETBLAP,BPETDISC,BPETDISP,BPETECOP,BPETG01P,BPETG02P,BPETG03P,BPETG04P,BPETG05P,BPETG06P,BPETG07P,BPETG08P,BPETG09P,BPETG10P,BPETG11P,BPETG12P,BPETGEEP,BPETGIFP,BPETGKNP,BPETGPKP,BPETHISP,BPETINDP,BPETLEPP,BPETPACP,BPETSPEP,BPETVOCP,BPETWHIP,BS0GR01N,BW0GR01N,CA0GH01N,CA0GR01N,CB0GR01N,CH0GR01N,CI0GR01N,CP0GR01N,CPEMALLC,CPEMALLP,CPERRA1R,CPERRA2R,CPERRA3R,CPERRA4R,CPERRA5R,CPERRA6R,CPERRA7R,CPERRA8R,CPERRAKR,CPERSA1R,CPERSA2R,CPERSA3R,CPERSA4R,CPERSA5R,CPERSA6R,CPERSA7R,CPERSA8R,CPERSAKR,CPETALLC,CPETBILC,CPETBILP,CPETBLAC,CPETBLAP,CPETDISC,CPETDISP,CPETECOC,CPETECOP,CPETG01C,CPETG01P,CPETG02C,CPETG02P,CPETG03C,CPETG03P,CPETG04C,CPETG04P,CPETG05C,CPETG05P,CPETG06C,CPETG06P,CPETG07C,CPETG07P,CPETG08C,CPETG08P,CPETG09C,CPETG09P,CPETG10C,CPETG10P,CPETG11C,CPETG11P,CPETG12C,CPETG12P,CPETGEEC,CPETGEEP,CPETGIFC,CPETGIFP,CPETGKNC,CPETGKNP,CPETGPKC,CPETGPKP,CPETHISC,CPETHISP,CPETINDC,CPETINDP,CPETLEPC,CPETLEPP,CPETPACC,CPETPACP,CPETSPEC,CPETSPEP,CPETVOCC,CPETVOCP,CPETWHIC,CPETWHIP,CS0GR01N,CW0GR01N
'001902001,2002,4429,7711,353,582,29,201,14.4,.,.,.,.,.,.,4,3.4,.,.,.,.,.,.,.,3.6,0,.,37788,0.9,4.9,1452,3.7,12,0,0,0,0,0,0,0.4,0.5,27.9,26,24.2,21.1,0,12.2,0,0,8.6,0.4,1.1,2.3,11.4,59.9,83.7,710,6546,14,32,2,0,0,1,40,17.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,206,1,0.5,27,13.1,3,1.3,35,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,26.2,50,24.3,52,25.2,50,24.3,0,0,9,4.4,0,0,0,0,7,3.4,0,0,1,0.5,0,0,47,22.8,139,67.5,172,83.5,1,29
'001902041,2002,1,1,0,0,0,0,13.2,.,.,0.6,0,0.7,1.5,1.2,1.1,.,.,.,0,0,0.6,1.5,1.3,3.4,.,23875,1.2,7.4,551,2.1,20.7,0,0,0,0,5.9,19.3,37.6,34.7,2.5,0,0,0,0,13.4,0,0,9.6,0.6,1.4,2.5,12,15.7,79.9,1,1,.,.,.,.,.,.,33,19.2,.,.,.,.,.,0,0,0,.,.,.,.,.,.,0,0,0,.,124,0,0,19,15.3,3,1.7,28,22.6,0,0,0,0,0,0,0,0,0,0,35,28.2,52,41.9,37,29.8,0,0,0,0,0,0,0,0,0,0,15,12.1,0,0,0,0,6,4.8,0,0,0,0,0,0,18,14.5,0,0,99,79.8,.,.
'001902103,2002,.,.,.,.,.,.,14,2.7,1.6,0.9,0.9,0.5,1.2,0,0,2.8,9.7,2.2,2.1,1.3,1.8,1.1,0,0,9.3,21500,1.5,5.8,21,0.1,19.2,14.5,14.8,17.6,18.9,13.4,3.7,0.2,0.2,0,0,0,0,0.8,7.6,13.6,2.4,7,0.5,1.8,1.8,11.8,0,85,.,.,.,.,.,.,.,.,60,22,2.9,0,0,2.4,3.6,.,.,.,3.3,0,0,0,0,0,.,.,.,0,284,3,1.1,26,9.2,0,0,90,31.7,44,15.5,42,14.8,51,18,46,16.2,49,17.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.1,31,10.9,34,12,15,5.3,16,5.6,0,0,3,1.1,0,0,38,13.4,0,0,242,85.2,.,.
'001903001,2002,1589,3180,143,137,6,28,15.1,.,.,.,.,.,.,2.4,0.9,.,.,.,.,.,.,.,1.5,1.6,.,15922,0.5,4.2,497,2.9,19.9,0,0,0,0,0,0,2,2.1,27.5,25.5,22.7,20.3,0,8.7,0,0,4.9,0.3,0.5,1,15.2,69,89.6,407,2866,31,71,5,1,0,0,62,17.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,336,0,0,23,6.8,5,1.4,100,29.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,28,89,26.5,85,25.3,68,20.2,0,0,26,7.7,0,0,0,0,9,2.7,0,0,0,0,2,0.6,74,22,205,61,302,89.9,7,65
'001903041,2002,.,.,.,.,.,.,13.7,.,.,.,.,0.3,1.2,1.6,1.3,.,.,.,.,.,0,1.3,1.7,3,.,18262,0.5,3.1,370,1.9,17.8,0,0,0,0,11.8,24.1,31.7,31.1,1.2,0,0,0,0,10.9,0,0,5.1,0.4,0.6,1.2,11.7,9,90.1,.,.,.,.,.,.,.,.,48,15.9,.,.,.,.,.,0,0,0,.,.,.,.,.,.,4.3,0,0,.,258,0,0,16,6.2,0,0,96,37.2,0,0,0,0,0,0,0,0,0,0,77,29.8,80,31,101,39.1,0,0,0,0,0,0,0,0,0,0,16,6.2,0,0,0,0,9,3.5,0,0,0,0,0,0,53,20.5,145,56.2,233,90.3,.,.
'001903101,2002,.,.,.,.,.,.,16,2.4,1.8,1,0.7,0.7,1.3,0,0,2.7,7.4,1.8,3.5,1.2,0.9,0,0,0,8.6,16329,1.6,3.6,27,0.2,23.8,14.1,13.5,13.3,20.5,16.1,6.1,0.1,0.1,0,0,0,0,0.6,6.1,13.5,2.1,7.1,0.7,1.9,1.6,10.8,0.2,87,.,.,.,.,.,.,.,.,93,20.6,9.7,0,0,0,0,.,.,.,6.3,10,10,0,3.2,0,.,.,.,21.4,559,2,0.4,41,7.3,0,0,285,51,84,15,71,12.7,72,12.9,78,14,95,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,20,3.6,70,12.5,88,15.7,30,5.4,1,0.2,2,0.4,0,0,97,17.4,0,0,487,87.1,.,.
'001904001,2002,2862,4821,249,280,14,56,14.6,.,.,.,.,.,.,3.2,1.1,.,.,.,.,.,.,.,1.7,2.3,.,23992,0.7,5.4,668,2.6,15.1,0,0,0,0,0,0,1.1,1.2,26.3,26.3,24.4,20.7,0,14.5,0,0,6.5,0.4,0.8,1.1,12.2,62.5,86.6,471,4222,0,56,4,0,0,1,44,15.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,241,0,0,29,12,9,3.2,74,30.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,30.7,63,26.1,56,23.2,48,19.9,0,0,35,14.5,0,0,0,0,3,1.2,0,0,0,0,0,0,40,16.6,189,78.4,209,86.7,6,51
'001904041,2002,.,.,.,.,.,.,14.3,0,0,0,0,1.3,1.2,1.7,0.9,15.8,0,0,0,0,2.2,2.7,1.7,1.8,0,20142,1.1,5.6,358,1.7,24.4,0,0,0,0,3.7,22.5,37.8,34.6,1.3,0,0,0,0,11,0,0,8.5,0.6,1.3,2,13.4,19.1,83.4,.,.,.,.,.,.,.,.,39,18.8,.,.,.,.,.,0,0,0,.,.,.,.,.,.,8.3,0,0,.,163,1,0.6,15,9.2,5,2.4,54,33.1,0,0,0,0,0,0,0,0,0,0,48,29.4,58,35.6,57,35,0,0,0,0,0,0,0,0,0,0,8,4.9,0,0,0,0,8,4.9,3,1.8,1,0.6,1,0.6,26,16,66,40.5,136,83.4,.,.
'001904102,2002,.,.,.,.,.,.,16.1,3.4,1.8,0.7,0.6,0.5,0,2,0,3.4,9.5,2.7,2.2,2.3,0.8,0,0,0,9.1,19876,2,9.1,69,0.4,26.3,14.8,16.5,16.9,15.5,15,3.2,0.4,0.3,0,0,0,0,0.6,5.8,14.7,1.9,10.9,0.5,2.4,2.3,11.2,0,77.2,.,.,.,.,.,.,.,.,54,16.7,5.5,2.1,0,0,0,.,.,.,5,10,0,0,0,0,.,.,.,0,371,8,2.2,64,17.3,0,0,204,55,48,12.9,66,17.8,51,13.7,69,18.6,43,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,15,4,61,16.4,31,8.4,20,5.4,0,0,8,2.2,1,0.3,44,11.9,0,0,286,77.1,.,.
'001906002,2002,2778,4847,314,306,21,76,15.7,.,.,.,.,.,.,1.8,3.7,.,.,.,.,.,.,.,2.7,0,.,23782,0.9,6.9,763,3,17.7,0,0,0,0,0,0,0.8,0.9,27.3,26,24.2,20.8,0,9.2,0,0,7,0.4,1,1.4,12.5,67.3,84.3,495,4130,6,17,3,0,0,0,18,11.8,.,.,.,.,.,.,7.1,0,.,.,.,.,.,.,.,0,0,.,154,0,0,19,12.3,0,0,56,36.4,0,0,0,0,0,0,0,0,0,0,0,0,28,18.2,34,22.1,15,9.7,33,21.4,22,14.3,22,14.3,0,0,18,11.7,0,0,0,0,4,2.6,0,0,0,0,1,0.6,34,22.1,91,59.1,130,84.4,5,14
