CAMPUS,YEAR,CA0CA01R,CA0CA02R,CA0CC01R,CA0CC02R,CA0CS01R,CA0CS02R,CA0CT01R,CA0CT02R,CADC401R,CADC402R,CAEC401R,CAEC402R,CAGC401R,CAGC402R,CANC401R,CANC402R,CB0CA01R,CB0CA02R,CB0CC01R,CB0CC02R,CB0CS01R,CB0CS02R,CB0CT01R,CB0CT02R,CBDC401R,CBDC402R,CBEC401R,CBEC402R,CBGC401R,CBGC402R,CBNC401R,CBNC402R,CEDC401R,CEDC402R,CEEC401R,CEEC402R,CEGC401R,CEGC402R,CENC401R,CENC402R,CF0CA01R,CF0CA02R,CF0CC01R,CF0CC02R,CF0CS01R,CF0CS02R,CF0CT01R,CF0CT02R,CFDC401R,CFDC402R,CFEC401R,CFEC402R,CFGC401R,CFGC402R,CFNC401R,CFNC402R,CH0CA01R,CH0CA02R,CH0CC01R,CH0CC02R,CH0CS01R,CH0CS02R,CH0CT01R,CH0CT02R,CHDC401R,CHDC402R,CHEC401R,CHEC402R,CHGC401R,CHGC402R,CHNC401R,CHNC402R,CI0CA01R,CI0CA02R,CI0CC01R,CI0CC02R,CI0CS01R,CI0CS02R,CI0CT01R,CI0CT02R,CIDC401R,CIDC402R,CIEC401R,CIEC402R,CIGC401R,CIGC402R,CINC401R,CINC402R,CLDC402R,CLEC402R,CLGC402R,CLNC402R,CM0CA01R,CM0CA02R,CM0CC01R,CM0CC02R,CM0CS01R,CM0CS02R,CM0CT01R,CM0CT02R,CMDC401R,CMDC402R,CMEC401R,CMEC402R,CMGC401R,CMGC402R,CMNC401R,CMNC402R,CP0CA01R,CP0CA02R,CP0CC01R,CP0CC02R,CP0CS01R,CP0CS02R,CP0CT01R,CP0CT02R,CPDC401R,CPDC402R,CPEC401R,CPEC402R,CPGC401R,CPGC402R,CPNC401R,CPNC402R,CSDC401R,CSDC402R,CSEC401R,CSEC402R,CSGC401R,CSGC402R,CSNC401R,CSNC402R,CW0CA01R,CW0CA02R,CW0CC01R,CW0CC02R,CW0CS01R,CW0CS02R,CW0CT01R,CW0CT02R,CWDC401R,CWDC402R,CWEC401R,CWEC402R,CWGC401R,CWGC402R,CWNC401R,CWNC402R,GA0CA01R,GA0CA02R,GA0CC01R,GA0CC02R,GA0CS01R,GA0CS02R,GA0CT01R,GA0CT02R,GADC401R,GADC402R,GAEC401R,GAEC402R,GAGC401R,GAGC402R,GANC401R,GANC402R
'001902001,2003,19.8,19.6,35.3,9.1,981,903,54.8,61.1,5.9,1.9,5.9,5.8,85.3,90.4,2.9,1.9,.,.,.,.,.,.,.,14.3,.,0,.,0,.,100,.,0,.,20,.,0,.,80,.,0,20.3,21.1,40,11.8,940,903,55.6,73.9,6.3,3.3,6.3,3.3,87.5,93.3,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,28.6,0,1028,.,53.8,38.5,5.6,0,5.6,9.1,83.3,86.4,5.6,4.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7.7,.,7.7,.,84.6,.,0,19.8,19.6,40,9.5,1015,903,53.6,75,6.5,2.3,6.5,6.8,83.9,88.6,3.2,2.3,21,20.8,28.1,26.5,1015,1015,63.7,65.3,2.8,1.9,4.2,3.8,89.1,92.2,2.3,2.8
'001902041,2003,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001902103,2003,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001903001,2003,21.4,20.9,30,43.3,1032,1059,46.9,52.6,5.3,2.8,0,2.8,92.1,90.1,2.6,4.2,.,.,.,.,.,.,.,.,0,.,0,.,100,.,0,.,4.2,4.5,0,4.5,95.8,81.8,0,9.1,20.5,22.2,11.1,53.3,975,1056,51.4,55.6,2.8,3,0,6.1,94.4,90.9,2.8,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,58.3,33.3,1095,1061,41.4,50,7.5,2.6,0,0,90,89.5,2.5,7.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18.2,15.4,0,0,72.7,76.9,9.1,7.7,21.8,20.9,32.1,44.8,1043,1073,47.5,52.7,5.7,2.9,0,2.9,91.4,89.7,2.9,4.4,20.4,20.3,21.5,24.1,974,982,64.9,64.8,3.3,1.4,3.7,3,92.3,92.7,1.6,2.7
'001903041,2003,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001903101,2003,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001904001,2003,21.8,19.4,29.2,9.5,1004,962,48,55.3,1.6,2.1,3.2,0,88.9,91.5,6.3,6.4,.,.,.,.,.,.,.,.,.,0,.,0,.,85.7,.,14.3,0,0,8.3,0,66.7,83.3,25,16.7,22.4,20,16.7,11.1,988,.,54.5,75,3.4,0,0,0,89.7,93.8,6.9,6.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18.9,41.7,8.3,1023,.,42.9,46.2,0,3.2,5.9,0,88.2,90.3,5.9,6.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,11.1,0,0,75,77.8,25,11.1,23,19.5,30.4,10,1005,962,50,58.8,1.7,2.6,3.4,0,87.9,92.3,6.9,5.1,20.4,20.3,22.5,24.5,976,991,65.8,63.6,2.9,1.5,3.4,2.9,91.2,92.7,2.3,2.5
'001904041,2003,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001904102,2003,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001906002,2003,19,25.4,0,50,.,986,50,44.4,0,12,5.3,0,89.5,88,5.3,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9.1,.,0,.,90.9,.,0,.,.,.,40,.,966,42.9,55.6,0,10,0,0,100,90,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,60,33.3,0,13.3,8.3,0,83.3,86.7,8.3,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,20,0,0,83.3,80,16.7,0,18.2,.,0,42.9,.,973,50,43.8,0,9.1,6.3,0,87.5,90.9,6.3,0,20.5,20.3,24.6,21.7,983,989,59.6,60.2,3.1,1.7,4,3.4,90.2,92.7,2.3,2.5
