CAMPUS,YEAR,CA0AD01R,CA0AD02R,CA0AT01R,CA0AT02R,CA0BK01R,CA0BK02R,CA0BS01R,CA0BS02R,CA0BT01R,CA0BT02R,CA0DR01R,CA0DR02R,CA0GH01R,CA0GH02R,CA0SA02R,CA0SA03R,CB0AD01R,CB0AD02R,CB0AT01R,CB0AT02R,CB0BK01R,CB0BK02R,CB0BS01R,CB0BS02R,CB0BT01R,CB0BT02R,CB0DR01R,CB0DR02R,CB0GH01R,CB0GH02R,CB0SA02R,CB0SA03R,CE0AD01R,CE0AD02R,CE0AT01R,CE0AT02R,CE0DR01R,CE0DR02R,CE0GH01R,CE0GH02R,CE0SA02R,CE0SA03R,CF0AD01R,CF0AD02R,CF0AT01R,CF0AT02R,CF0BK01R,CF0BK02R,CF0BS01R,CF0BS02R,CF0BT01R,CF0BT02R,CF0DR01R,CF0DR02R,CF0GH01R,CF0GH02R,CF0SA02R,CF0SA03R,CH0AD01R,CH0AD02R,CH0AT01R,CH0AT02R,CH0BK01R,CH0BK02R,CH0BS01R,CH0BS02R,CH0BT01R,CH0BT02R,CH0DR01R,CH0DR02R,CH0GH01R,CH0GH02R,CH0SA02R,CH0SA03R,CI0AD01R,CI0AD02R,CI0AT01R,CI0AT02R,CI0BK01R,CI0BK02R,CI0BS01R,CI0BS02R,CI0BT01R,CI0BT02R,CI0DR01R,CI0DR02R,CI0GH01R,CI0GH02R,CI0SA02R,CI0SA03R,CL0AD02R,CL0AT02R,CL0DR02R,CL0GH02R,CL0SA03R,CM0AD01R,CM0AD02R,CM0AT01R,CM0AT02R,CM0BK01R,CM0BK02R,CM0BS01R,CM0BS02R,CM0BT01R,CM0BT02R,CM0DR01R,CM0DR02R,CM0GH01R,CM0GH02R,CM0SA02R,CM0SA03R,CP0AD01R,CP0AD02R,CP0AT01R,CP0AT02R,CP0BK01R,CP0BK02R,CP0BS01R,CP0BS02R,CP0BT01R,CP0BT02R,CP0DR01R,CP0DR02R,CP0GH01R,CP0GH02R,CP0SA02R,CP0SA03R,CS0AD01R,CS0AD02R,CS0AT01R,CS0AT02R,CS0DR01R,CS0DR02R,CS0GH01R,CS0GH02R,CS0SA02R,CS0SA03R,CW0AD01R,CW0AD02R,CW0AT01R,CW0AT02R,CW0BK01R,CW0BK02R,CW0BS01R,CW0BS02R,CW0BT01R,CW0BT02R,CW0DR01R,CW0DR02R,CW0GH01R,CW0GH02R,CW0SA02R,CW0SA03R,GA0AD01R,GA0AD02R,GA0AT01R,GA0AT02R,GA0BK01R,GA0BK02R,GA0BS01R,GA0BS02R,GA0BT01R,GA0BT02R,GA0DR01R,GA0DR02R,GA0GH01R,GA0GH02R,GA0SA02R,GA0SA03R
'001902001,2003,28.9,28.6,96.6,96.9,.,.,.,.,0,0,1.3,0.5,43.8,27.7,.,.,19.4,18.5,97.4,97.7,.,.,.,.,0,0,3,0,.,28.6,.,.,12.1,11.8,95.6,96,5,0,.,.,.,.,39.6,41.6,96.9,97.5,.,.,.,.,0,0,1.6,0.9,44.4,37,.,.,.,42.9,.,97,.,.,.,.,.,.,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15.6,12.9,96.3,96.3,.,.,.,.,0,0,1,0,42.9,15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,2.1,96,96.2,4.5,0,.,0,.,.,30.3,29.7,96.5,96.8,.,.,.,.,0,0,1.1,0.5,44.8,28.2,.,.,16.6,16.8,95.5,95.3,50,55.3,41.1,54.1,14.3,6.9,0.5,0.3,55.3,55.2,92.9,.
'001902041,2003,.,.,97.8,97.6,.,.,.,.,.,.,0,0,.,.,63.6,40,.,.,99.1,98.5,.,.,.,.,.,.,0,0,.,.,.,.,.,.,96.7,97.5,0,0,.,.,83.3,16.7,.,.,98.3,97.6,.,.,.,.,.,.,0,0,.,.,.,40,.,.,97.4,97.7,.,.,.,.,.,.,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97.4,97.6,.,.,.,.,.,.,0,0,.,.,57.1,40,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.9,96.6,0,0,.,.,63.6,40,.,.,97.6,97.4,.,.,.,.,.,.,0,0,.,.,70,41.7,0,.,96.3,96.3,.,.,.,.,.,.,0,0,100,.,70.3,66.1
'001902103,2003,.,.,96.9,96.7,.,.,.,.,.,.,.,.,.,.,100,88.9,.,.,97.2,96.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.4,96.1,.,.,.,.,100,.,.,.,97,96.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97.9,96.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.9,96.9,.,.,.,.,.,.,.,.,.,.,100,85.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.7,96.6,.,.,.,.,100,88.9,.,.,96.9,96.6,.,.,.,.,.,.,.,.,.,.,100,87.5,.,.,96.9,96.7,.,.,.,.,.,.,0,.,.,.,85.7,83.3
'001903001,2003,17.1,15.9,95.6,97,91.7,55.6,85.7,57.9,9.8,13.7,0.8,0.5,43.7,49.3,.,.,12,0,97.1,98.6,.,.,.,.,0,0,0,0,40,.,.,.,14,4.1,95.3,96.8,0,1,34.8,26.3,.,.,15.4,17.6,95.9,97,80,66.7,80,66.7,8.1,10.5,0.6,1.1,55.6,60,.,.,16.7,12.5,94.5,95.5,.,.,.,.,.,.,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18.8,14.3,95.4,97,100,50,88.9,53.9,11.5,16.2,1.1,0,31.4,40.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3.3,0,95,96.6,2.6,2.3,14.3,0,.,.,17.5,16.9,95.5,96.9,91.7,52.9,85.7,52.9,10.4,14,0.9,0.6,43.1,50,.,.,13.5,17.7,95.3,95.4,30.4,40.8,27.1,38.4,3.7,11.4,0.6,0.3,52.5,56.3,72.1,.
'001903041,2003,.,.,96,96.4,.,.,.,.,.,.,0,0,.,.,67.6,85.7,.,.,97.1,96.2,.,.,.,.,.,.,0,0,.,.,.,.,.,.,95.2,95.9,0,0,.,.,83.3,91.2,.,.,95.6,96.5,.,.,.,.,.,.,0,0,.,.,75,73.9,.,.,95.7,97.8,.,.,.,.,.,.,0,0,.,.,.,85.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.4,96.3,.,.,.,.,.,.,0,0,.,.,63.6,93.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,95.4,95.7,0,0,.,.,67.6,85.7,.,.,95.9,96.3,.,.,.,.,.,.,0,0,.,.,64.5,84.4,.,.,96.2,96.4,.,.,.,.,.,.,0,0,.,.,76,66.2
'001903101,2003,.,.,96.6,96.6,.,.,.,.,.,.,.,.,.,.,97.1,86.4,.,.,97.1,95.4,.,.,.,.,.,.,.,.,.,.,.,80,.,.,96.1,96.2,.,.,.,.,100,80,.,.,96.2,96.4,.,.,.,.,.,.,.,.,.,.,93.3,77.8,.,.,96.3,96.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.9,96.8,.,.,.,.,.,.,.,.,.,.,100,92.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96,96,.,.,.,.,97.1,86.4,.,.,96.5,96.7,.,.,.,.,.,.,.,.,.,.,96.6,86.7,.,.,96.6,96.7,.,.,.,.,.,.,0,.,.,.,89.5,85.7
'001904001,2003,13.6,23.4,95.5,95.4,.,27.3,.,26.1,2.1,25.3,0.7,0,0,55.6,.,.,0,13.3,96.3,95.5,.,.,.,.,0,0,0,0,.,33.3,.,.,1.7,10.6,94.2,94.1,2.7,0,0,18.2,.,.,18.8,24.8,95.4,94.9,.,23.5,.,22.2,4.8,41.5,0.8,0,0,68.8,.,.,.,.,.,.,.,.,.,.,.,.,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9.4,22.3,95.6,95.9,.,40,.,40,0,10.9,0.6,0,0,48.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,7,93.9,93.1,0,0,0,0,.,.,15.5,25.2,95.4,95.4,.,27.3,.,26.1,2.3,27.5,0.8,0,0,60.5,.,.,15.7,16.9,95.4,95.5,33.3,33.3,32.3,33.3,7.5,6.6,0.5,0.2,54.4,55.8,69.7,.
'001904041,2003,.,.,96.4,96.2,.,.,.,.,.,.,0.7,0,.,.,81,61.1,.,.,97.9,97.4,.,.,.,.,.,.,6.3,0,.,.,.,.,.,.,95.3,95.9,1.8,0,.,.,76.9,50,.,.,96.4,96,.,.,.,.,.,.,1.5,0,.,.,83.3,83.3,.,.,.,95.1,.,.,.,.,.,.,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.5,96.3,.,.,.,.,.,.,0,0,.,.,80,50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,95.8,95.4,3.4,0,.,.,81,61.1,.,.,96.3,96.2,.,.,.,.,.,.,0,0,.,.,81.3,76.9,0,.,95.9,96.1,.,.,.,.,.,.,0,0,.,.,71.4,62.3
'001904102,2003,.,.,96.2,97,.,.,.,.,.,.,.,.,.,.,66.7,92.3,.,.,95.8,96.7,.,.,.,.,.,.,.,.,.,.,60,83.3,.,.,95.8,96.7,.,.,.,.,72.7,91.7,.,.,95.9,96.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97.2,98,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,98.5,.,.,.,.,.,96.5,97.3,.,.,.,.,.,.,.,.,.,.,70,91.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,95.7,96.1,.,.,.,.,66.7,92.3,.,.,96.2,96.9,.,.,.,.,.,.,.,.,.,.,66.7,100,.,.,96.7,96.7,.,.,.,.,.,.,0,.,.,.,83.3,75
'001906002,2003,16.7,12.5,95.4,94.6,.,.,.,.,0,0,0.7,0.6,35.3,20.8,80,16.7,27.3,16.7,96.3,95.7,.,.,.,.,.,.,0,0,.,.,.,.,9.1,3.1,94.2,93.3,0,0,.,0,.,.,15.9,19,95.2,94.7,.,.,.,.,0,0,0,0,57.1,30,100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,17.4,6.5,95.5,94.6,.,.,.,.,0,0,1.3,1.2,20,14.3,.,20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12.5,0,95.4,93.1,0,2.3,0,0,80,16.7,14.5,11,95.2,94.4,.,.,.,.,0,0,0.8,0.7,35.7,18.2,75,20,15.4,17.6,95.5,95.3,39.8,40,36.4,33.3,7.5,4.5,0.4,0.3,51.3,55.2,80,.
