CAMPUS,CAMPNAME,CFLCHART,CNTYNAME,COUNTY,DISTNAME,GRDSPAN,GRDTYPE,REGION
'057816101,A W BROWN-FELLOWSHIP CHARTER SCHO,Y,DALLAS,'057,A W BROWN-FELLOWSHIP CHARTER SCHOO,'PK - 06,E,'10
'057829001,A+ ACADEMY,Y,DALLAS,'057,A+ ACADEMY,'PK - 09,B,'10
'109901001,ABBOTT SCHOOL,N,HILL,'109,ABBOTT ISD,'KG - 12,B,'12
'095901101,ABERNATHY EL,N,HALE,'095,ABERNATHY ISD,'PK - 05,E,'17
'095901001,ABERNATHY H S,N,HALE,'095,ABERNATHY ISD,'09 - 12,S,'17
'095901041,ABERNATHY J H,N,HALE,'095,ABERNATHY ISD,'06 - 08,M,'17
'221901001,ABILENE H S,N,TAYLOR,'221,ABILENE ISD,'09 - 12,S,'14
'221901129,ABILENE STATE SCH,N,TAYLOR,'221,ABILENE ISD,'08 - 12,S,'14
'221901101,ALTA VISTA EL,N,TAYLOR,'221,ABILENE ISD,'KG - 05,E,'14
'221901102,AUSTIN EL,N,TAYLOR,'221,ABILENE ISD,'EE - 05,E,'14
'221901153,BASSETTI EL,N,TAYLOR,'221,ABILENE ISD,'KG - 05,E,'14
'221901103,BONHAM EL,N,TAYLOR,'221,ABILENE ISD,'KG - 05,E,'14
'221901104,BOWIE EL,N,TAYLOR,'221,ABILENE ISD,'KG - 05,E,'14
'221901047,CLACK MIDDLE,N,TAYLOR,'221,ABILENE ISD,'06 - 08,M,'14
'221901106,COLLEGE HEIGHTS EL,N,TAYLOR,'221,ABILENE ISD,'KG - 05,E,'14
'221901002,COOPER H S,N,TAYLOR,'221,ABILENE ISD,'09 - 12,S,'14
'221901108,DYESS EL,N,TAYLOR,'221,ABILENE ISD,'KG - 05,E,'14
'221901003,EXCEL ALTER H S,N,TAYLOR,'221,ABILENE ISD,'10 - 12,S,'14
'221901110,FANNIN EL,N,TAYLOR,'221,ABILENE ISD,'KG - 05,E,'14
'221901041,FRANKLIN MIDDLE,N,TAYLOR,'221,ABILENE ISD,'06 - 08,M,'14
'221901200,HARMONY FAMILY SERVICES,N,TAYLOR,'221,ABILENE ISD,'06 - 10,B,'14
'221901124,HOUSTON STUDENT ACH CTR,N,TAYLOR,'221,ABILENE ISD,'03 - 12,B,'14
'221901112,JACKSON EL,N,TAYLOR,'221,ABILENE ISD,'EE - 05,E,'14
'221901042,JEFFERSON MIDDLE,N,TAYLOR,'221,ABILENE ISD,'06 - 08,M,'14
'221901113,JOHNSTON EL,N,TAYLOR,'221,ABILENE ISD,'KG - 05,E,'14
'221901116,LEE EL,N,TAYLOR,'221,ABILENE ISD,'KG - 05,E,'14
'221901043,LINCOLN MIDDLE,N,TAYLOR,'221,ABILENE ISD,'06 - 08,M,'14
'221901117,LOCUST ECC,N,TAYLOR,'221,ABILENE ISD,'EE - PK,E,'14
'221901118,LONG EL,N,TAYLOR,'221,ABILENE ISD,'KG - 05,E,'14
'221901044,MADISON MIDDLE,N,TAYLOR,'221,ABILENE ISD,'06 - 08,M,'14
'221901045,MANN MIDDLE,N,TAYLOR,'221,ABILENE ISD,'06 - 08,M,'14
'221901152,ORTIZ EL,N,TAYLOR,'221,ABILENE ISD,'KG - 05,E,'14
'221901120,REAGAN EL,N,TAYLOR,'221,ABILENE ISD,'KG - 05,E,'14
'221901127,SP ED HOMEBOUND,N,TAYLOR,'221,ABILENE ISD,'EE - 11,B,'14
'221901128,SP ED O J T,N,TAYLOR,'221,ABILENE ISD,'10 - 12,S,'14
'221901007,TAYLOR COUNTY LEARNING CENTER,N,TAYLOR,'221,ABILENE ISD,'06 - 12,B,'14
'221901121,TAYLOR EL,N,TAYLOR,'221,ABILENE ISD,'KG - 05,E,'14
'221901151,THOMAS EL,N,TAYLOR,'221,ABILENE ISD,'KG - 05,E,'14
'221901006,TRAVIS OPPORTUNITY CTR,N,TAYLOR,'221,ABILENE ISD,'07 - 10,S,'14
'221901123,VALLEY VIEW EL,N,TAYLOR,'221,ABILENE ISD,'KG - 05,E,'14
'221901150,WARD EL,N,TAYLOR,'221,ABILENE ISD,'KG - 05,E,'14
'221901125,WOODSON ECC,N,TAYLOR,'221,ABILENE ISD,'EE - PK,E,'14
'221901046,WOODSON PROJECT PASS,N,TAYLOR,'221,ABILENE ISD,'06 - 08,M,'14
'014901101,ACADEMY EL,N,BELL,'014,ACADEMY ISD,'KG - 04,E,'12
'014901001,ACADEMY H S,N,BELL,'014,ACADEMY ISD,'09 - 12,S,'12
'014901041,ACADEMY J H,N,BELL,'014,ACADEMY ISD,'05 - 08,M,'12
'101810002,ACADEMY OF ACCELERATED LEARNING,Y,HARRIS,'101,ACADEMY OF ACCELERATED LEARNING I,'PK - 02,E,'04
'123801101,ACADEMY OF BEAUMONT,Y,JEFFERSON,'123,ACADEMY OF BEAUMONT,'PK - 08,E,'05
'015816001,ACADEMY OF CAREERS AND TECHNOLOGI,Y,BEXAR,'015,ACADEMY OF CAREERS AND TECHNOLOGIE,'09 - 12,S,'20
'057810101,ACADEMY OF DALLAS,Y,DALLAS,'057,ACADEMY OF DALLAS,'PK - 08,E,'10
'101808101,ACADEMY OF HOUSTON,Y,HARRIS,'101,ACADEMY OF HOUSTON,'KG - 09,B,'04
'101849041,ACCELERATED INTERMEDIATE ACADEMY,Y,HARRIS,'101,ACCELERATED INTERMEDIATE ACADEMY,'06 - 08,M,'04
'180903001,ADRIAN SCHOOL,N,OLDHAM,'180,ADRIAN ISD,'PK - 12,B,'16
'178901101,AGUA DULCE ELEMENTARY SCHOOL,N,NUECES,'178,AGUA DULCE ISD,'PK - 06,E,'02
'178901001,AGUA DULCE H S,N,NUECES,'178,AGUA DULCE ISD,'07 - 12,S,'02
'015901001,ALAMO HEIGHTS H S,N,BEXAR,'015,ALAMO HEIGHTS ISD,'09 - 12,S,'20
'015901041,ALAMO HEIGHTS J H,N,BEXAR,'015,ALAMO HEIGHTS ISD,'06 - 08,M,'20
'015901002,BEXAR CO J J A E P,N,BEXAR,'015,ALAMO HEIGHTS ISD,'11 - 11,S,'20
'015901101,CAMBRIDGE EL,N,BEXAR,'015,ALAMO HEIGHTS ISD,'01 - 05,E,'20
'015901102,HOWARD EL,N,BEXAR,'015,ALAMO HEIGHTS ISD,'EE - KG,E,'20
'015901104,WOODRIDGE EL,N,BEXAR,'015,ALAMO HEIGHTS ISD,'01 - 05,E,'20
'250906101,ALBA-GOLDEN EL,N,WOOD,'250,ALBA-GOLDEN ISD,'PK - 06,E,'07
'250906001,ALBA-GOLDEN H S,N,WOOD,'250,ALBA-GOLDEN ISD,'07 - 12,S,'07
