CAMPUS,YEAR,CA0AD02R,CA0AD03R,CA0AT02R,CA0AT03R,CA0BK02R,CA0BK03R,CA0BS02R,CA0BS03R,CA0BT02R,CA0BT03R,CA0DR02R,CA0DR03R,CA0GH02R,CA0GH03R,CB0AD02R,CB0AD03R,CB0AT02R,CB0AT03R,CB0BK02R,CB0BK03R,CB0BS02R,CB0BS03R,CB0BT02R,CB0BT03R,CB0DR02R,CB0DR03R,CB0GH02R,CB0GH03R,CE0AD02R,CE0AD03R,CE0AT02R,CE0AT03R,CE0DR02R,CE0DR03R,CE0GH02R,CE0GH03R,CF0AD02R,CF0AD03R,CF0AT02R,CF0AT03R,CF0BK02R,CF0BK03R,CF0BS02R,CF0BS03R,CF0BT02R,CF0BT03R,CF0DR02R,CF0DR03R,CF0GH02R,CF0GH03R,CH0AD02R,CH0AD03R,CH0AT02R,CH0AT03R,CH0BK02R,CH0BK03R,CH0BS02R,CH0BS03R,CH0BT02R,CH0BT03R,CH0DR02R,CH0DR03R,CH0GH02R,CH0GH03R,CI0AD02R,CI0AD03R,CI0AT02R,CI0AT03R,CI0BK02R,CI0BK03R,CI0BS02R,CI0BS03R,CI0BT02R,CI0BT03R,CI0DR02R,CI0DR03R,CI0GH02R,CI0GH03R,CL0AD02R,CL0AD03R,CL0AT02R,CL0AT03R,CL0DR02R,CL0DR03R,CL0GH02R,CL0GH03R,CM0AD02R,CM0AD03R,CM0AT02R,CM0AT03R,CM0BK02R,CM0BK03R,CM0BS02R,CM0BS03R,CM0BT02R,CM0BT03R,CM0DR02R,CM0DR03R,CM0GH02R,CM0GH03R,CP0AD02R,CP0AD03R,CP0AT02R,CP0AT03R,CP0BK02R,CP0BK03R,CP0BS02R,CP0BS03R,CP0BT02R,CP0BT03R,CP0DR02R,CP0DR03R,CP0GH02R,CP0GH03R,CS0AD02R,CS0AD03R,CS0AT02R,CS0AT03R,CS0DR02R,CS0DR03R,CS0GH02R,CS0GH03R,CW0AD02R,CW0AD03R,CW0AT02R,CW0AT03R,CW0BK02R,CW0BK03R,CW0BS02R,CW0BS03R,CW0BT02R,CW0BT03R,CW0DR02R,CW0DR03R,CW0GH02R,CW0GH03R,GA0AD02R,GA0AD03R,GA0AT02R,GA0AT03R,GA0BK02R,GA0BK03R,GA0BS02R,GA0BS03R,GA0BT02R,GA0BT03R,GA0DR02R,GA0DR03R,GA0GH02R,GA0GH03R
'001902001,2004,28.6,35.5,96.9,95.8,.,.,.,.,0,0,.,.,27.7,36.2,18.5,17.4,97.7,97.8,.,.,.,.,0,0,.,.,28.6,.,11.8,17.5,96,94.8,.,.,.,14.3,41.6,47.3,97.5,96.4,.,.,.,.,0,0,.,.,37,55.6,42.9,75,97,96.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12.9,22.2,96.3,95.2,.,.,.,.,0,0,.,.,15,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.1,0,96.2,94.6,.,.,0,0,29.7,36.2,96.8,95.4,.,.,.,.,0,0,.,.,28.2,34.1,16.8,19.1,95.3,95.3,55.3,50,54.1,47.8,6.9,10.1,.,.,55.2,60
'001902041,2004,.,.,97.6,97.1,.,.,.,.,.,.,0,0,.,.,.,.,98.5,97,.,.,.,.,.,.,0,0,.,.,.,.,97.5,96.2,0,0,.,.,.,.,97.6,97.4,.,.,.,.,.,.,0,0,.,.,.,.,97.7,96.4,.,.,.,.,.,.,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97.6,96.7,.,.,.,.,.,.,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.6,96.4,0,0,.,.,.,.,97.4,97.2,.,.,.,.,.,.,0,0,.,.,.,.,96.3,96.2,.,.,.,.,.,.,0,0,.,.
'001902103,2004,.,.,96.7,96.3,.,.,.,.,.,.,.,.,.,.,.,.,96.9,96.9,.,.,.,.,.,.,.,.,.,.,.,.,96.1,95.6,.,.,.,.,.,.,96.4,96.3,.,.,.,.,.,.,.,.,.,.,.,.,96.6,94.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.9,96.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.6,94.6,.,.,.,.,.,.,96.6,96.3,.,.,.,.,.,.,.,.,.,.,.,.,96.7,96.6,.,.,.,.,.,.,.,.,.,.
'001903001,2004,15.9,14.1,97,94.7,55.6,40,57.9,46.2,13.7,8,.,.,49.3,40.5,0,0,98.6,95.3,.,.,.,.,0,0,.,.,.,.,4.1,6.1,96.8,93.7,.,.,26.3,15.4,17.6,14.8,97,94.2,66.7,20,66.7,20,10.5,7.5,.,.,60,53.3,12.5,8.3,95.5,94.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14.3,13.5,97,95.3,50,60,53.9,62.5,16.2,8.6,.,.,40.5,31.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,96.6,93.4,.,.,0,0,16.9,15.7,96.9,94.7,52.9,33.3,52.9,33.3,14,7.9,.,.,50,41.2,17.7,16.5,95.4,95.6,40.8,47.1,38.4,48,11.4,5.8,.,.,56.3,65.8
'001903041,2004,.,.,96.4,96.1,.,.,.,.,.,.,0,0,.,.,.,.,96.2,97.3,.,.,.,.,.,.,0,0,.,.,.,.,95.9,95.7,0,0,.,.,.,.,96.5,95.8,.,.,.,.,.,.,0,0,.,.,.,.,97.8,96.2,.,.,.,.,.,.,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.3,96.3,.,.,.,.,.,.,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,95.7,95.4,0,0,.,.,.,.,96.3,96,.,.,.,.,.,.,0,0,.,.,.,.,96.4,96.1,.,.,.,.,.,.,0,0,.,.
'001903101,2004,.,.,96.6,96.5,.,.,.,.,.,.,.,.,.,.,.,.,95.4,97.2,.,.,.,.,.,.,.,.,.,.,.,.,96.2,96.1,.,.,.,.,.,.,96.4,96.3,.,.,.,.,.,.,.,.,.,.,.,.,96.9,96.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.8,96.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96,95.7,.,.,.,.,.,.,96.7,96.4,.,.,.,.,.,.,.,.,.,.,.,.,96.7,96.5,.,.,.,.,.,.,.,.,.,.
'001904001,2004,23.4,26.1,95.4,95.8,27.3,25,26.1,25,25.3,21.7,.,.,55.6,70.9,13.3,7.1,95.5,95.9,.,.,.,.,0,0,.,.,33.3,28.6,10.6,17.7,94.1,94.1,.,.,18.2,42.9,24.8,36.9,94.9,95.2,23.5,30.8,22.2,30.8,41.5,28.3,.,.,68.8,75.9,.,16.7,.,95.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22.3,17.4,95.9,96.2,40,14.3,40,14.3,10.9,15.2,.,.,48.3,65.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,4.9,93.1,93.2,.,.,0,0,25.2,29,95.4,95.8,27.3,26.3,26.1,26.3,27.5,22.9,.,.,60.5,77.1,16.9,16.6,95.5,95.4,33.3,40,33.3,30,6.6,12.4,.,.,55.8,55.9
'001904041,2004,.,.,96.2,95.8,.,.,.,.,.,.,0,0,.,.,.,.,97.4,96.8,.,.,.,.,.,.,0,0,.,.,.,.,95.9,95.4,0,0,.,.,.,.,96,95.8,.,.,.,.,.,.,0,0,.,.,.,.,95.1,97.6,.,.,.,.,.,.,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.3,95.8,.,.,.,.,.,.,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,95.4,95.8,0,0,.,.,.,.,96.2,95.7,.,.,.,.,.,.,0,0,.,.,.,.,96.1,95.9,.,.,.,.,.,.,0,0,.,.
'001904102,2004,.,.,97,95.7,.,.,.,.,.,.,.,.,.,.,.,.,96.7,95.7,.,.,.,.,.,.,.,.,.,.,.,.,96.7,95.4,.,.,.,.,.,.,96.6,95.1,.,.,.,.,.,.,.,.,.,.,.,.,98,96.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,98.5,98.4,.,.,.,.,.,.,97.3,96.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.1,94.8,.,.,.,.,.,.,96.9,95.6,.,.,.,.,.,.,.,.,.,.,.,.,96.7,96.5,.,.,.,.,.,.,.,.,.,.
'001906002,2004,12.5,18,94.6,95.7,.,.,.,.,0,0,0,0,20.8,53.8,16.7,15.4,95.7,95.1,.,.,.,.,.,.,0,0,.,40,3.1,9.7,93.3,93.9,0,0,0,14.3,19,27.7,94.7,95.5,.,.,.,.,0,0,0,0,30,64.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6.5,9.4,94.6,95.9,.,.,.,.,0,0,0,0,14.3,41.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,93.1,92.3,0,0,0,0,11,17.6,94.4,95.9,.,.,.,.,0,0,0,0,18.2,57.1,17.6,15.5,95.3,95.4,40,28,33.3,27.3,4.5,8.9,.,.,55.2,58.8
