CAMPUS,CACKDTL,CAMPNAME,CFLCHART,CNTYNAME,COUNTY,C_RATING,DISTNAME,GRDSPAN,GRDTYPE,PAIRCAMP,PAIRNAME,REGION
'057829001,,A+ ACADEMY,Y,DALLAS,'057,1,A+ ACADEMY,'PK - 12,B,,,'10
'109901001,TEMSX,ABBOTT SCHOOL,N,HILL,'109,R,ABBOTT ISD,'KG - 12,B,,,'12
'095901003,,ABERNATHY DAEP,N,HALE,'095,X,ABERNATHY ISD,'08 - 09,M,,,'17
'095901101,,ABERNATHY EL,N,HALE,'095,R,ABERNATHY ISD,'PK - 05,E,,,'17
'095901001,ARX,ABERNATHY H S,N,HALE,'095,R,ABERNATHY ISD,'09 - 12,S,,,'17
'095901041,AEWSZ,ABERNATHY J H,N,HALE,'095,R,ABERNATHY ISD,'06 - 08,M,,,'17
'221901001,,ABILENE H S,N,TAYLOR,'221,A,ABILENE ISD,'09 - 12,S,,,'14
'221901142,,ABILENE PSYCHIATRIC INSTITUTE,N,TAYLOR,'221,X,ABILENE ISD,'09 - 09,S,,,'14
'221901129,,ABILENE STATE SCH,N,TAYLOR,'221,X,ABILENE ISD,'12 - 12,S,,,'14
'221901102,EWNX,AUSTIN EL,N,TAYLOR,'221,R,ABILENE ISD,'KG - 05,E,,,'14
'221901153,EWMN,BASSETTI EL,N,TAYLOR,'221,R,ABILENE ISD,'KG - 05,E,,,'14
'221901103,EMNX,BONHAM EL,N,TAYLOR,'221,R,ABILENE ISD,'KG - 05,E,,,'14
'221901104,EMNX,BOWIE EL,N,TAYLOR,'221,R,ABILENE ISD,'KG - 05,E,,,'14
'221901047,EWSX,CLACK MIDDLE,N,TAYLOR,'221,R,ABILENE ISD,'06 - 08,M,,,'14
'221901106,,COLLEGE HEIGHTS EL,N,TAYLOR,'221,R,ABILENE ISD,'KG - 05,E,,,'14
'221901002,,COOPER H S,N,TAYLOR,'221,A,ABILENE ISD,'09 - 12,S,,,'14
'221901108,EWMN,DYESS EL,N,TAYLOR,'221,R,ABILENE ISD,'KG - 05,E,,,'14
'221901003,,EXCEL ALTER H S,N,TAYLOR,'221,1,ABILENE ISD,'09 - 12,S,,,'14
'221901110,,FANNIN EL,N,TAYLOR,'221,A,ABILENE ISD,'EE - 05,E,,,'14
'221901041,,FRANKLIN MIDDLE,N,TAYLOR,'221,A,ABILENE ISD,'06 - 08,M,,,'14
'221901200,,HARMONY FAMILY SERVICES,N,TAYLOR,'221,X,ABILENE ISD,'05 - 12,B,,,'14
'221901124,,HOUSTON STUDENT ACH CTR,N,TAYLOR,'221,X,ABILENE ISD,'01 - 12,B,,,'14
'221901112,EWMN,JACKSON EL,N,TAYLOR,'221,R,ABILENE ISD,'EE - 05,E,,,'14
'221901113,AEMN,JOHNSTON EL,N,TAYLOR,'221,R,ABILENE ISD,'KG - 05,E,,,'14
'221901008,,JUVENILE DETENTION CENTER,N,TAYLOR,'221,L,ABILENE ISD,'06 - 10,B,,,'14
'221901116,X,LEE EL,N,TAYLOR,'221,A,ABILENE ISD,'KG - 05,E,,,'14
'221901043,EW,LINCOLN MIDDLE,N,TAYLOR,'221,A,ABILENE ISD,'06 - 08,M,,,'14
