CAMPUS,YEAR,BA0GH04N,BA0GM04N,BA0GR04N,BB0GR04N,BH0GR04N,BI0GR04N,BP0GR04N,BPEMALLP,BPERRA1R,BPERRA2R,BPERRA3R,BPERRA4R,BPERRA5R,BPERRA6R,BPERRA7R,BPERRA8R,BPERRAKR,BPERSA1R,BPERSA2R,BPERSA3R,BPERSA4R,BPERSA5R,BPERSA6R,BPERSA7R,BPERSA8R,BPERSAKR,BPETALLC,BPETBILP,BPETBLAP,BPETDISC,BPETDISP,BPETECOP,BPETG01P,BPETG02P,BPETG03P,BPETG04P,BPETG05P,BPETG06P,BPETG07P,BPETG08P,BPETG09P,BPETG10P,BPETG11P,BPETG12P,BPETGEEP,BPETGIFP,BPETGKNP,BPETGPKP,BPETHISP,BPETINDP,BPETLEPP,BPETPACP,BPETRSKP,BPETSPEP,BPETVOCP,BPETWHIP,BS0GR04N,BW0GR04N,CA0GH04N,CA0GH04P,CA0GM04N,CA0GM04P,CA0GR04N,CB0GR04N,CB0GR04P,CH0GR04N,CH0GR04P,CI0GR04N,CI0GR04P,CP0GR04N,CP0GR04P,CPEMALLC,CPEMALLP,CPERRA1R,CPERRA2R,CPERRA3R,CPERRA4R,CPERRA5R,CPERRA6R,CPERRA7R,CPERRA8R,CPERRAKR,CPERSA1R,CPERSA2R,CPERSA3R,CPERSA4R,CPERSA5R,CPERSA6R,CPERSA7R,CPERSA8R,CPERSAKR,CPETALLC,CPETBILC,CPETBILP,CPETBLAC,CPETBLAP,CPETDISC,CPETDISP,CPETECOC,CPETECOP,CPETG01C,CPETG01P,CPETG02C,CPETG02P,CPETG03C,CPETG03P,CPETG04C,CPETG04P,CPETG05C,CPETG05P,CPETG06C,CPETG06P,CPETG07C,CPETG07P,CPETG08C,CPETG08P,CPETG09C,CPETG09P,CPETG10C,CPETG10P,CPETG11C,CPETG11P,CPETG12C,CPETG12P,CPETGEEC,CPETGEEP,CPETGIFC,CPETGIFP,CPETGKNC,CPETGKNP,CPETGPKC,CPETGPKP,CPETHISC,CPETHISP,CPETINDC,CPETINDP,CPETLEPC,CPETLEPP,CPETPACC,CPETPACP,CPETRSKC,CPETRSKP,CPETSPEC,CPETSPEP,CPETVOCC,CPETVOCP,CPETWHIC,CPETWHIP,CS0GR04N,CS0GR04P,CW0GR04N,CW0GR04P
'001902001,2005,4450,2059,6509,357,491,25,182,12.8,.,.,.,.,.,.,1.6,0.5,.,.,.,.,.,.,.,0,0,.,29708,1,5.9,1058,3.4,16.7,0,0,0,0,0,0,0.8,0.8,28,25.4,23.6,21.5,0,12.1,0,0,8.9,0.4,1.1,2.4,27.3,11.3,58.9,82.3,643,5454,20,64.5,11,35.5,31,8,25.8,0,0,0,0,0,0,22,12.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,163,0,0,21,12.9,1,0.6,35,21.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,26.4,49,30.1,30,18.4,41,25.2,0,0,15,9.2,0,0,0,0,8,4.9,0,0,0,0,0,0,42,25.8,30,18.4,81,49.7,134,82.2,7,22.6,23,74.2
'001902041,2005,0,0,0,0,0,0,0,13.2,.,.,.,1.5,1.7,1.5,1.6,1.3,.,.,.,.,0,2.2,1.5,1.9,3.2,.,21961,1.2,7.1,475,2,26.6,0,0,0,0,7.4,23.7,33.4,33,2.5,0,0,0,0,10.1,0,0,9.8,0.7,1.3,2,26.7,12.3,16,80.4,0,0,0,.,0,.,0,0,.,0,.,0,.,0,.,24,16.4,.,.,.,.,.,4.4,0,0,.,.,.,.,.,.,0,0,0,.,154,1,0.6,24,15.6,1,0.7,48,31.2,0,0,0,0,0,0,0,0,0,0,51,33.1,58,37.7,45,29.2,0,0,0,0,0,0,0,0,0,0,19,12.3,0,0,0,0,5,3.2,0,0,1,0.6,1,0.6,41,26.6,23,14.9,55,35.7,124,80.5,0,.,0,.
'001902103,2005,0,0,0,0,0,0,0,12.9,2.6,1,0.8,0.7,0.8,0.3,0,0,3,9.2,3.2,1.3,1.1,0.9,0.8,0,0,15.1,19099,0.8,3.7,17,0.1,20.6,13.4,13.8,14.7,20.5,17.3,4.5,0.2,0.2,0,0,0,0,0.7,6.8,12.9,2.1,6.5,0.4,1.2,2.4,17.5,11.6,0,87,0,0,0,.,0,.,0,0,.,0,.,0,.,0,.,41,18.4,0,0,0,0,0,.,.,.,10.3,12.5,0,0,0,0,.,.,.,22.2,267,0,0,20,7.5,0,0,110,41.2,34,12.7,42,15.7,40,15,41,15.4,45,16.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.5,28,10.5,44,16.5,17,6.4,9,3.4,0,0,0,0,5,1.9,74,27.7,44,16.5,0,0,233,87.3,0,.,0,.
'001903001,2005,3117,1720,4837,209,267,13,54,15.3,.,.,.,.,.,.,2.5,1.9,.,.,.,.,.,.,.,5.2,1.7,.,23620,0.7,4.7,843,3.4,22.6,0,0,0,0,0,0,1.3,1.3,28.7,25.2,22.6,20.8,0,8.8,0,0,7,0.5,0.7,1.1,36.8,14.3,65.8,86.6,606,4294,33,38.4,53,61.6,86,8,9.3,1,1.2,0,0,0,0,68,16.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,364,2,0.5,29,8,8,2,125,34.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,29.1,89,24.5,94,25.8,75,20.6,0,0,18,4.9,0,0,0,0,19,5.2,0,0,2,0.5,1,0.3,170,46.7,83,22.8,194,53.3,315,86.5,21,24.4,77,89.5
'001903002,2005,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,.,0,.,0,0,.,0,.,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,0,0,1,25,0,.,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,1,25,1,25,1,25,0,0,0,0,0,0,0,0,1,25,0,0,0,0,0,0,4,100,1,25,0,0,2,50,0,.,0,.
'001903041,2005,0,0,0,0,0,0,0,11.9,.,.,.,.,0.4,1,1.4,1,.,.,.,.,.,0.6,1.5,1.2,2.2,.,21473,0.6,4.9,467,2.1,19.4,0,0,0,0,8.2,24.1,34.2,33.5,0,0,0,0,0,11.1,0,0,7.5,0.5,0.7,2.1,22.7,11.5,11.5,85.1,0,0,0,.,0,.,0,0,.,0,.,0,.,0,.,33,11.3,.,.,.,.,.,0,0,0,.,.,.,.,.,.,0,0,0,.,281,1,0.4,23,8.2,1,0.3,130,46.3,0,0,0,0,0,0,0,0,0,0,90,32,90,32,101,35.9,0,0,0,0,0,0,0,0,0,0,16,5.7,0,0,0,0,16,5.7,1,0.4,1,0.4,1,0.4,115,40.9,71,25.3,123,43.8,240,85.4,0,.,0,.
'001903101,2005,0,0,0,0,0,0,0,12.2,2.9,1.1,0.6,0.9,0.6,0.1,0,0,3,8.4,2.8,0.9,2.1,0.9,0.7,0,.,14.7,18274,1,3.8,21,0.1,19,13,13.9,14.2,20.7,17.5,5.8,0.1,0.1,0,0,0,0,0.5,8.2,12.7,1.5,6.7,0.4,1.3,2.2,18.3,11.5,0,86.9,0,0,0,.,0,.,0,0,.,0,.,0,.,0,.,67,14.4,1.5,3.2,4.1,0,2.7,.,.,.,4.4,0,9.5,5.6,0,0,.,.,.,13.3,618,6,1,45,7.3,0,0,360,58.3,82,13.3,82,13.3,89,14.4,94,15.2,85,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,16,2.6,101,16.3,84,13.6,34,5.5,0,0,6,1,0,0,192,31.1,102,16.5,0,0,539,87.2,0,.,0,.
'001904001,2005,2821,1817,4638,354,385,25,88,15.9,.,.,.,.,.,.,3.4,0,.,.,.,.,.,.,0,3.3,0,.,23266,1.2,8.1,1015,4.1,25.3,0,0,0,0,0,0,0.6,0.5,29.7,25,23.5,20.7,0,9,0,0,9,0.5,1.3,1.6,32.4,13.8,65.6,80.8,552,3786,50,82,11,18,61,7,11.5,1,1.6,0,0,1,1.6,44,16.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,232,0,0,32,13.8,1,0.4,77,33.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,24.6,56,24.1,57,24.6,62,26.7,0,0,17,7.3,0,0,0,0,10,4.3,1,0.4,0,0,1,0.4,88,37.9,46,19.8,184,79.3,188,81,9,14.8,52,85.2
'001904041,2005,0,0,0,0,0,0,0,13.9,.,.,.,.,0.4,1,1.3,1.3,.,.,.,.,.,0.5,1.1,1.8,3.4,.,21554,1.9,8.3,527,2.3,29.2,0,0,0,0,8.1,24.8,32.5,32.1,2.5,0,0,0,0,11.4,0,0,11.5,0.7,2,2.4,27,12.8,18.3,77.1,0,0,0,.,0,.,0,0,.,0,.,0,.,0,.,31,15.3,.,.,.,.,.,0,2.1,4.3,.,.,.,.,.,.,0,0,0,.,195,5,2.6,31,15.9,2,1,100,51.3,0,0,0,0,0,0,0,0,0,0,67,34.4,74,37.9,54,27.7,0,0,0,0,0,0,0,0,0,0,27,13.8,0,0,0,0,12,6.2,1,0.5,5,2.6,0,0,78,40,29,14.9,86,44.1,151,77.4,0,.,0,.
'001904102,2005,0,0,0,0,0,0,0,15.3,4.4,1.2,1.3,1,0.7,0.9,.,.,3.3,10.6,1.9,1,0.4,1.1,1.2,.,.,12.6,19386,2.1,8.7,82,0.4,34.2,13.9,13.6,16.8,19.6,14.2,5,0,0,0,0,0,0,0.3,5.6,13.8,2.7,11.4,0.7,2.4,2.2,23.1,12.1,0,76.9,0,0,0,.,0,.,0,0,.,0,.,0,.,0,.,83,24.3,1.9,0,0,0,0,.,.,.,2.2,0,0,0,0,0,.,.,.,0,357,12,3.4,60,16.8,0,0,206,57.7,52,14.6,59,16.5,57,16,53,14.8,68,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.8,16,4.5,43,12,22,6.2,21,5.9,0,0,12,3.4,0,0,104,29.1,44,12.3,0,0,276,77.3,0,.,0,.
