CAMPUS,YEAR,CA0708DR04R,CA0708DR05R,CA0712DR04R,CA0712DR05R,CA0AD04R,CA0AD05R,CA0AT04R,CA0AT05R,CA0BK04R,CA0BK05R,CA0BS04R,CA0BS05R,CA0BT04R,CA0BT05R,CA0EL06R,CA0GH04R,CA0GH05R,CB0708DR04R,CB0708DR05R,CB0712DR04R,CB0712DR05R,CB0AD04R,CB0AD05R,CB0AT04R,CB0AT05R,CB0BK04R,CB0BK05R,CB0BS04R,CB0BS05R,CB0BT04R,CB0BT05R,CB0EL06R,CB0GH04R,CB0GH05R,CE0708DR04R,CE0708DR05R,CE0712DR04R,CE0712DR05R,CE0AD04R,CE0AD05R,CE0AT04R,CE0AT05R,CE0EL06R,CE0GH04R,CE0GH05R,CF0708DR04R,CF0708DR05R,CF0712DR04R,CF0712DR05R,CF0AD04R,CF0AD05R,CF0AT04R,CF0AT05R,CF0BK04R,CF0BK05R,CF0BS04R,CF0BS05R,CF0BT04R,CF0BT05R,CF0EL06R,CF0GH04R,CF0GH05R,CH0708DR04R,CH0708DR05R,CH0712DR04R,CH0712DR05R,CH0AD04R,CH0AD05R,CH0AT04R,CH0AT05R,CH0BK04R,CH0BK05R,CH0BS04R,CH0BS05R,CH0BT04R,CH0BT05R,CH0EL06R,CH0GH04R,CH0GH05R,CI0708DR04R,CI0708DR05R,CI0712DR04R,CI0712DR05R,CI0AD04R,CI0AD05R,CI0AT04R,CI0AT05R,CI0BK04R,CI0BK05R,CI0BS04R,CI0BS05R,CI0BT04R,CI0BT05R,CI0EL06R,CI0GH04R,CI0GH05R,CL0708DR04R,CL0708DR05R,CL0712DR04R,CL0712DR05R,CL0AD04R,CL0AD05R,CL0AT04R,CL0AT05R,CL0EL06R,CL0GH04R,CL0GH05R,CM0708DR04R,CM0708DR05R,CM0712DR04R,CM0712DR05R,CM0AD04R,CM0AD05R,CM0AT04R,CM0AT05R,CM0BK04R,CM0BK05R,CM0BS04R,CM0BS05R,CM0BT04R,CM0BT05R,CM0EL06R,CM0GH04R,CM0GH05R,CP0708DR04R,CP0708DR05R,CP0712DR04R,CP0712DR05R,CP0AD04R,CP0AD05R,CP0AT04R,CP0AT05R,CP0BK04R,CP0BK05R,CP0BS04R,CP0BS05R,CP0BT04R,CP0BT05R,CP0EL06R,CP0GH04R,CP0GH05R,CS0708DR04R,CS0708DR05R,CS0712DR04R,CS0712DR05R,CS0AD04R,CS0AD05R,CS0AT04R,CS0AT05R,CS0EL06R,CS0GH04R,CS0GH05R,CW0708DR04R,CW0708DR05R,CW0712DR04R,CW0712DR05R,CW0AD04R,CW0AD05R,CW0AT04R,CW0AT05R,CW0BK04R,CW0BK05R,CW0BS04R,CW0BS05R,CW0BT04R,CW0BT05R,CW0EL06R,CW0GH04R,CW0GH05R,GA0708DR04R,GA0708DR05R,GA0712DR04R,GA0712DR05R,GA0AD04R,GA0AD05R,GA0AT04R,GA0AT05R,GA0BK04R,GA0BK05R,GA0BS04R,GA0BS05R,GA0BT04R,GA0BT05R,GA0EL06R,GA0GH04R,GA0GH05R
'001902001,2006,.,.,0,0,39.8,40,96.4,96.4,.,.,.,.,0,0,-1,64.5,67.6,.,.,0,0,40.7,45.5,98.4,97.8,.,.,.,.,0,0,.,37.5,-1,.,.,0,0,23.5,21.9,95.5,94.9,-1,42.9,-1,.,.,0,0,51.3,49.4,96.7,96.6,.,.,.,.,0,0,.,80,75,.,.,0,0,50,62.5,97.4,98.4,.,.,.,.,-1,0,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,-1,.,.,.,.,0,0,28.9,29.6,96.1,96.3,.,.,.,.,0,0,-1,50,58.8,.,.,-1,.,-1,.,-1,.,.,.,.,.,-1,.,.,.,.,.,.,0,0,3.1,5.7,95.2,95.3,.,0,0,.,.,0,0,37.9,37.9,95.9,96.1,.,.,.,.,0,0,.,73.9,65.6,-1,-1,0.3,0.3,17.9,18.4,95.7,95.1,37.3,40,32.4,33.3,11.3,10.7,75,63.3,64.3
'001902041,2006,0,0,0,0,.,.,96.5,97.1,.,.,.,.,.,.,-1,.,.,0,0,0,0,.,.,96.4,97.8,.,.,.,.,.,.,.,.,.,0,0,0,0,.,.,95.1,96.5,-1,.,.,0,0,0,0,.,.,97,97.4,.,.,.,.,.,.,-1,.,.,-1,-1,-1,-1,.,.,-1,-1,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,.,.,-1,-1,.,.,0,0,0,0,.,.,95.8,96.8,.,.,.,.,.,.,-1,.,.,.,-1,.,-1,.,.,.,-1,.,.,.,.,.,.,.,.,.,0,0,0,0,.,.,95.6,96,.,.,.,0,0,0,0,.,.,96.4,97,.,.,.,.,.,.,.,.,.,0,0,0,0,-1,-1,96.4,96.3,-1,-1,-1,-1,-1,-1,69,-1,-1
'001902103,2006,.,.,.,.,.,.,96.3,96.3,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,97.6,97.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,95.8,95.9,.,.,.,.,.,.,.,.,.,96.2,96.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,95.1,95.8,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,96.4,96.2,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,95.9,94.4,-1,.,.,.,.,.,.,.,.,96.2,96.2,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,96.9,96.7,-1,-1,-1,-1,-1,-1,73,-1,-1
'001903001,2006,.,.,0,0,13.9,13.5,94.8,95.3,62.5,43.8,58.8,47.6,13.3,12.2,.,38.4,48,.,.,0,0,2.9,0,95.9,96.8,.,.,.,.,0,0,.,25,42.9,.,.,0,0,7.6,5.2,93.8,94.7,.,28,42.9,.,.,0,0,15.8,17,94.2,94.9,63.6,40,63.6,45.5,15.5,14.7,.,51.1,54.1,.,.,0,0,9.1,9.5,92.9,94.8,-1,-1,-1,-1,-1,14.3,.,-1,-1,.,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,.,.,.,.,0,0,12,10.4,95.4,95.7,60,50,50,50,10.2,9.5,.,23.1,42.1,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,0,0,6.6,2.3,93.6,94.3,.,4.8,11.8,.,.,0,0,15.3,15,94.8,95.2,60,40,56.3,47.4,13.8,12.8,.,40.3,48.4,-1,-1,0,0.2,18,17.8,95.4,95.3,38.6,33.9,35,29.1,8.9,11.9,68,61.5,66.6
'001903002,2006,.,.,.,0,.,-1,.,-1,.,.,.,.,.,-1,.,.,.,.,.,.,-1,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,0,.,-1,.,-1,.,.,.,.,.,.,-1,.,.,.,-1,.,.,.,.,.,-1,.,.,.,.,.,.,-1,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,.,.,.,.,.,0,.,-1,.,-1,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001903041,2006,0,0.5,0,0.5,.,.,96,95.7,.,.,.,.,.,.,-1,.,.,0,0,0,0,.,.,98.4,96.4,.,.,.,.,.,.,.,.,.,0,1.2,0,1.2,.,.,95.9,95.7,-1,.,.,0,0,0,0,.,.,96.2,95.9,.,.,.,.,.,.,-1,.,.,0,0,0,0,.,.,95.9,95.9,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,.,.,-1,-1,.,.,0,0.9,0,0.9,.,.,95.9,95.5,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,.,.,-1,-1,.,.,.,.,.,.,.,.,.,0,1.6,0,1.6,.,.,94.8,94.7,.,.,.,0,0.5,0,0.5,.,.,95.9,95.6,.,.,.,.,.,.,.,.,.,0,0,0,0,-1,-1,96.6,96.2,-1,-1,-1,-1,-1,-1,70,-1,-1
'001903101,2006,.,.,.,.,.,.,96.7,96.6,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,97.9,96.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.5,96.2,-1,.,.,.,.,.,.,.,.,96.7,96.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.9,97.4,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,96.7,96.8,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.3,95.8,.,.,.,.,.,.,.,.,.,96.6,96.5,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,97.1,96.6,-1,-1,-1,-1,-1,-1,85,-1,-1
'001904001,2006,.,.,0.4,0.4,30,21.3,96.4,96,27.3,8,18.2,5.9,21.4,25.5,-1,82,71.4,.,.,0,0,16.1,8.8,96.7,96,.,.,.,.,0,0,.,71.4,30,.,.,0,0,19,9.7,95,95.1,-1,78.6,40,.,.,0.9,0,40.6,24.3,96.3,95.5,35.7,8.3,26.3,7.1,29.2,25,-1,96,83.9,.,.,0,0,22.2,30,96.8,96.3,-1,-1,-1,-1,-1,14.3,-1,-1,-1,.,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,-1,-1,.,.,.,.,0,0.7,22.4,19,96.5,96.3,12.5,7.7,7.1,5,14.5,26,-1,72.2,59.4,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,.,-1,.,.,.,0,1.7,4.3,14,96.3,95.7,-1,11.1,0,.,.,0.5,0.5,32.4,23.1,96.4,95.9,28.6,8.3,18.8,6.1,23.3,28.9,.,82.7,79.6,-1,-1,0.4,0.3,16.8,17.1,95.3,95.6,36.1,33.3,28.3,29.8,12.4,9.3,71,60,71.4
'001904041,2006,0,0,0,0,.,.,96.3,97,.,.,.,.,.,.,44,.,.,0,0,0,0,.,.,96.6,97.6,.,.,.,.,.,.,.,.,.,0,0,0,0,.,.,96.8,97.1,44,.,.,0,0,0,0,.,.,96,96.8,.,.,.,.,.,.,60,.,.,0,0,0,0,.,.,99.3,98.3,.,.,.,.,.,.,44,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,.,.,-1,97.7,29,.,.,0,0,0,0,.,.,96.5,97.2,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,.,.,96.2,98,-1,.,.,0,0,0,0,.,.,96.1,96.8,.,.,.,.,.,.,.,.,.,0,0,0,0,-1,-1,96.2,96.2,-1,-1,-1,-1,-1,-1,67,-1,-1
'001904102,2006,.,.,.,.,.,.,96.1,96.5,.,.,.,.,.,.,57,.,.,.,.,.,.,.,.,96.6,97.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,95.8,96.2,57,.,.,.,.,.,.,.,.,96.3,96.4,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,97.6,96.6,.,.,.,.,.,.,57,.,.,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97.5,97.7,50,.,.,.,.,.,.,.,.,95.9,96.5,.,.,.,.,.,.,60,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96,95.6,-1,.,.,.,.,.,.,.,.,95.9,96.2,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,96.5,96.9,-1,-1,-1,-1,-1,-1,87,-1,-1
