CAMPUS,CACKDTL,CAMPNAME,CFLCHART,CNTYNAME,COUNTY,C_RATING,DISTNAME,GRDSPAN,GRDTYPE,REGION,PAIRCAMP,pairname
'057829001,,A+ ACADEMY,Y,DALLAS,'057,1,A+ ACADEMY,'PK - 12,B,'10,,
'109901001,AVEWMS,ABBOTT SCHOOL,N,HILL,'109,R,ABBOTT ISD,'PK - 12,B,'12,,
'095901003,,ABERNATHY DAEP,N,HALE,'095,X,ABERNATHY ISD,'08 - 08,M,'17,,
'095901101,N,ABERNATHY EL,N,HALE,'095,R,ABERNATHY ISD,'PK - 05,E,'17,,
'095901001,UVY,ABERNATHY H S,N,HALE,'095,A,ABERNATHY ISD,'09 - 12,S,'17,,
'095901041,AEWSY,ABERNATHY J H,N,HALE,'095,R,ABERNATHY ISD,'06 - 08,M,'17,,
'221901001,,ABILENE H S,N,TAYLOR,'221,A,ABILENE ISD,'09 - 12,S,'14,,
'221901142,,ABILENE PSYCHIATRIC INSTITUTE,N,TAYLOR,'221,X,ABILENE ISD,'08 - 11,S,'14,,
'221901129,,ABILENE STATE SCH,N,TAYLOR,'221,X,ABILENE ISD,'10 - 12,S,'14,,
'221901102,EWMN,AUSTIN EL,N,TAYLOR,'221,R,ABILENE ISD,'KG - 05,E,'14,,
'221901153,EMN,BASSETTI EL,N,TAYLOR,'221,R,ABILENE ISD,'KG - 05,E,'14,,
'221901103,EWM,BONHAM EL,N,TAYLOR,'221,R,ABILENE ISD,'KG - 05,E,'14,,
'221901104,EWMN,BOWIE EL,N,TAYLOR,'221,R,ABILENE ISD,'KG - 05,E,'14,,
'221901047,AEWSZ,CLACK MIDDLE,N,TAYLOR,'221,R,ABILENE ISD,'06 - 08,M,'14,,
'221901106,N,COLLEGE HEIGHTS EL,N,TAYLOR,'221,R,ABILENE ISD,'KG - 05,E,'14,,
'221901002,Z,COOPER H S,N,TAYLOR,'221,A,ABILENE ISD,'09 - 12,S,'14,,
'221901108,EWMN,DYESS EL,N,TAYLOR,'221,E,ABILENE ISD,'KG - 05,E,'14,,
'221901110,M,FANNIN EL,N,TAYLOR,'221,R,ABILENE ISD,'KG - 05,E,'14,,
'221901041,,FRANKLIN MIDDLE,N,TAYLOR,'221,A,ABILENE ISD,'06 - 08,M,'14,,
'221901200,,HARMONY FAMILY SERVICES,N,TAYLOR,'221,X,ABILENE ISD,'01 - 11,B,'14,,
'221901124,,HOUSTON STUDENT ACH CTR,N,TAYLOR,'221,X,ABILENE ISD,'02 - 10,B,'14,,
'221901112,EM,JACKSON EL,N,TAYLOR,'221,R,ABILENE ISD,'KG - 05,E,'14,,
'221901113,E,JOHNSTON EL,N,TAYLOR,'221,A,ABILENE ISD,'KG - 05,E,'14,,
'221901008,,JUVENILE DETENTION CENTER,N,TAYLOR,'221,L,ABILENE ISD,'06 - 11,B,'14,,
'221901116,M,LEE EL,N,TAYLOR,'221,R,ABILENE ISD,'KG - 05,E,'14,,
'221901043,EWS,LINCOLN MIDDLE,N,TAYLOR,'221,A,ABILENE ISD,'06 - 08,M,'14,,
'221901117,,LOCUST ECC,N,TAYLOR,'221,X,ABILENE ISD,'EE - PK,E,'14,,
'221901118,NY,LONG EL,N,TAYLOR,'221,R,ABILENE ISD,'KG - 05,E,'14,,
'221901044,EWS,MADISON MIDDLE,N,TAYLOR,'221,R,ABILENE ISD,'06 - 08,M,'14,,
'221901045,EWS,MANN MIDDLE,N,TAYLOR,'221,R,ABILENE ISD,'06 - 08,M,'14,,
'221901152,EWM,ORTIZ EL,N,TAYLOR,'221,A,ABILENE ISD,'KG - 05,E,'14,,
'221901120,W,REAGAN EL,N,TAYLOR,'221,R,ABILENE ISD,'KG - 05,E,'14,,
'221901127,,SP ED HOMEBOUND,N,TAYLOR,'221,X,ABILENE ISD,'04 - 11,B,'14,,
'221901128,,SP ED O J T,N,TAYLOR,'221,X,ABILENE ISD,'EE - EE,E,'14,,
'221901007,,TAYLOR COUNTY LEARNING CENTER,N,TAYLOR,'221,X,ABILENE ISD,'06 - 11,B,'14,,
'221901121,EN,TAYLOR EL,N,TAYLOR,'221,R,ABILENE ISD,'KG - 05,E,'14,,
'221901151,,THOMAS EL,N,TAYLOR,'221,R,ABILENE ISD,'KG - 05,E,'14,,
'221901006,,TRAVIS OPPORTUNITY CTR,N,TAYLOR,'221,X,ABILENE ISD,'06 - 11,B,'14,,
'221901150,EWN,WARD EL,N,TAYLOR,'221,E,ABILENE ISD,'KG - 05,E,'14,,
'221901003,,WOODSON CENTER FOR EXCELLENCE,N,TAYLOR,'221,1,ABILENE ISD,'09 - 12,S,'14,,
'221901125,,WOODSON ECC,N,TAYLOR,'221,X,ABILENE ISD,'EE - PK,E,'14,,
'014901101,,ACADEMY EL,N,BELL,'014,R,ACADEMY ISD,'EE - 04,E,'12,,
'014901001,VSY,ACADEMY H S,N,BELL,'014,R,ACADEMY ISD,'09 - 12,S,'12,,
'014901041,AEWNSZ,ACADEMY J H,N,BELL,'014,R,ACADEMY ISD,'05 - 08,M,'12,,
'101810002,,ACADEMY OF ACCELERATED LEARNING,Y,HARRIS,'101,L,ACADEMY OF ACCELERATED LEARNING IN,'PK - 04,E,'04,,
'123801101,,ACADEMY OF BEAUMONT,Y,JEFFERSON,'123,X,ACADEMY OF BEAUMONT,'PK - 08,E,'05,,
'015816001,,ACADEMY OF CAREERS AND TECHNOLOGI,Y,BEXAR,'015,1,ACADEMY OF CAREERS AND TECHNOLOGIE,'09 - 12,S,'20,,
'057810101,S,ACADEMY OF DALLAS,Y,DALLAS,'057,A,ACADEMY OF DALLAS,'PK - 08,E,'10,,
'101849101,,ACCELERATED INTERDISCIPLINARY ACA,Y,HARRIS,'101,R,ACCELERATED INTERMEDIATE ACADEMY,'PK - 05,E,'04,,
'101849102,,ACCELERATED INTERDISCIPLINARY ACA,Y,HARRIS,'101,A,ACCELERATED INTERMEDIATE ACADEMY,'PK - 05,E,'04,,
