CAMPUS,YEAR,BA0GH05N,BA0GM05N,BA0GR05N,BB0GR05N,BH0GR05N,BI0GR05N,BP0GR05N,BPEMALLP,BPERRA1R,BPERRA2R,BPERRA3R,BPERRA4R,BPERRA5R,BPERRA6R,BPERRA7R,BPERRA8R,BPERRAKR,BPERSA1R,BPERSA2R,BPERSA3R,BPERSA4R,BPERSA5R,BPERSA6R,BPERSA7R,BPERSA8R,BPERSAKR,BPETALLC,BPETBILP,BPETBLAP,BPETDISC,BPETDISP,BPETECOP,BPETG01P,BPETG02P,BPETG03P,BPETG04P,BPETG05P,BPETG06P,BPETG07P,BPETG08P,BPETG09P,BPETG10P,BPETG11P,BPETG12P,BPETGEEP,BPETGIFP,BPETGKNP,BPETGPKP,BPETHISP,BPETINDP,BPETLEPP,BPETPACP,BPETRSKP,BPETSPEP,BPETVOCP,BPETWHIP,BS0GR05N,BW0GR05N,CA0GH05N,CA0GM05N,CA0GR05N,CB0GR05N,CH0GR05N,CI0GR05N,CP0GR05N,CPEMALLC,CPEMALLP,CPERRA1R,CPERRA2R,CPERRA3R,CPERRA4R,CPERRA5R,CPERRA6R,CPERRA7R,CPERRA8R,CPERRAKR,CPERSA1R,CPERSA2R,CPERSA3R,CPERSA4R,CPERSA5R,CPERSA6R,CPERSA7R,CPERSA8R,CPERSAKR,CPETALLC,CPETBILC,CPETBILP,CPETBLAC,CPETBLAP,CPETDISC,CPETDISP,CPETECOC,CPETECOP,CPETG01C,CPETG01P,CPETG02C,CPETG02P,CPETG03C,CPETG03P,CPETG04C,CPETG04P,CPETG05C,CPETG05P,CPETG06C,CPETG06P,CPETG07C,CPETG07P,CPETG08C,CPETG08P,CPETG09C,CPETG09P,CPETG10C,CPETG10P,CPETG11C,CPETG11P,CPETG12C,CPETG12P,CPETGEEC,CPETGEEP,CPETGIFC,CPETGIFP,CPETGKNC,CPETGKNP,CPETGPKC,CPETGPKP,CPETHISC,CPETHISP,CPETINDC,CPETINDP,CPETLEPC,CPETLEPP,CPETPACC,CPETPACP,CPETRSKC,CPETRSKP,CPETSPEC,CPETSPEP,CPETVOCC,CPETVOCP,CPETWHIC,CPETWHIP,CS0GR05N,CW0GR05N
'001902001,2006,4063,1898,5961,465,503,31,141,15.1,.,.,.,.,.,.,5.1,1.4,.,.,.,.,.,.,.,5,0,.,28693,1.1,8.9,1034,3.6,21.6,0,0,0,0,0,0,0.9,0.9,23.2,26.8,25.8,22.3,0,9.3,0,0,10.2,0.7,1.3,2.4,37.3,12.1,64.2,77.9,701,4821,25,12,37,2,3,0,0,37,20.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,158,1,0.6,27,17.1,7,3.8,46,29.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,27.2,34,21.5,50,31.6,31,19.6,0,0,17,10.8,0,0,0,0,7,4.4,0,0,1,0.6,0,0,54,34.2,30,19,104,65.8,124,78.5,9,32
'001902041,2006,0,0,0,0,0,0,0,13.9,.,.,.,.,2.6,1.3,2,1.3,.,.,.,.,.,4.8,1.1,2.2,2.9,.,18584,1.7,7.5,464,2.3,31.7,0,0,0,0,5.8,23.6,34,35.1,1.5,0,0,0,0,10.8,0,0,11.7,0.8,1.9,2,31.7,13.3,15.9,78,0,0,0,0,0,0,0,0,0,23,13.9,.,.,.,.,.,0,0,0,.,.,.,.,.,.,0,0,0,.,150,2,1.3,26,17.3,1,0.6,61,40.7,0,0,0,0,0,0,0,0,0,0,43,28.7,52,34.7,55,36.7,0,0,0,0,0,0,0,0,0,0,26,17.3,0,0,0,0,7,4.7,0,0,2,1.3,0,0,42,28,18,12,0,0,117,78,0,0
'001902103,2006,0,0,0,0,0,0,0,14.1,3.9,2,1.5,1.1,1.4,1.1,1.5,0,4.4,4.3,3.4,3.4,1.5,2.4,1,6.7,0,14.7,16394,1.4,4.3,23,0.1,25.8,13.5,13.7,15,19.7,16.5,4.5,0.5,0.5,0,0,0,0,0.4,6.1,12.7,3,8.5,0.6,1.6,1.7,19.4,11.2,0.1,85,0,0,0,0,0,0,0,0,0,43,18.8,7.1,3,0,0,0,.,.,.,2.8,0,0,0,0,0,.,.,.,9.1,274,3,1.1,26,9.5,0,0,127,46.4,50,18.2,34,12.4,44,16.1,45,16.4,41,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.1,24,8.8,38,13.9,19,6.9,9,3.3,0,0,3,1.1,6,2.2,54,19.7,42,15.3,0,0,233,85,0,0
'001903001,2006,3665,1849,5514,184,382,23,47,16.6,.,.,.,.,.,.,1.3,2.8,.,.,.,.,.,.,.,6.3,0,.,26960,0.6,3.8,1177,4,24.1,0,0,0,0,0,0,0.9,1.1,28.2,25.5,23.4,20.9,0,7.5,0,0,7.5,0.6,0.7,1.1,41.9,13.3,70.8,87,650,4878,36,39,75,7,4,0,0,90,22,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,375,1,0.3,30,8,10,2.4,144,38.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,30.1,92,24.5,85,22.7,85,22.7,0,0,19,5.1,0,0,0,0,16,4.3,0,0,1,0.3,2,0.5,139,37.1,84,22.4,214,57.1,327,87.2,17,64
'001903002,2006,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,17,100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,0,0,0,0,6,35.3,1,50,0,0,0,0,0,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,1,50,1,50,2,100,0,0
'001903041,2006,0,0,0,0,0,0,0,14.4,.,.,.,.,2,1.2,1.2,1,.,.,.,.,.,0.6,1.4,1.9,2,.,18044,0.9,6.6,357,1.9,27.4,0,0,0,0,8.6,22.9,33.4,33.8,1.3,0,0,0,0,8.9,0,0,9,0.5,1,1.3,32,12.5,8.7,82.6,0,0,0,0,0,0,0,0,0,46,15.1,.,.,.,.,.,1.5,1.5,1.5,.,.,.,.,.,.,0,0,0,.,263,1,0.4,29,11,4,1.3,122,46.4,0,0,0,0,0,0,0,0,0,0,85,32.3,82,31.2,96,36.5,0,0,0,0,0,0,0,0,0,0,13,4.9,0,0,0,0,13,4.9,3,1.1,1,0.4,0,0,113,43,56,21.3,94,35.7,218,82.9,0,0
'001903101,2006,0,0,0,0,0,0,0,13.4,3.8,1.6,1.4,1,1.5,1,4,0,4.4,5.1,3.8,3.7,0.9,2.2,2.9,0,0,10.5,16490,1.5,4,22,0.1,26.9,14,13.7,16.7,19.4,14.7,4,0.2,0.2,0,0,0,0,0.5,6.1,13.3,3.3,7.6,0.5,1.6,1.8,19.1,11.5,0,86.1,0,0,0,0,0,0,0,0,0,80,16.6,7.6,0,0,2.5,0,.,.,.,11.1,0,0,0,0,10.5,.,.,.,13.3,654,6,0.9,60,9.2,1,0.1,349,53.4,109,16.7,83,12.7,76,11.6,85,13,107,16.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,20,3.1,106,16.2,87,13.3,32,4.9,0,0,7,1.1,0,0,159,24.3,76,11.6,0,0,562,85.9,0,0
'001904001,2006,2876,1304,4180,286,339,21,50,14.5,.,.,.,.,.,.,2.7,1.9,.,.,.,.,.,.,.,5.8,0,.,20522,0.9,7.5,896,4,26.1,0,0,0,0,0,0,1.7,1.6,26.1,24.5,24.1,21.9,0,9.1,0,0,8.5,0.6,1,1.1,38.8,14.1,66.2,82.3,567,3484,45,18,63,10,4,0,0,47,17.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,233,2,0.9,28,12,1,0.4,89,38.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,25.8,61,26.2,52,22.3,60,25.8,0,0,20,8.6,0,0,0,0,13,5.6,0,0,2,0.9,1,0.4,88,37.8,44,18.9,174,74.7,191,82,10,49
'001904041,2006,0,0,0,0,0,0,0,13.6,.,.,.,.,2.6,1.2,1.8,1.4,.,.,.,.,.,3,1.3,2.4,2.8,.,25282,2.2,8,677,2.5,27.4,0,0,0,0,5.7,21.6,35.5,35.2,2.1,0,0,0,0,12.1,0,0,14.5,0.5,2.5,2.9,31,11.6,12.4,74.1,0,0,0,0,0,0,0,0,0,27,12.7,.,.,.,.,.,3.5,0,2.1,.,.,.,.,.,.,0,0,0,.,211,9,4.3,37,17.5,0,0,108,51.2,0,0,0,0,0,0,0,0,0,0,66,31.3,67,31.8,78,37,0,0,0,0,0,0,0,0,0,0,25,11.8,0,0,0,0,17,8.1,1,0.5,9,4.3,0,0,113,53.6,32,15.2,85,40.3,156,73.9,0,0
'001904102,2006,0,0,0,0,0,0,0,13,4.2,1.5,1.2,1,1.5,0.3,0,0,3.6,8.2,3.4,1,1.1,0.8,0,0,0,11.6,18211,2.8,6.9,26,0.1,28,14.5,14,16.5,17.5,15.2,4.4,0.2,0.2,0,0,0,0,0.4,6.3,14,3,9.6,0.6,3.1,2.5,22.9,11.4,0.4,80.4,0,0,0,0,0,0,0,0,0,53,16.5,7,2.1,1.9,2.4,0,.,.,.,0,0,14.3,0,0,0,.,.,.,33.3,353,16,4.5,44,12.5,0,0,203,57.5,47,13.3,56,15.9,50,14.2,55,15.6,54,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.8,14,4,62,17.6,26,7.4,25,7.1,0,0,16,4.5,0,0,125,35.4,39,11,0,0,284,80.5,0,0
