CAMPUS,YEAR,CA0CA05R,CA0CA06R,CA0CC05R,CA0CC06R,CA0CS05R,CA0CS06R,CA0CT05R,CA0CT06R,CACRB06R,CACRM06R,CACRR06R,CB0CA05R,CB0CA06R,CB0CC05R,CB0CC06R,CB0CS05R,CB0CS06R,CB0CT05R,CB0CT06R,CBCRB06R,CBCRM06R,CBCRR06R,CECRB06R,CECRM06R,CECRR06R,CF0CA05R,CF0CA06R,CF0CC05R,CF0CC06R,CF0CS05R,CF0CS06R,CF0CT05R,CF0CT06R,CFCRB06R,CFCRM06R,CFCRR06R,CH0CA05R,CH0CA06R,CH0CC05R,CH0CC06R,CH0CS05R,CH0CS06R,CH0CT05R,CH0CT06R,CHCRB06R,CHCRM06R,CHCRR06R,CI0CA05R,CI0CA06R,CI0CC05R,CI0CC06R,CI0CS05R,CI0CS06R,CI0CT05R,CI0CT06R,CICRB06R,CICRM06R,CICRR06R,CLCRB06R,CLCRM06R,CLCRR06R,CM0CA05R,CM0CA06R,CM0CC05R,CM0CC06R,CM0CS05R,CM0CS06R,CM0CT05R,CM0CT06R,CMCRB06R,CMCRM06R,CMCRR06R,CP0CA05R,CP0CA06R,CP0CC05R,CP0CC06R,CP0CS05R,CP0CS06R,CP0CT05R,CP0CT06R,CPCRB06R,CPCRM06R,CPCRR06R,CSCRB06R,CSCRM06R,CSCRR06R,CW0CA05R,CW0CA06R,CW0CC05R,CW0CC06R,CW0CS05R,CW0CS06R,CW0CT05R,CW0CT06R,CWCRB06R,CWCRM06R,CWCRR06R,GA0CA05R,GA0CA06R,GA0CC05R,GA0CC06R,GA0CS05R,GA0CS06R,GA0CT05R,GA0CT06R,GACRB06R,GACRM06R,GACRR06R
'001902001,2007,19.2,-1,15.8,18.2,951,1025,67.9,42.3,27,42,54,-1,.,-1,-1,.,-1,-1,40,20,20,60,38,38,75,-1,-1,0,25,864,1028,68.8,57.1,29,29,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,37.5,-1,1063,-1,66.7,25,25,58,33,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,20,25,959,1076,62.5,42.1,32,53,53,20.4,20.5,25,22,1022,1017,71.4,66.8,37,54,50
'001902041,2007,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'001902103,2007,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'001903001,2007,18.9,17.8,26.3,6.3,972,906,65.5,48.5,29,46,42,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,33,29,-1,-1,22.7,5.6,938,954,73.3,58.1,39,50,64,.,-1,-1,-1,-1,.,-1,-1,-1,-1,-1,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,-1,17.6,31.3,7.1,1021,833,57.1,40,20,43,26,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,19.8,17.9,28.1,7.1,1003,921,62.7,45.9,31,50,41,20.9,20.2,24.5,23.1,990,976,57.9,58.8,36,52,50
'001903041,2007,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'001903101,2007,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'001904001,2007,19.4,21.2,33.3,32,971,998,56.6,50,43,66,47,-1,.,-1,-1,-1,-1,80,-1,-1,-1,-1,38,62,46,-1,-1,30.8,23.1,1000,1005,44.8,59.1,43,57,48,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,35.3,41.7,948,991,70.8,42.9,42,73,46,.,.,.,.,.,.,.,-1,-1,-1,-1,.,.,.,20.8,-1,41.7,36.4,1029,1015,54.5,51.2,50,75,55,20.9,19.6,23.7,20,1001,985,71.4,66.5,32,53,48
'001904041,2007,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'001904102,2007,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'001906002,2007,19.2,21.9,33.3,30,-1,-1,50,55.6,31,63,38,.,.,.,.,.,.,-1,-1,-1,-1,-1,.,.,.,-1,22.5,-1,37.5,-1,-1,-1,80,56,67,67,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,.,.,37.5,25,0,57,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19.2,21.9,33.3,30,-1,-1,54.5,58.8,33,67,40,20.9,20.4,24.1,23.6,1006,993,68.1,63.1,36.5,54,50
'001906102,2007,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'001907001,2007,20.1,21.2,25.3,25.3,971,1013,55.4,50.9,24,57,31,14.7,-1,0,0,824,876,52.4,34.4,0,27,3,9,44,10,20.2,21.4,25.6,20.5,969,1018,53.1,45.3,21,56,28,.,18.7,-1,9.1,-1,973,12.9,28.2,30,70,33,.,.,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,20.1,21.2,25,29.5,974,1009,57.9,57.1,28,58,34,-1,.,20,.,-1,.,-2,-1,.,.,.,-1,-1,-1,22.8,21.9,38.9,33.9,1023,1050,67.5,65.6,32,64,42,19.3,19.6,17.5,19,977,982,64.9,60,29,46,40
'001907041,2007,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'001907101,2007,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001907107,2007,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001907110,2007,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'001908002,2007,18.7,19.9,18.6,23.8,1009,982,69.4,51.2,26,41,45,-1,.,0,-1,-1,-1,38.5,15.4,0,15,23,42,38,50,18.8,20.3,12.9,22.2,1001,978,72.1,55.1,24,37,50,18.2,-1,16.7,-1,-1,-1,75,40,-1,-1,80,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,18.5,19.2,25,26.7,1013,987,66.7,45.5,28,47,38,.,-1,.,-1,.,-1,.,-1,-1,-1,-1,0,14,17,19.1,19.8,20.5,25.7,1031,1026,68.8,55.6,30,46,46,20.4,20.3,22.3,19.6,1000,1002,66.7,63.4,30,51,47
'001908041,2007,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'001908101,2007,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'001908102,2007,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001909001,2007,21.1,21,22.2,33.3,997,1072,60,37.5,20,31,20,.,.,.,.,.,.,.,-1,-1,-1,-1,0,20,0,20.8,-1,16.7,20,-1,-1,75,45.5,18,36,18,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,42.9,20,-1,20,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,20.3,21,22.2,33.3,-1,-1,60,40,21,33,21,20.3,20.5,20,21.4,969,980,61.4,64.7,36,49,53
'001909101,2007,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'002901001,2007,20,20.8,19.8,22,971,981,49.4,51.3,31,41,49,-1,.,-1,-1,-1,-1,60,-1,-1,-1,-1,7,14,29,20,22.7,13.6,21.1,953,995,50,48.1,29,35,53,17.9,18.8,11.1,4.2,921,879,34.2,35.3,17,24,39,.,.,.,.,-1,-1,.,.,.,.,.,-1,-1,-1,20.1,19.9,26.2,22.7,987,970,48.8,54.3,33,46,45,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,0,0,14,20.6,22.1,26,30.9,992,1034,57.5,61.8,42,54,55,20,19.9,19,19.6,965,969,60.9,63.3,31,49,44
'002901002,2007,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'002901041,2007,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'002901101,2007,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'002901103,2007,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'002901104,2007,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'002901105,2007,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
