CAMPUS,YEAR,CA0708DR06R,CA0712DR06R,CA0912DR06R,CA0AD05R,CA0AD06R,CA0AT05R,CA0AT06R,CA0BK05R,CA0BK06R,CA0BS05R,CA0BS06R,CA0BT05R,CA0BT06R,CA0EL06R,CA0EL07R,CA0GH05R,CA0GH06R,CB0708DR06R,CB0712DR06R,CB0912DR06R,CB0AD05R,CB0AD06R,CB0AT05R,CB0AT06R,CB0BK05R,CB0BK06R,CB0BS05R,CB0BS06R,CB0BT05R,CB0BT06R,CB0EL06R,CB0EL07R,CB0GH05R,CB0GH06R,CE0708DR06R,CE0712DR06R,CE0912DR06R,CE0AD05R,CE0AD06R,CE0AT05R,CE0AT06R,CE0EL06R,CE0EL07R,CE0GH05R,CE0GH06R,CF0708DR06R,CF0712DR06R,CF0912DR06R,CF0AD05R,CF0AD06R,CF0AT05R,CF0AT06R,CF0BK05R,CF0BK06R,CF0BS05R,CF0BS06R,CF0BT05R,CF0BT06R,CF0EL06R,CF0EL07R,CF0GH05R,CF0GH06R,CH0708DR06R,CH0712DR06R,CH0912DR06R,CH0AD05R,CH0AD06R,CH0AT05R,CH0AT06R,CH0BK05R,CH0BK06R,CH0BS05R,CH0BS06R,CH0BT05R,CH0BT06R,CH0EL06R,CH0EL07R,CH0GH05R,CH0GH06R,CI0708DR06R,CI0712DR06R,CI0912DR06R,CI0AD05R,CI0AD06R,CI0AT05R,CI0AT06R,CI0BK05R,CI0BK06R,CI0BS05R,CI0BS06R,CI0BT05R,CI0BT06R,CI0EL06R,CI0EL07R,CI0GH05R,CI0GH06R,CL0708DR06R,CL0712DR06R,CL0912DR06R,CL0AD05R,CL0AD06R,CL0AT05R,CL0AT06R,CL0EL06R,CL0EL07R,CL0GH05R,CL0GH06R,CM0708DR06R,CM0712DR06R,CM0912DR06R,CM0AD05R,CM0AD06R,CM0AT05R,CM0AT06R,CM0BK05R,CM0BK06R,CM0BS05R,CM0BS06R,CM0BT05R,CM0BT06R,CM0EL06R,CM0EL07R,CM0GH05R,CM0GH06R,CP0708DR06R,CP0712DR06R,CP0912DR06R,CP0AD05R,CP0AD06R,CP0AT05R,CP0AT06R,CP0BK05R,CP0BK06R,CP0BS05R,CP0BS06R,CP0BT05R,CP0BT06R,CP0EL06R,CP0EL07R,CP0GH05R,CP0GH06R,CS0708DR06R,CS0712DR06R,CS0912DR06R,CS0AD05R,CS0AD06R,CS0AT05R,CS0AT06R,CS0EL06R,CS0EL07R,CS0GH05R,CS0GH06R,CW0708DR06R,CW0712DR06R,CW0912DR06R,CW0AD05R,CW0AD06R,CW0AT05R,CW0AT06R,CW0BK05R,CW0BK06R,CW0BS05R,CW0BS06R,CW0BT05R,CW0BT06R,CW0EL06R,CW0EL07R,CW0GH05R,CW0GH06R,GA0708DR06R,GA0712DR06R,GA0912DR06R,GA0AD05R,GA0AD06R,GA0AT05R,GA0AT06R,GA0BK05R,GA0BK06R,GA0BS05R,GA0BS06R,GA0BT05R,GA0BT06R,GA0EL06R,GA0EL07R,GA0GH05R,GA0GH06R
'001902001,2007,.,2.2,2.2,40,39.4,96.4,96.5,.,.,.,.,0,0,-1,.,67.6,59.3,.,6.9,6.9,45.5,37,97.8,97.3,.,.,.,.,0,0,-1,.,-1,80,.,5.8,5.8,21.9,33.3,94.9,95.5,-1,.,-1,62.5,.,0,0,49.4,48.1,96.6,96.7,.,.,.,.,0,0,-1,.,75,92.9,.,0,0,62.5,66.7,98.4,97.7,.,.,.,.,0,-1,-1,.,-1,-1,.,-1,-1,.,.,.,-1,.,.,.,.,.,.,-1,.,.,.,.,-1,-1,.,.,.,-1,-1,.,.,.,.,4.3,4.3,29.6,30.4,96.3,96.2,.,.,.,.,0,0,-1,.,58.8,23.1,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,5,5,5.7,3.1,95.3,95.3,-1,.,0,-1,.,1.4,1.4,37.9,38.6,96.1,96.2,.,.,.,.,0,0,-1,.,65.6,50,-1,0.9,1.1,18.4,17.7,95.1,95.8,40,50,33.3,43.5,10.7,4.9,75,68.5,64.3,72.6
'001902041,2007,0,0,.,.,.,97.1,97.1,.,.,.,.,.,.,-1,-1,.,.,0,0,.,.,.,97.8,98.4,.,.,.,.,.,.,-1,-1,.,.,0,0,.,.,.,96.5,96.7,-1,-1,.,.,0,0,.,.,.,97.4,97.4,.,.,.,.,.,.,-1,-1,.,.,0,0,.,.,.,-1,96.9,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,.,-1,-1,-1,-1,.,.,0,0,.,.,.,96.8,96.8,.,.,.,.,.,.,-1,-1,.,.,-1,-1,.,.,.,-1,-1,.,.,.,.,.,.,-1,-1,.,.,0,0,.,.,.,96,95.5,-1,-1,.,.,0,0,.,.,.,97,96.8,.,.,.,.,.,.,-1,-1,.,.,0,0,-1,-1,-1,96.3,96.4,-1,-1,-1,-1,-1,-1,69,84.5,-1,-1
'001902103,2007,.,.,.,.,.,96.3,95.8,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,.,97.5,98.1,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,.,95.9,95.2,-1,-1,.,.,.,.,.,.,.,96.4,95.7,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,.,95.8,96.5,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,96.2,95.8,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,.,94.4,95.6,-1,-1,.,.,.,.,.,.,.,96.2,95.6,.,.,.,.,.,.,-1,-1,.,.,-1,-1,-1,-1,-1,96.7,96.7,-1,-1,-1,-1,-1,-1,73,95,-1,-1
'001903001,2007,.,0.9,0.9,13.5,15.6,95.3,94.7,43.8,28.6,47.6,20,12.2,4.9,.,-1,48,54.3,.,0,0,0,8,96.8,94.6,.,.,.,.,0,0,.,-1,42.9,60,.,0,0,5.2,6,94.7,93.9,.,-1,42.9,38.1,.,1,1,17,19.1,94.9,94.7,40,33.3,45.5,22.2,14.7,8.2,.,-1,54.1,79.4,.,0,0,9.5,5.9,94.8,92.1,-1,.,-1,.,14.3,-1,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,-1,.,.,.,0.9,0.9,10.4,12.6,95.7,94.7,50,-1,50,-1,9.5,1.4,.,-1,42.1,36.2,.,0,0,-1,-1,-1,-1,.,.,.,.,.,-1,.,-1,.,.,.,0.9,0.9,2.3,2.3,94.3,94,.,-1,11.8,0,.,1.1,1.1,15,16.5,95.2,94.9,40,16.7,47.4,11.1,12.8,4.6,.,-1,48.4,53.3,-1,1,1.2,17.8,17,95.3,95.4,33.9,33.7,29.1,28.1,11.9,9.4,68,50,66.6,63.9
'001903041,2007,0,0,.,.,.,95.7,96.2,.,.,.,.,.,.,-1,-1,.,.,0,0,.,.,.,96.4,94.7,.,.,.,.,.,.,-1,-1,.,.,0,0,.,.,.,95.7,96,-1,-1,.,.,0,0,.,.,.,95.9,96.2,.,.,.,.,.,.,-1,-1,.,.,0,0,.,.,.,95.9,96.7,.,.,.,.,.,.,-1,-1,.,.,-1,-1,.,.,.,-1,-1,.,.,.,.,.,.,-1,-1,.,.,-1,-1,.,.,.,-1,-1,-1,-1,.,.,0,0,.,.,.,95.5,96.1,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,-1,-1,.,.,0,0,.,.,.,94.7,94.7,-1,-1,.,.,0,0,.,.,.,95.6,96.4,.,.,.,.,.,.,-1,-1,.,.,0,0,-1,-1,-1,96.2,96.4,-1,-1,-1,-1,-1,-1,70,84.5,-1,-1
'001903101,2007,.,.,.,.,.,96.6,96.6,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,.,96.9,96.2,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,.,96.2,95.9,-1,-1,.,.,.,.,.,.,.,96.4,96.7,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,.,97.4,97.2,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,.,-1,-1,-1,-1,.,.,.,.,.,.,.,96.8,96.5,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,.,95.8,95.8,-1,-1,.,.,.,.,.,.,.,96.5,96.6,.,.,.,.,.,.,-1,-1,.,.,-1,-1,-1,-1,-1,96.6,96.8,-1,-1,-1,-1,-1,-1,85,92,-1,-1
'001904001,2007,.,0,0,21.3,20.6,96,96.3,8,12.5,5.9,9.7,25.5,27.9,-1,-1,71.4,72.1,.,0,0,8.8,3.4,96,95.7,.,-1,.,-1,0,16.7,-1,-1,30,60,.,0,0,9.7,12.3,95.1,95.8,-1,-1,40,61.1,.,0,0,24.3,23.1,95.5,96.1,8.3,7.7,7.1,6.3,25,35.1,-1,-1,83.9,87.5,.,0,0,30,8.3,96.3,96.4,-1,.,-1,.,14.3,0,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,.,.,.,-1,-1,.,-1,-1,-1,-1,-1,.,.,.,0,0,19,18.7,96.3,96.5,7.7,18.2,5,13.3,26,22.4,-1,-1,59.4,62.2,.,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,.,-1,.,0,0,14,2.3,95.7,94.8,-1,-1,0,9.1,.,0,0,23.1,24,95.9,96.4,8.3,13,6.1,10,28.9,31.1,-1,-1,79.6,71.2,-1,0.9,1.1,17.1,16.8,95.6,95.7,33.3,34.2,29.8,29.4,9.3,2.7,71,76.5,71.4,68.9
'001904041,2007,0,0,.,.,.,97,96.4,.,.,.,.,.,.,44,40,.,.,0,0,.,.,.,97.6,96.5,.,.,.,.,.,.,-1,-1,.,.,0,0,.,.,.,97.1,96.4,44,40,.,.,0,0,.,.,.,96.8,96.4,.,.,.,.,.,.,60,-1,.,.,0,0,.,.,.,98.3,96.9,.,.,.,.,.,.,44,40,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,-1,-1,.,.,0,0,.,.,.,97.7,96.6,29,40,.,.,0,0,.,.,.,97.2,96.4,.,.,.,.,.,.,-1,29,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,.,.,0,0,.,.,.,98,96.1,-1,-1,.,.,0,0,.,.,.,96.8,96.3,.,.,.,.,.,.,-1,-1,.,.,0,0,-1,-1,-1,96.2,96.4,-1,-1,-1,-1,-1,-1,67,77,-1,-1
'001904102,2007,.,.,.,.,.,96.5,96.3,.,.,.,.,.,.,57,71,.,.,.,.,.,.,.,97.5,96.9,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,.,96.2,96.3,57,71,.,.,.,.,.,.,.,96.4,96.2,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,.,96.6,96.7,.,.,.,.,.,.,57,71,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,.,97.7,97.8,50,71,.,.,.,.,.,.,.,96.5,96.4,.,.,.,.,.,.,60,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,.,95.6,96,-1,-1,.,.,.,.,.,.,.,96.2,96.1,.,.,.,.,.,.,-1,-1,.,.,-1,-1,-1,-1,-1,96.9,96.8,-1,-1,-1,-1,-1,-1,87,91,-1,-1
'001906002,2007,0,1.8,3,18.8,10.9,96.6,96.1,.,.,.,.,0,0,.,.,53.3,77.3,0,0,0,12.5,0,97.7,97.9,.,.,.,.,-1,-1,.,.,-1,-1,0,1.8,2.9,6.9,0,95.3,95,.,.,50,.,0,1.3,2,29.7,12.5,96.9,95.8,.,.,.,.,0,0,.,.,-1,90.9,-1,0,-1,.,-1,-1,95.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,2.2,3.8,9.3,9.1,96.4,96.4,.,.,.,.,0,0,.,.,45.5,63.6,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,0,4.2,6.5,0,3.6,94.2,94.2,.,.,-1,-1,0,2.1,3.3,19.4,12,96.5,95.9,.,.,.,.,0,0,.,.,58.3,76.2,-1,0.8,0.8,18.3,18.2,95.6,95.4,35.5,39.1,33.3,33.3,10.6,10.1,67,67,68.5,69.3
