CAMPUS,YEAR,CA0CA08R,CA0CA09R,CA0CC08R,CA0CC09R,CA0CS08R,CA0CS09R,CA0CT08R,CA0CT09R,CACRB08R,CACRB09R,CACRM08R,CACRM09R,CACRR08R,CACRR09R,CB0CA08R,CB0CA09R,CB0CC08R,CB0CC09R,CB0CS08R,CB0CS09R,CB0CT08R,CB0CT09R,CBCRB08R,CBCRB09R,CBCRM08R,CBCRM09R,CBCRR08R,CBCRR09R,CECRB08R,CECRB09R,CECRM08R,CECRM09R,CECRR08R,CECRR09R,CF0CA08R,CF0CA09R,CF0CC08R,CF0CC09R,CF0CS08R,CF0CS09R,CF0CT08R,CF0CT09R,CFCRB08R,CFCRB09R,CFCRM08R,CFCRM09R,CFCRR08R,CFCRR09R,CH0CA08R,CH0CA09R,CH0CC08R,CH0CC09R,CH0CS08R,CH0CS09R,CH0CT08R,CH0CT09R,CHCRB08R,CHCRB09R,CHCRM08R,CHCRM09R,CHCRR08R,CHCRR09R,CI0CA08R,CI0CA09R,CI0CC08R,CI0CC09R,CI0CS08R,CI0CS09R,CI0CT08R,CI0CT09R,CICRB08R,CICRB09R,CICRM08R,CICRM09R,CICRR08R,CICRR09R,CLCRB08R,CLCRB09R,CLCRM08R,CLCRM09R,CLCRR08R,CLCRR09R,CM0CA08R,CM0CA09R,CM0CC08R,CM0CC09R,CM0CS08R,CM0CS09R,CM0CT08R,CM0CT09R,CMCRB08R,CMCRB09R,CMCRM08R,CMCRM09R,CMCRR08R,CMCRR09R,CP0CA08R,CP0CA09R,CP0CC08R,CP0CC09R,CP0CS08R,CP0CS09R,CP0CT08R,CP0CT09R,CPCRB08R,CPCRB09R,CPCRM08R,CPCRM09R,CPCRR08R,CPCRR09R,CSCRB08R,CSCRB09R,CSCRM08R,CSCRM09R,CSCRR08R,CSCRR09R,CW0CA08R,CW0CA09R,CW0CC08R,CW0CC09R,CW0CS08R,CW0CS09R,CW0CT08R,CW0CT09R,CWCRB08R,CWCRB09R,CWCRM08R,CWCRM09R,CWCRR08R,CWCRR09R,GA0CA08R,GA0CA09R,GA0CC08R,GA0CC09R,GA0CS08R,GA0CS09R,GA0CT08R,GA0CT09R,GACRB08R,GACRB09R,GACRM08R,GACRM09R,GACRR08R,GACRR09R
'001902001,2010,-1,18.4,11.1,36.4,923,993,37.5,42.3,35,59,52,71,52,69,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12.5,50,920,1054,53.3,53.3,21,64,36,75,43,86,.,.,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,-1,-1,-1,-1,11.1,27.3,56,53,78,67,67,53,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-3,-1,-3,-1,-3,-1,-1,11.1,37.5,923,1009,42.9,34.8,40,62,55,75,60,69,21,21.1,28.6,28.6,1007,1014,73.1,58.6,49,48,65,64,64.5,67
'001902041,2010,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'001902103,2010,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'001903001,2010,20.4,20.8,19.2,18.8,977,956,45.6,58.2,48,42,59,54,74,58,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,38,-3,44,31,69,15,-1,21.1,25,15,970,930,30.8,66.7,38,43,50,56,71,60,.,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16.7,25,981,996,58.1,48,57,41,67,51,77,56,.,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1,-1,7,-1,6,-1,13,20.4,20.5,17.4,17.2,967,957,45.1,56.9,50,44,58,55,77,59,21.1,20.7,28.7,23.9,1013,1001,67.9,61.2,48.5,51,66,65.5,63.5,64.5
'001903041,2010,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'001903101,2010,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'001904001,2010,23.8,19.6,25,22.7,978,959,53.3,44,41,52,68,63,55,67,.,-1,-1,-1,-1,-1,-1,-1,60,-1,80,-1,60,-1,38,58,69,73,56,63,-1,18.2,14.3,16.7,924,933,66.7,57.1,60,71,70,86,75,73,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21.7,40,30,1062,988,41.7,34.5,25,37,67,46,38,63,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,23.8,19.6,31.6,31.3,1007,1015,48.7,38.1,41,50,68,61,54,68,20.6,21.3,22.7,27,988,1004,61.4,60.9,43,50.5,56,66,60,65
'001904041,2010,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'001904102,2010,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'001906002,2010,19.8,18.9,0,9.1,-1,816,41.7,50,25,28,42,52,50,41,.,.,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,57.1,50,29,20,29,30,71,50,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,-1,14.3,-1,-1,20,50,20,32,60,63,20,37,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-3,-1,-3,-1,-3,19.8,18.9,0,10,-1,857,45.5,52.6,27,33,45,58,45,46,20.4,20.1,22.8,21.3,1001,994,67.8,58.9,46,43,59,55,62.5,61.5
