CAMPUS,Year,CA1C408R,CA1C409R,CA2C408R,CA2C409R,CADC408R,CADC409R,CADC508R,CAEC408R,CAEC409R,CAEC508R,CAGC408R,CAGC409R,CAGC508R,CANC408R,CANC409R,CANC508R,CB1C408R,CB1C409R,CB2C408R,CB2C409R,CBDC408R,CBDC409R,CBDC508R,CBEC408R,CBEC409R,CBEC508R,CBGC408R,CBGC409R,CBGC508R,CBNC408R,CBNC409R,CBNC508R,CE1C408R,CE1C409R,CE2C408R,CE2C409R,CEDC408R,CEDC409R,CEDC508R,CEEC408R,CEEC409R,CEEC508R,CEGC408R,CEGC409R,CEGC508R,CENC408R,CENC409R,CENC508R,CF1C408R,CF1C409R,CF2C408R,CF2C409R,CFDC408R,CFDC409R,CFDC508R,CFEC408R,CFEC409R,CFEC508R,CFGC408R,CFGC409R,CFGC508R,CFNC408R,CFNC409R,CFNC508R,CH1C408R,CH1C409R,CH2C408R,CH2C409R,CHDC408R,CHDC409R,CHDC508R,CHEC408R,CHEC409R,CHEC508R,CHGC408R,CHGC409R,CHGC508R,CHNC408R,CHNC409R,CHNC508R,CI1C408R,CI1C409R,CI2C408R,CI2C409R,CIDC408R,CIDC409R,CIDC508R,CIEC408R,CIEC409R,CIEC508R,CIGC408R,CIGC409R,CIGC508R,CINC408R,CINC409R,CINC508R,CL1C408R,CL1C409R,CL2C408R,CL2C409R,CLDC408R,CLDC409R,CLDC508R,CLEC408R,CLEC409R,CLEC508R,CLGC408R,CLGC409R,CLGC508R,CLNC408R,CLNC409R,CLNC508R,CM1C408R,CM1C409R,CM2C408R,CM2C409R,CMDC408R,CMDC409R,CMDC508R,CMEC408R,CMEC409R,CMEC508R,CMGC408R,CMGC409R,CMGC508R,CMNC408R,CMNC409R,CMNC508R,CP1C408R,CP1C409R,CP2C408R,CP2C409R,CPDC408R,CPDC409R,CPDC508R,CPEC408R,CPEC409R,CPEC508R,CPGC408R,CPGC409R,CPGC508R,CPNC408R,CPNC409R,CPNC508R,CS1C408R,CS1C409R,CS2C408R,CS2C409R,CSDC408R,CSDC409R,CSDC508R,CSEC408R,CSEC409R,CSEC508R,CSGC408R,CSGC409R,CSGC508R,CSNC408R,CSNC409R,CSNC508R,CW1C408R,CW1C409R,CW2C408R,CW2C409R,CWDC408R,CWDC409R,CWDC508R,CWEC408R,CWEC409R,CWEC508R,CWGC408R,CWGC409R,CWGC508R,CWNC408R,CWNC409R,CWNC508R,GA1C408R,GA1C409R,GA2C408R,GA2C409R,GADC408R,GADC409R,GADC508R,GAEC408R,GAEC409R,GAEC508R,GAGC408R,GAGC409R,GAGC508R,GANC408R,GANC409R,GANC508R
'001902001,2010,96.8,100,96.8,100,3.2,0,3.2,0,0,0,96.8,93.9,96.8,0,6.1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,100,-1,0,-1,0,0,-1,0,100,-1,100,0,-1,0,100,100,100,100,0,0,0,0,0,0,100,100,100,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,93.3,100,93.3,100,6.7,0,6.7,0,0,0,93.3,88.2,93.3,0,11.8,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,100,100,100,0,0,0,0,0,0,100,83.3,100,0,16.7,0,100,100,100,100,0,0,0,0,0,0,100,93.3,100,0,6.7,0,96.3,96.2,97.1,97.4,2.9,2.6,4,0.9,0,1.6,92.2,93.8,94.5,2.8,2,0
'001902041,2010,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'001902103,2010,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'001903001,2010,97.4,95.1,98.7,97.5,1.3,2.5,1.3,1.3,2.5,1.3,93.6,92.6,97.4,3.8,2.5,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,92.9,88.9,96.4,94.4,3.6,5.6,3.6,3.6,5.6,3.6,92.9,83.3,92.9,0,5.6,0,97.1,100,100,100,0,0,0,2.9,0,2.9,97.1,100,97.1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97.7,91.1,97.7,95.6,2.3,4.4,2.3,0,4.4,0,90.9,86.7,97.7,6.8,4.4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,94.4,95.8,94.4,100,5.6,0,5.6,0,4.2,0,94.4,95.8,94.4,0,0,0,97.1,95.9,98.6,98.6,1.4,1.4,1.4,1.4,2.7,1.4,92.8,93.2,97.1,4.3,2.7,0,96.1,96.1,97.1,96.9,2.9,3.1,3.3,0.4,0,1.4,92.4,93.6,94.2,2.9,1.9,0
'001903041,2010,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'001903101,2010,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'001904001,2010,98.2,98.2,100,100,0,0,0,1.8,1.8,1.8,98.2,98.2,98.2,0,0,0,100,100,100,100,0,0,0,0,0,0,100,100,100,0,0,0,100,96.8,100,100,0,0,0,0,3.2,0,100,96.8,100,0,0,0,100,100,100,100,0,0,0,0,0,0,100,100,100,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,.,-1,.,.,-1,.,.,-1,.,96.7,97.1,100,100,0,0,0,3.3,2.9,3.3,96.7,97.1,96.7,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,100,100,100,0,0,0,0,0,0,100,100,100,0,0,0,97.8,97.9,100,100,0,0,0,2.2,2.1,2.2,97.8,97.9,97.8,0,0,0,92.9,95.4,95.2,96.5,4.8,3.5,4.2,0.7,0.6,1.3,90.1,93.4,93.6,3.1,3.1,0.3
'001904041,2010,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'001904102,2010,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'001906002,2010,89.5,97,94.7,100,5.3,0,5.3,5.3,3,10.5,84.2,97,84.2,5.3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66.7,-1,83.3,-1,16.7,-1,16.7,16.7,-1,33.3,50,-1,50,16.7,-1,0,100,100,100,100,0,0,0,0,0,0,100,100,100,0,0,0,.,-1,.,-1,.,-1,.,.,-1,.,.,-1,.,.,-1,.,.,-1,.,-1,.,-1,.,.,-1,.,.,-1,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,81.8,95.5,90.9,100,9.1,0,9.1,9.1,4.5,18.2,72.7,95.5,72.7,9.1,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,60,90.9,80,100,20,0,20,20,9.1,20,60,90.9,60,0,0,0,88.9,96.2,94.4,100,5.6,0,5.6,5.6,3.8,11.1,83.3,96.2,83.3,5.6,0,0,92.7,94.9,95.1,95.7,4.9,4.4,5.6,1.3,0.8,1.5,90.1,91.7,91.2,3,3,0
