CAMPUS,YEAR,CA0CA09R,CA0CA10R,CA0CC09R,CA0CC10R,CA0CS09R,CA0CS10R,CA0CT09R,CA0CT10R,CACRB09R,CACRB10R,CACRM09R,CACRM10R,CACRR09R,CACRR10R,CB0CA09R,CB0CA10R,CB0CC09R,CB0CC10R,CB0CS09R,CB0CS10R,CB0CT09R,CB0CT10R,CBCRB09R,CBCRB10R,CBCRM09R,CBCRM10R,CBCRR09R,CBCRR10R,CECRB09R,CECRB10R,CECRM09R,CECRM10R,CECRR09R,CECRR10R,CF0CA09R,CF0CA10R,CF0CC09R,CF0CC10R,CF0CS09R,CF0CS10R,CF0CT09R,CF0CT10R,CFCRB09R,CFCRB10R,CFCRM09R,CFCRM10R,CFCRR09R,CFCRR10R,CH0CA09R,CH0CA10R,CH0CC09R,CH0CC10R,CH0CS09R,CH0CS10R,CH0CT09R,CH0CT10R,CHCRB09R,CHCRB10R,CHCRM09R,CHCRM10R,CHCRR09R,CHCRR10R,CI0CA09R,CI0CA10R,CI0CC09R,CI0CC10R,CI0CS09R,CI0CS10R,CI0CT09R,CI0CT10R,CICRB09R,CICRB10R,CICRM09R,CICRM10R,CICRR09R,CICRR10R,CLCRB09R,CLCRB10R,CLCRM09R,CLCRM10R,CLCRR09R,CLCRR10R,CM0CA09R,CM0CA10R,CM0CC09R,CM0CC10R,CM0CS09R,CM0CS10R,CM0CT09R,CM0CT10R,CMCRB09R,CMCRB10R,CMCRM09R,CMCRM10R,CMCRR09R,CMCRR10R,CSCRB09R,CSCRB10R,CSCRM09R,CSCRM10R,CSCRR09R,CSCRR10R,CW0CA09R,CW0CA10R,CW0CC09R,CW0CC10R,CW0CS09R,CW0CS10R,CW0CT09R,CW0CT10R,CWCRB09R,CWCRB10R,CWCRM09R,CWCRM10R,CWCRR09R,CWCRR10R,GA0CA09R,GA0CA10R,GA0CC09R,GA0CC10R,GA0CS09R,GA0CS10R,GA0CT09R,GA0CT10R,GACRB09R,GACRB10R,GACRM09R,GACRM10R,GACRR09R,GACRR10R,C20CA10R,C20CC10R,C20CS10R,C20CT10R,C2CRB10R,C2CRM10R,C2CRR10R,C30CA10R,C30CC10R,C30CS10R,C30CT10R,C3CRB10R,C3CRM10R,C3CRR10R,C40CA10R,C40CC10R,C40CS10R,C40CT10R,C4CRB10R,C4CRM10R,C4CRR10R
'001902001,2011,18.4,21.4,36.4,6.3,993,894,42.3,38.1,59,54,71,65,69,70,-1,.,-1,0,-1,776,-1,45.5,-1,33,-1,33,-1,67,-1,42,-1,67,-1,67,-1,21,50,0,1054,910,53.3,35,64,57,75,67,86,77,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11.1,-1,883,27.3,40.9,53,52,67,64,53,64,-3,-3,-3,20,-3,20,-1,21.3,37.5,10,1009,965,34.8,35.7,62,63,75,80,69,71,21.1,21.5,28.6,27.3,1014,999,58.6,60.4,48,59,64,70,67,72,.,.,.,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
'001902041,2011,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001902103,2011,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001903001,2011,20.8,21.3,18.8,18.8,956,989,58.2,50.8,42,56,54,70,58,70,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,40,31,53,15,63,21.1,20.3,15,15.8,930,982,66.7,54.3,43,62,56,77,60,72,.,.,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,23.1,996,1001,48,46.4,41,48,51,61,56,68,7,-3,6,-3,13,43,20.5,22.2,17.2,23.1,957,1004,56.9,49.1,44,57,55,72,59,68,20.7,21,23.9,23.2,1001,987,61.2,65.2,51,56,65.5,68,64.5,70.5,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
'001903041,2011,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001903101,2011,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001904001,2011,19.6,17.3,22.7,9.7,959,905,44,60.8,52,45,63,60,67,62,-1,-1,-1,-1,-1,-1,-1,-2,-1,-3,-1,-3,-1,17,58,50,73,61,63,61,18.2,17.6,16.7,8.3,933,860,57.1,60,71,45,86,59,73,64,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21.7,17,30,10.5,988,931,34.5,61.3,37,45,46,61,63,61,-1,-1,-1,-1,20,-1,19.6,18.6,31.3,9.1,1015,940,38.1,52.4,50,49,61,66,68,68,21.3,21.3,27,24.3,1004,996,60.9,59,50.5,54,66,70,65,67,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
'001904041,2011,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001904102,2011,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001906002,2011,18.9,-1,9.1,33.3,816,920,50,54.5,28,36,52,40,41,64,.,-1,-1,-1,-1,-1,-1,60,-1,40,-1,60,-1,50,-1,22,-1,33,-1,44,-1,-1,-1,60,-1,-1,50,41.7,20,33,30,42,50,67,.,.,.,-1,.,-1,-1,80,-1,33,-1,33,-1,67,.,.,.,.,.,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,-1,14.3,14.3,-1,900,50,70,32,38,63,38,37,63,-3,-1,-3,-1,-3,17,18.9,-1,10,40,857,-1,52.6,45.5,33,38,58,38,46,73,20.1,21.2,21.3,25,994,994,58.9,59.6,43,59,55,73,61.5,72,.,.,.,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
