CAMPUS,YEAR,CA0708DR11R,CA0912DR11R,CA0AD10R,CA0AD11R,CA0AT10R,CA0AT11R,CA0BK10R,CA0BK11R,CA0BS10R,CA0BS11R,CA0BT10R,CA0BT11R,CA0GH10R,CA0GH11R,CB0708DR11R,CB0912DR11R,CB0AD10R,CB0AD11R,CB0AT10R,CB0AT11R,CB0BK10R,CB0BK11R,CB0BS10R,CB0BS11R,CB0BT10R,CB0BT11R,CB0GH10R,CB0GH11R,CE0708DR11R,CE0912DR11R,CE0AD10R,CE0AD11R,CE0AT10R,CE0AT11R,CE0GH10R,CE0GH11R,CF0708DR11R,CF0912DR11R,CF0AD10R,CF0AD11R,CF0AT10R,CF0AT11R,CF0BK10R,CF0BK11R,CF0BS10R,CF0BS11R,CF0BT10R,CF0BT11R,CF0GH10R,CF0GH11R,CH0708DR11R,CH0912DR11R,CH0AD10R,CH0AD11R,CH0AT10R,CH0AT11R,CH0BK10R,CH0BK11R,CH0BS10R,CH0BS11R,CH0BT10R,CH0BT11R,CH0GH10R,CH0GH11R,CI0708DR11R,CI0912DR11R,CI0AD10R,CI0AD11R,CI0AT10R,CI0AT11R,CI0BK10R,CI0BK11R,CI0BS10R,CI0BS11R,CI0BT10R,CI0BT11R,CI0GH10R,CI0GH11R,CL0708DR11R,CL0912DR11R,CL0AD10R,CL0AD11R,CL0AT10R,CL0AT11R,CL0GH10R,CL0GH11R,CM0708DR11R,CM0912DR11R,CM0AD10R,CM0AD11R,CM0AT10R,CM0AT11R,CM0BK10R,CM0BK11R,CM0BS10R,CM0BS11R,CM0BT10R,CM0BT11R,CM0GH10R,CM0GH11R,CR0708DR11R,CR0912DR11R,CR0AD10R,CR0AD11R,CR0AT10R,CR0AT11R,CR0GH10R,CR0GH11R,CS0708DR11R,CS0912DR11R,CS0AD10R,CS0AD11R,CS0AT10R,CS0AT11R,CS0GH10R,CS0GH11R,CW0708DR11R,CW0912DR11R,CW0AD10R,CW0AD11R,CW0AT10R,CW0AT11R,CW0BK10R,CW0BK11R,CW0BS10R,CW0BS11R,CW0BT10R,CW0BT11R,CW0GH10R,CW0GH11R,GA0708DR11R,GA0912DR11R,GA0AD10R,GA0AD11R,GA0AT10R,GA0AT11R,GA0BK10R,GA0BK11R,GA0BS10R,GA0BS11R,GA0BT10R,GA0BT11R,GA0GH10R,GA0GH11R,C20708DR11R,C20912DR11R,C20AD10R,C20AD11R,C20AT10R,C20AT11R,C20BK10R,C20BK11R,C20BS10R,C20BS11R,C20BT10R,C20BT11R,C20GH10R,C20GH11R,C30708DR11R,C30912DR11R,C30AD10R,C30AD11R,C30AT10R,C30AT11R,C30BK10R,C30BK11R,C30BS10R,C30BS11R,C30BT10R,C30BT11R,C30GH10R,C30GH11R,C40708DR11R,C40912DR11R,C40AD10R,C40AD11R,C40AT10R,C40AT11R,C40BK10R,C40BK11R,C40BS10R,C40BS11R,C40BT10R,C40BT11R,C40GH10R,C40GH11R
'001902001,2012,.,0.5,21.2,18.4,96.3,96.3,.,.,.,.,.,.,85.4,68.9,.,.,13.8,25,96.4,96.7,.,.,.,.,.,.,100,83.3,.,1.6,18.8,17.2,95.7,95.1,83.3,56.3,.,1.3,24.1,19.2,95.7,96.1,.,.,.,.,.,.,95.5,82.4,.,.,37.5,33.3,97.6,97.1,.,.,.,.,-1,.,-1,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19.3,17.9,96.6,96.4,.,.,.,.,.,.,76.9,60.7,.,1.8,35.6,16.7,95.9,95.5,80,31.3,.,.,34.6,3.8,94.9,96.2,16.7,.,.,0.7,22.5,16.7,96.3,96.3,.,.,.,.,.,.,81.3,75,-1,0.4,21.6,23.1,95.5,95.9,36.4,43.1,34.1,36.5,9.4,8.2,79.7,77.7,.,.,11.1,12.5,95,94.1,.,.,.,.,-1,-1,-1,-1,.,.,-1,.,-1,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001902041,2012,.,.,.,.,96,96.9,.,.,.,.,.,.,.,.,.,.,.,.,96,97.3,.,.,.,.,.,.,.,.,.,.,.,.,95.6,96,.,.,.,.,.,.,95.9,96.8,.,.,.,.,.,.,.,.,.,.,.,.,96.2,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.1,97,.,.,.,.,.,.,.,.,.,.,.,.,95.1,96.6,.,.,.,.,.,.,95.7,96.6,.,.,.,.,.,.,96,96.9,.,.,.,.,.,.,.,.,-1,-1,-1,-1,96.2,96.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,94.7,-1,.,.,.,.,.,.,.,.,-1,.,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001902103,2012,.,.,.,.,96.3,96.2,.,.,.,.,.,.,.,.,.,.,.,.,97.2,96.5,.,.,.,.,.,.,.,.,.,.,.,.,95.8,95.8,.,.,.,.,.,.,96.3,96.4,.,.,.,.,.,.,.,.,.,.,.,.,94.1,94.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,96.4,96,.,.,.,.,.,.,.,.,.,.,.,.,96.1,96.1,.,.,.,.,.,.,95.8,95.5,.,.,.,.,.,.,96.4,96.3,.,.,.,.,.,.,.,.,-1,-1,-1,-1,96.3,96.6,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,96.2,95.8,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001903001,2012,.,0.5,17.3,12.8,95.2,95.7,47.1,66.7,39.1,71.4,12.8,8.9,76.5,69.3,.,3,16.7,7.1,94,95.1,-1,.,-1,.,14.3,27.3,50,60,.,1.2,9.2,8.1,94.5,95,61.9,53.3,.,0.6,20.6,12.4,94.9,95.5,50,66.7,33.3,66.7,13.1,11.3,85.7,84.6,.,2.8,31.6,26.3,95.3,96.6,-1,-1,-1,-1,42.9,14.3,100,-1,.,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,.,-1,.,.,.,.,.,.,.,.,.,0.5,14.4,13.1,95.5,95.9,44.4,66.7,45.5,75,12.5,7.3,66.7,61.2,.,1.6,4.4,4.2,93.9,95,35.7,33.3,.,2.9,2,9.9,93.8,94.2,11.1,9.1,.,0.6,16.7,12.6,95.3,95.7,61.5,72.7,50,76.9,11.4,9.1,77.3,70.8,-1,0.4,18.8,21.4,95.5,95.7,58.3,37.9,55,33.3,0.2,3.2,77.2,72.4,.,-1,14.3,-1,95,-1,.,.,.,.,-1,.,-1,.,.,-1,-1,-1,-1,-1,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001903041,2012,1.5,.,.,.,96.4,97.1,.,.,.,.,.,.,.,.,11.1,.,.,.,98.6,96.1,.,.,.,.,.,.,.,.,.,.,.,.,95.8,96.5,.,.,3.1,.,.,.,96.4,97,.,.,.,.,.,.,.,.,.,.,.,.,96.8,96.7,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.4,97.2,.,.,.,.,.,.,.,.,1.4,.,.,.,96.3,96.7,.,.,.,.,.,.,95.1,96.4,.,.,1.1,.,.,.,96.3,97.1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,96.2,96.3,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,96.9,97.7,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001903101,2012,.,.,.,.,96.1,96.5,.,.,.,.,.,.,.,.,.,.,.,.,96.7,96.7,.,.,.,.,.,.,.,.,.,.,.,.,95.5,96,.,.,.,.,.,.,96,96.3,.,.,.,.,.,.,.,.,.,.,.,.,95.8,96.6,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,97.7,.,.,.,.,.,.,96.2,96.7,.,.,.,.,.,.,.,.,.,.,.,.,95.7,96.1,.,.,.,.,.,.,95.7,96.4,.,.,.,.,.,.,96.1,96.4,.,.,.,.,.,.,.,.,.,.,-1,.,96.3,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,96.7,96.8,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.
'001903102,2012,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001904001,2012,.,0.4,29.2,24.8,95,95.2,15.4,31.3,8.3,20.7,13,15.8,86.2,85.7,.,2.6,33.3,14.3,94.5,95.2,-1,-1,-1,-1,10,15.4,33.3,87.5,.,0.7,27.6,15.4,94.7,94.8,71.4,74.1,.,2.1,31.6,22.3,94.7,94.7,12.5,40,6.7,22.2,20,11.1,87,90.5,.,1.7,37.5,43.8,96.2,95.1,-1,.,16.7,.,33.3,39.7,-1,83.3,.,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,.,-1,.,3,37.5,75,99.4,98.8,.,-1,.,0.7,27.5,26.8,95.1,95.7,20,27.3,11.1,20,8.3,19.6,85.7,82.9,.,2.2,13.9,13,94.3,94.4,61.1,72,.,2.6,19.4,4.7,94.4,94.8,.,15,.,3.2,26.6,23.5,94.8,95.2,12.5,38.5,6.7,26.1,10.4,17.3,95.3,86.8,-1,0.4,22.1,25,95.1,95.6,52.9,51.4,42.1,47.1,9.3,12.8,80.3,74.3,.,-1,33.3,25,94.6,94.7,.,.,.,.,-1,-1,-1,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001904041,2012,.,.,.,.,94.8,95.8,.,.,.,.,.,.,.,.,.,.,.,.,97,97.6,.,.,.,.,.,.,.,.,.,.,.,.,94.1,95.6,.,.,.,.,.,.,94.8,94.9,.,.,.,.,.,.,.,.,.,.,.,.,96.2,95.8,.,.,.,.,.,.,.,.,-1,.,.,.,.,-1,.,.,.,.,.,.,.,.,-1,.,.,.,-1,-1,.,.,.,.,.,.,94.8,96.6,.,.,.,.,.,.,.,.,.,.,.,.,94.3,95.5,.,.,.,.,.,.,93.1,95.4,.,.,.,.,.,.,94,95.4,.,.,.,.,.,.,.,.,-1,-1,-1,-1,96.1,96.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,96.3,-1,.,.,.,.,.,.,.,.,-1,.,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001904102,2012,.,.,.,.,96,95.8,.,.,.,.,.,.,.,.,.,.,.,.,96.6,96.9,.,.,.,.,.,.,.,.,.,.,.,.,95.6,95.2,.,.,.,.,.,.,95.8,95.6,.,.,.,.,.,.,.,.,.,.,.,.,97,96.2,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,97.6,96.6,.,.,.,.,.,.,96.1,96,.,.,.,.,.,.,.,.,.,.,.,.,95.8,95,.,.,.,.,.,.,94.6,92.5,.,.,.,.,.,.,95.8,95.6,.,.,.,.,.,.,.,.,-1,-1,-1,-1,96.6,96.7,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,95.5,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
