CAMPUS,YEAR,C20CA11R,C20CAA12R,C20CC11R,C20CC12R,C20CSA12R,C20CT11R,C20CT12R,C2CRB11R,C2CRB12R,C2CRM11R,C2CRM12R,C2CRR11R,C2CRR12R,C30CA11R,C30CAA12R,C30CC11R,C30CC12R,C30CSA12R,C30CT11R,C30CT12R,C3CRB11R,C3CRB12R,C3CRM11R,C3CRM12R,C3CRR11R,C3CRR12R,C40CA11R,C40CAA12R,C40CC11R,C40CC12R,C40CSA12R,C40CT11R,C40CT12R,C4CRB11R,C4CRB12R,C4CRM11R,C4CRM12R,C4CRR11R,C4CRR12R,CA0CA11R,CA0CAA12R,CA0CC11R,CA0CC12R,CA0CSA12R,CA0CT11R,CA0CT12R,CACRB11R,CACRB12R,CACRM11R,CACRM12R,CACRR11R,CACRR12R,CB0CA11R,CB0CAA12R,CB0CC11R,CB0CC12R,CB0CSA12R,CB0CT11R,CB0CT12R,CBCRB11R,CBCRB12R,CBCRM11R,CBCRM12R,CBCRR11R,CBCRR12R,CE0CAA12R,CE0CC12R,CE0CSA12R,CE0CT12R,CECRB11R,CECRB12R,CECRM11R,CECRM12R,CECRR11R,CECRR12R,CF0CA11R,CF0CAA12R,CF0CC11R,CF0CC12R,CF0CSA12R,CF0CT11R,CF0CT12R,CFCRB11R,CFCRB12R,CFCRM11R,CFCRM12R,CFCRR11R,CFCRR12R,CH0CA11R,CH0CAA12R,CH0CC11R,CH0CC12R,CH0CSA12R,CH0CT11R,CH0CT12R,CHCRB11R,CHCRB12R,CHCRM11R,CHCRM12R,CHCRR11R,CHCRR12R,CI0CA11R,CI0CAA12R,CI0CC11R,CI0CC12R,CI0CSA12R,CI0CT11R,CI0CT12R,CICRB11R,CICRB12R,CICRM11R,CICRM12R,CICRR11R,CICRR12R,CLCRB11R,CLCRB12R,CLCRM11R,CLCRM12R,CLCRR11R,CLCRR12R,CM0CA11R,CM0CAA12R,CM0CC11R,CM0CC12R,CM0CSA12R,CM0CT11R,CM0CT12R,CMCRB11R,CMCRB12R,CMCRM11R,CMCRM12R,CMCRR11R,CMCRR12R,CRCRB11R,CRCRB12R,CRCRM11R,CRCRM12R,CRCRR11R,CRCRR12R,CSCRB11R,CSCRB12R,CSCRM11R,CSCRM12R,CSCRR11R,CSCRR12R,CW0CA11R,CW0CAA12R,CW0CC11R,CW0CC12R,CW0CSA12R,CW0CT11R,CW0CT12R,CWCRB11R,CWCRB12R,CWCRM11R,CWCRM12R,CWCRR11R,CWCRR12R
'001902001,2013,.,.,-1,.,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18.7,20.2,10,19,1483,52.6,56.8,56,82,67,86,76,89,-1,.,0,-1,-1,100,60,67,-1,67,-1,83,80,-1,14.3,1478,53.8,38,69,50,77,69,79,-1,.,14.3,12.5,1490,46.7,50,53,88,65,88,71,100,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,20.2,7.7,23.1,1477,56.5,61.9,57,78,68,84,79,80,19,38,31,50,56,56,14,-1,14,-1,43,-1,-1,20.2,15.4,23.5,1484,46.4,54.8,56,80,69,84,72,90
'001902041,2013,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001902103,2013,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001903001,2013,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23.2,-1,19.4,16.2,1417,56.3,50,65,57,76,75,75,67,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,8.3,1270,36.4,59,50,73,77,65,58,-1,-1,12.5,10.5,1329,66.7,57.6,63,50,71,66,83,66,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,-1,.,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,24.8,-1,25,22.2,1504,50,43.9,67,64,79,85,70,68,36,17,45,50,58,23,-1,-1,-1,-1,-1,-1,23.2,-1,22.6,18.2,1417,55.4,48.5,67,57,76,74,77,68
'001903041,2013,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001903101,2013,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001903102,2013,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001904001,2013,.,.,.,-1,-1,.,-1,.,-1,.,-1,.,-1,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,19.2,18.3,21.4,25,1312,58.3,50,64,53,83,64,67,65,-1,-1,-1,0,1056,57.1,66.7,43,33,57,33,57,33,-1,7.7,1127,44.8,53,52,68,63,60,59,21.2,17.8,22.2,18.8,1276,47.4,59.3,61,52,78,63,72,67,-1,.,-1,-1,-1,80,-1,60,-1,100,-1,60,-1,.,.,-1,.,.,-1,.,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,18,-1,21.1,33.3,1352,65.5,41.4,66,54,86,64,63,64,35,24,59,35,44,29,.,0,.,17,-1,0,20.2,-1,22.2,37.5,1440,54.5,39,66,55,84,68,67,73
'001904041,2013,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001904102,2013,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
