CAMPUS,Year,C22C4X12R,C23C4X12R,C2DC4X11R,C2DC4X12R,C2EC4X11R,C2EC4X12R,C2GC411R,C2GC412R,C2GC4X11R,C2GC4X12R,C2NC4X11R,C2NC4X12R,C32C4X12R,C33C4X12R,C3DC4X11R,C3DC4X12R,C3EC4X11R,C3EC4X12R,C3GC411R,C3GC412R,C3GC4X11R,C3GC4X12R,C3NC4X11R,C3NC4X12R,C42C4X12R,C43C4X12R,C4DC4X11R,C4DC4X12R,C4EC4X11R,C4EC4X12R,C4GC411R,C4GC412R,C4GC4X11R,C4GC4X12R,C4NC4X11R,C4NC4X12R,CA2C4X12R,CA3C4X12R,CADC4X11R,CADC4X12R,CAEC4X11R,CAEC4X12R,CAGC411R,CAGC412R,CAGC4X11R,CAGC4X12R,CANC4X11R,CANC4X12R,CB2C4X12R,CB3C4X12R,CBDC4X11R,CBDC4X12R,CBEC4X11R,CBEC4X12R,CBGC411R,CBGC412R,CBGC4X11R,CBGC4X12R,CBNC4X11R,CBNC4X12R,CE2C4X12R,CE3C4X12R,CEDC4X11R,CEDC4X12R,CEEC4X11R,CEEC4X12R,CEGC411R,CEGC412R,CEGC4X11R,CEGC4X12R,CENC4X11R,CENC4X12R,CF2C4X12R,CF3C4X12R,CFDC4X11R,CFDC4X12R,CFEC4X11R,CFEC4X12R,CFGC411R,CFGC412R,CFGC4X11R,CFGC4X12R,CFNC4X11R,CFNC4X12R,CH2C4X12R,CH3C4X12R,CHDC4X11R,CHDC4X12R,CHEC4X11R,CHEC4X12R,CHGC411R,CHGC412R,CHGC4X11R,CHGC4X12R,CHNC4X11R,CHNC4X12R,CI2C4X12R,CI3C4X12R,CIDC4X11R,CIDC4X12R,CIEC4X11R,CIEC4X12R,CIGC411R,CIGC412R,CIGC4X11R,CIGC4X12R,CINC4X11R,CINC4X12R,CL2C4X12R,CL3C4X12R,CLDC4X11R,CLDC4X12R,CLEC4X11R,CLEC4X12R,CLGC411R,CLGC412R,CLGC4X11R,CLGC4X12R,CLNC4X11R,CLNC4X12R,CM2C4X12R,CM3C4X12R,CMDC4X11R,CMDC4X12R,CMEC4X11R,CMEC4X12R,CMGC411R,CMGC412R,CMGC4X11R,CMGC4X12R,CMNC4X11R,CMNC4X12R,CR2C4X12R,CR3C4X12R,CRDC4X11R,CRDC4X12R,CREC4X11R,CREC4X12R,CRGC411R,CRGC412R,CRGC4X11R,CRGC4X12R,CRNC4X11R,CRNC4X12R,CS2C4X12R,CS3C4X12R,CSDC4X11R,CSDC4X12R,CSEC4X11R,CSEC4X12R,CSGC411R,CSGC412R,CSGC4X11R,CSGC4X12R,CSNC4X11R,CSNC4X12R,CW2C4X12R,CW3C4X12R,CWDC4X11R,CWDC4X12R,CWEC4X11R,CWEC4X12R,CWGC411R,CWGC412R,CWGC4X11R,CWGC4X12R,CWNC4X11R,CWNC4X12R
'001902001,2013,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97.4,94.7,4.1,2.6,2,2.6,89.8,92.1,89.8,92.1,4.1,2.6,100,83.3,0,0,0,0,100,83.3,100,83.3,0,16.7,100,100,5.6,0,0,0,88.9,100,88.9,100,5.6,0,100,100,9.5,0,4.8,0,85.7,100,85.7,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,95.5,90.9,0,4.5,0,4.5,92.9,86.4,92.9,86.4,7.1,4.5,90,80,11.1,10,0,10,77.8,70,77.8,70,11.1,10,-1,-1,0,-1,0,-1,100,-1,100,-1,0,-1,96.8,96.8,5.3,3.2,2.6,3.2,86.8,93.5,86.8,93.5,5.3,0
'001902041,2013,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001902103,2013,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001903001,2013,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,98.6,98.6,1.4,1.4,0,0,98.6,98.6,98.6,98.6,0,0,-1,-1,16.7,-1,0,-1,83.3,-1,83.3,-1,0,-1,96.9,96.9,3.1,3.1,0,0,96.9,96.9,96.9,96.9,0,0,100,100,0,0,0,0,100,100,100,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,97.6,97.6,2.1,2.4,0,0,97.9,97.6,97.9,97.6,0,0,93.8,93.8,5.6,6.3,0,0,94.4,93.8,94.4,93.8,0,0,100,100,0,0,0,0,100,100,100,100,0,0,98.5,98.5,0,1.5,0,0,100,98.5,100,98.5,0,0
'001903041,2013,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001903101,2013,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001903102,2013,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001904001,2013,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,100,100,0,0,0,0,96.5,100,96.5,100,3.5,0,100,100,0,0,0,0,100,100,100,100,0,0,100,100,0,0,0,0,93.3,100,93.3,100,6.7,0,100,100,0,0,0,0,95,100,95,100,5,0,-1,-1,0,-1,0,-1,85.7,-1,85.7,-1,14.3,-1,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,100,0,0,0,0,97.3,100,97.3,100,2.7,0,100,100,0,0,0,0,91.7,100,91.7,100,8.3,0,100,100,0,0,0,0,100,100,100,100,0,0,100,100,0,0,0,0,97.5,100,97.5,100,2.5,0
'001904041,2013,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001904102,2013,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001906002,2013,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,100,0,0,0,0,100,94.4,100,100,0,0,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,-1,-1,0,-1,0,-1,100,-1,100,-1,0,-1,100,100,0,0,0,0,100,100,100,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,100,0,0,0,0,100,83.3,100,100,0,0,-1,-1,0,-1,0,-1,100,-1,100,-1,0,-1,-1,-1,0,-1,0,-1,100,-1,100,-1,0,-1,100,100,0,0,0,0,100,92.3,100,100,0,0
'001906102,2013,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001907001,2013,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,94.9,91.7,1.1,5.1,0.6,1.9,96.1,89.2,96.7,89.7,1.7,3.2,92.3,92.3,2.2,7.7,0,2.6,95.7,89.7,97.8,89.7,0,0,100,94.9,0,0,1.1,0,96.7,94,97.8,94.9,1.1,5.1,94.1,89.7,0,5.9,0,0,97.8,89.7,98.9,89.7,1.1,4.4,93.2,87.7,1.7,6.8,0,0,96.6,86.5,96.6,87.7,1.7,5.5,.,.,.,.,.,.,.,.,.,.,.,.,60,40,-1,40,-1,0,-1,40,-1,40,-1,20,95.5,93.2,2.2,4.5,1.1,3.4,94.4,88.8,94.4,89.8,2.2,2.3,93.3,88.6,1.1,6.7,1.1,0,95.4,88.6,95.4,88.6,2.3,4.8,93.3,93.3,0,6.7,0,0,92.3,93.3,100,93.3,0,0,100,97.5,0,0,1.4,5,95.9,92.5,95.9,92.5,2.7,2.5
'001907041,2013,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001907101,2013,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001907102,2013,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001907107,2013,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001907110,2013,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001908002,2013,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,97.1,95.2,4.1,2.9,1,1,94.9,94.2,94.9,94.2,0,1.9,95.2,95.2,6.3,4.8,0,0,93.8,95.2,93.8,95.2,0,0,97.6,95.1,5.3,2.4,0,0,94.7,95.1,94.7,95.1,0,2.4,98.1,96.2,2.3,1.9,0,1.9,97.7,94.2,97.7,94.2,0,1.9,92.3,84.6,8.3,7.7,0,0,91.7,84.6,91.7,84.6,0,7.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.2,94.2,5.5,3.8,1.8,0,92.9,94.2,92.7,94.2,0,1.9,94.6,89.2,3.2,5.4,0,0,96.9,89.2,96.8,89.2,0,5.4,90.9,90.9,0,9.1,0,0,100,90.9,100,90.9,0,0,98.5,97.1,2.9,1.5,1.5,1.5,95.7,95.6,95.6,95.6,0,1.5
