CAMPUS,YEAR,C20708DR11R,C20708DR12R,C20912DR11R,C20912DR12R,C20AD11R,C20AD12R,C20AT11R,C20AT12R,C20BK11R,C20BKA12R,C20BTA12R,C20GH11R,C20GH12R,C30708DR11R,C30708DR12R,C30912DR11R,C30912DR12R,C30AD11R,C30AD12R,C30AT11R,C30AT12R,C30BK11R,C30BKA12R,C30BTA12R,C30GH11R,C30GH12R,C40708DR11R,C40708DR12R,C40912DR11R,C40912DR12R,C40AD11R,C40AD12R,C40AT11R,C40AT12R,C40BK11R,C40BKA12R,C40BTA12R,C40GH11R,C40GH12R,CA0708DR11R,CA0708DR12R,CA0912DR11R,CA0912DR12R,CA0AD11R,CA0AD12R,CA0AT11R,CA0AT12R,CA0BK11R,CA0BKA12R,CA0BTA12R,CA0GH11R,CA0GH12R,CAHEC12R,CAHEE12R,CB0708DR11R,CB0708DR12R,CB0912DR11R,CB0912DR12R,CB0AD11R,CB0AD12R,CB0AT11R,CB0AT12R,CB0BK11R,CB0BKA12R,CB0BTA12R,CB0GH11R,CB0GH12R,CE0708DR11R,CE0708DR12R,CE0912DR11R,CE0912DR12R,CE0AD11R,CE0AD12R,CE0AT11R,CE0AT12R,CE0BKA12R,CE0BTA12R,CE0GH11R,CE0GH12R,CF0708DR11R,CF0708DR12R,CF0912DR11R,CF0912DR12R,CF0AD11R,CF0AD12R,CF0AT11R,CF0AT12R,CF0BK11R,CF0BKA12R,CF0BTA12R,CF0GH11R,CF0GH12R,CH0708DR11R,CH0708DR12R,CH0912DR11R,CH0912DR12R,CH0AD11R,CH0AD12R,CH0AT11R,CH0AT12R,CH0BK11R,CH0BKA12R,CH0BTA12R,CH0GH11R,CH0GH12R,CI0708DR11R,CI0708DR12R,CI0912DR11R,CI0912DR12R,CI0AD11R,CI0AD12R,CI0AT11R,CI0AT12R,CI0BK11R,CI0BKA12R,CI0BTA12R,CI0GH11R,CI0GH12R,CL0708DR11R,CL0708DR12R,CL0912DR11R,CL0912DR12R,CL0AD11R,CL0AD12R,CL0AT11R,CL0AT12R,CL0GH11R,CL0GH12R,CM0708DR11R,CM0708DR12R,CM0912DR11R,CM0912DR12R,CM0AD11R,CM0AD12R,CM0AT11R,CM0AT12R,CM0BK11R,CM0BKA12R,CM0BTA12R,CM0GH11R,CM0GH12R,CR0708DR11R,CR0708DR12R,CR0912DR11R,CR0912DR12R,CR0AD11R,CR0AD12R,CR0AT11R,CR0AT12R,CR0GH11R,CR0GH12R,CS0708DR11R,CS0708DR12R,CS0912DR11R,CS0912DR12R,CS0AD11R,CS0AD12R,CS0AT11R,CS0AT12R,CS0GH11R,CS0GH12R,CW0708DR11R,CW0708DR12R,CW0912DR11R,CW0912DR12R,CW0AD11R,CW0AD12R,CW0AT11R,CW0AT12R,CW0BK11R,CW0BKA12R,CW0BTA12R,CW0GH11R,CW0GH12R
'001902001,2013,.,.,.,.,12.5,33.3,94.1,94.7,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.5,0.5,18.4,23.1,96.3,96.2,.,.,.,68.9,81.1,83.3,57.8,.,.,.,.,25,38.9,96.7,97.7,.,.,.,83.3,60,.,.,1.6,1.5,17.2,25.5,95.1,94.5,.,.,56.3,78.6,.,.,1.3,1.1,19.2,23.8,96.1,95.8,.,.,.,82.4,100,.,.,.,.,33.3,21.4,97.1,97.3,.,.,.,-1,-1,.,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,.,.,.,.,.,17.9,22.6,96.4,96.5,.,.,.,60.7,66.7,.,.,1.8,.,16.7,28.1,95.5,95.9,31.3,33.3,.,.,.,.,3.8,24,96.2,96.5,.,-1,.,.,0.7,0.6,16.7,21.1,96.3,96,.,.,.,75,83.9
'001902041,2013,-1,-1,.,.,.,.,-1,94.8,.,.,.,.,.,-1,-1,.,.,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.9,96.9,.,.,.,.,.,.,.,.,.,.,.,.,.,97.3,98.4,.,.,.,.,.,.,.,.,.,.,.,96,96.3,.,.,.,.,.,.,.,.,.,.,96.8,97,.,.,.,.,.,.,-1,.,.,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97,96.8,.,.,.,.,.,.,.,.,.,.,.,96.6,96.1,.,.,.,.,.,.,.,.,96.6,97,.,.,.,.,.,.,.,.,96.9,96.9,.,.,.,.,.
'001902103,2013,.,.,.,.,.,.,95.8,97,.,.,.,.,.,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.2,96.8,.,.,.,.,.,.,.,.,.,.,.,.,.,96.5,97.6,.,.,.,.,.,.,.,.,.,.,.,95.8,96.3,.,.,.,.,.,.,.,.,.,.,96.4,96.9,.,.,.,.,.,.,.,.,.,.,.,94.9,94.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,.,.,96,96.8,.,.,.,.,.,.,.,.,.,.,.,96.1,96.4,.,.,.,.,.,.,.,.,95.5,95.4,.,.,.,.,.,.,.,.,96.3,96.9,.,.,.,.,.
'001903001,2013,.,.,.,-1,.,-1,-1,97.1,.,.,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.5,0.3,12.8,13.5,95.7,95.8,66.7,61.1,11.4,69.3,73,87.9,46.7,.,.,-1,-1,7.1,-1,95.1,96,.,.,.,60,-1,.,.,1.2,1.1,8.1,7.8,95,95,-1,6.5,53.3,63.3,.,.,0.6,0.4,12.4,15.2,95.5,95.7,66.7,53.8,19.1,84.6,84.8,.,.,0.8,1,26.3,16.7,96.6,96.1,-1,-1,33.3,-1,-1,.,.,-1,.,-1,.,-1,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,0.5,0.5,13.1,11.9,95.9,95.9,66.7,80,5.6,61.2,63.4,.,.,1.6,1.6,4.2,1.6,95,95,33.3,52.9,.,.,3.5,3.8,6.2,2.7,94.2,94.2,9.1,13.3,.,.,0.6,0.3,12.6,14.1,95.7,95.7,72.7,71.4,10.1,70.8,73.5
'001903041,2013,.,-1,.,.,.,.,97.7,96.3,.,.,.,.,.,.,-1,.,.,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.5,0.8,.,.,.,.,97.1,97,.,.,.,.,.,.,.,11.1,.,.,.,.,.,96.1,97.3,.,.,.,.,.,0.2,0.7,.,.,.,.,96.5,96.4,.,.,.,.,3.1,0.6,.,.,.,.,97,96.8,.,.,.,.,.,0.2,0.8,.,.,.,.,96.7,96.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,-1,.,.,0.3,1,.,.,.,.,97.2,97.1,.,.,.,.,.,1.4,0.6,.,.,.,.,96.7,96.6,.,.,0,0,.,.,.,.,96.4,96.5,.,.,1.1,0,.,.,.,.,97.1,97,.,.,.,.,.
'001903101,2013,.,.,.,.,.,.,96.8,-1,.,.,.,.,.,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,96.5,96.8,.,.,.,.,.,.,.,.,.,.,.,.,.,96.7,96.5,.,.,.,.,.,.,.,.,.,.,.,96,96.5,.,.,.,.,.,.,.,.,.,.,96.3,96.5,.,.,.,.,.,.,.,.,.,.,.,96.6,97.3,.,.,.,.,.,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,97.7,98,.,.,.,.,.,.,.,.,96.7,97,.,.,.,.,.,.,.,.,.,.,.,96.1,96.4,.,.,.,.,.,.,.,.,96.4,96.7,.,.,.,.,.,.,.,.,96.4,96.7,.,.,.,.,.
'001903102,2013,.,.,.,.,.,.,.,97.8,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,97,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97.3,.,.,.,.,.,.,.,.,.,.,.,.,96.8,.,.,.,.,.,.,.,.,.,.,.,96.7,.,.,.,.,.,.,.,.,.,.,.,.,97.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,97.3,.,.,.,.,.,.,.,.,.,.,.,.,96.7,.,.,.,.,.,.,.,.,.,96.8,.,.,.,.,.,.,.,.,.,96.9,.,.,.,.,.
'001904001,2013,.,.,.,.,25,36.4,94.7,93.3,.,-1,20,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.4,.,24.8,25.7,95.2,95.1,31.3,.,6.8,85.7,89.3,62.5,62.5,.,.,2.6,.,14.3,10.3,95.2,94.9,-1,.,.,87.5,55.6,.,.,0.7,.,15.4,18.7,94.8,94.8,-1,5.5,74.1,78.6,.,.,.,.,22.3,25,94.7,94.4,40,-1,7.7,90.5,100,.,.,.,.,43.8,29.4,95.1,96.7,.,-1,12.5,83.3,-1,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,.,.,.,.,-1,75,-1,98.8,-1,-1,-1,.,.,0.7,.,26.8,26.4,95.7,95.8,27.3,-1,6.3,82.9,79.3,.,.,.,.,13,8.6,94.4,94.6,72,72.2,.,.,.,.,.,5.6,94.8,95.2,.,16.7,.,.,.,.,23.5,27.8,95.2,95,38.5,.,6.9,86.8,95.1
'001904041,2013,-1,-1,.,.,.,.,-1,-1,.,.,.,.,.,-1,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,95.8,96.4,.,.,.,.,.,.,.,.,.,.,.,.,.,97.6,98.5,.,.,.,.,.,.,.,.,.,.,.,95.6,95.8,.,.,.,.,.,.,.,.,.,.,94.9,96.3,.,.,.,.,.,.,.,.,.,.,.,95.8,97.8,.,.,.,.,.,-1,.,.,.,.,.,-1,-1,.,.,.,.,.,-1,-1,.,.,.,.,-1,-1,.,.,.,.,.,.,.,.,96.6,96.5,.,.,.,.,.,.,.,.,.,.,.,95.5,95.4,.,.,.,.,.,.,.,.,95.4,96.3,.,.,.,.,.,.,.,.,95.4,96,.,.,.,.,.
'001904102,2013,.,.,.,.,.,.,95.5,95.4,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,95.8,96.5,.,.,.,.,.,.,.,.,.,.,.,.,.,96.9,98.1,.,.,.,.,.,.,.,.,.,.,.,95.2,96,.,.,.,.,.,.,.,.,.,.,95.6,96.4,.,.,.,.,.,.,.,.,.,.,.,96.2,96.9,.,.,.,.,.,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,96.6,97.6,.,.,.,.,.,.,.,.,96,96.6,.,.,.,.,.,.,.,.,.,.,.,95,96.1,.,.,.,.,.,.,.,.,92.5,93.6,.,.,.,.,.,.,.,.,95.6,96.4,.,.,.,.,.
