CAMPUS,YEAR,C200A001212R,C200A001213R,C200AC01212R,C200AC01213R,C200AM01212R,C200AM01213R,C200AR01212R,C200AR01213R,C200AS01212R,C200AS01213R,C200AW01212R,C200AW01213R,C300A001212R,C300A001213R,C300AC01212R,C300AC01213R,C300AM01212R,C300AM01213R,C300AR01212R,C300AR01213R,C300AS01212R,C300AS01213R,C300AW01212R,C300AW01213R,C400A001212R,C400A001213R,C400AC01212R,C400AC01213R,C400AM01212R,C400AM01213R,C400AR01212R,C400AR01213R,C400AS01212R,C400AS01213R,C400AW01212R,C400AW01213R,CA00A001212R,CA00A001213R,CA00AC01212R,CA00AC01213R,CA00AM01212R,CA00AM01213R,CA00AR01212R,CA00AR01213R,CA00AS01212R,CA00AS01213R,CA00AW01212R,CA00AW01213R,CB00A001212R,CB00A001213R,CB00AC01212R,CB00AC01213R,CB00AM01212R,CB00AM01213R,CB00AR01212R,CB00AR01213R,CB00AS01212R,CB00AS01213R,CB00AW01212R,CB00AW01213R,CE00A001212R,CE00A001213R,CE00AC01212R,CE00AC01213R,CE00AM01212R,CE00AM01213R,CE00AR01212R,CE00AR01213R,CE00AS01212R,CE00AS01213R,CE00AW01212R,CE00AW01213R,CF00A001212R,CF00A001213R,CF00AC01212R,CF00AC01213R,CF00AM01212R,CF00AM01213R,CF00AR01212R,CF00AR01213R,CF00AS01212R,CF00AS01213R,CF00AW01212R,CF00AW01213R,CH00A001212R,CH00A001213R,CH00AC01212R,CH00AC01213R,CH00AM01212R,CH00AM01213R,CH00AR01212R,CH00AR01213R,CH00AS01212R,CH00AS01213R,CH00AW01212R,CH00AW01213R,CI00A001212R,CI00A001213R,CI00AC01212R,CI00AC01213R,CI00AM01212R,CI00AM01213R,CI00AR01212R,CI00AR01213R,CI00AS01212R,CI00AS01213R,CI00AW01212R,CI00AW01213R,CL00A001212R,CL00A001213R,CL00AC01212R,CL00AC01213R,CL00AM01212R,CL00AM01213R,CL00AR01212R,CL00AR01213R,CL00AS01212R,CL00AS01213R,CL00AW01212R,CL00AW01213R,CM00A001212R,CM00A001213R,CM00AC01212R,CM00AC01213R,CM00AM01212R,CM00AM01213R,CM00AR01212R,CM00AR01213R,CM00AS01212R,CM00AS01213R,CM00AW01212R,CM00AW01213R,CR00A001212R,CR00A001213R,CR00AC01212R,CR00AC01213R,CR00AM01212R,CR00AM01213R,CR00AR01212R,CR00AR01213R,CR00AS01212R,CR00AS01213R,CR00AW01212R,CR00AW01213R,CS00A001212R,CS00A001213R,CS00AC01212R,CS00AC01213R,CS00AM01212R,CS00AM01213R,CS00AR01212R,CS00AR01213R,CS00AS01212R,CS00AS01213R,CS00AW01212R,CS00AW01213R,CW00A001212R,CW00A001213R,CW00AC01212R,CW00AC01213R,CW00AM01212R,CW00AM01213R,CW00AR01212R,CW00AR01213R,CW00AS01212R,CW00AS01213R,CW00AW01212R,CW00AW01213R
'001902001,13,37,43,-1,33,-1,50,20,50,-1,33,-1,-1,.,14,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,37,40,29,32,35,44,38,51,31,30,65,46,11,26,8,14,0,11,25,56,17,13,-1,33,41,39,35,35,39,37,41,42,29,29,68,51,46,47,38,35,44,53,54,62,31,29,69,54,71,42,60,14,60,43,80,43,60,43,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,31,34,22,28,29,35,27,40,30,30,60,37,6,18,0,9,7,13,10,29,4,7,-1,33,14,23,0,14,7,8,20,35,13,14,-1,42,39,41,29,34,38,46,39,52,32,29,67,46
'001902041,13,43,40,-1,-1,-1,29,-1,43,-1,-1,.,-1,67,-1,-1,.,-1,-1,-1,-1,-1,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,38,38,41,36,40,34,42,56,15,2,37,36,41,42,-1,-1,43,25,57,88,-1,-1,-1,-1,29,30,35,20,33,22,31,48,-1,0,23,43,48,41,50,32,49,35,52,65,21,5,58,35,33,17,.,-1,-1,-1,-1,-1,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27,35,32,39,30,33,32,49,9,0,19,38,10,26,15,28,18,26,8,41,-1,-1,0,11,11,34,-1,40,29,35,4,50,-1,-1,-1,-1,37,39,44,38,39,36,41,57,17,2,35,37
'001902103,13,55,53,-1,-1,-1,57,-1,57,.,.,.,-1,.,-1,.,.,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,42,46,34,19,39,46,44,48,.,.,63,62,56,22,-1,-1,-1,-1,-1,-1,.,.,-1,-1,36,36,18,9,35,40,41,33,.,.,50,56,40,46,26,13,39,47,37,47,.,.,75,67,42,23,-1,-1,-1,30,40,20,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,20,.,.,-1,-1,-1,-1,.,.,.,-1,44,46,40,25,39,44,49,49,.,.,50,58,22,30,-1,-1,17,35,24,26,.,.,-1,60,28,28,-1,-1,7,27,43,36,.,.,60,-1,41,50,32,19,39,48,42,52,.,.,64,68
'001903001,13,33,16,-1,25,-1,13,-1,13,-1,13,-1,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,21,29,6,23,27,32,28,42,14,16,42,35,4,30,-1,22,17,29,0,63,0,13,-1,-1,17,20,3,12,19,19,24,35,16,10,28,25,22,26,3,18,30,28,35,42,9,10,40,38,15,14,8,14,15,11,21,16,15,10,13,23,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,32,8,29,24,36,22,42,18,22,43,32,4,8,0,5,9,10,5,15,2,2,8,9,19,14,-1,9,8,13,29,25,21,8,-1,-1,22,31,5,25,28,35,30,45,14,17,46,37
'001903041,13,14,20,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,71,67,.,-1,-1,-1,-1,-1,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,34,31,29,19,32,29,42,45,17,9,38,35,11,11,-1,-1,-1,9,8,27,-1,-1,-1,-1,25,23,24,8,20,21,32,36,13,8,27,22,34,32,22,17,26,29,44,50,16,6,46,34,34,31,-1,-1,22,24,41,48,-1,-1,45,57,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,35,30,34,22,37,29,40,40,18,12,31,36,11,11,4,3,7,10,15,19,4,0,19,13,39,34,29,22,31,31,44,42,36,-1,67,43,35,32,29,22,33,30,45,45,16,10,39,34
'001903101,13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001903102,13,43,54,-1,-1,45,50,55,67,.,.,-1,43,0,60,-1,-1,-1,-1,-1,-1,.,.,-1,.,-1,67,.,-1,-1,-1,-1,-1,.,.,-1,-1,36,41,37,42,30,37,39,45,.,.,41,41,22,20,-1,25,24,17,18,22,.,.,38,-1,31,33,34,33,24,27,36,38,.,.,34,36,38,41,31,40,32,38,42,44,.,.,48,44,47,43,-1,50,44,45,53,45,.,.,57,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,-1,.,.,.,.,34,41,41,45,28,36,37,45,.,.,33,38,11,16,21,23,8,13,7,17,.,.,18,13,35,42,22,55,34,38,31,41,.,.,54,40,36,41,42,42,29,37,39,45,.,.,42,43
'001904001,13,0,21,-1,-1,-1,-1,-1,17,-1,33,-1,-1,40,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,9,23,1,16,11,18,18,35,4,19,11,23,6,18,0,5,8,5,8,32,8,12,-1,35,9,17,0,8,7,13,19,30,6,18,12,16,12,23,3,18,12,18,27,39,3,14,11,28,5,20,0,12,0,19,11,28,0,18,-1,23,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,22,0,15,10,19,12,31,4,25,11,18,4,14,0,9,3,9,13,27,0,10,5,13,18,27,0,14,17,21,39,34,12,28,10,29,10,24,2,18,12,21,21,38,4,20,12,20
'001904041,13,35,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,34,36,35,34,34,32,38,46,26,12,28,44,18,14,22,-1,18,8,24,25,11,-1,-1,-1,21,27,25,27,20,25,23,33,18,10,18,31,31,36,27,28,31,28,39,49,23,6,18,50,38,34,-1,-1,41,27,41,33,-1,-1,-1,80,-1,-1,.,.,-1,-1,-1,-1,.,.,.,-1,-1,33,.,-1,-1,-1,-1,-1,.,-1,-1,-1,36,36,41,37,36,35,38,44,28,15,34,39,12,14,7,6,7,15,20,20,-1,6,18,12,46,33,80,-1,31,44,54,33,40,-1,-1,-1,36,37,42,33,35,34,40,48,31,12,29,45
'001904102,13,-1,0,.,-1,-1,-1,-1,-1,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,43,43,42,38,32,40,57,52,.,.,35,35,17,35,-1,-1,8,23,25,46,.,.,-1,43,36,37,37,38,29,33,47,46,.,.,27,23,46,51,29,43,42,47,58,58,.,.,44,47,50,45,-1,38,50,50,57,44,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,.,.,-1,.,40,38,54,34,25,34,56,47,.,.,30,27,18,24,0,29,11,20,37,26,.,.,8,-1,29,47,-1,67,15,28,46,56,.,.,-1,-1,45,46,44,41,32,42,61,56,.,.,37,32
