CAMPUS,YEAR,CPCTENGA,CPCTFLAA,CPCTG01A,CPCTG02A,CPCTG03A,CPCTG04A,CPCTG05A,CPCTG06A,CPCTGKGA,CPCTGMEA,CPCTMATA,CPCTSCIA,CPCTSOCA,CPSAMIFC,CPSAMIFP,CPSATOFC,CPSETOFC,CPSETOFP,CPSOTOFC,CPSPTOFC,CPSPTOFP,CPSSTOFC,CPSSTOFP,CPSSTOSA,CPST00FC,CPST00FP,CPST00SA,CPST01FC,CPST01FP,CPST01SA,CPST06FC,CPST06FP,CPST06SA,CPST11FC,CPST11FP,CPST11SA,CPST20FC,CPST20FP,CPST20SA,CPSTASFC,CPSTASFP,CPSTBIFC,CPSTBIFP,CPSTBLFC,CPSTBLFP,CPSTCOFC,CPSTCOFP,CPSTEXPA,CPSTFEFC,CPSTFEFP,CPSTGIFC,CPSTGIFP,CPSTHIFC,CPSTHIFP,CPSTINFC,CPSTINFP,CPSTKIDR,CPSTMAFC,CPSTMAFP,CPSTOPFC,CPSTOPFP,CPSTPIFC,CPSTPIFP,CPSTREFC,CPSTREFP,CPSTSPFC,CPSTSPFP,CPSTTENA,CPSTTOFC,CPSTTOFP,CPSTTOSA,CPSTTWFC,CPSTTWFP,CPSTVOFC,CPSTVOFP,CPSTWHFC,CPSTWHFP,CPSUTOFC,CPSUTOFP,CPSUTOSA
'001902001,2013,12.3,8.9,.,.,.,.,.,.,.,.,10.4,11.5,11.7,3.923,15.629,25.098,1.5,5.977,0.05,23.598,94.023,1,3.984,65000,0.364,1.722,30875,2.5003,11.843,44141,5.9873,28.359,41127,5.8426,27.673,48055,6.4189,30.403,51499,0,0,0.1818,0.861,1,4.737,0,0,15.4727,12.377,58.625,0,0,1.922,9.105,0,0,9.7572,8.735,41.375,0,0,0,0,16.659,78.903,1.9418,9.197,6.0182,21.113,84.12,46378,0,0,2.3305,11.0384,18.19,86.157,1.4856,5.919,49813
'001902041,2013,16.9,9.5,.,.,.,.,.,13.6,.,.,15.8,17,17,0.207,1.234,16.808,2,11.899,0.05,14.808,88.101,1,5.949,68296,0.455,3.63,30875,1.4002,11.185,37169,2.8976,23.146,40116,6.8249,54.516,46147,0.9418,7.523,54413,0,0,0,0,0,0,0,0,12.5,8.963,71.597,0,0,0.182,1.452,0,0,11.6623,3.556,28.403,0,0,0,0,10.354,82.706,1.3736,10.972,5.1364,12.519,74.481,43815,0,0,0.7914,6.3216,12.337,98.548,1.2894,7.671,50736
'001902103,2013,.,.,21,19.5,12,13.6,9.6,.,13.3,.,.,.,.,3.87,11.972,32.327,8,24.747,1.8,24.327,75.253,1,3.093,64158,0.182,0.883,30875,2.1,10.2,33487,3,14.571,37818,7.3337,35.62,45476,7.9733,38.726,49389,0,0,0.1771,0.86,1,4.857,0,0,16.625,19.997,97.125,0,0,0.896,4.351,0,0,11.8025,0.592,2.875,0,0,0,0,18.373,89.239,2.0385,9.901,10.6667,20.589,63.689,44524,0,0,0,0,18.693,90.791,2.7381,8.47,53126
'001903001,2013,10.5,18.7,.,.,.,.,.,.,.,.,14.4,14.8,10.9,1,2.684,37.261,2.4118,6.473,0,34.849,93.527,2,5.368,60868,5.696,17.695,37666,3.0665,9.527,30224,6.7496,20.969,36900,10.2655,31.891,45649,6.4114,19.918,48013,0,0,0,0,0,0,0.078,0.242,11.9167,21.492,66.767,1.3797,4.2863,1,3.107,0,0,10.8422,10.697,33.233,0,0,0,0,21.941,68.162,3.7334,11.598,7.9167,32.189,86.387,41403,0,0,5.0571,15.7107,31.189,96.893,0.6605,1.773,48861
'001903041,2013,15,.,.,.,.,.,.,14.8,.,.,15.3,15.8,19,0,0,26.739,2,7.48,0,24.739,92.52,1,3.74,66500,4.304,18.928,31618,1.5216,6.692,30822,3.25,14.293,35730,9.6633,42.497,42785,3.9998,17.59,49979,0,0,0,0,0,0,0.4839,2.128,11.8846,19.436,85.474,0.5303,2.3322,0,0,0,0,12.4898,3.303,14.526,0,0,0,0,18.548,81.57,2.8727,12.634,8.7692,22.739,85.04,40128,0,0,0.3038,1.3361,22.739,100,1,3.74,47468
'001903101,2013,.,.,20,20.5,.,.,.,.,14.8,.,.,.,.,3,8.984,33.398,9.271,27.759,0,24.127,72.241,1,2.994,59050,2.114,10.247,43839,3.4895,16.917,29587,4.0009,19.397,36093,6.0006,29.092,43279,5.0219,24.347,47908,0,0,0,0,1,4.85,0,0,14.2053,20.627,100,0,0,1,4.848,0,0,15.8533,0,0,0,0,0,0,18.382,89.117,2.2447,10.883,12.0464,20.627,61.761,40753,1.0003,4.8496,0,0,17.626,85.453,2.5,7.486,36660
'001903102,2013,.,.,.,.,15.7,17.9,20.6,.,.,.,.,.,.,1.001,4.079,24.527,2,8.154,0,22.527,91.846,1,4.077,53550,2.049,9.742,34843,1,4.756,31235,7,33.29,34754,7,33.29,42549,3.9789,18.922,46624,0,0,0,0,0,0,0,0,13.2034,20.027,95.242,0,0,1.001,4.758,0,0,13.1257,1.001,4.758,0,0,0,0,18.272,86.896,2.7554,13.104,9.7267,21.027,85.73,39436,0,0,0,0,20.027,95.242,0.5,2.039,42458
'001904001,2013,12.4,16.3,.,.,.,.,.,.,.,.,13.3,15.3,13.1,0,0,28.046,3,10.697,0,25.046,89.303,1,3.566,72000,1,4.339,29730,7.2487,31.454,32500,1.7642,7.655,36824,9.4992,41.219,47551,3.5335,15.333,51905,0,0,0,0,0,0,0,0,12.1613,12.423,53.906,0,0,0,0,0,0,9.1124,10.623,46.094,0.8486,3.6823,0,0,13.088,56.793,1.5359,6.665,7.129,23.046,82.172,41890,0,0,7.5727,32.8598,23.046,100,1,3.566,61321
'001904041,2013,17.4,.,.,.,.,.,.,17.9,.,.,15.5,.,21,1,7.51,13.314,1,7.511,1,12.314,92.489,1,7.511,71340,0,0,.,1.1214,10.873,31897,3.2357,31.373,37553,4.3762,42.431,45363,1.5805,15.324,47557,0,0,0,0,0,0,0,0,13,7.936,76.948,0,0,0,0,0.9999,9.695,16.3858,2.378,23.052,0,0,0,0,9.407,91.204,0.3967,3.846,6.5556,10.314,77.467,41785,0,0,0.5105,4.9497,9.314,90.305,1,7.511,41027
'001904102,2013,.,.,19.4,19.7,16.8,17.7,17,.,18.3,.,.,.,.,2,6.553,30.516,6,19.662,0,24.516,80.338,1,3.277,65880,1,4.44,29730,2.6295,11.678,31041,1.9998,8.882,37965,8.9994,39.969,45399,7.8873,35.03,47982,0,0,0,0,1,4.44,0.6299,2.798,17.9565,22.516,100,0,0,1,4.441,0,0,16.5217,0,0,0,0,0,0,19.887,88.322,1.9994,8.88,11.087,22.516,73.784,43271,0,0,0,0,20.516,91.119,1,3.277,46308
