DISTRICT,YEAR,DPSPTOFC,DPSTTOFC,DPSETOFC,DPSECOFC,DPSTNOFC,DPSTBAFC,DPSTMSFC,DPSTPHFC,DPST00FC,DPST01FC,DPST06FC,DPST11FC,DPST20FC,DPSTCAPC,DPSTECPC,DPSTNRPC,DPSTTEPC,DPSTEUPC,DPSTDTPC,DPST00SA,DPST01SA,DPST06SA,DPST11SA,DPST20SA,DPSTTOSA,DPSOTOFC,DPSTINFC,DPSTPAFC,DPSTBLFC,DPSTHIFC,DPSTWHFC,DPSTMAFC,DPSTFEFC,DPSXTOFC,DPSXCOFC,DPSTREFC,DPSTVOFC,DPSTBIFC,DPSTCOFC,DPSTGIFC,DPSTSPFC,DPSTOPFC,DPSTTENA,DPSTEXPA,DPSTURNR,DPSUTOFC,DPSPCOFC,DPSSTOFC,DPSCTOFC,DPSATOFC,DPSAMIFC,DPETFLAA,DPETSSTA,DPETSCIA,DPETMATA,DPETENGA,DPETELEA,DPSPTOFP,DPSTTOFP,DPSUTOFP,DPSSTOFP,DPSCTOFP,DPSETOFP,DPSXTOFP,DPSAMIFP,DPSTNOFP,DPSTBAFP,DPSTMSFP,DPSTPHFP,DPST00FP,DPST01FP,DPST06FP,DPST11FP,DPST20FP,DPSTREFP,DPSTVOFP,DPSTBIFP,DPSTCOFP,DPSTGIFP,DPSTSPFP,DPSTOPFP,DPSTBLFP,DPSTWHFP,DPSTHIFP,DPSTMAFP,DPSTFEFP,DPSTINFP,DPSTPAFP,DPSUTOSA,DPSSTOSA,DPSCTOSA,DPSTKIDR
'001902,1998,68.5,58.2,14,0,1,45.8,11.3,0,2,22,10,12,12.2,0,3,0,0,0,0,23078,23803,29352,36017,39818,30601,0,0,0,1,1,56.2,12.3,45.8,22.3,0,48.7,2.7,0,1,0.5,5.3,0,5.5,10.8,13.9,3.7,0,4.7,2,104.8,7.9,13,16.9,14.3,13,13.6,14.7,65.4,55.5,3.5,4.4,1.9,13.3,21.3,7.6,1.7,78.8,19.5,0,3.4,37.8,17.2,20.6,20.9,83.8,4.6,0,1.7,0.9,9,0,1.7,96.6,1.7,21.2,78.8,0,0,33048,43547,40435,10.7
'001903,1998,97.1,81.3,21.8,0,0,66.3,15,0,2.3,24,16,18.2,20.8,0,1,0,0,2,0,25773,23043,28891,36360,38174,31127,0,0,0,1,0,80.3,21.2,60.1,35.9,0,67,2.3,0,1,0,11,0,6.7,11.8,12.5,8,0,3.8,4,154.8,10.3,17,20.2,19.7,18.4,17.3,19.2,62.7,52.5,5.2,2.5,2.6,14.1,23.2,6.6,0,81.5,18.5,0,2.8,29.5,19.7,22.4,25.6,82.5,2.8,0,1.2,0,13.5,0,1.2,98.8,0,26.1,73.9,0,0,29917,48835,36529,13.9
'001904,1998,65.6,60.3,8,0,0,40.8,19.5,0,2,10.8,9,22,16.5,2,0,2,0,0,0,21548,24076,28470,36415,38404,33064,0,1,0,1,0,58.3,14.5,45.8,26.9,0,46.9,4.1,0,1,5.8,2.6,0,7.4,14.6,18.5,0.2,0,3,2,100.4,6,20.8,15.9,15.8,12.5,13.4,17,65.3,60.1,0.2,3,2,8,26.8,6,0,67.7,32.3,0,3.3,18,14.9,36.5,27.3,77.7,6.7,0,1.7,9.7,4.2,0,1.7,96.7,0,24,76,1.7,0,.,47367,46243,13
'001906,1998,33.6,28.9,5,0,0,25,3.9,0,1,11,5,9,2.9,0,0,0,0,0,0,21052,23316,29086,36718,37462,29839,0,0,0,2,0,26.9,5.9,23,16,0,24,1.9,0,2,0,1,0,5.9,10.4,17.3,1.6,0,2.1,1,54.5,4,8.5,18.5,13.8,11.6,12.8,17,61.6,53.1,2.9,3.8,1.8,9.2,29.3,7.3,0,86.4,13.6,0,3.5,38,17.3,31.1,10.2,83,6.5,0,6.8,0.1,3.6,0,6.9,93.1,0,20.5,79.5,0,0,34099,42583,61200,11.2
'001907,1998,312,268.3,66.8,0,1,191.6,74.7,1,6,49.9,44.9,70.7,96.7,6,0,0,0,0,1,25081,24018,28196,35238,36891,32341,0,1,0,30.6,6,230.7,59.8,208.5,148.9,0,184.4,18.5,7.9,24,2.2,23.4,7.9,9.2,15.3,14.5,24.7,0,13,6,527.7,138.4,22.6,22.1,19.9,20.7,20.8,19.4,59.1,50.8,4.7,2.5,1.1,12.7,28.2,26.2,0.4,71.4,27.9,0.4,2.2,18.6,16.7,26.4,36.1,68.7,6.9,3,8.9,0.8,8.7,2.9,11.4,86,2.2,22.3,77.7,0.4,0,35904,45353,58098,14.2
'001908,1998,139.1,123.1,15.5,0,0,95.1,28,0,7.2,33.8,17,38,27,1,2,0,0,1,0,21462,23164,28835,34710,37713,30605,0,0,0,7,2,114.1,30,93.1,52.1,0,89.8,7,0,4.5,6.4,15,0.3,7.9,12.5,13.2,9,0,3,4,206.6,25.2,17.3,21.3,18,16,20.2,20.3,67.3,59.6,4.4,1.5,1.9,7.5,25.2,12.2,0,77.2,22.8,0,5.9,27.5,13.8,30.9,21.9,73,5.7,0,3.7,5.2,12.2,0.3,5.7,92.7,1.6,24.4,75.6,0,0,33949,45291,41949,14.6
'001909,1998,36.9,30.9,4.9,0,0,19.4,10.9,0.5,0.9,13,5,6.4,5.5,0,0,0,0,0,0,22196,26109,30566,36532,40223,31395,0,0,0,0,0,30.9,8.5,22.4,11.4,0,23.9,3.4,0,1.6,0,2,0,4.2,11.1,7.1,2,0,2,2,53.1,0,14,21.3,16.3,12.2,14.3,16.7,69.4,58.1,3.8,3.8,3.8,9.2,21.4,0,0,63,35.4,1.6,3.1,42.1,16.2,20.8,17.8,77.4,11.1,0,5,0,6.5,0,0,100,0,27.5,72.5,0,0,41052,44530,49409,12.5
'002901,1998,291.5,253.1,68.9,0,0,170.8,81.2,1,6,50,46.8,89.8,60.5,2,0,1,0,2,1,25443,28434,34225,41599,47347,38626,0,0,0,2,18,233.1,74.3,178.8,141.1,0,159.1,14.6,17.8,33.1,3.7,20.3,4.4,9.8,14.2,6.2,22.7,0,9.8,6,501.6,79.1,27.1,23.5,19.7,18.8,16.6,18.4,58.1,50.5,4.5,2,1.2,13.7,28.1,15.8,0,67.5,32.1,0.4,2.4,19.8,18.5,35.5,23.9,62.9,5.8,7,13.1,1.5,8,1.7,0.8,92.1,7.1,29.4,70.6,0,0,45308,61801,73893,14.1
'003902,1998,170.5,140.1,23,0,0,91.8,48.3,0,8.5,35,25.3,47.7,23.6,2,4,1,0,0,0,22422,23478,29112,36120,38192,31215,3.2,0,0,1,2,137.1,33.6,106.5,54.6,1,88.5,12.1,3,13.5,8.7,11.1,3.2,7.2,11.8,14.5,19.3,0,9.1,2,248.2,13.5,23.3,23.9,22.6,19.5,23.4,21.8,68.7,56.4,7.8,3.7,0.8,9.3,22,5.4,0,65.5,34.5,0,6.1,25,18,34.1,16.9,63.2,8.7,2.1,9.6,6.2,7.9,2.3,0.7,97.9,1.4,24,76,0,0,31626,44617,59941,15.8
'003903,1998,639.4,541.7,144.7,0,3.4,364.9,172.4,1,27.4,120.1,75,181,138.2,2,3,6,0,10,0,22630,23600,28031,35281,39027,32002,0,4,1,69.9,21,445.8,104.7,437,305.5,0,356.7,28.3,24.9,59.9,18.1,40,13.7,10,13.6,10.2,60.9,0,29.3,7.5,1089.6,320.5,20.4,22.5,21.6,18.8,19.4,20.2,58.7,49.7,5.6,2.7,0.7,13.3,28,29.4,0.6,67.4,31.8,0.2,5.1,22.2,13.8,33.4,25.5,65.9,5.2,4.6,11.1,3.3,7.4,2.5,12.9,82.3,3.9,19.3,80.7,0.7,0.2,37699,47573,64896,15
