DISTRICT,YEAR,DPCTENGA,DPCTFLAA,DPCTG01A,DPCTG02A,DPCTG03A,DPCTG04A,DPCTG05A,DPCTG06A,DPCTGKGA,DPCTGMEA,DPCTMATA,DPCTSCIA,DPCTSOCA,DPSAMIFC,DPSAMIFP,DPSATOFC,DPSCTOFC,DPSCTOFP,DPSCTOSA,DPSECOFC,DPSETOFC,DPSETOFP,DPSOTOFC,DPSPCOFC,DPSPTOFC,DPSPTOFP,DPSSTOFC,DPSSTOFP,DPSSTOSA,DPST00FC,DPST00FP,DPST00SA,DPST01FC,DPST01FP,DPST01SA,DPST06FC,DPST06FP,DPST06SA,DPST11FC,DPST11FP,DPST11SA,DPST20FC,DPST20FP,DPST20SA,DPSTBAFC,DPSTBAFP,DPSTBIFC,DPSTBIFP,DPSTBLFC,DPSTBLFP,DPSTCAPC,DPSTCOFC,DPSTCOFP,DPSTDTPC,DPSTECPC,DPSTEUPC,DPSTEXPA,DPSTFEFC,DPSTFEFP,DPSTGIFC,DPSTGIFP,DPSTHIFC,DPSTHIFP,DPSTINFC,DPSTINFP,DPSTKIDR,DPSTMAFC,DPSTMAFP,DPSTMSFC,DPSTMSFP,DPSTNOFC,DPSTNOFP,DPSTNRPC,DPSTOPFC,DPSTOPFP,DPSTPAFC,DPSTPAFP,DPSTPHFC,DPSTPHFP,DPSTREFC,DPSTREFP,DPSTSPFC,DPSTSPFP,DPSTTENA,DPSTTEPC,DPSTTOFC,DPSTTOFP,DPSTTOSA,DPSTURNR,DPSTVOFC,DPSTVOFP,DPSTWHFC,DPSTWHFP,DPSUTOFC,DPSUTOFP,DPSUTOSA,DPSXCOFC,DPSXTOFC,DPSXTOFP
'001902,2000,13.7,12.8,11.8,15.8,14.3,16.6,15.5,13.4,13.3,18.1,13.8,14,14.7,8.9,8.3,107,3,2.8,37625,0,14.7,13.7,0,0,71,66.4,4,3.7,48760,3,5,24240,25,41.7,28135,9,15,33214,10,16.7,38716,13,21.7,43428,53,88.3,0,0,1,1.7,1,1,1.7,0,2,0,10.3,47,78.3,0.5,0.8,1,1.7,0,0,10.4,13,21.7,7,11.7,0,0,0,0,0,0,0,0,0,49.3,82.1,4.9,8.1,4.4,0,60,56.1,33779,18.1,4.3,7.2,58,96.7,4,3.7,37543,0,21.3,19.9
'001903,2000,14.6,14.3,18.9,16.6,16.9,16.9,14.4,21,13.2,15.4,14.4,17.4,17.6,10,6,166.8,4,2.4,41191,0,26,15.6,0,0,104.5,62.7,3.8,2.3,55323,3,3.5,24240,18.5,21.3,26959,23,26.5,31956,18.3,21.1,38660,24,27.6,41484,73.6,84.8,0,0,1,1.2,1,2.6,3,0,0,1,12.9,66.5,76.6,0,0,0,0,0,0,12.8,20.3,23.4,13.2,15.2,0,0,0,1,1.1,0,0,0,0,49.8,57.3,27.3,31.4,7.6,0,86.8,52.1,34672,11.4,6.2,7.1,85.8,98.8,9.9,5.9,34453,0,36.3,21.7
'001904,2000,16,16.3,14.3,17,17.8,16.5,15.7,17,17,.,15,20.6,18.7,8,7.6,104.5,1.1,1.1,50975,0,8,7.7,0,0,70.6,67.6,3,2.9,52867,4,6.4,25740,13.5,21.6,28478,11,17.5,34223,16,25.6,38635,18,28.8,41625,42.5,68,0,0,2,3.2,1,1,1.6,0,0,1,13.9,49,78.5,5.1,8.1,0,0,1,1.6,13.4,13.5,21.5,19.5,31.2,0,0,0,0,0,0,0,0.5,0.8,46.7,74.8,4.7,7.5,7.1,0,62.5,59.8,35700,21.2,5,8,59.5,95.2,4,3.9,36853,0,25.8,24.7
'001906,2000,14.9,8,20.3,12,14.1,11,19.8,15.1,15,9,10.3,18.4,22.9,3,5.8,52,1,1.9,60000,0,5,9.6,0,0,33,63.5,1,1.9,53447,0,.,.,9,32.1,26717,8,28.6,32625,5,17.9,39811,6,21.4,41480,26,92.9,0,0,2,7.1,0,2.8,9.9,0,0,0,11.8,22,78.6,0.2,0.9,0,0,0,0,11.5,6,21.4,2,7.1,0,0,0,0,0,0,0,0,0,20.4,72.7,2.2,7.7,6.8,0,28,53.9,33907,3.6,2.5,8.9,26,92.9,3,5.8,37870,0,14,26.9
'001907,2000,18.8,17.7,17,18.5,19.5,18.8,20.7,18.2,16,.,17.7,20.4,19.9,156.1,28.7,544.1,6,1.1,62123,0,72.2,13.3,0,0,319.3,58.7,14,2.6,49082,11,4.1,24315,56.5,21.2,26642,53.5,20.1,31946,72.7,27.3,38879,73,27.4,42182,200.2,75,11.6,4.3,33,12.4,4,23,8.6,1,5,3,13.7,203.9,76.4,1,0.4,7,2.6,0,0,13.2,62.8,23.6,64.8,24.3,0.8,0.3,3,14.2,5.3,0,0,1,0.4,176.1,66,22.9,8.6,9.3,0,266.7,49,35199,16.1,17.9,6.7,226.7,85,32.6,6,41863,0,152.6,28
'001908,2000,17.1,23,19.4,19.7,19.8,18.4,25.8,23.4,19.3,.,16.4,19.5,21.2,23.9,11,217.1,4,1.8,45225,9,25.3,11.7,0,15.2,136.5,62.9,6,2.8,48642,2.1,1.8,24584,30,25.9,26360,19,16.3,31943,37,31.9,38317,28,24.1,41117,88,75.9,0.4,0.4,6,5.2,1,4.4,3.8,0,1,0,12.8,88.1,75.9,6.7,5.7,0,0,0,0,15.5,28,24.1,28,24.1,0,0,0,1.3,1.1,0,0,0,0,79.8,68.8,12.8,11.1,8.3,0,116,53.5,34614,15,10.6,9.1,110,94.8,10.4,4.8,36535,3,55.3,25.5
'001909,2000,17.3,13,15,16.5,12.5,11.5,16.5,28.7,12,.,11.2,14.4,12.3,0,0,53.9,3,5.6,44589,0,6.8,12.6,0,0,36.9,68.4,1.9,3.5,49085,2,6.7,27194,7.9,26.3,28339,8,26.7,35081,6.6,22.1,39983,5.5,18.3,44627,17.4,57.9,0,0,0,0,2,2.4,8.1,1,0,0,12.6,20.5,68.3,0,0,0,0,0,0,11.8,9.5,31.7,12.1,40.4,0,0,0,0,0,0,0,0.5,1.7,22,73.2,3,10,5.2,0,30,55.6,35617,20,2.6,8.6,30,100,2,3.7,45410,0,10.3,19.1
'002901,2000,17.7,19.8,18,24.5,21.6,20.8,20.9,18.1,22.2,.,19.9,18.2,22.4,88.3,18,491.4,5.6,1.1,78424,0,65.6,13.4,0,0,282,57.4,8.9,1.8,65239,3,1.2,28243,39,16.1,31599,47.1,19.5,37003,96.5,39.9,44892,56.3,23.3,51175,174.5,72.2,13,5.4,2,0.8,0,20,8.3,2,4,3,14.7,170.7,70.6,7.1,3,19.7,8.2,0,0,13.3,71.1,29.4,66.3,27.4,0,0,0,7.4,3.1,0,0,1,0.4,157.9,65.3,23.3,9.6,10,0,241.8,49.2,42470,12.1,13.1,5.4,220,91,25.7,5.2,49863,0,143.7,29.2
'003801,2000,18.7,.,20,16,20,18.1,24,21.7,20,.,.,.,.,6,27.3,22,2,9.1,43650,0,4,18.2,0,0,16,72.7,0,0,.,0,.,.,12,92.3,24258,1,7.7,22300,0,0,.,0,0,.,13,100,0,0,0,0,0,0,0,0,0,0,1.4,13,100,0,0,1,7.7,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,13,100,0,0,0,0,13,59.1,24108,.,0,0,12,92.3,1,4.5,12000,0,2,9.1
'003902,2000,19.9,21,18.8,20.4,19,20.8,26.2,21.2,18.6,.,19,20.2,19.8,26,9.4,277.6,2,0.7,67260,0,26.8,9.7,0,0,188.9,68.1,11,4,50147,11.8,7.8,24630,36.4,24,27361,30,19.8,31985,47.9,31.6,39507,25.5,16.8,41526,114.2,75.3,2.3,1.5,2,1.3,0,8,5.3,0,4,3,11.4,115.8,76.4,11.7,7.7,2,1.3,0,0,14.6,35.8,23.6,37.4,24.7,0,0,4,2.4,1.6,0,0,0,0,101.4,66.9,13.2,8.7,6.7,0,151.6,54.6,34281,21.6,12.6,8.3,147.6,97.4,24.3,8.8,27902,1.5,61.8,22.3
