DISTRICT,YEAR,DA0CA03R,DA0CA04R,DA0CC03R,DA0CC04R,DA0CS03R,DA0CS04R,DA0CT03R,DA0CT04R,DA1C403R,DA1C404R,DA2C403R,DA2C404R,DADC403R,DADC404R,DAEC403R,DAEC404R,DAGC403R,DAGC404R,DANC403R,DANC404R,DB0CA03R,DB0CA04R,DB0CC03R,DB0CC04R,DB0CS03R,DB0CS04R,DB0CT03R,DB0CT04R,DB1C403R,DB1C404R,DB2C403R,DB2C404R,DBDC403R,DBDC404R,DBEC403R,DBEC404R,DBGC403R,DBGC404R,DBNC403R,DBNC404R,DE1C403R,DE1C404R,DE2C403R,DE2C404R,DEDC403R,DEDC404R,DEEC403R,DEEC404R,DEGC403R,DEGC404R,DENC403R,DENC404R,DF0CA03R,DF0CA04R,DF0CC03R,DF0CC04R,DF0CS03R,DF0CS04R,DF0CT03R,DF0CT04R,DF1C403R,DF1C404R,DF2C403R,DF2C404R,DFDC403R,DFDC404R,DFEC403R,DFEC404R,DFGC403R,DFGC404R,DFNC403R,DFNC404R,DH0CA03R,DH0CA04R,DH0CC03R,DH0CC04R,DH0CS03R,DH0CS04R,DH0CT03R,DH0CT04R,DH1C403R,DH1C404R,DH2C403R,DH2C404R,DHDC403R,DHDC404R,DHEC403R,DHEC404R,DHGC403R,DHGC404R,DHNC403R,DHNC404R,DI0CA03R,DI0CA04R,DI0CC03R,DI0CC04R,DI0CS03R,DI0CS04R,DI0CT03R,DI0CT04R,DI1C403R,DI1C404R,DI2C403R,DI2C404R,DIDC403R,DIDC404R,DIEC403R,DIEC404R,DIGC403R,DIGC404R,DINC403R,DINC404R,DL1C403R,DL1C404R,DL2C403R,DL2C404R,DLDC403R,DLDC404R,DLEC403R,DLEC404R,DLGC403R,DLGC404R,DLNC403R,DLNC404R,DM0CA03R,DM0CA04R,DM0CC03R,DM0CC04R,DM0CS03R,DM0CS04R,DM0CT03R,DM0CT04R,DM1C403R,DM1C404R,DM2C403R,DM2C404R,DMDC403R,DMDC404R,DMEC403R,DMEC404R,DMGC403R,DMGC404R,DMNC403R,DMNC404R,DP0CA03R,DP0CA04R,DP0CC03R,DP0CC04R,DP0CS03R,DP0CS04R,DP0CT03R,DP0CT04R,DP1C403R,DP1C404R,DP2C403R,DP2C404R,DPDC403R,DPDC404R,DPEC403R,DPEC404R,DPGC403R,DPGC404R,DPNC403R,DPNC404R,DR1C404R,DR2C404R,DRDC404R,DREC404R,DRGC404R,DRNC404R,DS1C403R,DS1C404R,DS2C403R,DS2C404R,DSDC403R,DSDC404R,DSEC403R,DSEC404R,DSGC403R,DSGC404R,DSNC403R,DSNC404R,DW0CA03R,DW0CA04R,DW0CC03R,DW0CC04R,DW0CS03R,DW0CS04R,DW0CT03R,DW0CT04R,DW1C403R,DW1C404R,DW2C403R,DW2C404R,DWDC403R,DWDC404R,DWEC403R,DWEC404R,DWGC403R,DWGC404R,DWNC403R,DWNC404R
'001902,2005,19.2,19.7,7.1,12.5,951,942,36.8,66.7,93.9,100,95.9,100,4.1,0,2,0,89.8,96.8,4.1,3.2,-1,-1,-1,-1,-1,-1,-1,60,-1,100,-1,100,-1,0,-1,0,-1,100,-1,0,83.3,100,83.3,100,16.7,0,0,0,83.3,100,0,0,19.4,19.4,0,20,914,999,47.8,76.9,96.3,100,96.3,100,3.7,0,0,0,96.3,94.7,0,5.3,-1,.,-1,.,.,-1,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,0,-1,867,20,54.5,90.9,100,95.5,100,4.5,0,4.5,0,81.8,100,9.1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,100,0,0,100,0,91.7,100,91.7,100,8.3,0,0,0,83.3,100,8.3,0,19.3,-1,11.1,15.4,951,1000,27.3,68.4,93.2,100,95.5,100,4.5,0,2.3,0,88.6,95.5,4.5,4.5
'001903,2005,19.1,21.7,20.5,17.4,993,949,60,35.4,98.7,97.4,100,98.7,0,1.3,1.3,1.3,93.3,93.6,5.3,3.8,.,.,-1,-1,-1,.,-1,20,100,100,100,100,0,0,0,0,80,88.9,20,11.1,100,100,100,100,0,0,0,0,78.6,95.2,21.4,4.8,-1,21.6,18.2,22.2,944,969,81.5,43.9,96.8,95.5,100,97.7,0,2.3,3.2,2.3,96.8,90.9,0,4.5,.,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18.8,-1,23.5,0,1061,878,44.7,20.8,100,100,100,100,0,0,0,0,90.9,97.1,9.1,2.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97.7,97.7,2.3,0,93,4.7,100,95.5,100,95.5,0,4.5,0,0,85.7,86.4,14.3,9.1,19.1,21.9,20,18.2,996,972,58.3,37.3,98.5,98.5,100,98.5,0,1.5,1.5,0,94.1,95.6,4.4,2.9
'001904,2005,21.9,18,31.8,19.2,1071,975,50,50,96.3,100,98.1,100,1.9,0,1.9,0,96.3,93.7,0,6.3,-1,.,-1,-1,-1,-1,-1,20,100,100,100,100,0,0,0,0,100,100,0,0,92.3,100,92.3,100,7.7,0,0,0,92.3,86.7,0,13.3,22.5,-1,30.8,7.7,1089,921,52,56.5,100,100,100,100,0,0,0,0,100,100,0,0,.,-1,.,-1,-1,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,21,-1,33.3,30.8,1038,1029,47.4,44.8,92.3,100,96.2,100,3.8,0,3.8,0,92.3,89.7,0,10.3,.,.,.,-1,.,-1,.,-2,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,100,100,0,0,92.7,7.3,100,100,100,100,0,0,0,0,100,90,0,10,22.4,18,33.3,13.6,1113,944,51.2,48.9,95.8,100,97.9,100,2.1,0,2.1,0,95.8,94.3,0,5.7
'001906,2005,22.3,21.8,33.3,36.4,1162,-1,42.9,73.3,100,100,100,100,0,0,0,0,95.8,100,4.2,0,-1,.,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,100,-1,0,-1,0,-1,85.7,-1,14.3,-1,22.3,-1,33.3,-1,1162,.,69.2,80,100,100,100,100,0,0,0,0,100,100,0,0,.,-1,.,-1,.,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20.6,.,28.6,.,-1,0,70,100,100,100,100,0,0,0,0,91.7,100,8.3,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,100,0,0,100,0,100,100,100,100,0,0,0,0,83.3,100,16.7,0,21.6,21.8,28.6,40,-1,-1,36.8,71.4,100,100,100,100,0,0,0,0,95,100,5,0
'001907,2005,19.9,20.3,26.4,20.7,937,952,51.7,50,96,89.8,97,97.6,3,2.4,1,7.8,92,85.9,4,3.9,15.6,-1,0,0,776,802,45.1,34.5,95.2,89.3,95.2,94.7,4.8,5.3,0,5.3,88.9,84,6.3,5.3,95.9,87.5,95.9,94.3,4.1,5.7,0,6.8,87.7,80.7,8.2,6.8,20,21.2,23.9,25,929,988,48.4,43.9,97.9,92.7,97.9,97.9,2.1,2.1,0,5.2,94.8,90.6,3.1,2.1,-1,-1,-1,9.1,-1,892,6.3,39.3,97.3,93.9,97.3,100,2.7,0,0,6.1,86.5,84.8,10.8,9.1,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19.6,19.4,28.9,17.4,945,924,55.6,56.1,94.1,87.2,96.1,97.2,3.9,2.8,2,10.1,89.2,81.7,4.9,5.5,-1,-1,-1,-1,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,80.3,94.4,5.6,14.1,71.8,8.5,90,82.4,95,88.2,5,11.8,5,5.9,80,70.6,10,11.8,21.3,21.4,36.1,30.6,987,1029,67,62,95.9,88.4,98,98.9,2,1.1,2,10.5,95.9,87.4,0,1.1
'001908,2005,19.5,20.6,19.6,26.2,940,988,58.9,61.3,95.1,96,96.7,99.2,3.3,0.8,1.6,3.2,91.1,94.4,4.1,1.6,-1,-1,-1,11.1,-1,-1,25,56.3,86.7,100,86.7,100,13.3,0,0,0,80,95.2,6.7,4.8,92.6,96.7,92.6,100,7.4,0,0,3.3,92.6,90,0,6.7,19.5,21.9,13.3,30.4,886,979,53.6,69.7,95.4,96.2,96.9,100,3.1,0,1.5,3.8,93.8,94.9,1.5,1.3,-1,-1,-1,40,.,1062,-1,71.4,-1,100,-1,100,-1,0,-1,0,-1,100,-1,0,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19.6,16.8,26.9,15.8,983,1013,66.7,47.5,94.8,95.7,96.6,97.9,3.4,2.1,1.7,2.1,87.9,93.6,6.9,2.1,.,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,94.6,100,0,5.4,92.9,1.8,95.2,94.7,95.2,94.7,4.8,5.3,0,0,90.5,89.5,4.8,5.3,19.7,20.8,20.8,26,939,1006,62.4,61,96.2,94.7,98.1,98.9,1.9,1.1,1.9,4.2,92.4,93.7,3.8,1.1
'001909,2005,21.2,19.7,28.6,14.3,-1,-1,58.3,43.8,86.4,90,86.4,100,13.6,0,0,10,86.4,90,0,0,-1,.,-1,.,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,100,-1,100,-1,0,-1,0,-1,100,-1,0,-1,-1,-1,40,0,-1,-1,100,66.7,85.7,90,85.7,100,14.3,0,0,10,85.7,90,0,0,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,.,-1,28.6,14.3,86.7,90,86.7,100,13.3,0,0,10,86.7,90,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,100,-1,100,-1,0,-1,0,-1,100,-1,0,-1,-1,19.7,33.3,14.3,-1,-1,60,46.7,85,89.5,85,100,15,0,0,10.5,85,89.5,0,0
'002901,2005,19.5,20.3,12,18.8,931,942,52.4,41.9,98.8,97.2,99.6,98.8,0.4,1.2,0.8,1.6,97.6,94.8,1.2,2.4,-1,-1,-1,-1,-1,-1,-1,57.1,100,100,100,100,0,0,0,0,100,100,0,0,100,93.4,100,96.7,0,3.3,0,3.3,98,90.2,2,3.3,20.6,20.2,14.8,11.6,936,915,58.1,39.4,99.2,97.7,100,99.2,0,0.8,0.8,1.5,98.4,96.2,0.8,1.5,19.9,18.2,10.5,5.6,849,808,23.2,24.3,99.1,96.1,100,99,0,1,0.9,2.9,98.1,92.2,0.9,3.9,.,.,.,.,-1,.,-1,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,100,-1,100,-1,0,-1,0,-1,100,-1,0,-1,18.1,20.5,8.5,26.2,924,969,46.5,44.7,98.4,96.6,99.2,98.3,0.8,1.7,0.8,1.7,96.7,93.3,1.6,3.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,96.4,98.2,1.8,1.8,92,4.5,97.1,97.2,97.1,97.2,2.9,2.8,0,0,91.2,94.4,5.9,2.8,19.8,20.2,13.4,21.7,954,973,69.5,50,98.5,97.8,99.3,98.5,0.7,1.5,0.7,0.7,97.1,96.4,1.5,1.5
'003801,2005,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'003902,2005,19.6,19.6,24.3,27.7,1003,1007,51.9,50.4,95.4,97.9,96,98.6,4,1.4,0.7,0.7,92.1,91.7,3.3,6.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,91.7,100,91.7,100,8.3,0,0,0,88.9,92.7,2.8,7.3,18.6,18.5,10,21.1,912,977,48.4,60.3,95.6,97.1,95.6,98.5,4.4,1.5,0,1.5,92.6,95.6,2.9,1.5,-1,-1,-1,12.5,-1,903,21.4,34.8,84.2,92.3,84.2,92.3,15.8,7.7,0,0,84.2,88.5,0,3.8,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20.7,21,35,38.5,1061,1058,54.8,39.4,95.2,98.7,96.4,98.7,3.6,1.3,1.2,0,91.6,88.3,3.6,10.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.5,97.7,2.3,1.2,89.5,7,100,100,100,100,0,0,0,0,93.8,78.6,6.3,21.4,19.7,18.6,25.4,30.2,996,1030,53.8,52,96.9,99.1,97.7,100,2.3,0,0.8,0.9,93,92.2,3.9,7
