DISTRICT,YEAR,DA0GH11N,DA0GH11P,DA0GM11N,DA0GM11P,DA0GR11N,DA0GR11P,DAPID12N,DAPID12R,DAUND11C,DAUND11R,DB0GR11N,DB0GR11P,DH0GR11N,DH0GR11P,DI0GR11N,DI0GR11P,DPEMALLC,DPEMALLP,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DPERSAKR,DPETALLC,DPETASIC,DPETASIP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETG01C,DPETG01P,DPETG02C,DPETG02P,DPETG03C,DPETG03P,DPETG04C,DPETG04P,DPETG05C,DPETG05P,DPETG06C,DPETG06P,DPETG07C,DPETG07P,DPETG08C,DPETG08P,DPETG09C,DPETG09P,DPETG10C,DPETG10P,DPETG11C,DPETG11P,DPETG12C,DPETG12P,DPETGEEC,DPETGEEP,DPETGIFC,DPETGIFP,DPETGKNC,DPETGKNP,DPETGPKC,DPETGPKP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTWOC,DPETTWOP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DS0GR11N,DS0GR11P,DW0GR11N,DW0GR11P,D20GR11N,D20GR11P,D30GR11N,D30GR11P,D40GR11N,D40GR11P
'001902,2012,31,68.9,14,31.1,45,100,0,0,0,0,6,13.3,4,8.9,0,0,76,12.8,3.4,4.3,0,0,0,0,0,0,7.9,20,0,0,0,0,0,0,0,75,590,3,0.5,2,0.3,35,5.9,3,0.5,220,37.3,34,5.8,37,6.3,45,7.6,26,4.4,47,8,49,8.3,55,9.3,48,8.1,67,11.4,42,7.1,52,8.8,38,6.4,2,0.3,57,9.7,40,6.8,8,1.4,30,5.1,0,0,2,0.3,370,62.7,0,0,157,26.6,71,12,22,3.7,175,29.7,500,84.7,7,15.6,32,71.1,3,6.7,0,0,0,0
'001903,2012,52,69.3,23,30.7,75,100,0,0,1,0.2,5,6.7,4,5.3,1,1.3,178,14.3,6.4,2.2,0,0,2.4,3.3,3.5,0,5.3,0,0,0,0,0,0,0,0,0,1271,12,0.9,10,0.8,62,4.9,10,0.7,706,55.5,81,6.4,87,6.8,93,7.3,108,8.5,91,7.2,102,8,100,7.9,96,7.6,81,6.4,97,7.6,90,7.1,68,5.4,0,0,54,4.2,73,5.7,104,8.2,100,7.9,3,0.2,10,0.8,565,44.5,2,0.2,387,30.4,121,9.5,31,2.4,291,22.9,1061,83.5,11,14.7,65,86.7,0,0,0,0,0,0
'001904,2012,48,85.7,8,14.3,56,100,0,0,7,1.8,8,14.3,6,10.7,1,1.8,134,17.6,4.3,2,0,0,1.8,0,0,4.5,1.8,0,0,0,0,0,0,0,0,14.3,733,3,0.4,15,2,82,11.2,1,0.1,425,58,67,9.1,54,7.4,47,6.4,55,7.5,51,7,60,8.2,60,8.2,59,8,42,5.7,55,7.5,49,6.7,54,7.4,2,0.3,40,5.5,57,7.8,21,2.9,76,10.4,2,0.3,15,2,308,42,0,0,223,30.4,80,10.9,28,3.8,240,32.7,542,73.9,8,14.3,38,67.9,1,1.8,2,3.6,0,0
'001906,2012,14,70,6,30,20,100,1,0.2,0,0,0,0,0,0,0,0,47,12.8,10.3,3.8,0,0,3.2,0,0,3,11.5,25,0,0,0,0,0,0,0,25,403,3,0.7,4,1,29,7.2,4,1,163,40.4,32,7.9,32,7.9,33,8.2,37,9.2,34,8.4,35,8.7,25,6.2,34,8.4,38,9.4,35,8.7,16,4,18,4.5,1,0.2,31,7.7,33,8.2,0,0,40,9.9,0,0,4,1,240,59.6,0,0,141,35,49,12.2,7,1.7,139,34.5,324,80.4,6,30,20,100,0,0,0,0,0,0
'001907,2012,165,93.8,11,6.3,176,100,5,0.1,42,2.8,45,25.6,58,33,0,0,646,20.2,10.9,3.7,2.6,5,8.6,0.9,1.6,1,3.3,0,18.2,0,0,0,0,0,7.7,0,3220,41,1.3,353,11,903,28,132,3.5,2470,76.7,272,8.4,270,8.4,248,7.7,248,7.7,256,8,220,6.8,236,7.3,203,6.3,228,7.1,196,6.1,219,6.8,146,4.5,16,0.5,105,3.3,272,8.4,190,5.9,1255,39,9,0.3,381,11.8,750,23.3,3,0.1,1934,60.1,218,6.8,54,1.7,678,21.1,955,29.7,11,6.3,72,40.9,0,0,1,0.6,0,0
'001908,2012,71,75.5,23,24.5,94,100,0,0,0,0,15,16,11,11.7,0,0,321,18.7,13.3,3.8,0.8,0,2.6,0,0,1.7,5.7,0,11.1,0,0,0,0,0,12.5,14.3,1717,12,0.7,61,3.6,306,17.8,31,1.6,1045,60.9,146,8.5,130,7.6,145,8.4,137,8,132,7.7,135,7.9,118,6.9,126,7.3,129,7.5,109,6.3,105,6.1,106,6.2,28,1.6,58,3.4,138,8,33,1.9,327,19,4,0.2,72,4.2,672,39.1,4,0.2,797,46.4,160,9.3,72,4.2,401,23.4,992,57.8,24,25.5,65,69.1,2,2.1,1,1.1,0,0
'001909,2012,13,65,7,35,20,100,5,1.1,2,1.1,0,0,2,10,0,0,56,14.7,6.7,4.5,3.1,0,0,0,0,3.7,3.4,0,0,0,0,0,0,0,0,0,431,0,0,3,0.7,6,1.4,1,0.2,211,49,34,7.9,32,7.4,25,5.8,36,8.4,29,6.7,33,7.7,31,7.2,35,8.1,28,6.5,29,6.7,28,6.5,28,6.5,1,0.2,24,5.6,31,7.2,31,7.2,20,4.6,3,0.7,3,0.7,220,51,0,0,104,24.1,50,11.6,17,3.9,162,37.6,385,89.3,3,15,18,90,0,0,0,0,0,0
'002901,2012,141,72.3,54,27.7,195,100,0,0,5,0.3,5,2.6,106,54.4,0,0,476,15.5,2.6,2.4,0,0,1,0,0.4,0,1.2,11.8,3.4,0,0,0,0,0,0,20,3408,13,0.4,451,13.2,54,1.6,75,2.1,1556,45.7,295,8.7,269,7.9,281,8.2,250,7.3,265,7.8,222,6.5,218,6.4,256,7.5,274,8,234,6.9,209,6.1,190,5.6,7,0.2,117,3.4,282,8.3,156,4.6,2209,64.8,6,0.2,357,10.5,1852,54.3,0,0,1199,35.2,248,7.3,53,1.6,513,15.1,1073,31.5,30,15.4,82,42.1,1,0.5,1,0.5,0,0
'003801,2012,0,.,0,.,0,.,0,0,0,0,0,.,0,.,0,.,55,12.9,4.5,0,0,0,0,0,0,0,5.7,0,0,14.3,0,0,0,0,0,0,554,11,2,0,0,98,17.7,0,0,350,63.2,48,8.7,54,9.7,53,9.6,58,10.5,52,9.4,40,7.2,39,7,39,7,37,6.7,25,4.5,20,3.6,0,0,0,0,33,6,48,8.7,41,7.4,79,14.3,1,0.2,0,0,204,36.8,2,0.4,100,18.1,48,8.7,7,1.3,61,11,356,64.3,0,.,0,.,0,.,0,.,0,.
'003902,2012,157,84.9,28,15.1,185,100,0,0,1,0.1,6,3.2,28,15.1,3,1.6,347,13.6,7.6,5.5,2.8,2.1,1.1,1,1.8,0,4.3,10,13.3,0,0,4.5,5.9,4.2,0,23.1,2714,24,0.9,175,6.4,149,5.5,65,2.3,1590,58.6,212,7.8,205,7.6,197,7.3,204,7.5,216,8,223,8.2,215,7.9,193,7.1,207,7.6,204,7.5,178,6.6,145,5.3,4,0.1,155,5.7,210,7.7,101,3.7,622,22.9,10,0.4,182,6.7,1124,41.4,3,0.1,884,32.6,215,7.9,49,1.8,592,21.8,1857,68.4,8,4.3,131,70.8,12,6.5,4,2.2,1,0.5
