DISTRICT,YEAR,DPCTENGA,DPCTFLAA,DPCTG01A,DPCTG02A,DPCTG03A,DPCTG04A,DPCTG05A,DPCTG06A,DPCTGKGA,DPCTGMEA,DPCTMATA,DPCTSCIA,DPCTSOCA,DPFEIERP,DPSAINHP,DPSAMIFC,DPSAMIFP,DPSATOFC,DPSCTOFC,DPSCTOFP,DPSCTOSA,DPSECOFC,DPSETOFC,DPSETOFP,DPSOTOFC,DPSPCOFC,DPSPTOFC,DPSPTOFP,DPSSTOFC,DPSSTOFP,DPSSTOSA,DPST00FC,DPST00FP,DPST00SA,DPST01FC,DPST01FP,DPST01SA,DPST06FC,DPST06FP,DPST06SA,DPST11FC,DPST11FP,DPST11SA,DPST20FC,DPST20FP,DPST20SA,DPSTASFC,DPSTASFP,DPSTBAFC,DPSTBAFP,DPSTBIFC,DPSTBIFP,DPSTBLFC,DPSTBLFP,DPSTCOFC,DPSTCOFP,DPSTEXPA,DPSTFEFC,DPSTFEFP,DPSTGIFC,DPSTGIFP,DPSTHIFC,DPSTHIFP,DPSTINFC,DPSTINFP,DPSTKIDR,DPSTMAFC,DPSTMAFP,DPSTMSFC,DPSTMSFP,DPSTNOFC,DPSTNOFP,DPSTOPFC,DPSTOPFP,DPSTPHFC,DPSTPHFP,DPSTPIFC,DPSTPIFP,DPSTREFC,DPSTREFP,DPSTSPFC,DPSTSPFP,DPSTTENA,DPSTTOFC,DPSTTOFP,DPSTTOSA,DPSTTWFC,DPSTTWFP,DPSTURNR,DPSTVOFC,DPSTVOFP,DPSTWHFC,DPSTWHFP,DPSUTOFC,DPSUTOFP,DPSUTOSA,DPSXCOFC,DPSXTOFC,DPSXTOFP
'001902,2013,14.1,9,21,19.5,12,13.6,9.6,13.6,13.3,.,11.7,13,13.1,60.4,77.6,13.93,13.141,105.97,1.5,1.4155,76732,22.7862,11.5,10.8519,1.9,14.7696,65.73,62.029,3,2.8309,65818,1,1.844,30875,6,11.0668,38785.61,11.88,21.9196,40045.44,20,36.8886,46458.69,15.33,28.281,50580.47,0,0,47.39,87.396,0.359,0.6619,2,3.689,0,0,14.9592,41.34,76.239,0,0,3,5.533,0,0,10.9737,12.88,23.7606,6.83,12.6035,0,0,0,0,0,0,0,0,45.39,83.706,5.35,9.8743,7.2721,54.22,51.165,45082.05,0,0,9.782,3.122,5.7578,49.22,90.778,7.01,6.6179,53006.41,3,28.74,27.1187
'001903,2013,12,18.7,20,20.5,15.7,17.9,20.6,14.8,14.8,.,14.7,15.2,12.8,60.1,73,7,4.492,155.85,3,1.9249,78268.33,0,15.68,10.0628,0,0,112.24,72.019,5,3.2082,60167,14.16,14.663,36340.87,9.08,9.3989,30190.94,21,21.7438,35850.01,32.93,34.0949,43717.77,19.41,20.099,48106.19,0,0,81.13,84.002,0,0,1,1.036,0.562,0.5818,12.6783,81.58,84.468,1.91,1.9776,3,3.107,0,0,12.7975,15,15.5318,13.45,13.9273,2,2.0706,0,0,0,0,0,0,77.14,79.873,11.61,12.017,9.3944,96.58,61.9708,40535.99,1,1.0357,19.688,5.361,5.5506,91.58,94.822,7.66,4.9153,45384.48,0.5084,27.93,17.9179
'001904,2013,14,16.3,19.4,19.7,16.8,17.7,17,17.9,18.3,.,14.2,15.3,15.2,60.3,61.1,8.47,8.094,104.61,2,1.9118,81325,0,10,9.5589,1,0,66,63.088,3,2.8677,69740,2,3.579,29730,11,19.686,32090.12,7,12.5274,37487.16,22.87,40.9392,46285.58,13,23.269,48996.61,0,0,49.88,89.262,0,0,1,1.789,0.63,1.1273,14.2222,42.88,76.734,0,0,1,1.79,0.9999,1.7895,13.4407,13,23.2662,6,10.7377,0,0,0.849,1.5187,0,0,0,0,42.38,75.85,3.93,7.0371,8.25,55.88,53.4105,42427.15,0,0,30.93,8.083,14.4666,52.88,94.632,5.12,4.8982,50488.95,1.1666,28.62,27.353
'001906,2013,9.7,15.8,14.5,15.5,16.1,12.1,18.2,18.3,13.5,9.8,11.3,13.6,10.6,56.1,64.1,4.81,8.049,59.73,1,1.6743,87150,0,5.96,9.983,0,0,39,65.297,2,3.3485,65000,2,5.882,29398,8,23.5304,32110.5,5,14.7073,39327.2,13,38.233,45152.17,6,17.647,53036.27,0,0,33,97.059,0,0,1,2.941,0.471,1.3841,12,25,73.528,0.529,1.557,0,0,0,0,11.9411,9,26.4716,1,2.9412,0,0,0,0,0,0,0,0,27.28,80.222,2.93,8.6129,4.75,34,56.9256,41691.38,0,0,12.119,2.796,8.2241,33,97.059,2,3.3485,44119.5,2.181,14.76,24.72
'001907,2013,17.4,18.4,18,19.5,18.2,19.6,19.5,18.5,17.7,.,17.3,18.5,16.9,58.8,70.6,109.15,23.524,463.99,8,1.7242,85662.38,0,70.05,15.0978,0,0,304.87,65.706,16.375,3.5292,67405.11,24.89,9.847,32068.87,77,30.4672,35663.02,50,19.7841,41460.11,50.16,19.8463,47740.9,50.69,20.055,53622.6,1,0.3957,206.33,81.638,4.618,1.8273,21,8.309,25.968,10.2746,11.1146,191.91,75.932,0.661,0.2615,17,6.726,0,0,13.0096,60.83,24.0684,41.46,16.4059,2.942,1.1641,12.468,4.9333,2,0.7915,0,0,172.65,68.312,22.56,8.9275,6.2031,252.74,54.47,42454.85,5,1.9784,25.304,13.808,5.4636,208.74,82.59,27.76,5.983,48718.47,0,89.07,19.1958
'001908,2013,14.5,13.6,18.6,17.8,21.1,16.6,19,18.8,15.9,.,12.8,14.3,16,61.4,66.1,39.36,18.143,216.93,3.912,1.8033,83938.68,0,24.26,11.1849,0,0,146.5,67.534,6.5,2.9964,60196.31,16.98,13.784,31293.91,32.64,26.4911,33789.51,15,12.1737,38322.65,33.59,27.2613,44946.89,25,20.29,49110.73,1,0.8115,105.21,85.391,0.31,0.2518,9,7.305,6.587,5.3459,11.2229,95.64,77.62,1.752,1.4216,4,3.246,1,0.8116,13.1402,27.57,22.3795,17,13.7966,0,0,0.121,0.098,1.001,0.812,0,0,94.04,76.329,13.38,10.8575,6.4452,123.21,56.7971,40147.66,2,1.6232,24.877,7.019,5.6965,106.21,86.203,12.88,5.9374,45018.17,0,46.16,21.2809
'001909,2013,12.8,15.5,13.5,16,15,15.4,18.1,14.2,18.3,.,13.3,14.7,12.1,67.1,71.6,0,0,59.08,2,3.3854,70942.5,0,0,0,0,0,43.26,73.233,2,3.3854,64502.5,2,5.367,28462.91,8.26,22.1767,38464.81,6,16.1015,39696.91,14,37.5689,46100.42,7,18.786,50089.78,0,0,36.26,97.317,0.151,0.406,0,0,0.285,0.7654,12.9067,28.73,77.096,0,0,0,0,0,0,11.781,8.53,22.9042,1,2.6831,0,0,0,0,0,0,0,0,29.62,79.484,3.72,9.972,9.2124,37.26,63.0768,43178.88,0,0,17.343,3.493,9.3727,37.26,100,2,3.3854,43726.5,0,15.81,26.7669
'002901,2013,14.7,20,25.2,17.4,18.7,20.1,18.3,21.6,23.2,.,16.3,19.9,17.6,61.7,64.1,150.75,33.167,454.53,7,1.54,102232.79,0,51.83,11.4028,0,0,276.83,60.906,7.457,1.6406,84479.16,9.98,4.159,44355.11,51.97,21.6475,48168.96,47.97,19.9814,52719.28,74.75,31.1341,56216.97,55.41,23.079,66312.51,3,1.2495,196.46,81.827,4.038,1.6817,1,0.417,26.071,10.8588,13.1944,182.55,76.034,3.656,1.5227,46.58,19.4,3.9998,1.666,15.0653,57.54,23.9663,43.63,18.1727,0,0,13.135,5.471,0,0,0,0,170.25,70.91,15.31,6.375,8.6767,240.09,52.8217,55612.52,6.999,2.9153,13.458,7.637,3.1809,178.51,74.353,22.29,4.9037,67713.61,0,125.86,27.6911
'003801,2013,12.7,13.5,16.6,18.3,18.5,19.8,20.1,20.3,16.5,.,10.1,14,10,64.8,68.6,11.98,15.726,76.18,4,5.2509,75345.75,0,0.76,0.9935,0,0,58.13,76.304,1.937,2.5424,51239.68,4.13,9.337,34241.32,14,31.6838,39975.71,14,31.6797,41723.42,9,20.3672,49610.12,3.06,6.932,57973.68,0,0,31.13,70.437,0,0,2.06,4.669,0,0,9.0212,37.19,84.158,0.085,0.1924,2,4.528,0,0,14.3702,7,15.8422,11,24.8921,2.001,4.5272,0,0,0.063,0.1435,0,0,42.31,95.758,1.55,3.5154,2.6061,44.19,58.0083,43203.84,0,0,8.54,0.236,0.5348,40.12,90.803,8,10.5019,44383.38,0,17.29,22.703
'003902,2013,19.5,18.4,18.3,19.7,19.5,19,20,23.6,21.6,.,19.2,18.8,18.1,62.1,57.8,57.09,15.166,376.4,2,0.5314,114252.5,0,23.96,6.3662,3,0,228,60.575,15.188,4.0351,66521.65,8,4.383,33479.91,38,20.819,36315.17,39,21.3669,40278.58,55.37,30.3347,46284.37,42.16,23.097,52964.64,0,0,146.72,80.381,18.303,10.0274,2,1.096,5.631,3.0847,13.4876,146.37,80.192,13.391,7.3364,5,2.74,1.0003,0.548,14.9345,36.16,19.808,33.81,18.5235,2,1.0957,0,0,0,0,0,0,129.57,70.986,6.08,3.3319,8.5025,182.53,48.4938,43907.35,4.714,2.5826,8.546,9.552,5.2331,169.82,93.034,28.29,7.5148,50080.1,2.567,124.43,33.0587
