DISTRICT,DPETELEA,DPETENGA,DPETFLAA,DPETMATA,DPETSCIA,DPETSSTA,DPSAMIFC,DPSAMIFP,DPSATOFC,DPSCTOFC,DPSCTOFP,DPSCTOSA,DPSECOFC,DPSETOFC,DPSETOFP,DPSOTOFC,DPSPCOFC,DPSPTOFC,DPSPTOFP,DPSSTOFC,DPSSTOFP,DPSSTOSA,DPST00FC,DPST00FP,DPST00SA,DPST01FC,DPST01FP,DPST01SA,DPST06FC,DPST06FP,DPST06SA,DPST11FC,DPST11FP,DPST11SA,DPST20FC,DPST20FP,DPST20SA,DPSTBAFC,DPSTBAFP,DPSTBIFC,DPSTBIFP,DPSTBLFC,DPSTBLFP,DPSTCAPC,DPSTCOFC,DPSTCOFP,DPSTDTPC,DPSTECPC,DPSTEUPC,DPSTEXPA,DPSTFEFC,DPSTFEFP,DPSTGIFC,DPSTGIFP,DPSTHIFC,DPSTHIFP,DPSTINFC,DPSTINFP,DPSTKIDR,DPSTMAFC,DPSTMAFP,DPSTMSFC,DPSTMSFP,DPSTNOFC,DPSTNOFP,DPSTNRPC,DPSTOPFC,DPSTOPFP,DPSTPAFC,DPSTPAFP,DPSTPHFC,DPSTPHFP,DPSTREFC,DPSTREFP,DPSTSPFC,DPSTSPFP,DPSTTENA,DPSTTEPC,DPSTTOFC,DPSTTOFP,DPSTTOSA,DPSTURNR,DPSTVOFC,DPSTVOFP,DPSTWHFC,DPSTWHFP,DPSUTOFC,DPSUTOFP,DPSUTOSA,DPSXCOFC,DPSXTOFC,DPSXTOFP,YEAR
'001902,15.3,13.2,15.7,13.1,12.8,18.3,9.9,9.3,106.8,2.0,1.9,41664,0.0,14.0,13.1,0.1,0.0,71.0,66.5,4.5,4.2,45257,5.0,8.2,22050,23.0,37.7,24421,8.0,13.1,29723,13.5,22.2,36548,11.5,18.9,40417,49.5,81.1,0.0,0.0,1.0,1.6,0,1.0,1.6,0,2,0,9.9,48.5,79.5,0.5,0.8,1.0,1.6,0.0,0.0,10.2,12.5,20.5,11.5,18.9,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,49.4,80.9,5.9,9.7,4.5,0,61.1,57.2,30631,16.9,4.3,7.0,59.1,96.7,3.5,3.2,33534,0.0,21.8,20.4,1999
'001903,15.1,15.8,21,15.9,18.8,19.4,11.9,7.4,161.1,4.0,2.5,38598,0.0,24.7,15.3,0.1,0.0,98.7,61.2,3.6,2.2,50478,3.5,4.2,19356,20.3,24.4,23773,18.9,22.7,28234,18.5,22.3,35784,22.0,26.4,37799,66.7,80.2,0.0,0.0,1.0,1.2,1,3.4,4.1,0,0,1,12.6,62.7,75.3,0.0,0.0,0.0,0.0,0.0,0.0,13.5,20.5,24.7,16.0,19.2,0.5,0.6,0,0.8,1.0,0.0,0.0,0.0,0.0,61.2,73.5,12.9,15.5,7.1,0,83.2,51.6,30988,7.4,4.9,5.9,82.2,98.8,7.9,4.9,32493,0.0,37.7,23.4,1999
'001904,17.4,13,16.9,14.2,20.7,17.4,6.9,7.0,98.3,1.0,1.0,59875,0.0,7.0,7.1,0.1,0.0,66.5,67.7,3.0,3.1,47866,3.0,4.9,23074,12.0,19.7,23910,8.0,13.1,28203,21.4,35.1,35723,16.5,27.1,38300,42.0,69.0,0.0,0.0,0.0,0.0,0,1.0,1.6,0,0,1,15.1,45.9,75.4,6.0,9.9,0.0,0.0,1.0,1.6,13.3,15.0,24.6,18.4,30.2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.5,0.8,46.1,75.8,2.9,4.7,7.8,0,60.9,61.9,32481,13.3,4.9,8.0,59.9,98.4,1.6,1.7,37786,0.0,24.8,25.2,1999
'001906,17.2,19,7.5,11.5,15.1,22.5,3.0,5.7,52.8,1.0,1.9,61200,0.0,5.0,9.5,0.0,0.0,33.9,64.2,2.3,4.4,44567,0.9,3.3,21237,8.0,29.0,23360,8.0,29.0,28610,7.0,25.4,37122,3.7,13.3,37800,25.9,94.0,0.0,0.0,2.0,7.3,0,3.8,13.7,0,0,0,10.4,21.9,79.5,0.2,0.9,0.0,0.0,0.0,0.0,12.3,5.7,20.5,1.7,6.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,20.4,73.8,2.0,7.1,5.7,0,27.6,52.2,30220,27.6,1.2,4.5,25.6,92.7,3.0,5.7,34027,0.0,13.9,26.3,1999
'001907,19,20.6,20.9,19.3,19.2,22.4,151.9,27.4,554.0,6.0,1.1,60650,0.0,81.1,14.6,0.0,0.0,324.4,58.6,14.0,2.5,47359,18.0,6.7,22795,46.2,17.2,24999,58.8,21.9,29052,81.1,30.2,35748,64.1,23.9,38798,201.3,75.1,10.7,4.0,35.1,13.1,6,29.6,11.1,2,2,5,13.3,200.6,74.8,1.0,0.4,5.0,1.9,1.0,0.4,13.9,67.6,25.2,64.9,24.2,1.0,0.4,0,9.9,3.7,0.0,0.0,1.0,0.4,177.9,66.3,22.9,8.5,9.7,0,268.2,48.4,32288,20.0,16.1,6.0,227.0,84.7,36.2,6.5,38307,0.0,148.5,26.8,1999
'001908,21.2,20.5,18.7,18.7,21.6,23.1,27.2,12.9,210.2,4.0,1.9,43075,8.0,21.8,10.4,0.4,11.5,140.3,66.7,5.0,2.4,48970,11.8,9.7,21737,27.0,22.2,23501,21.0,17.2,29326,34.0,27.9,35397,28.0,23.0,38220,91.8,75.4,0.0,0.0,7.0,5.7,0,4.9,4.0,0,0,0,12.9,90.8,74.6,6.9,5.7,1.0,0.8,0.0,0.0,15.1,31.0,25.4,30.0,24.6,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.8,69.6,15.0,12.3,8.3,0,121.8,58.0,31038,17.8,10.2,8.4,113.8,93.4,9.5,4.5,32980,3.0,48.1,22.9,1999
'001909,15.5,15.5,14.3,9.8,12,19,0.0,0.0,51.2,2.0,3.9,49120,0.0,4.9,9.5,0.0,0.0,36.0,70.4,2.0,3.9,46038,0.0,0.0,0,11.0,36.7,25328,8.0,26.7,31508,6.5,21.7,37633,4.5,15.0,40703,18.5,61.7,0.0,0.0,0.0,0.0,0,1.5,5.0,0,0,0,11.3,21.5,71.7,0.0,0.0,0.0,0.0,0.0,0.0,12.1,8.5,28.3,11.0,36.7,0.0,0.0,0,0.0,0.0,0.0,0.0,0.5,1.7,23.2,77.2,2.0,6.7,4.6,0,30.0,58.6,31948,6.5,3.3,11.1,30.0,100.0,2.0,3.9,41757,0.0,10.3,20.2,1999
'002901,17.9,20.3,25,18.1,20.1,23.5,83.1,16.2,512.2,6.0,1.2,75422,0.0,70.6,13.8,0.0,0.0,294.5,57.5,9.7,1.9,62822,10.0,3.9,24727,38.0,14.9,28610,54.9,21.5,33915,93.8,36.7,41783,58.7,23.0,48419,177.1,69.4,17.6,6.9,2.0,0.8,0,23.9,9.4,1,1,2,14.2,180.7,70.8,7.7,3.0,19.9,7.8,0.0,0.0,13.6,74.6,29.2,77.3,30.3,0.0,0.0,0,6.3,2.5,0.0,0.0,1.0,0.4,161.8,63.4,22.5,8.8,9.9,0,255.4,49.9,38990,7.6,15.5,6.1,233.5,91.4,23.5,4.6,46095,0.0,147.0,28.7,1999
'003902,21.5,21.6,22,17.9,22.1,22,20.0,7.3,275.5,2.0,0.7,63460,0.0,28.7,10.4,26.5,0.0,179.4,65.1,9.0,3.3,45970,8.0,5.5,22328,40.0,27.5,23737,25.4,17.4,29065,48.3,33.1,36055,24.0,16.5,38272,102.7,70.5,3.1,2.1,1.0,0.7,0,15.1,10.3,0,3,0,11.7,108.7,74.6,11.1,7.6,2.0,1.4,1.0,0.7,15.3,37.0,25.4,42.0,28.8,1.0,0.7,3,2.9,2.0,0.0,0.0,0.0,0.0,87.2,59.8,12.7,8.8,7.1,0,145.7,52.9,31065,13.3,13.6,9.3,141.7,97.3,22.7,8.3,33074,3.0,67.4,24.5,1999
'003903,19.3,18,22.4,19,20.8,21.2,343.4,30.4,1130.8,8.0,0.7,63981,0.0,156.9,13.9,0.0,0.0,668.8,59.1,32.2,2.9,47835,32.7,5.8,21888,121.9,21.5,23664,93.0,16.4,28292,164.0,28.9,35839,155.5,27.4,39284,397.0,70.0,6.3,1.1,72.5,12.8,1,58.0,10.2,0,8,6,13.6,456.9,80.6,15.0,2.6,21.8,3.8,3.0,0.5,14.3,110.2,19.4,169.2,29.8,0.8,0.1,7,26.4,4.7,0.0,0.0,0.0,0.0,393.6,69.4,40.5,7.1,9.9,0,567.1,50.1,32125,9.4,27.3,4.8,469.8,82.8,61.5,5.4,38799,0.0,305.1,27.0,1999
'003904,20.9,26.1,12.8,18.2,18.8,24.2,6.4,2.8,224.4,2.0,0.9,62625,0.0,28.2,12.5,0.0,0.0,130.3,58.1,5.4,2.4,40346,5.0,4.3,21767,35.0,30.2,23628,18.5,16.0,30646,33.0,28.5,36187,24.3,21.0,39465,89.0,76.9,0.0,0.0,0.0,0.0,1,2.0,1.7,0,0,1,12.0,89.7,77.5,1.0,0.9,1.0,0.9,0.0,0.0,14.0,26.0,22.5,26.8,23.1,0.0,0.0,1,0.7,0.6,0.0,0.0,0.0,0.0,90.9,78.5,13.9,12.0,7.9,1,115.8,51.6,31569,12.9,7.3,6.3,114.8,99.1,7.2,3.2,33068,0.0,65.9,29.4,1999
'003905,19.9,22,15.7,21.1,20.1,22,66.9,24.9,268.5,4.0,1.5,60147,0.0,31.5,11.7,0.0,11.2,159.5,59.4,6.5,2.4,43752,11.8,8.4,22002,38.9,27.7,24794,28.0,19.9,30003,42.8,30.5,38592,19.0,13.5,40598,104.5,74.4,2.1,1.5,9.0,6.4,1,3.0,2.1,0,6,0,11.6,106.2,75.6,1.0,0.7,1.8,1.3,1.0,0.7,13.8,34.2,24.4,36.0,25.6,0.0,0.0,1,4.4,3.1,0.0,0.0,0.0,0.0,106.8,76.0,16.1,11.4,7.2,0,140.5,52.3,31941,19.4,7.1,5.1,128.6,91.6,8.6,3.2,36486,3.0,77.4,28.8,1999
'003906,18.5,13.4,9.5,11.3,15,13.7,0.0,0.0,64.7,1.0,1.5,58745,0.0,8.0,12.4,0.0,0.0,42.0,64.9,2.0,3.1,45016,3.0,8.6,23231,16.1,45.9,24706,7.0,20.0,30938,7.0,19.9,36798,2.0,5.7,39000,31.1,88.6,0.0,0.0,0.0,0.0,0,3.0,8.6,0,0,3,7.3,28.1,80.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,7.0,20.0,4.0,11.4,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27.6,78.7,2.0,5.7,5.6,0,35.1,54.2,29039,14.8,2.5,7.1,35.1,100.0,3.9,6.0,38103,0.0,14.7,22.7,1999
'003907,19.4,19.6,22,18.2,19.5,19,9.8,5.2,189.2,2.0,1.1,60412,0.0,18.8,9.9,1.0,0.0,126.7,67.0,3.0,1.6,42027,3.9,3.4,21804,21.0,18.4,23649,31.0,27.2,30443,39.0,34.2,36610,19.0,16.7,41568,82.9,72.8,0.8,0.7,0.0,0.0,1,2.1,1.8,0,0,0,12.2,88.9,78.1,4.0,3.5,1.0,0.9,1.0,0.9,14.4,25.0,21.9,31.0,27.2,0.0,0.0,0,2.7,2.3,0.0,0.0,0.0,0.0,92.1,80.9,6.0,5.3,7.0,0,113.9,60.2,32861,7.2,6.3,5.5,111.9,98.2,7.8,4.1,35165,0.0,43.7,23.1,1999
'004901,19.2,18.9,21.8,18.3,25.9,20,110.2,19.8,556.7,7.3,1.3,53174,0.0,78.2,14.0,0.0,0.0,306.1,55.0,10.8,1.9,45588,7.8,3.0,23304,53.2,20.4,25778,60.0,23.0,31092,82.9,31.8,37456,56.6,21.7,40863,172.2,66.1,3.8,1.5,4.5,1.7,0,12.5,4.8,0,3,3,13.0,194.9,74.8,3.9,1.5,14.9,5.7,0.0,0.0,13.3,65.5,25.2,88.2,33.9,0.0,0.0,0,8.0,3.1,0.0,0.0,0.0,0.0,198.7,76.3,23.1,8.9,6.5,0,260.4,46.8,33924,14.3,10.4,4.0,241.0,92.6,27.5,4.9,39722,0.0,172.5,31.0,1999
