DA0GA98N,DA0GH98N,DA0GR98N,DB0GR98N,DH0GR98N,DI0GR98N,DISTRICT,DP0GR98N,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DPERSAKR,DPETALLC,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETECOC,DPETECOP,DPETG01C,DPETG01P,DPETG02C,DPETG02P,DPETG03C,DPETG03P,DPETG04C,DPETG04P,DPETG05C,DPETG05P,DPETG06C,DPETG06P,DPETG07C,DPETG07P,DPETG08C,DPETG08P,DPETG09C,DPETG09P,DPETG10C,DPETG10P,DPETG11C,DPETG11P,DPETG12C,DPETG12P,DPETGEEC,DPETGEEP,DPETGIFC,DPETGIFP,DPETGKNC,DPETGKNP,DPETGPKC,DPETGPKP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETPACC,DPETPACP,DPETSPEC,DPETSPEP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DS0GR98N,DW0GR98N,YEAR
26,0,53,7,3,0,'001902,0,3,0,0,2.9,0,0,0,0,8.3,0,9.1,0,0,0,0,0,0,10,624,5,0.8,76,12.2,154,24.7,50,8.0,39,6.3,42,6.7,50,8.0,42,6.7,48,7.7,48,7.7,61,9.8,65,10.4,37,5.9,46,7.4,44,7.1,4,0.6,42,6.7,48,7.7,0,0.0,14,2.2,4,0.6,5,0.8,2,0.3,97,15.5,186,29.8,528,84.6,10,43,1999
31,0,64,6,5,1,'001903,0,3,0,0,0,0,0,0,0,0,5.3,6.3,0,8.7,0,0,0,0,12.5,1126,0,0.0,80,7.1,454,40.3,72,6.4,91,8.1,66,5.9,82,7.3,89,7.9,78,6.9,93,8.3,76,6.7,100,8.9,87,7.7,72,6.4,71,6.3,5,0.4,73,6.5,72,6.4,72,6.4,30,2.7,1,0.1,1,0.1,2,0.2,219,19.4,312,27.7,1013,90.0,10,52,1999
0,0,54,7,1,0,'001904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,807,11,1.4,105,13.0,362,44.9,69,8.6,49,6.1,51,6.3,45,5.6,65,8.1,65,8.1,66,8.2,62,7.7,62,7.7,78,9.7,46,5.7,49,6.1,0,0.0,91,11.3,65,8.1,35,4.3,26,3.2,1,0.1,11,1.4,5,0.6,129,16.0,275,34.1,670,83.0,5,46,1999
0,0,23,6,0,0,'001906,0,0,0,0,0,0,0,0,0,0,20,0,0,14.3,0,0,33.3,0,0,339,0,0.0,45,13.3,124,36.6,18,5.3,29,8.6,23,6.8,26,7.7,34,10.0,19,5.6,36,10.6,20,5.9,24,7.1,24,7.1,22,6.5,22,6.5,2,0.6,10,2.9,21,6.2,19,5.6,6,1.8,0,0.0,0,0.0,1,0.3,68,20.1,87,25.7,287,84.7,5,17,1999
100,0,194,58,27,1,'001907,3,5.3,2.5,0.9,2.7,0.9,1.2,4.7,2.1,2.8,16.2,10,0,0,0,3.2,0,2.5,10,3719,231,6.2,1223,32.9,1891,50.8,280,7.5,253,6.8,302,8.1,270,7.3,243,6.5,265,7.1,290,7.8,275,7.4,354,9.5,286,7.7,218,5.9,229,6.2,13,0.3,207,5.6,296,8.0,145,3.9,756,20.3,5,0.1,254,6.8,19,0.5,395,10.6,594,16.0,1716,46.1,15,105,1999
33,0,108,20,3,0,'001908,1,10.5,1.8,2.3,1,0,0.8,0,2.7,3.6,3.8,0,0,0,0,0,0,0,9.1,1840,0,0.0,293,15.9,687,37.3,134,7.3,141,7.7,159,8.6,153,8.3,142,7.7,129,7.0,148,8.0,154,8.4,160,8.7,135,7.3,119,6.5,90,4.9,2,0.1,101,5.5,139,7.6,35,1.9,149,8.1,9,0.5,0,0.0,4,0.2,255,13.9,441,24.0,1385,75.3,9,84,1999
9,0,26,1,0,0,'001909,0,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,0,0.0,8,2.2,175,48.1,34,9.3,26,7.1,24,6.6,32,8.8,24,6.6,31,8.5,26,7.1,23,6.3,32,8.8,22,6.0,25,6.9,31,8.5,0,0.0,34,9.3,13,3.6,21,5.8,18,4.9,1,0.3,3,0.8,0,0.0,84,23.1,87,23.9,337,92.6,2,25,1999
45,135,182,3,66,0,'002901,2,2.5,0.6,1.1,0.5,0,0,0,0,1.1,20,1.8,1.3,0,1.3,1.2,0,0,0,3468,295,8.5,61,1.8,1448,41.8,249,7.2,219,6.3,243,7.0,260,7.5,271,7.8,271,7.8,281,8.1,282,8.1,299,8.6,297,8.6,253,7.3,203,5.9,20,0.6,273,7.9,207,6.0,113,3.3,1706,49.2,5,0.1,400,11.5,29,0.8,777,22.4,1241,35.8,1667,48.1,22,111,1999
39,0,131,3,14,1,'003902,0,5.7,0.7,0,0.7,0,0.8,1.4,0,2.1,13.3,5.6,0,0,0,0,0,0,11.1,2235,118,5.3,60,2.7,1044,46.7,178,8.0,163,7.3,169,7.6,143,6.4,166,7.4,174,7.8,168,7.5,180,8.1,173,7.7,161,7.2,160,7.2,149,6.7,9,0.4,141,6.3,170,7.6,72,3.2,373,16.7,4,0.2,126,5.6,6,0.3,270,12.1,584,26.1,1792,80.2,21,113,1999
176,0,474,135,51,0,'003903,8,11.4,2.8,0.8,0.8,0.4,0.2,0.4,0,2.6,18.8,1.8,1.3,1,1.9,0,1.4,2.3,11.8,8098,865,10.7,2562,31.6,4253,52.5,594,7.3,588,7.3,610,7.5,578,7.1,622,7.7,614,7.6,575,7.1,626,7.7,612,7.6,646,8.0,545,6.7,519,6.4,11,0.1,673,8.3,574,7.1,384,4.7,1675,20.7,13,0.2,884,10.9,94,1.2,961,11.9,1947,24.0,3754,46.4,56,280,1999
21,0,111,6,1,0,'003904,0,0,1.1,0,0,1.2,0,2,0,2.2,12.5,7.4,0,0,11.5,0,0,6.3,0,1622,3,0.2,82,5.1,711,43.8,112,6.9,115,7.1,125,7.7,121,7.5,121,7.5,107,6.6,118,7.3,135,8.3,122,7.5,137,8.4,148,9.1,107,6.6,9,0.6,118,7.3,106,6.5,39,2.4,26,1.6,0,0.0,3,0.2,0,0.0,301,18.6,498,30.7,1514,93.3,25,104,1999
46,70,118,18,50,0,'003905,0,4.2,3.4,1.7,0,0,1.1,0,1.1,4.6,0,7.1,18.2,0,0,4,0,4.3,0,1942,220,11.3,354,18.2,1172,60.4,142,7.3,169,8.7,145,7.5,149,7.7,138,7.1,144,7.4,135,7.0,141,7.3,145,7.5,141,7.3,141,7.3,106,5.5,6,0.3,88,4.5,148,7.6,92,4.7,716,36.9,0,0.0,220,11.3,1,0.1,263,13.5,253,13.0,871,44.9,17,50,1999
0,0,35,0,0,0,'003906,0,0,3.4,0,0,0,0,0,4,2.7,0,0,0,8.3,0,11.1,0,0,0,443,0,0.0,0,0.0,226,51.0,40,9.0,39,8.8,35,7.9,33,7.4,30,6.8,32,7.2,26,5.9,28,6.3,34,7.7,24,5.4,27,6.1,26,5.9,0,0.0,18,4.1,31,7.0,38,8.6,5,1.1,0,0.0,0,0.0,0,0.0,92,20.8,89,20.1,438,98.9,9,35,1999
0,0,106,4,3,0,'003907,0,1.9,0,0,0,1.1,0.9,1,1,2.4,0,0,0,0,0,0,10.5,0,11.1,1637,55,3.4,46,2.8,752,45.9,141,8.6,124,7.6,140,8.6,143,8.7,121,7.4,117,7.1,135,8.2,115,7.0,134,8.2,103,6.3,94,5.7,84,5.1,2,0.1,89,5.4,140,8.6,44,2.7,119,7.3,2,0.1,64,3.9,0,0.0,228,13.9,231,14.1,1470,89.8,14,99,1999
110,65,192,4,41,1,'004901,20,8.8,7.7,0,0.5,0.5,1.7,5.5,2.1,0.5,21.4,0,2.9,0,0,4.3,8.8,4.3,0,3468,132,3.8,75,2.2,1792,51.7,281,8.1,244,7.0,225,6.5,218,6.3,271,7.8,278,8.0,268,7.7,310,8.9,313,9.0,236,6.8,282,8.1,212,6.1,14,0.4,283,8.2,223,6.4,93,2.7,992,28.6,6,0.2,144,4.2,198,5.7,569,16.4,530,15.3,2197,63.4,16,126,1999
15,0,42,0,0,0,'005901,0,0,0,0,2.6,2.7,0,2.4,4.3,11.1,0,16.7,16.7,0,0,0,0,20,0,610,3,0.5,1,0.2,150,24.6,42,6.9,42,6.9,46,7.5,48,7.9,47,7.7,47,7.7,46,7.5,59,9.7,54,8.9,48,7.9,40,6.6,41,6.7,3,0.5,34,5.6,47,7.7,0,0.0,15,2.5,0,0.0,3,0.5,0,0.0,76,12.5,131,21.5,594,97.4,7,42,1999
23,0,54,0,3,0,'005902,0,0,0,0,0,0,2.6,2.8,0,5.6,0,0,0,0,0,0,12.5,9.1,0,985,5,0.5,1,0.1,175,17.8,75,7.6,53,5.4,83,8.4,74,7.5,70,7.1,93,9.4,83,8.4,80,8.1,92,9.3,90,9.1,75,7.6,60,6.1,4,0.4,64,6.5,53,5.4,0,0.0,31,3.1,0,0.0,9,0.9,0,0.0,77,7.8,284,28.8,953,96.8,4,51,1999
0,3,14,0,3,0,'005903,1,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,100,0,76,0,0.0,1,1.3,39,51.3,7,9.2,4,5.3,4,5.3,7,9.2,2,2.6,9,11.8,1,1.3,5,6.6,7,9.2,9,11.8,4,5.3,11,14.5,0,0.0,0,0.0,5,6.6,1,1.3,10,13.2,0,0.0,0,0.0,0,0.0,17,22.4,22,28.9,65,85.5,3,10,1999
18,0,27,0,0,0,'005904,0,3.3,0,0,0,0,0,0,0,9.4,0,0,0,0,0,0,0,0,20,372,43,11.6,1,0.3,117,31.5,33,8.9,33,8.9,30,8.1,29,7.8,27,7.3,30,8.1,18,4.8,32,8.6,31,8.3,30,8.1,20,5.4,23,6.2,3,0.8,30,8.1,23,6.2,10,2.7,46,12.4,4,1.1,47,12.6,0,0.0,35,9.4,97,26.1,321,86.3,2,27,1999
23,0,40,0,0,0,'006902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,2,0.5,0,0.0,95,24.5,33,8.5,29,7.5,29,7.5,25,6.5,28,7.2,28,7.2,37,9.6,31,8.0,33,8.5,35,9.0,33,8.5,19,4.9,8,2.1,35,9.0,19,4.9,0,0.0,21,5.4,0,0.0,2,0.5,1,0.3,55,14.2,81,20.9,365,94.3,4,40,1999
0,0,42,0,35,0,'007901,0,9.1,11.9,0,0,0,0,0,0,4.2,25,0,0,0,0,0,0,0,25,499,18,3.6,0,0.0,378,75.8,48,9.6,38,7.6,41,8.2,30,6.0,34,6.8,33,6.6,33,6.6,42,8.4,36,7.2,30,6.0,40,8.0,27,5.4,0,0.0,30,6.0,46,9.2,21,4.2,416,83.4,0,0.0,43,8.6,0,0.0,84,16.8,116,23.2,83,16.6,8,7,1999
0,0,67,1,19,0,'007902,1,0,0,0,0,0,9.3,4.4,2.9,4.2,0,0,0,0,0,0,0,0,0,1303,55,4.2,5,0.4,764,58.6,107,8.2,94,7.2,103,7.9,103,7.9,102,7.8,112,8.6,108,8.3,96,7.4,110,8.4,84,6.4,97,7.4,71,5.4,0,0.0,79,6.1,83,6.4,33,2.5,711,54.6,3,0.2,58,4.5,3,0.2,205,15.7,304,23.3,581,44.6,13,46,1999
0,3,73,0,52,0,'007904,0,5.8,4.1,0,0,0,3.1,2.4,1.4,0,0,5.3,8.3,5,0,0,0,5.6,0,1344,109,8.1,2,0.1,851,63.3,100,7.4,81,6.0,101,7.5,101,7.5,96,7.1,114,8.5,100,7.4,108,8.0,113,8.4,93,6.9,94,7.0,78,5.8,2,0.1,120,8.9,95,7.1,68,5.1,902,67.1,0,0.0,112,8.3,5,0.4,207,15.4,439,32.7,435,32.4,12,21,1999
