DA0AD00R,DA0AD99R,DA0AT00R,DA0AT99R,DA0BK00R,DA0BK01R,DA0BS00R,DA0BS01R,DA0BT00R,DA0BT01R,DA0CA00R,DA0CA99R,DA0CC00R,DA0CC99R,DA0CS00R,DA0CS99R,DA0CT00R,DA0CT99R,DA0DR00R,DA0DR99R,DA0GH00R,DA0GH99R,DB0AD00R,DB0AD99R,DB0AT00R,DB0AT99R,DB0BK00R,DB0BK01R,DB0BS00R,DB0BS01R,DB0BT00R,DB0BT01R,DB0CA00R,DB0CA99R,DB0CC00R,DB0CC99R,DB0CS00R,DB0CS99R,DB0CT00R,DB0CT99R,DB0DR00R,DB0DR99R,DB0GH00R,DB0GH99R,DE0AD00R,DE0AD99R,DE0AT00R,DE0AT99R,DE0DR00R,DE0DR99R,DE0GH00R,DE0GH99R,DF0AD00R,DF0AD99R,DF0AT00R,DF0AT99R,DF0BK00R,DF0BK01R,DF0BS00R,DF0BS01R,DF0BT00R,DF0BT01R,DF0CA00R,DF0CA99R,DF0CC00R,DF0CC99R,DF0CS00R,DF0CS99R,DF0CT00R,DF0CT99R,DF0DR00R,DF0DR99R,DF0GH00R,DF0GH99R,DH0AD00R,DH0AD99R,DH0AT00R,DH0AT99R,DH0BK00R,DH0BK01R,DH0BS00R,DH0BS01R,DH0BT00R,DH0BT01R,DH0CA00R,DH0CA99R,DH0CC00R,DH0CC99R,DH0CS00R,DH0CS99R,DH0CT00R,DH0CT99R,DH0DR00R,DH0DR99R,DH0GH00R,DH0GH99R,DI0AD00R,DI0AD99R,DI0AT00R,DI0AT99R,DI0BK00R,DI0BK01R,DI0BS00R,DI0BS01R,DI0BT00R,DI0BT01R,DI0CA00R,DI0CA99R,DI0CC00R,DI0CC99R,DI0CS00R,DI0CS99R,DI0CT00R,DI0CT99R,DI0DR00R,DI0DR99R,DI0GH00R,DI0GH99R,DISTRICT,DM0AD00R,DM0AD99R,DM0AT00R,DM0AT99R,DM0BK00R,DM0BK01R,DM0BS00R,DM0BS01R,DM0BT00R,DM0BT01R,DM0CA00R,DM0CA99R,DM0CC00R,DM0CC99R,DM0CS00R,DM0CS99R,DM0CT00R,DM0CT99R,DM0DR00R,DM0DR99R,DM0GH00R,DM0GH99R,DP0AD00R,DP0AD99R,DP0AT00R,DP0AT99R,DP0BK00R,DP0BK01R,DP0BS00R,DP0BS01R,DP0BT00R,DP0BT01R,DP0CA00R,DP0CA99R,DP0CC00R,DP0CC99R,DP0CS00R,DP0CS99R,DP0CT00R,DP0CT99R,DP0DR00R,DP0DR99R,DP0GH00R,DP0GH99R,DS0AD00R,DS0AD99R,DS0AT00R,DS0AT99R,DS0DR00R,DS0DR99R,DS0GH00R,DS0GH99R,DW0AD00R,DW0AD99R,DW0AT00R,DW0AT99R,DW0BK00R,DW0BK01R,DW0BS00R,DW0BS01R,DW0BT00R,DW0BT01R,DW0CA00R,DW0CA99R,DW0CC00R,DW0CC99R,DW0CS00R,DW0CS99R,DW0CT00R,DW0CT99R,DW0DR00R,DW0DR99R,DW0GH00R,DW0GH99R,YEAR
32.3,29.4,97.1,96.5,.,.,.,.,3.1,0,21.9,21.2,22.7,16.7,978,982,62.9,60,1.2,0.9,65.9,45.5,27.8,11.8,98.3,97.8,.,.,.,.,.,0,.,.,.,.,.,.,.,.,0,0,.,60,33.3,14.3,96.8,95.2,1.4,0,60,60,41.2,39.2,97.3,96.2,.,.,.,.,6.5,0,22.4,21.8,27.3,16.7,995,996,68.8,75,1.1,1.2,75,39.3,.,.,97.7,97,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,14.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,'001902,23.8,19.6,96.9,96.7,.,.,.,.,0,0,21.3,19.6,18.2,16.7,960,.,57.9,37.5,1.2,0.6,60,56.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,96.8,95.8,1.5,0,16.7,.,31.4,30.6,96.9,96.3,.,.,.,.,3.4,0,21.9,21.6,26.3,18.2,973,993,59.4,57.9,1.1,0.7,63.2,43.6,2001
17.1,18.8,96.2,95.9,66.7,91.7,57.1,85.7,14,9.8,21.8,21,31,21.6,1011,994,53.7,69.8,2.1,1.4,42.9,0,10,19.2,96.5,96.8,.,.,.,.,0,0,.,.,.,.,.,.,.,.,2.8,2,.,0,15.6,9.5,95.7,95.2,1.8,1.2,23.1,0,20.4,20.7,95.9,95.5,50,80,40,80,11.9,8.1,21.3,19,27.3,17.6,998,973,42.3,81,1.6,0.8,41.9,0,0,14.3,96.1,96,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,'001903,14.3,17.4,96.5,96.2,80,100,72.7,88.9,16.1,11.5,22.2,22.4,33.3,25,1018,1009,64.3,62.5,2.7,2,43.8,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5.8,3.8,95.4,94.9,1.8,3.8,0,0,18,18.6,96.2,95.8,66.7,91.7,57.1,85.7,15.1,10.4,21.8,20.5,28.6,21.2,1005,992,54.9,68.8,2.2,1.4,45,0,2001
13.9,15.8,96.4,96.5,10.5,.,10.5,.,19,2.1,20.8,18.4,28.6,17.4,933,912,42.4,53.5,0.5,0.2,0,0,6.9,21.7,97.4,97,.,.,.,.,11.1,0,.,.,.,.,.,.,16.7,.,0,0,0,.,10.1,12.7,95.7,96,0,0,0,.,17.5,25.5,96.2,96.5,6.7,.,6.7,.,28.3,4.8,.,18,36.4,8.3,987,897,47.8,75,0.5,0,0,0,.,.,96.6,98.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,'001904,10.5,8.1,96.6,96.5,.,.,.,.,8.5,0,.,18.8,.,27.3,.,930,30,40.7,0.5,0.5,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6.8,18.9,95.5,95.4,1.3,1.3,0,0,15,14.9,96.2,96.4,11.1,.,11.1,.,19.8,2.3,20.8,18.9,23.1,18.2,918,930,48.1,56.4,0.5,0.3,0,0,2001
0,8.2,96.2,96,.,.,.,.,0,0,.,22,37.5,30,1103,1057,47.1,52.6,0,0.6,0,0,0,11.1,97,95.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,.,.,0,0,95.9,95.4,0,0,.,0,0,9.7,96.3,95.4,.,.,.,.,0,0,.,21.6,20,20,.,.,71.4,83.3,0,1.5,0,0,.,.,92.8,95.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,'001906,0,7.4,96.1,96.5,.,.,.,.,0,0,.,.,.,40,.,1038,30,38.5,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,95.4,95.3,0,0,.,.,0,8,96.2,96.1,.,.,.,.,0,0,.,21.4,37.5,22.2,1103,1045,47.1,60,0,0.7,0,0,2001
36.4,32.1,96.1,96,77.8,65.1,57.1,57.4,7.5,10.7,19.3,20.9,18.4,25.5,918,981,47.5,45.2,0.2,0.3,54.6,0,30.3,30.7,96.1,96.2,.,20,.,20,0.9,4.1,15.9,.,0,0,727,789,40.4,29.2,0.2,0.3,41.9,0,28.2,24.5,96,95.9,0.1,0.3,38.7,0,41.4,38.1,96,95.9,79,66.7,56.3,54.6,9.5,10.4,18.9,21.7,17.1,20,912,974,46.6,45.5,0.2,0.1,55.3,0,21.7,25,96.4,95.9,.,.,.,.,0,5.2,.,.,.,.,.,.,10.5,10,0.7,0.3,40,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,'001907,31.3,25.9,96.2,96.1,75,63.2,60,60.7,5,11,19.6,20,20,31.3,925,988,48.6,44.9,0.1,0.4,53.9,0,50,60,98.5,98.8,.,100,.,87.5,.,55.6,.,.,.,.,.,.,.,.,0,0,.,.,16.5,11.7,94.6,94.7,0,0,0,0,45.7,34.8,95.9,95.9,79.2,63.3,59.5,53.3,12.5,14,21.6,21.5,25.5,30.9,998,1019,58.5,55.1,0,0.2,65.3,0,2001
9.7,14.7,95.6,95.3,33.3,.,33.3,.,4.6,0,18.7,21.1,16.7,21.2,923,983,31.3,44.6,0.6,1.2,28.3,1.1,10.8,9.9,95.8,95.5,.,.,.,.,4.8,0,.,.,.,.,.,.,25,25,0.8,1.5,42.9,0,6.4,10.2,95.1,94.5,0,0.9,20,0,12.6,20.7,95.4,95.2,.,.,.,.,3.8,0,18.6,20.9,20,23.5,941,988,37,39.5,0.4,0.9,36.2,0,3.1,7.1,94.8,94.3,.,.,.,.,0,0,.,.,.,.,.,.,.,.,0,4.7,.,.,.,.,96.9,95.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,'001908,6.6,8.6,95.7,95.4,20,.,20,.,5.4,0,.,21.4,10,18.8,879,978,23.8,51.6,0.7,1.6,18.8,2.3,.,.,96.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16.7,.,.,.,1.1,2.6,94.4,94,0.7,0,0,6.3,9.9,16,95.6,95.3,42.9,.,42.9,.,4.3,0,19.2,21.4,16,23.3,902,986,31.3,47.6,0.4,0.9,25,1.3,2001
4,1.8,96.7,96.7,.,.,.,.,0,0,20.6,.,22.2,.,.,.,40.9,16,1.2,0.6,33.3,0,0,.,97.2,97.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,.,.,4.3,0,96.4,96.8,0,0,27.3,0,5.9,2.1,96.7,96.6,.,.,.,.,0,0,.,.,.,.,.,.,40,25,3.1,1.4,50,0,.,.,96.8,97.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,'001909,3,1.5,96.7,96.8,.,.,.,.,0,0,.,.,20,.,.,.,41.7,7.7,0,0,23.5,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,96.4,96.5,3,2.6,0,0,4.3,1.9,96.7,96.7,.,.,.,.,0,0,20.6,.,22.2,.,.,.,40.9,16,1.2,0.6,33.3,0,2001
16,14.1,96,95.4,.,.,.,.,0,1,20.4,19.7,19.4,16.3,946,932,51.3,47.3,0.2,0.5,97.8,56.8,15,7.1,96,94.8,.,.,.,.,0,0,.,.,.,.,.,.,.,.,2.8,0,.,.,7.4,3.4,95.8,95.2,0.5,0.5,94.6,50,15.2,15,95.9,95.2,.,.,.,.,0,1.6,20.5,20.4,23.1,16.1,955,910,54.7,57.1,0.2,0.6,97.1,54.4,7.8,4.5,95.8,95.1,.,.,.,.,0,1.8,20.8,18.4,8.3,13.3,852,874,29.3,23.1,0.3,1.2,99,72,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,'002901,16.8,13.3,96.1,95.6,.,.,.,.,0,0.5,20,18.6,15.2,16.7,936,981,47.9,35.7,0.2,0.5,98.3,59.4,42.9,55.6,98.7,98.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,.,.,2,2,95,94.2,0.8,0.5,91.4,7.9,22.3,21.3,96.2,95.7,.,.,.,.,0,0.4,20.5,20.3,24.6,17.9,973,949,67,58.8,0.1,0,96.6,48.1,2001
.,.,95.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,94.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,95.4,.,0,.,.,.,.,.,95.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,'003801,.,.,95.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,97.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,93,.,0,.,.,.,.,.,95.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,2001
7.9,10.1,96.4,96.1,68,50,73.5,45.1,9.8,14.5,20.4,18,25,16.7,994,989,53.8,57.4,1.7,1.4,43.4,0,0,7.7,97,97.7,.,.,.,.,.,0,.,.,.,.,.,.,.,.,2.9,0,.,.,3.3,5.3,96.1,95.8,1.6,1.5,27.3,0,10,12.7,96.5,95.8,66.7,50,72,43.9,14.9,22.4,20.9,18.6,20,13,975,973,54.5,54.8,1.3,1.7,47.5,0,1.1,4.8,96.6,96.3,.,.,.,80,2.8,7.1,.,.,20,.,.,.,50,23.5,3,0.7,45.5,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,'003902,6,7.7,96.3,96.4,71.4,50,77.8,50,5.3,6.5,20,16.8,29.4,21.9,1015,1007,53.1,61.5,2,1,40.3,0,.,.,99.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,1.1,95.1,95.2,1.2,1.7,0,0,9.2,11,96.3,96,66.7,45.5,72.7,41.3,11.2,16.5,20.4,18.3,25.9,17.8,990,989,54.2,62.4,1.4,1.5,43.4,0,2001
