DA0GH01N,DA0GR01N,DA0LV01R,DAPID02N,DAPID02R,DAUND01C,DB0GR01N,DH0GR01N,DI0GR01N,DISTRICT,DP0GR01N,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DPERSAKR,DPETALLC,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETG01C,DPETG01P,DPETG02C,DPETG02P,DPETG03C,DPETG03P,DPETG04C,DPETG04P,DPETG05C,DPETG05P,DPETG06C,DPETG06P,DPETG07C,DPETG07P,DPETG08C,DPETG08P,DPETG09C,DPETG09P,DPETG10C,DPETG10P,DPETG11C,DPETG11P,DPETG12C,DPETG12P,DPETGEEC,DPETGEEP,DPETGIFC,DPETGIFP,DPETGKNC,DPETGKNP,DPETGPKC,DPETGPKP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETPACC,DPETPACP,DPETSPEC,DPETSPEP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DS0GR01N,DW0GR01N,YEAR
14,32,0,0,0.0,0,2,0,0,'001902,1,2.9,0,0,2.4,3.6,0,0,0,3.3,0,0,0,0,0,0,0,0,0,614,4,0.7,72,11.7,6,0.9,153,24.9,44,7.2,42,6.8,51,8.3,46,7.5,49,8.0,35,5.7,52,8.5,37,6.0,54,8.8,50,8.1,52,8.5,50,8.1,3,0.5,55,9.0,34,5.5,15,2.4,29,4.7,0,0.0,4,0.7,0,0.0,103,16.8,139,22.6,513,83.6,1,29,2002
31,71,0.7,4,0.3,4,5,1,0,'001903,0,9.7,0,0,0,0,0,0,0,6.3,10,10,0,3.2,0,4.3,0,0,21.4,1153,2,0.2,80,6.9,5,0.5,481,41.7,84,7.3,71,6.2,72,6.2,78,6.8,95,8.2,77,6.7,80,6.9,101,8.8,94,8.2,89,7.7,85,7.4,68,5.9,1,0.1,62,5.4,70,6.1,88,7.6,48,4.2,1,0.1,2,0.2,2,0.2,224,19.4,350,30.4,1022,88.6,7,65,2002
0,56,3.2,9,1.0,14,4,0,0,'001904,1,5.5,2.1,0,0,0,0,0,0,5,10,0,0,0,0,8.3,0,0,0,775,9,1.2,108,13.9,14,1.7,332,42.8,48,6.2,66,8.5,51,6.6,69,8.9,43,5.5,48,6.2,58,7.5,57,7.4,74,9.5,63,8.1,56,7.2,48,6.2,2,0.3,58,7.5,61,7.9,31,4.0,31,4.0,3,0.4,9,1.2,2,0.3,110,14.2,255,32.9,631,81.4,6,51,2002
6,17,0,0,0.0,0,3,0,0,'001906,0,0,0,0,8.3,0,0,7.1,0,0,20,20,0,0,0,0,0,0,0,336,0,0.0,47,14.0,0,0,130,38.7,25,7.4,17,5.1,22,6.5,19,5.7,29,8.6,25,7.4,28,8.3,34,10.1,15,4.5,33,9.8,22,6.5,22,6.5,0,0.0,20,6.0,18,5.4,27,8.0,12,3.6,0,0.0,0,0.0,3,0.9,68,20.2,91,27.1,274,81.5,5,14,2002
148,192,0.6,13,0.3,10,66,26,0,'001907,6,3.4,2.2,3.7,2.5,0,1,4.5,0.5,3,20,0,6.3,0,0,0,8.7,5.7,11.5,3361,274,8.2,1113,33.1,55,1.7,1995,59.4,273,8.1,255,7.6,258,7.7,240,7.1,239,7.1,273,8.1,252,7.5,244,7.3,267,7.9,239,7.1,224,6.7,196,5.8,0,0.0,137,4.1,249,7.4,152,4.5,803,23.9,1,0.0,303,9.0,25,0.7,317,9.4,926,27.6,1419,42.2,16,94,2002
33,97,0,13,0.6,0,13,7,0,'001908,2,4.3,3.5,1.9,1.6,0,0,1.9,2.7,6.1,12.1,0,0,0,0,0,0,0,5.6,1815,24,1.3,315,17.4,8,0.4,749,41.3,154,8.5,133,7.3,131,7.2,125,6.9,141,7.8,148,8.2,166,9.1,132,7.3,143,7.9,148,8.2,126,6.9,92,5.1,4,0.2,101,5.6,129,7.1,43,2.4,169,9.3,10,0.6,24,1.3,6,0.3,295,16.3,419,23.1,1315,72.5,14,75,2002
6,20,0,16,3.5,0,3,0,0,'001909,0,4.8,0,0,0,0,0,0,0,0,33.3,0,0,0,0,0,0,0,0,386,0,0.0,20,5.2,0,0,197,51.0,34,8.8,26,6.7,22,5.7,37,9.6,25,6.5,29,7.5,34,8.8,32,8.3,27,7.0,26,6.7,22,5.7,23,6.0,0,0.0,35,9.1,27,7.0,22,5.7,17,4.4,0,0.0,2,0.5,0,0.0,78,20.2,68,17.6,349,90.4,2,17,2002
261,263,0.1,0,0.0,1,6,120,0,'002901,1,4.2,3.7,2.6,0.6,0,0.5,0,0,7,14,11.6,3.7,1.9,1.6,0,0,0,11.5,3083,268,8.7,51,1.7,78,2.6,1327,43.0,200,6.5,191,6.2,199,6.5,212,6.9,227,7.4,232,7.5,263,8.5,244,7.9,247,8.0,264,8.6,256,8.3,196,6.4,22,0.7,211,6.8,213,6.9,117,3.8,1643,53.3,4,0.1,330,10.7,22,0.7,595,19.3,1039,33.7,1363,44.2,42,136,2002
.,.,15.9,9,3.3,18,.,.,.,'003801,.,4.8,0,0,0,0,0,20,0,3.6,0,0,0,0,0,0,.,0,20,187,0,0.0,14,7.5,0,0,86,46.0,30,16.0,20,10.7,22,11.8,20,10.7,21,11.2,16,8.6,16,8.6,11,5.9,11,5.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,10.7,0,0.0,9,4.8,0,0.0,0,0.0,11,5.9,21,11.2,0,0.0,153,81.8,.,.,2002
59,139,0.1,8,0.3,1,4,24,1,'003902,0,7,3,0.7,2.2,0,0.7,1.4,0,3.6,23.1,0,4.3,0,0,0,0,3,18.8,2267,113,5.0,79,3.5,40,1.8,1151,50.8,167,7.4,159,7.0,174,7.7,170,7.5,157,6.9,181,8.0,177,7.8,166,7.3,194,8.6,167,7.4,158,7.0,147,6.5,1,0.0,116,5.1,159,7.0,90,4.0,431,19.0,7,0.3,129,5.7,5,0.2,247,10.9,565,24.9,1745,77.0,19,110,2002
