DISTRICT,DPCTENGA,DPCTFLAA,DPCTG01A,DPCTG02A,DPCTG03A,DPCTG04A,DPCTG05A,DPCTG06A,DPCTGKGA,DPCTGMEA,DPCTMATA,DPCTSCIA,DPCTSOCA,DPSAMIFC,DPSAMIFP,DPSATOFC,DPSCTOFC,DPSCTOFP,DPSCTOSA,DPSECOFC,DPSETOFC,DPSETOFP,DPSOTOFC,DPSPCOFC,DPSPTOFC,DPSPTOFP,DPSSTOFC,DPSSTOFP,DPSSTOSA,DPST00FC,DPST00FP,DPST00SA,DPST01FC,DPST01FP,DPST01SA,DPST06FC,DPST06FP,DPST06SA,DPST11FC,DPST11FP,DPST11SA,DPST20FC,DPST20FP,DPST20SA,DPSTBAFC,DPSTBAFP,DPSTBIFC,DPSTBIFP,DPSTBLFC,DPSTBLFP,DPSTCAPC,DPSTCOFC,DPSTCOFP,DPSTDTPC,DPSTECPC,DPSTEUPC,DPSTEXPA,DPSTFEFC,DPSTFEFP,DPSTGIFC,DPSTGIFP,DPSTHIFC,DPSTHIFP,DPSTINFC,DPSTINFP,DPSTKIDR,DPSTMAFC,DPSTMAFP,DPSTMSFC,DPSTMSFP,DPSTNOFC,DPSTNOFP,DPSTNRPC,DPSTOPFC,DPSTOPFP,DPSTPAFC,DPSTPAFP,DPSTPHFC,DPSTPHFP,DPSTREFC,DPSTREFP,DPSTSPFC,DPSTSPFP,DPSTTENA,DPSTTEPC,DPSTTOFC,DPSTTOFP,DPSTTOSA,DPSTURNR,DPSTVOFC,DPSTVOFP,DPSTWHFC,DPSTWHFP,DPSUTOFC,DPSUTOFP,DPSUTOSA,DPSXCOFC,DPSXTOFC,DPSXTOFP,YEAR
'001902,12.9,10.2,16.5,17.5,20.5,15.2,15,13.4,16.7,35.6,12.3,11.8,15.9,9.0,10.2,88.2,2.0,2.3,46088,0.0,12.0,13.6,0.0,0.0,59.4,67.3,3.4,3.8,51173,3.0,6.4,29253,8.0,17.0,26943,14.6,31.0,32483,12.0,25.5,39205,9.5,20.2,41821,42.6,90.4,0.4,0.8,1.0,2.1,0,0.0,0.0,0,7,0,11.7,39.5,83.9,0.8,1.7,2.0,4.2,0.0,0.0,11.9,7.6,16.1,4.5,9.6,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,36.8,78.1,6.0,12.7,4.9,0,47.1,53.4,34936,39.6,3.2,6.7,44.1,93.6,6.9,7.8,34713,0.0,16.8,19.1,2003
'001903,15.2,17.2,14.5,18,14.3,15.1,17,18.2,18,.,12.8,14.1,17.8,14.9,8.7,171.7,4.0,2.3,46083,0.0,28.0,16.3,5.0,0.0,105.0,61.1,3.9,2.3,47620,1.0,1.1,24240,20.0,22.9,26038,22.0,25.2,32041,28.0,32.1,37833,16.2,18.6,41016,76.0,87.1,0.7,0.8,0.0,0.0,1,4.5,5.1,0,3,1,12.2,70.9,81.3,0.0,0.0,0.0,0.0,0.0,0.0,13.7,16.3,18.7,11.2,12.9,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,64.1,73.5,11.7,13.4,7.4,0,87.2,50.8,34105,15.3,6.3,7.2,87.2,100.0,9.9,5.8,36383,0.0,38.7,22.6,2003
'001904,12,16.8,15,12,17.8,21.5,16.5,17,14.3,.,11.8,14,17.1,8.6,6.9,124.5,1.0,0.8,70000,0.0,14.6,11.7,0.0,0.0,79.0,63.5,4.0,3.2,56404,1.0,1.4,24740,20.0,28.8,27143,12.0,17.3,32965,19.0,27.3,38489,17.5,25.2,41515,52.5,75.5,0.0,0.0,1.0,1.4,0,1.7,2.4,0,0,4,12.8,53.0,76.3,0.4,0.6,1.0,1.4,0.0,0.0,11.5,16.5,23.7,17.0,24.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,84.9,5.3,7.7,6.2,0,69.5,55.8,34835,14.1,3.1,4.5,67.5,97.1,4.5,3.6,40846,0.0,30.9,24.8,2003
'001906,18.6,11.7,19.5,19.6,17,18.8,21.1,26.4,14.5,8,12.8,24.5,25,2.0,4.5,44.9,1.0,2.2,63500,0.0,4.0,8.9,0.0,0.0,28.0,62.3,2.0,4.5,50500,1.0,4.5,24240,4.0,17.9,25848,5.0,22.3,33348,7.4,33.0,36917,5.0,22.3,42932,21.4,95.5,0.0,0.0,1.0,4.5,0,1.3,5.7,0,0,0,11.4,17.4,77.7,0.1,0.6,0.0,0.0,0.0,0.0,13.8,5.0,22.3,1.0,4.5,0.0,0.0,0,0.0,0.2,0.0,0.0,0.0,0.0,17.7,79.2,1.7,7.6,7.4,0,22.4,49.8,34920,20,1.5,6.7,21.4,95.5,2.6,5.8,30567,3.6,12.9,28.8,2003
'001907,19.3,17,15.8,16,20.3,19.2,20.8,16.8,17.4,.,16.4,17.2,20.6,143.1,27.1,527.9,6.0,1.1,68328,0.0,74.9,14.2,0.0,0.0,316.3,59.9,15.8,3.0,53155,15.0,5.8,23877,59.0,22.9,26944,38.2,14.8,31738,71.6,27.7,38940,74.3,28.8,42992,201.8,78.2,13.5,5.2,28.9,11.2,4,28.2,10.9,2,3,11,13.5,202.7,78.5,1.0,0.4,6.5,2.5,0.0,0.0,13.1,55.4,21.5,53.3,20.6,3.0,1.2,3,7.2,2.8,0.0,0.0,0.0,0.0,168.5,65.3,24.4,9.4,9.0,0,258.0,48.9,35422,15,15.3,5.9,222.6,86.3,36.5,6.9,37450,0.0,136.7,25.9,2003
'001908,18.4,21.4,20.1,20,18.8,21.7,21,23,20.7,.,16.2,18.2,19.1,27.8,12.6,221.2,3.0,1.4,59433,14.0,29.8,13.5,0.0,15.6,140.3,63.4,6.1,2.8,47889,4.0,3.3,20970,20.0,16.7,27168,24.5,20.4,32698,34.0,28.3,38825,37.5,31.3,41138,92.5,77.1,1.5,1.3,5.5,4.6,0,5.4,4.5,0,1,2,15.6,92.4,77.1,3.2,2.6,1.0,0.8,0.0,0.0,15.2,27.5,22.9,24.5,20.4,3.0,2.5,0,3.0,2.5,0.0,0.0,0.0,0.0,85.7,71.5,13.8,11.5,9.1,0,119.9,54.2,35762,14.9,7.3,6.1,113.4,94.6,11.2,5.1,38189,3.0,51.0,23.1,2003
'001909,12.6,13.7,17,14.5,12,10,20,19,19,.,11.7,18.1,16.3,0.0,0.0,57.8,2.0,3.5,56799,0.0,7.8,13.5,0.0,0.0,38.5,66.6,2.0,3.5,51854,1.0,3.1,26694,8.0,24.6,30817,11.5,35.4,34621,7.5,23.1,43132,4.5,13.8,46322,24.0,73.8,0.0,0.0,0.0,0.0,0,2.0,6.2,0,0,0,10.5,24.0,73.8,0.0,0.0,0.0,0.0,0.0,0.0,11.8,8.5,26.2,7.0,21.5,0.0,0.0,0,0.0,0.0,0.0,0.0,1.5,4.6,23.3,71.8,3.7,11.5,4.5,0,32.5,56.2,37025,15.5,3.4,10.5,32.5,100.0,2.0,3.5,46951,0.0,11.5,19.9,2003
'002901,15.5,23,21.2,21.2,20,20,20.4,17,20.4,.,18.2,17.6,21.7,100.1,21.4,467.8,7.0,1.5,76764,0.0,61.0,13.0,0.0,0.0,267.0,57.1,6.9,1.5,66072,5.0,2.2,33526,37.9,16.5,36168,41.0,17.9,38016,76.0,33.1,43987,69.4,30.3,51929,175.3,76.4,13.0,5.7,2.0,0.9,2,20.3,8.8,2,1,0,14.9,155.0,67.6,6.2,2.7,20.0,8.7,1.0,0.4,13.2,74.3,32.4,53.0,23.1,0.0,0.0,0,7.7,3.3,0.0,0.0,1.0,0.4,145.0,63.2,22.2,9.7,10.3,0,229.3,49.0,43804,12.4,15.0,6.5,206.3,90.0,23.8,5.1,48869,0.0,139.8,29.9,2003
'003801,12.5,23.3,10.6,11.5,11,15,18,27,16.4,.,12.5,12.5,12.5,2.0,7.2,27.8,1.0,3.6,56000,0.0,1.0,3.6,0.2,0.0,24.8,89.2,2.0,7.2,22500,5.0,26.9,25431,7.0,37.7,26899,4.0,21.5,28250,2.6,13.9,31878,0.0,0.0,.,14.0,75.4,0.0,0.0,1.0,5.4,0,0.0,0.0,0,0,0,4.1,15.6,83.9,0.0,0.0,1.0,5.4,0.0,0.0,9.8,3.0,16.1,2.6,13.9,2.0,10.8,0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,91.5,1.6,8.5,1.5,0,18.6,66.8,27486,14.9,0.0,0.0,16.6,89.2,3.2,11.6,19301,0.0,2.0,7.2,2003
'003902,18.6,22,21.4,21.4,19.9,22.6,23,20.7,21.9,.,16.5,19.2,19.6,29.8,9.6,311.8,3.0,1.0,73404,0.0,24.0,7.7,0.6,0.0,195.1,62.6,14.3,4.6,51657,9.0,5.6,24720,38.1,23.8,26851,30.1,18.8,32779,47.0,29.4,39061,35.7,22.3,41342,123.1,76.9,6.0,3.7,2.0,1.2,4,9.1,5.7,0,2,6,12.9,122.9,76.8,10.4,6.5,3.0,1.9,0.0,0.0,14.6,37.1,23.2,36.3,22.7,0.6,0.4,0,11.0,6.9,0.0,0.0,0.0,0.0,99.7,62.3,12.7,8.0,7.5,0,160.0,51.3,34673,12.9,11.2,7.0,155.0,96.9,17.8,5.7,40622,3.5,92.7,29.7,2003
