DISTRICT,DPCTENGA,DPCTFLAA,DPCTG01A,DPCTG02A,DPCTG03A,DPCTG04A,DPCTG05A,DPCTG06A,DPCTGKGA,DPCTGMEA,DPCTMATA,DPCTSCIA,DPCTSOCA,DPSAINHP,DPSAMIFC,DPSAMIFP,DPSATOFC,DPSCTOFC,DPSCTOFP,DPSCTOSA,DPSECOFC,DPSETOFC,DPSETOFP,DPSOTOFC,DPSPCOFC,DPSPTOFC,DPSPTOFP,DPSSTOFC,DPSSTOFP,DPSSTOSA,DPST00FC,DPST00FP,DPST00SA,DPST01FC,DPST01FP,DPST01SA,DPST06FC,DPST06FP,DPST06SA,DPST11FC,DPST11FP,DPST11SA,DPST20FC,DPST20FP,DPST20SA,DPSTBAFC,DPSTBAFP,DPSTBIFC,DPSTBIFP,DPSTBLFC,DPSTBLFP,DPSTCOFC,DPSTCOFP,DPSTEXPA,DPSTFEFC,DPSTFEFP,DPSTGIFC,DPSTGIFP,DPSTHIFC,DPSTHIFP,DPSTINFC,DPSTINFP,DPSTKIDR,DPSTMAFC,DPSTMAFP,DPSTMSFC,DPSTMSFP,DPSTNOFC,DPSTNOFP,DPSTNRPC,DPSTOPFC,DPSTOPFP,DPSTPAFC,DPSTPAFP,DPSTPHFC,DPSTPHFP,DPSTREFC,DPSTREFP,DPSTSPFC,DPSTSPFP,DPSTTENA,DPSTTEPC,DPSTTOFC,DPSTTOFP,DPSTTOSA,DPSTURNR,DPSTVOFC,DPSTVOFP,DPSTWHFC,DPSTWHFP,DPSUTOFC,DPSUTOFP,DPSUTOSA,DPSXCOFC,DPSXTOFC,DPSXTOFP,YEAR
'001902,12.1,11.4,13.3,16,17,19.6,17,16.7,18.1,33,11.2,12,13.8,65.6,12.0,12.9,92.6,1.5,1.6,55752,0.0,12.0,13.0,0.0,0.0,59.0,63.7,3.5,3.8,52160,4.0,8.2,24740,10.0,20.4,26440,10.0,20.4,32366,18.5,37.7,39784,6.5,13.2,44416,44.5,90.8,0.2,0.5,2.0,4.1,0.0,0.0,12.6,38.5,78.6,0.4,0.8,2.0,4.1,0.0,0.0,11.0,10.5,21.4,3.5,7.1,1.0,2.0,.,1.7,3.5,0.0,0.0,0.0,0.0,38.2,78.0,6.0,12.3,3.9,.,49.0,52.9,34929,33.4,2.5,5.0,45.0,91.8,5.0,5.4,40038,0.0,21.6,23.3,2004
'001903,15,21.2,17,16.4,14.5,15,17.8,15.8,18.7,.,14.7,17,19.4,67.5,15.6,9.0,173.9,4.0,2.3,47131,0.0,25.0,14.4,3.0,0.0,110.8,63.7,5.0,2.9,52501,2.0,2.1,27521,18.0,19.6,26437,19.0,20.6,32237,31.1,33.8,37757,22.0,23.9,41711,77.5,84.2,0.0,0.0,0.0,0.0,7.1,7.8,14.1,73.9,80.3,0.0,0.0,0.0,0.0,0.0,0.0,13.3,18.1,19.7,14.5,15.8,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,65.9,71.6,12.9,14.0,7.8,.,92.1,52.9,35129,9.2,6.1,6.6,92.1,100.0,9.8,5.6,37289,0.0,38.0,21.9,2004
'001904,13.5,17,13.8,13.8,13.5,17.6,11.6,14.7,15,.,13.4,13.2,13.3,64.1,9.2,7.5,122.8,3.0,2.4,46323,0.0,15.0,12.2,0.0,0.0,80.5,65.6,4.0,3.3,55272,2.1,3.1,26537,14.0,20.7,27569,13.0,19.2,32511,23.0,34.0,38581,15.6,23.1,41357,51.5,76.0,0.0,0.0,1.0,1.5,1.3,1.9,13.9,51.1,75.5,0.0,0.0,1.0,1.5,0.0,0.0,11.6,16.6,24.5,16.1,23.8,0.1,0.2,.,0.0,0.0,0.0,0.0,0.0,0.0,58.0,85.6,4.8,7.1,7.1,.,67.7,55.2,35403,5.8,3.7,5.4,65.7,97.0,5.8,4.7,44414,0.0,27.3,22.2,2004
'001906,13.7,8.5,14.5,20,20.4,16.6,18.8,22.1,23,.,12.6,12.3,18.8,66,2.0,4.5,44.8,1.0,2.2,67000,0.0,6.0,13.4,0.0,0.0,29.9,66.7,2.0,4.5,49750,6.0,24.5,27790,1.0,4.1,25390,4.0,16.3,32988,6.6,26.9,36415,6.9,28.2,39925,22.5,91.8,0.0,0.0,1.0,4.1,2.0,8.2,12.2,18.5,75.5,0.0,0.0,0.0,0.0,0.0,0.0,11.8,6.0,24.5,2.0,8.2,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,18.3,74.9,2.6,10.6,8.5,.,24.5,54.6,34280,22.3,1.6,6.4,23.5,95.9,2.4,5.4,31753,0.0,8.9,19.9,2004
'001907,18.9,17,16.9,15,19.3,17.2,19.4,15.4,17.4,.,16.1,18.1,19.3,65.1,139.4,26.5,526.9,6.0,1.1,71610,0.0,75.5,14.3,0.0,0.0,307.0,58.3,14.7,2.8,54979,14.0,5.5,24419,60.5,23.9,27963,32.8,13.0,32671,73.8,29.2,38765,72.1,28.5,43560,201.9,79.7,10.5,4.1,29.9,11.8,24.0,9.5,14.0,203.7,80.4,1.0,0.4,7.5,3.0,0.0,0.0,13.1,49.5,19.6,50.4,19.9,1.0,0.4,.,6.1,2.4,0.0,0.0,0.0,0.0,172.0,67.9,25.4,10.0,9.6,.,253.2,48.1,35970,17.8,14.3,5.7,215.8,85.2,33.0,6.3,39477,0.0,144.5,27.4,2004
'001908,18.6,15.3,20.4,20.9,18.8,19.7,20.8,20,21.6,.,15.7,18.2,19.5,66,27.7,12.6,219.2,3.0,1.4,58726,16.0,30.8,14.1,0.0,15.0,135.3,61.7,6.0,2.7,50424,3.0,2.6,24990,16.5,14.1,27681,25.6,21.9,32481,36.0,30.8,39185,35.8,30.6,41293,96.4,82.5,0.4,0.4,5.0,4.3,5.6,4.8,15.1,90.3,77.3,1.0,0.8,1.0,0.9,0.0,0.0,15.2,26.5,22.7,20.4,17.5,0.0,0.0,.,3.4,2.9,0.0,0.0,0.0,0.0,84.5,72.3,14.5,12.5,8.7,.,116.8,53.3,36377,12.1,7.4,6.3,110.8,94.9,9.5,4.3,43171,3.0,53.1,24.2,2004
'001909,12.6,12.8,15.5,16,13.5,13.5,21,15.2,15,23,10.6,15.9,13.7,70.9,0.0,0.0,61.1,1.0,1.6,70200,0.0,6.9,11.2,0.0,0.0,42.5,69.6,2.0,3.3,51253,0.0,0.0,.,10.0,26.7,29561,11.5,30.7,35157,9.5,25.3,42341,6.5,17.3,47640,27.0,72.0,0.0,0.0,0.0,0.0,2.2,5.8,11.6,29.0,77.3,0.0,0.0,0.0,0.0,0.0,0.0,9.9,8.5,22.7,9.0,24.0,0.0,0.0,.,0.0,0.0,0.0,0.0,1.5,4.0,27.4,73.0,5.1,13.7,5.9,.,37.5,61.4,37648,0,2.8,7.6,37.5,100.0,2.0,3.3,47371,0.0,11.7,19.2,2004
'002901,17.6,28.1,22.2,20.9,21.9,28.2,23.3,19.1,20.3,.,21,22.3,25.1,60.2,115.7,24.7,468.8,7.0,1.5,77806,0.0,51.7,11.0,0.0,0.0,252.0,53.8,6.6,1.4,66335,1.0,0.5,31170,39.0,18.3,36710,28.0,13.1,38401,82.9,38.9,43724,62.1,29.2,51681,170.3,80.0,15.3,7.2,2.0,0.9,18.1,8.5,15.3,144.6,67.9,5.1,2.4,18.9,8.9,1.0,0.5,13.9,68.4,32.1,41.7,19.6,0.0,0.0,.,6.6,3.1,0.0,0.0,1.0,0.5,133.7,62.8,19.6,9.2,10.9,.,213.0,45.4,44002,10.5,14.5,6.8,191.0,89.7,25.5,5.4,49822,0.0,165.1,35.2,2004
'003801,14,43,15,14,13.6,13,13.2,17,15.5,.,14,14,14,74.2,2.4,8.6,28.2,2.0,7.1,40500,0.0,1.1,3.8,0.1,0.0,25.2,89.4,1.0,3.5,20000,3.6,19.7,23520,9.1,49.1,26219,3.6,19.6,27492,2.1,11.6,30890,0.0,0.0,.,15.8,85.4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.9,80.3,0.0,0.0,0.5,2.7,0.0,0.0,10.6,3.6,19.7,1.2,6.5,1.5,8.1,.,0.0,0.0,0.0,0.0,0.0,0.0,16.9,91.5,1.6,8.5,2.1,.,18.5,65.6,26479,13.5,0.0,0.0,18.0,97.3,3.7,13.2,24773,0.0,1.9,6.9,2004
'003902,19.2,20.5,20.4,20.7,19.9,21.4,22.4,22.8,19,.,16.6,18.9,20.1,60.7,34.5,10.7,321.8,3.0,0.9,74091,0.0,23.9,7.4,0.6,0.0,202.5,62.9,13.0,4.0,54703,12.0,7.2,28631,38.1,22.8,28887,27.7,16.6,32892,51.5,30.8,39315,38.0,22.7,42971,128.8,77.0,9.3,5.6,3.0,1.8,20.4,12.2,12.8,131.3,78.4,5.3,3.2,3.0,1.8,0.0,0.0,14.0,36.1,21.6,37.8,22.6,0.7,0.4,.,11.1,6.6,0.0,0.0,0.0,0.0,96.3,57.6,13.3,8.0,7.7,.,167.4,52.0,35941,10.2,11.5,6.9,161.4,96.4,19.2,6.0,40235,3.2,95.4,29.6,2004
'003903,19.3,19.4,19.1,18,20,18.7,20.8,19.8,19.1,.,18.7,20.1,21.7,61.8,413.2,33.1,1249.9,9.0,0.7,81786,0.0,164.7,13.2,0.0,0.0,712.9,57.0,35.8,2.9,58485,34.0,5.7,28632,147.9,24.9,28982,89.7,15.1,32404,161.6,27.2,39336,161.0,27.1,45977,465.2,78.3,50.8,8.6,78.8,13.3,45.3,7.6,13.5,483.2,81.3,24.0,4.0,24.0,4.0,1.0,0.2,13.9,111.0,18.7,129.0,21.7,0.0,0.0,.,29.1,4.9,2.0,0.3,0.0,0.0,356.4,60.0,62.3,10.5,9.6,.,594.2,47.5,36900,13.2,26.3,4.4,488.4,82.2,73.9,5.9,43821,1.0,372.4,29.8,2004
'003904,16.9,18.8,42,33.6,36.8,18.9,15.9,26.9,42.3,20.8,23.4,29.2,24.9,60.8,4.9,2.0,249.2,3.5,1.4,64114,0.0,34.7,13.9,0.3,0.0,144.5,58.0,7.2,2.9,58109,5.9,4.7,22822,27.0,21.6,27326,30.9,24.7,33904,32.7,26.2,39914,28.4,22.7,43290,98.4,78.8,1.5,1.2,0.0,0.0,1.0,0.8,13.4,97.7,78.2,1.0,0.8,1.0,0.8,0.0,0.0,13.3,27.2,21.8,26.5,21.2,0.0,0.0,.,1.3,1.0,0.0,0.0,0.0,0.0,96.4,77.2,15.6,12.5,9.0,.,124.9,50.1,35668,15.5,8.1,6.4,123.9,99.2,8.9,3.6,40226,0.0,69.9,28.1,2004
'003905,19.1,25.5,20.1,17.3,20.4,35,29.1,17,18.2,19,17.9,17.9,19.3,56.7,73.9,25.8,286.3,3.0,1.0,67945,1.0,35.4,12.4,0.0,13.7,169.7,59.3,9.0,3.1,51557,11.0,7.6,25589,43.0,29.7,28434,20.0,13.8,34365,37.3,25.8,40077,33.4,23.1,50439,107.3,74.1,0.7,0.5,9.0,6.2,6.0,4.1,12.5,113.7,78.6,1.0,0.7,6.0,4.1,0.0,0.0,13.2,31.0,21.4,36.5,25.2,1.0,0.7,.,4.3,3.0,0.0,0.0,0.0,0.0,108.2,74.7,18.5,12.8,8.2,.,144.7,50.5,37121,17.4,6.1,4.2,129.7,89.6,13.0,4.5,41552,2.0,81.2,28.4,2004
'003906,12.9,16.8,16,12.7,17.2,19.5,13.4,16,19,.,12.1,15.9,14.9,64.1,0.0,0.0,63.6,1.0,1.6,75537,0.0,4.0,6.3,0.0,0.0,42.9,67.5,2.0,3.1,54527,2.0,5.4,25440,7.0,19.0,27767,15.0,40.6,33353,10.0,27.1,38836,2.9,7.9,42001,33.9,91.9,0.0,0.0,0.0,0.0,1.4,3.7,10.5,29.9,81.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,7.0,19.0,3.0,8.1,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,28.7,77.7,4.3,11.7,7.5,.,36.9,58.0,34034,10.8,2.5,6.8,36.9,100.0,3.0,4.7,41354,0.0,16.7,26.3,2004
'003907,17,18.8,18,18.8,17,17.7,21.8,20.1,18.6,3,17.5,19.7,19.5,66.6,11.8,5.6,209.9,2.0,1.0,71001,0.0,24.0,11.4,0.0,0.0,137.0,65.3,5.5,2.6,45748,4.0,3.4,24240,25.0,21.3,27925,19.8,16.9,32028,45.6,38.9,38016,23.0,19.6,40800,94.6,80.5,1.2,1.0,0.0,0.0,1.0,0.9,13.0,95.2,81.1,4.7,4.0,2.0,1.7,0.0,0.0,14.4,22.3,18.9,22.9,19.5,0.0,0.0,.,2.1,1.8,0.0,0.0,0.0,0.0,93.5,79.6,8.0,6.8,7.8,.,117.5,56.0,34934,10.1,7.0,6.0,115.5,98.3,12.0,5.7,37781,0.0,49.0,23.3,2004
'004901,18.6,20.6,19.9,18.3,34.7,21.5,24.5,19.7,19.1,45,19.6,20,20.8,61.1,94.6,18.8,504.4,6.0,1.2,64680,0.0,62.4,12.4,0.0,0.0,291.4,57.8,14.4,2.9,51888,8.5,3.6,27158,40.5,17.2,28756,47.1,20.1,33963,82.9,35.3,40387,55.9,23.8,43596,160.0,68.1,2.6,1.1,3.0,1.3,7.1,3.0,13.9,175.2,74.6,2.2,0.9,14.1,6.0,0.0,0.0,14.2,59.7,25.4,74.9,31.9,0.0,0.0,.,9.5,4.0,1.1,0.5,0.0,0.0,182.2,77.6,20.8,8.9,8.3,.,234.9,46.6,37377,15.8,10.5,4.5,216.7,92.3,36.1,7.1,41464,0.0,150.6,29.9,2004
'005901,15.4,15,13.7,18.5,23.8,25.7,17.8,20.1,19.5,.,15.1,17.5,15.9,75.1,1.0,1.2,83.2,1.0,1.2,77500,0.0,13.1,15.7,0.0,0.0,57.2,68.8,3.0,3.6,56895,1.9,4.0,25751,14.9,31.8,27417,9.0,19.3,33121,14.0,29.9,40980,7.0,15.1,43332,44.8,95.9,0.1,0.3,0.0,0.0,0.0,0.0,11.5,36.3,77.7,0.0,0.0,0.0,0.0,0.0,0.0,11.4,10.4,22.3,1.9,4.1,0.0,0.0,.,0.8,1.8,1.0,2.1,0.0,0.0,36.7,78.6,5.2,11.0,6.7,.,46.7,56.2,34900,24,3.9,8.3,45.7,97.9,6.4,7.7,38900,0.0,12.9,15.5,2004
'005902,13.1,10.5,17.2,17.8,16.8,17.6,18.3,15.5,16.7,.,13.5,14.3,16,68.8,6.0,5.2,115.5,1.0,0.9,81000,0.0,10.8,9.3,0.0,7.0,78.5,67.9,3.0,2.6,57667,4.0,5.6,23562,14.5,20.6,26392,12.0,17.0,32803,23.0,32.6,38128,17.0,24.1,41280,68.5,97.2,0.0,0.0,0.0,0.0,2.7,3.8,12.8,48.5,68.8,0.7,0.9,1.0,1.4,0.0,0.0,12.2,22.0,31.2,1.0,1.4,0.0,0.0,.,0.0,0.0,0.0,0.0,1.0,1.4,59.9,84.9,3.5,4.9,6.7,.,70.5,61.0,34745,23.4,3.8,5.4,69.5,98.6,4.0,3.5,40907,2.4,26.3,22.7,2004
'005903,5.7,.,2,.,.,.,.,.,2,.,5.3,5.2,4.5,69.7,2.0,13.2,15.2,0.0,0.0,.,0.0,2.0,13.2,0.0,0.0,10.2,67.1,0.9,5.9,41730,1.0,11.0,24740,1.0,11.0,25890,2.0,22.0,30090,3.1,34.1,37720,2.0,22.0,41300,9.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,5.0,54.9,0.0,0.0,0.0,0.0,0.0,0.0,5.7,4.1,45.1,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,8.2,90.4,0.0,0.0,6.5,.,9.1,59.9,34106,36.4,0.9,9.6,9.1,100.0,0.2,1.3,42390,0.0,3.0,19.7,2004
'005904,20.3,24,15,20,17,20.2,16.6,.,20.5,.,17.7,24.8,19,63.7,4.4,7.5,58.7,1.0,1.7,72200,0.0,6.2,10.6,0.0,0.0,37.7,64.2,2.1,3.6,62822,4.2,12.6,26878,4.1,12.3,29583,6.0,18.1,31553,13.9,41.9,38256,5.0,15.1,41628,31.1,94.0,2.0,6.0,0.0,0.0,0.0,0.0,11.1,25.9,78.1,0.0,0.0,1.0,3.0,0.0,0.0,14.4,7.3,21.9,2.0,6.0,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,27.4,82.7,2.0,6.1,8.6,.,33.1,56.4,35046,15.1,1.7,5.1,32.1,97.0,1.4,2.4,27150,0.0,14.8,25.3,2004
'006902,12.5,7.8,14.5,12.5,14.5,20,13.5,16.5,9.5,.,9,10.3,13.9,68.9,1.0,1.6,63.2,2.0,3.2,47588,0.0,6.0,9.5,0.0,0.0,44.4,70.2,1.5,2.4,51096,1.0,2.6,25240,7.0,18.0,26969,12.0,30.8,32825,14.1,36.2,38081,4.8,12.4,44602,34.9,89.5,0.0,0.0,0.0,0.0,0.6,1.6,11.9,31.0,79.6,0.0,0.0,0.0,0.0,0.0,0.0,9.5,8.0,20.4,3.6,9.2,0.0,0.0,.,0.0,0.0,0.0,0.0,0.5,1.3,32.5,83.5,3.9,10.1,6.9,.,39.0,61.6,34948,10.4,1.9,4.8,39.0,100.0,1.9,3.0,45146,0.0,12.8,20.3,2004
