DA0708DR04R,DA0708DR05R,DA0712DR04R,DA0712DR05R,DA0AD04R,DA0AD05R,DA0AT04R,DA0AT05R,DA0BK04R,DA0BK05R,DA0BS04R,DA0BS05R,DA0BT04R,DA0BT05R,DA0EL06R,DA0GH04R,DA0GH05R,DB0708DR04R,DB0708DR05R,DB0712DR04R,DB0712DR05R,DB0AD04R,DB0AD05R,DB0AT04R,DB0AT05R,DB0BK04R,DB0BK05R,DB0BS04R,DB0BS05R,DB0BT04R,DB0BT05R,DB0EL06R,DB0GH04R,DB0GH05R,DE0708DR04R,DE0708DR05R,DE0712DR04R,DE0712DR05R,DE0AD04R,DE0AD05R,DE0AT04R,DE0AT05R,DE0EL06R,DE0GH04R,DE0GH05R,DF0708DR04R,DF0708DR05R,DF0712DR04R,DF0712DR05R,DF0AD04R,DF0AD05R,DF0AT04R,DF0AT05R,DF0BK04R,DF0BK05R,DF0BS04R,DF0BS05R,DF0BT04R,DF0BT05R,DF0EL06R,DF0GH04R,DF0GH05R,DH0708DR04R,DH0708DR05R,DH0712DR04R,DH0712DR05R,DH0AD04R,DH0AD05R,DH0AT04R,DH0AT05R,DH0BK04R,DH0BK05R,DH0BS04R,DH0BS05R,DH0BT04R,DH0BT05R,DH0EL06R,DH0GH04R,DH0GH05R,DI0708DR04R,DI0708DR05R,DI0712DR04R,DI0712DR05R,DI0AD04R,DI0AD05R,DI0AT04R,DI0AT05R,DI0BK04R,DI0BK05R,DI0BS04R,DI0BS05R,DI0BT04R,DI0BT05R,DI0EL06R,DI0GH04R,DI0GH05R,DISTRICT,DL0708DR04R,DL0708DR05R,DL0712DR04R,DL0712DR05R,DL0AD04R,DL0AD05R,DL0AT04R,DL0AT05R,DL0EL06R,DL0GH04R,DL0GH05R,DM0708DR04R,DM0708DR05R,DM0712DR04R,DM0712DR05R,DM0AD04R,DM0AD05R,DM0AT04R,DM0AT05R,DM0BK04R,DM0BK05R,DM0BS04R,DM0BS05R,DM0BT04R,DM0BT05R,DM0EL06R,DM0GH04R,DM0GH05R,DP0708DR04R,DP0708DR05R,DP0712DR04R,DP0712DR05R,DP0AD04R,DP0AD05R,DP0AT04R,DP0AT05R,DP0BK04R,DP0BK05R,DP0BS04R,DP0BS05R,DP0BT04R,DP0BT05R,DP0EL06R,DP0GH04R,DP0GH05R,DR0708DR04R,DR0708DR05R,DR0712DR04R,DR0712DR05R,DR0AD04R,DR0AD05R,DR0AT04R,DR0AT05R,DR0EL06R,DR0GH04R,DR0GH05R,DS0708DR04R,DS0708DR05R,DS0712DR04R,DS0712DR05R,DS0AD04R,DS0AD05R,DS0AT04R,DS0AT05R,DS0EL06R,DS0GH04R,DS0GH05R,DW0708DR04R,DW0708DR05R,DW0712DR04R,DW0712DR05R,DW0AD04R,DW0AD05R,DW0AT04R,DW0AT05R,DW0BK04R,DW0BK05R,DW0BS04R,DW0BS05R,DW0BT04R,DW0BT05R,DW0EL06R,DW0GH04R,DW0GH05R,YEAR
0,0,0,0,39.8,40,96.4,96.6,.,.,.,.,0,0,-1,64.5,67.6,0,0,0,0,40.7,45.5,97.7,97.7,.,.,.,.,0,0,.,37.5,-1,0,0,0,0,23.5,21.9,95.6,95.9,-1,42.9,-1,0,0,0,0,51.3,49.4,96.6,96.7,.,.,.,.,0,0,-1,80,75,-1,-1,0,0,50,62.5,96.4,97.1,.,.,.,.,-1,0,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,'001902,.,-1,-1,-1,-1,.,-1,-1,-1,.,.,0,0,0,0,28.9,29.6,96.1,96.4,.,.,.,.,0,0,-1,50,58.8,.,-1,-1,-1,-1,.,-1,-1,.,.,.,.,-1,.,.,.,.,0,0,0,0,17.5,31.9,95.9,96.8,-1,42.9,-1,0,0,0,0,3.1,5.7,95.5,95.2,-1,0,0,0,0,0,0,37.9,37.9,96.2,96.4,.,.,.,.,0,0,.,73.9,65.6,2006
0,0.5,0,0.2,13.9,13.5,95.9,95.9,62.5,43.8,58.8,47.6,13.3,12,-1,38.4,48,0,0,0,0,2.9,0,97.2,96.7,.,.,.,.,0,0,.,25,42.9,0,1.2,0,0.5,7.6,5.1,95.8,95.6,-1,28,42.9,0,0,0,0,15.8,17,95.7,95.8,63.6,40,63.6,45.5,15.5,14.3,-1,51.1,54.1,0,0,0,0,9.1,9.5,95.6,96.1,-1,-1,-1,-1,-1,14.3,-1,-1,-1,.,.,-1,.,-1,.,-1,-1,.,.,.,.,.,.,.,.,.,'001903,.,-1,.,-1,.,-1,-1,-1,-1,.,.,0,0.9,0,0.3,12,10.3,96,96,60,50,50,50,10.2,9.5,-1,23.1,42.1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,0,0,0,0,5.7,5.3,95.1,95.8,-1,23.8,17.9,0,1.6,0,0.6,6.6,2.3,94.9,94.9,.,4.8,11.8,0,0.5,0,0.2,15.3,14.9,95.8,95.8,60,40,56.3,47.4,13.8,12.6,.,40.3,48.4,2006
0,0,0.3,0.2,30,21.3,96.3,96.5,27.3,8,18.2,5.9,21.4,25.5,44,82,71.4,0,0,0,0,16.1,8.8,96.6,97.1,.,.,.,.,0,0,.,71.4,30,0,0,0,0,19,9.7,95.9,96.2,44,78.6,40,0,0,0.6,0,40.6,24.3,96.2,96.2,35.7,8.3,26.3,7.1,29.2,25,50,96,83.9,0,0,0,0,22.2,30,97.8,97,-1,-1,-1,-1,-1,14.3,44,-1,-1,.,.,-1,.,-1,.,-1,-1,.,.,.,.,.,.,.,.,.,'001904,-1,-1,-1,-1,.,.,97.6,97.7,33,.,.,0,0,0,0.4,22.4,19,96.3,96.6,12.5,7.7,7.1,5,14.5,26,40,72.2,59.4,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,.,-1,.,0,0,0,0.7,30.3,6.8,96.2,96.2,38,86.3,59.1,0,0,0,1.2,4.3,14,96.1,96.2,-1,11.1,0,0,0,0.3,0.3,32.4,23.1,96.1,96.3,28.6,8.3,18.8,6.1,23.3,28.9,.,82.7,79.6,2006
0,0,0,0,7,18.8,96.6,96.5,.,.,.,.,0,0,.,47.6,53.3,0,0,0,0,10,12.5,97,97.5,.,.,.,.,-1,-1,.,-1,-1,0,0,0,0,10.5,6.9,95.6,95.9,.,-1,50,0,0,0,0,9.8,29.7,96.4,96.5,.,.,.,.,0,0,.,50,-1,-1,-1,-1,-1,-1,.,97.3,95.5,.,.,.,.,-1,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,'001906,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,4.4,9.3,96.8,96.5,.,.,.,.,0,0,.,46.2,45.5,-1,-1,-1,-1,.,.,-1,-1,.,.,.,.,.,.,.,.,.,0,0,0,0,2.7,10.7,95.7,95.6,.,22.2,42.9,0,0,0,0,4.3,0,94.9,95.3,.,0,-1,0,0,0,0,6.7,19.4,96.5,96.4,.,.,.,.,0,0,.,47.4,58.3,2006
0.3,0,0.8,0.7,11.6,11.3,95.9,95.8,73.7,80.7,60.7,63.6,11.1,9.4,70,72.9,78.7,0,0,1.4,1.9,4,1.9,95.9,96,-1,-1,-1,-1,2.8,1.3,.,60.3,69.6,0.3,0,1,0.9,4.8,4.7,96.1,95.8,71,56.9,69,0.4,0,0.9,0.7,12.6,12.5,95.7,95.6,72,82.4,56.8,66.7,14.7,10,67,75.3,82.6,0.8,0,1.2,0.3,9.6,9.2,96.5,96.5,80,100,66.7,80,16.4,9.2,70,69,65.7,-1,-1,-1,-1,-1,-1,95.6,95.4,.,.,.,.,.,-1,.,.,.,'001907,0,0,0,0,16,11.5,96.4,96.9,70,-1,100,0.3,0,0.6,0.7,10.5,10.2,96,95.9,76.9,78.6,68.4,60.7,7.6,8.8,72,70.7,74.7,-1,.,0,0,30,25,97.4,97.9,-1,-1,-1,-1,40,-1,.,-1,-1,0.5,0,1.5,0.9,2.6,3.4,95.1,95,70,40.7,77.3,0,0,0.4,0.8,0,0,94.8,94.4,-1,0,3.8,0.4,0,0.1,0.1,17.2,17.8,95.4,95.1,69.6,76.2,56.4,63.2,13.7,12.4,.,83.1,88.6,2006
0,0,0,0,15.3,10.5,96,96,-1,-1,-1,-1,1.5,0.5,70,55.3,44.8,0,0,0,0,9.2,3.4,96.9,96.9,-1,.,-1,.,3,0,.,45,37.5,0,0,0,0,10.4,7.6,95.7,95.8,57,44.8,33.3,0,0,0,0,15.4,9.8,95.9,95.8,-1,-1,-1,-1,1.8,1,75,66.7,55.3,0,0,0,0,14.9,8.9,96.4,96.7,.,.,.,.,0,0,71,55.6,60,.,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,-1,.,.,.,'001908,-1,0,0,0,-1,.,97.9,97.2,64,.,.,0,0,0,0,15.1,11.2,96.1,96.1,-1,.,-1,.,1.1,0,67,37.5,36.2,-1,-1,0,-1,-1,-1,98.4,97.8,.,.,.,.,-1,-1,-1,-1,.,0,0,0,0,8.8,5.9,95.6,95.6,65,36.4,22.6,0,0,0,0,2.8,0,95.5,95,-1,11.8,0,0,0,0,0,16.3,11.9,95.8,95.6,-1,-1,-1,-1,1.4,0.7,.,57,44.3,2006
0,0,1.1,0.6,4.3,3.4,96.9,96.5,.,.,.,.,0,0,.,38.9,50,-1,-1,0,-1,-1,-1,94.3,92.4,.,.,.,.,.,-1,.,.,.,0,0,0,0,0,0,96.9,96.1,.,-1,-1,0,0,0,1.2,5.5,3.7,96.7,96.6,.,.,.,.,0,0,.,44.4,55.6,.,-1,0,0,0,0,97.5,97.7,.,.,.,.,-1,.,.,-1,.,.,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,'001909,.,.,.,.,.,.,-1,-1,.,.,.,0,0,2,0,3.3,3.1,97.2,96.5,.,.,.,.,0,0,.,33.3,44.4,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,-1,.,.,.,0,0,0,0,0,0,97.1,95.9,.,.,-1,0,0,2.3,1.9,0,0,97.2,96.5,.,-1,-1,0,0,1.2,0.6,4.7,3.7,97,96.6,.,.,.,.,0,0,.,35.3,50,2006
0,0,0.3,0,21.4,18.5,95.7,95.9,15,-1,7.8,-1,5,0.3,60,52.1,63.6,0,-1,0,0,16,5.3,94.3,96,.,.,.,.,0,0,.,87.5,60,0,0,0.4,0,11,5.4,95.3,95.7,60,37.5,65.7,0,0,0.1,0,23.6,21.2,95.9,96,0,-1,0,-1,5.4,0.6,69,53.6,63.6,0,0,0.5,0,12.3,10.6,95.6,96,.,.,.,.,0,0,60,37.2,56.3,.,-1,.,-1,.,.,-1,-1,.,.,.,.,.,.,.,.,.,'002901,0,0,0,0,0,2.4,95.9,96.2,46,.,-1,0,0,0.5,0,19.3,16.3,95.6,95.8,33.3,.,13.8,.,4.6,0,54,50.5,63.6,0,-1,0,0,77.8,77.8,99,98.6,.,.,.,.,0,-1,.,-1,-1,0,0,0,0,11.3,5.8,95.1,95.4,53,47.5,50,0,0,1.1,0,3.8,4.2,94.4,94.9,27,0,16.7,0,0,0.1,0,29.4,26.9,95.9,95.7,15,-1,7.8,-1,9.2,0.5,.,60,70.2,2006
0,0,0,0,.,.,96.4,95.7,.,.,.,.,.,.,-1,.,.,0,-1,0,-1,.,.,97.2,96.3,.,.,.,.,.,.,.,.,.,0,0,0,0,.,.,96.9,95.1,-1,.,.,0,0,0,0,.,.,96.6,96,.,.,.,.,.,.,-1,.,.,-1,.,-1,.,.,.,97.5,95.9,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,'003801,.,.,.,.,.,.,-1,.,-1,.,.,0,0,0,0,.,.,96.2,95.5,.,.,.,.,.,.,-1,.,.,.,-1,.,-1,.,.,-1,99,.,.,.,.,.,.,.,.,.,.,0,.,0,.,.,95.7,94.7,-1,.,.,-1,0,-1,0,.,.,95.1,94.7,.,.,.,0,0,0,0,.,.,96.1,95.4,.,.,.,.,.,.,.,.,.,2006
0,0,0.3,1,14.9,16.9,95.9,96.1,25.5,52.4,34.3,52.1,18.2,14.5,76,66,60.4,0,0,0,0,12.1,21.4,95.7,95.4,-1,.,-1,.,25,0,.,-1,50,0,0,0.4,1.1,11.4,13.8,95.4,95.7,76,60.4,57.9,0,0,0.2,0.5,20.7,19.7,95.8,95.9,23.5,43.5,33.3,46,23.4,14.7,72,79.7,67.4,0,0,0.5,1.7,12,12.9,96.4,95.8,11.1,-1,25,50,17.6,7.3,76,60.9,58.6,-1,-1,0,-1,-1,-1,94.8,93.2,.,.,.,.,-1,.,.,-1,.,'003902,0,0,0,8.3,0,0,97.6,96.9,73,.,.,0,0,0.3,1.5,9.2,13.9,96,96.4,29.4,63.2,35.7,58.8,12.6,14.2,80,52.8,50.8,.,.,0,0,20,-1,98.5,97.9,-1,.,-1,.,-1,-1,-1,.,.,0,0,0.6,1.7,11.9,9.5,95,94.8,69,62.5,31.1,0,0,0,0,0,0,94.2,95,27,16.7,0,0,0,0.2,0.9,15.8,17.8,95.8,96.3,30.8,52.6,37.9,52.4,17.8,17,.,67.3,61.3,2006
