DISTRICT,DPCTENGA,DPCTFLAA,DPCTG01A,DPCTG02A,DPCTG03A,DPCTG04A,DPCTG05A,DPCTG06A,DPCTGKGA,DPCTGMEA,DPCTMATA,DPCTSCIA,DPCTSOCA,DPSAINHP,DPSAMIFC,DPSAMIFP,DPSATOFC,DPSCTOFC,DPSCTOFP,DPSCTOSA,DPSECOFC,DPSETOFC,DPSETOFP,DPSOTOFC,DPSPCOFC,DPSPTOFC,DPSPTOFP,DPSSTOFC,DPSSTOFP,DPSSTOSA,DPST00FC,DPST00FP,DPST00SA,DPST01FC,DPST01FP,DPST01SA,DPST06FC,DPST06FP,DPST06SA,DPST11FC,DPST11FP,DPST11SA,DPST20FC,DPST20FP,DPST20SA,DPSTBAFC,DPSTBAFP,DPSTBIFC,DPSTBIFP,DPSTBLFC,DPSTBLFP,DPSTCOFC,DPSTCOFP,DPSTEXPA,DPSTFEFC,DPSTFEFP,DPSTGIFC,DPSTGIFP,DPSTHIFC,DPSTHIFP,DPSTINFC,DPSTINFP,DPSTKIDR,DPSTMAFC,DPSTMAFP,DPSTMSFC,DPSTMSFP,DPSTNOFC,DPSTNOFP,DPSTOPFC,DPSTOPFP,DPSTPAFC,DPSTPAFP,DPSTPHFC,DPSTPHFP,DPSTREFC,DPSTREFP,DPSTSPFC,DPSTSPFP,DPSTTENA,DPSTTOFC,DPSTTOFP,DPSTTOSA,DPSTURNR,DPSTVOFC,DPSTVOFP,DPSTWHFC,DPSTWHFP,DPSUTOFC,DPSUTOFP,DPSUTOSA,DPSXCOFC,DPSXTOFC,DPSXTOFP,YEAR
'001902,12.9,9.8,16.7,16.5,22,13.6,13,13.9,19,24,13,11.6,15.5,66.545,10.96,11.533,95.05,1.5,1.5781,57451.33,0.0,13.0,13.6764,0.0,0.0,61.0,64.17399999999999,3.636,3.8249,54602.41,3.0,5.914,25320,14.0,27.6,27829,9.0,17.7431,35296.88,12.0,23.656,38554.95,12.73,25.0872,44134.82,46.36,91.402,0.25,0.4982,2.0,3.943,0.0,0.0,13.1176,41.36,81.539,0.374,0.7367,2.0,3.943,0.0,0.0,11.4733,9.36,18.4606,4.36,8.5985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.4,81.624,6.0,11.828,5.5882,50.73,53.36600000000001,35633.6,7.904,2.696,5.314,46.73,92.11399999999999,5.14,5.4051,42717.84,0.0,21.05,22.1493,2006
'001903,14.1,14.6,19.8,18.3,17,15.1,21.4,13.4,21.2,.,14.2,15.6,17.6,65.519,17.42,9.277000000000001,187.73,5.0,2.6634,49980,0.0,25.68,13.6814,2.0,0.0,118.0,62.855,4.989,2.6576,58824.74,2.0,2.03,24240,19.0,19.289,27115.94,19.0,19.2864,32010.86,33.5,34.007,37729.94,25.01,25.3878,42165.43,78.98,80.171,0.27,0.276,1.0,1.015,9.926,10.076,14.0522,77.53,78.706,0.0,0.0,2.0,2.03,0.0,0.0,13.1358,20.98,21.2938,19.53,19.8293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.46,71.524,12.15,12.33,7.7913,98.51,52.473,35431.84,6.226,5.707000000000001,5.7937,95.51,96.954,9.5,5.0607,39476.02,0.0,44.05,23.4635,2006
'001904,13.2,17,16,14.4,12.7,13.6,12.3,14.8,15.5,.,14.5,14.7,13.9,64.344,5.0,3.958,126.31,2.8810000000000002,2.2808,55045.23,0.0,10.98,8.696,0.0,0.0,85.5,67.69,4.0,3.1667,49555.5,1.0,1.416,24740,12.0,16.987000000000002,26921.17,19.0,26.8961,32430.61,22.0,31.143,38783.21,16.64,23.5585,42037.6,61.0,86.35,0.0,0.0,1.0,1.416,3.208,4.5415,14.005999999999998,52.03,73.643,0.0,0.0,0.0,0.0,0.0,0.0,11.2817,18.62,26.3572,9.64,13.6501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.09,82.234,5.28,7.474,6.8929,70.65,55.928000000000004,35627.5,12.231,4.063,5.7505,69.65,98.584,7.98,6.3146,47211.91,0.0,29.83,23.6136,2006
'001906,13.3,10,13,11.7,12.5,13.6,20.4,17.9,17.3,.,9.5,15.4,14.5,66.414,2.0,4.2589999999999995,46.96,1.0,2.1295,80000,0.0,1.0,2.1295,0.0,0.0,33.0,70.278,2.0,4.2591,52500,9.001,32.145,27423.06,2.0,7.142,28235,5.0,17.8558,33904.03,8.0,28.572,40769.75,4.0,14.2849,45971.76,28.0,100.0,0.0,0.0,1.0,3.571,2.0,7.1428,9.931000000000001,23.0,82.14299999999999,0.0,0.0,0.0,0.0,0.0,0.0,11.7494,5.0,17.8573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.68,77.429,2.0,7.143,5.6897,28.0,59.63,35101.33,28,2.32,8.2846,27.0,96.429,2.0,4.2591,34520,0.0,12.96,27.5929,2006
'001907,18.9,19.4,18.6,17.9,19.1,24.5,22.4,15.4,18.2,.,19.1,16,18.9,64.368,134.88,25.873,521.31,5.0,0.9591,77883.4,0.0,47.83,9.1758,0.0,0.0,303.35,58.19,13.350999999999999,2.5611,49841.37,24.502,9.727,24555.51,51.0,20.247,26684.53,49.5,19.652,32337.94,69.05,27.412,39967.86,57.84,22.9617,43984.35,203.24,80.683,10.8,4.2862,18.64,7.398,14.618,5.8029,12.7727,197.9,78.564,0.5,0.1985,11.0,4.367,0.0,0.0,13.3862,54.0,21.4363,44.66,17.7291,4.0,1.588,9.652999999999999,3.8322,0.0,0.0,0.0,0.0,180.55,71.67699999999999,23.51,9.331,8.0099,251.9,48.321000000000005,35202.09,20.676,12.273,4.8723,222.27,88.235,33.1,6.3491,43796.06,0.0,170.12,32.634,2006
'001908,17,18.5,22.1,20,21,18.9,23.4,22.7,21.2,.,16.8,17.8,18.4,68.061,29.54,13.46,219.44,3.5669999999999997,1.6254,65619.04,17.9995,30.77,14.022,0.0,15.052999999999999,139.95,63.776,5.75,2.6203,54139.13,5.0,4.203,25520,21.97,18.465999999999998,27324.42,20.91,17.5758,32932.39,35.22,29.603,39041.56,35.87,30.1523,42772.01,95.06,79.907,0.0,0.0,7.0,5.885,6.2860000000000005,5.2843,14.1903,94.75,79.64399999999999,0.127,0.1066,3.0,2.522,0.0,0.0,15.0382,24.22,20.3565,23.9,20.0933,0.0,0.0,0.289,0.2428,0.0,0.0,0.0,0.0,89.99,75.642,15.86,13.331,8.226,118.96,54.213,36360.71,14.35,6.415,5.3926,108.96,91.594,11.67,5.3176,44248.98,3.0,48.72,22.201999999999998,2006
'001909,12.2,14.3,15,13.5,15,15,14,13.7,13,23.5,10,12.4,15.4,69.805,1.0,1.69,59.16,1.0,1.6902,73694,0.0,7.89,13.332,0.0,0.0,40.5,68.455,3.0,5.0706,49699,2.0,5.797000000000001,28763.63,6.0,17.391,29092.56,11.0,31.8837,34131.58,10.0,28.986,41027.33,5.5,15.9423,48042.83,26.5,76.812,0.0,0.0,0.0,0.0,2.168,6.2831,11.8795,27.5,79.709,0.0,0.0,0.0,0.0,1.0,2.8985,11.2751,7.0,20.2906,6.5,18.8399,0.0,0.0,0.0,0.0,0.0,0.0,1.5,4.3477,23.76,68.858,3.91,11.332,6.7952,34.5,58.313,37160.61,19.718,4.667,13.527000000000001,33.5,97.102,2.0,3.3804,47301,0.0,10.78,18.2132,2006
'002901,16.8,17.2,21.7,21.9,15.2,19,19.7,18,19.7,.,17.9,18.5,19.5,62.734,109.91,25.535999999999998,430.39,7.0,1.6264,80358.8,0.0,48.3,11.2234,0.0,0.0,250.22,58.136,7.292999999999999,1.6945,68071.9,7.898,3.733,31781.05,37.84,17.884,36808.02,36.0,17.0148,38635.06,70.74,33.433,43674.59,59.1,27.9345,52805.14,178.31,84.274,11.84,5.5944,1.0,0.473,23.412,11.0654,14.577,149.74,70.771,5.809,2.7454,20.85,9.852,1.0002,0.4727,13.697000000000001,61.84,29.2291,32.27,15.253,0.0,0.0,8.964,4.2365,1.0,0.4726,1.0,0.4726,132.04,62.409,19.01,8.985,10.2646,211.58,49.159,43695.67,8.531,10.505,4.965,187.73,88.729,24.34,5.656000000000001,50954.98,0.0,131.87,30.6403,2006
'003801,21.2,45,15,17.6,20,20,19.3,22.5,18.3,.,13,22,13,58.173,3.82,12.074000000000002,31.64,1.0,3.1601,60000,0.0,0.0,0.0,2.0,0.0,23.74,75.025,2.0,6.3202,30988,4.04,24.25,28762.25,7.57,45.455,30993.74,2.89,17.368,30487.32,1.73,10.362,36853.46,0.43,2.5651,58272.88,13.85,83.148,0.0,0.0,0.0,0.0,0.0,0.0,5.4422,14.77,88.63600000000001,0.0,0.0,0.0,0.0,0.0,0.0,13.2067,1.89,11.3644,1.62,9.7411,0.9470000000000001,5.6819,0.0,0.0,0.0,0.0,0.23800000000000002,1.4287,15.98,95.941,0.68,4.059,1.9349,16.66,52.641999999999996,31671.57,58.1,0.0,0.0,16.66,100.0,4.08,12.9033,21620.36,0.0,7.9,24.9749,2006
'003902,19.9,15.9,19.1,19,20.5,21.7,19.7,23.5,21.4,.,19.7,19.8,19.8,61.544,34.76,10.545,329.67,3.668,1.1128,74281.43,0.0,26.77,8.1215,6.21,0.0,201.77,61.205,9.857000000000001,2.99,57794.06,4.0,2.415,28561.49,50.5,30.487,29364.2,22.0,13.282,32477.62,52.0,31.394000000000002,38929.32,37.14,22.4229,43467.69,134.5,81.199,8.0,4.83,2.0,1.207,8.113,4.898,12.493,130.64,78.869,4.506,2.7201,3.0,1.811,0.0,0.0,14.6641,35.0,21.1308,30.14,18.1976,1.0,0.6037,13.238,7.9918,0.0,0.0,0.0,0.0,106.31,64.178,15.0,9.056000000000001,7.341,165.64,50.246,35923.58,10.933,10.479000000000001,6.3262,160.64,96.98100000000001,22.6,6.8567,43824.97,2.7731,101.12,30.6734,2006
