DA1C405R,DA1C406R,DA2C405R,DA2C406R,DADC405R,DADC406R,DAEC405R,DAEC406R,DAGC405R,DAGC406R,DANC405R,DANC406R,DB1C405R,DB1C406R,DB2C405R,DB2C406R,DBDC405R,DBDC406R,DBEC405R,DBEC406R,DBGC405R,DBGC406R,DBNC405R,DBNC406R,DE1C405R,DE1C406R,DE2C405R,DE2C406R,DEDC405R,DEDC406R,DEEC405R,DEEC406R,DEGC405R,DEGC406R,DENC405R,DENC406R,DF1C405R,DF1C406R,DF2C405R,DF2C406R,DFDC405R,DFDC406R,DFEC405R,DFEC406R,DFGC405R,DFGC406R,DFNC405R,DFNC406R,DH1C405R,DH1C406R,DH2C405R,DH2C406R,DHDC405R,DHDC406R,DHEC405R,DHEC406R,DHGC405R,DHGC406R,DHNC405R,DHNC406R,DI1C405R,DI1C406R,DI2C405R,DI2C406R,DIDC405R,DIDC406R,DIEC405R,DIEC406R,DIGC405R,DIGC406R,DINC405R,DINC406R,DISTRICT,DL1C405R,DL1C406R,DL2C405R,DL2C406R,DLDC405R,DLDC406R,DLEC405R,DLEC406R,DLGC405R,DLGC406R,DLNC405R,DLNC406R,DM1C405R,DM1C406R,DM2C405R,DM2C406R,DMDC405R,DMDC406R,DMEC405R,DMEC406R,DMGC405R,DMGC406R,DMNC405R,DMNC406R,DP1C405R,DP1C406R,DP2C405R,DP2C406R,DPDC405R,DPDC406R,DPEC405R,DPEC406R,DPGC405R,DPGC406R,DPNC405R,DPNC406R,DR1C405R,DR1C406R,DR2C405R,DR2C406R,DRDC405R,DRDC406R,DREC405R,DREC406R,DRGC405R,DRGC406R,DRNC405R,DRNC406R,DS1C405R,DS1C406R,DS2C405R,DS2C406R,DSDC405R,DSDC406R,DSEC405R,DSEC406R,DSGC405R,DSGC406R,DSNC405R,DSNC406R,DW1C405R,DW1C406R,DW2C405R,DW2C406R,DWDC405R,DWDC406R,DWEC405R,DWEC406R,DWGC405R,DWGC406R,DWNC405R,DWNC406R,Da1c405r,Da2c405r,Dadc405r,Daec405r,Dagc405r,Danc405r,Db1c405r,Db2c405r,Dbdc405r,Dbec405r,Dbgc405r,Dbnc405r,De1c405r,De2c405r,Dedc405r,Deec405r,Degc405r,Denc405r,Df1c405r,Df2c405r,Dfdc405r,Dfec405r,Dfgc405r,Dfnc405r,Dh1c405r,Dh2c405r,Dhdc405r,Dhec405r,Dhgc405r,Dhnc405r,Di1c405r,Di2c405r,Didc405r,Diec405r,Digc405r,Dinc405r,Dl1c405r,Dl2c405r,Dldc405r,Dlec405r,Dlgc405r,Dlnc405r,Dm1c405r,Dm2c405r,Dmdc405r,Dmec405r,Dmgc405r,Dmnc405r,Dp1c405r,Dp2c405r,Dpdc405r,Dpec405r,Dpgc405r,Dpnc405r,Dr1c405r,Dr2c405r,Drdc405r,Drec405r,Drgc405r,Drnc405r,Ds1c405r,Ds2c405r,Dsdc405r,Dsec405r,Dsgc405r,Dsnc405r,Dw1c405r,Dw2c405r,Dwdc405r,Dwec405r,Dwgc405r,Dwnc405r,YEAR
95,93.5,100,93.5,0,6.5,5,0,92.5,90.3,2.5,3.2,-1,83.3,-1,83.3,-1,16.7,-1,0,-1,83.3,-1,0,-1,81.8,-1,81.8,-1,18.2,-1,0,-1,72.7,-1,9.1,90.5,100,100,100,0,0,9.5,0,90.5,93.8,0,6.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,'001902,.,.,.,.,.,.,.,.,.,.,.,.,100,86.7,100,86.7,0,13.3,0,0,94.7,86.7,5.3,0,.,.,.,.,.,.,.,.,.,.,.,.,83.3,66.7,100,66.7,0,33.3,16.7,0,66.7,66.7,16.7,0,100,-1,100,-1,0,-1,0,-1,100,-1,0,-1,94.3,95.7,100,95.7,0,4.3,5.7,0,91.4,91.3,2.9,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007
98.7,96.4,100,97.6,0,2.4,1.3,1.2,96.2,95.2,2.6,1.2,100,100,100,100,0,0,0,0,100,100,0,0,100,100,100,100,0,0,0,0,96.3,100,3.7,0,97.6,94.3,100,97.1,0,2.9,2.4,2.9,95.1,91.4,2.4,2.9,100,-1,100,-1,0,-1,0,-1,100,-1,0,-1,.,.,.,.,.,.,.,.,.,.,.,.,'001903,.,.,.,.,.,.,.,.,.,.,.,.,100,97.9,100,97.9,0,2.1,0,0,97.3,97.9,2.7,0,.,.,.,.,.,.,.,.,.,.,.,.,100,88.2,100,88.2,0,11.8,0,0,96.2,82.4,3.8,5.9,100,100,100,100,0,0,0,0,100,100,0,0,98.5,96.1,100,97.4,0,2.6,1.5,1.3,95.6,94.7,2.9,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007
98.3,100,100,100,0,0,1.7,0,96.7,100,1.7,0,100,-1,100,-1,0,-1,0,-1,100,-1,0,-1,100,100,100,100,0,0,0,0,92.9,100,7.1,0,96.9,100,100,100,0,0,3.1,0,93.8,100,3.1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,'001904,.,.,.,.,.,.,.,.,.,.,.,.,100,100,100,100,0,0,0,0,100,100,0,0,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,95.2,100,100,100,0,0,4.8,0,90.5,100,4.8,0,92.9,100,100,100,0,0,7.1,0,85.7,100,7.1,0,97.9,100,100,100,0,0,2.1,0,95.7,100,2.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007
100,100,100,100,0,0,0,0,100,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,.,100,.,0,.,0,.,100,.,0,.,-1,100,-1,100,-1,0,-1,0,-1,100,-1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,'001906,.,.,.,.,.,.,.,.,.,.,.,.,100,100,100,100,0,0,0,0,100,100,0,0,.,.,.,.,.,.,.,.,.,.,.,.,100,-1,100,-1,0,-1,0,-1,100,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,0,0,0,0,100,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007
90.5,86,96.7,88.8,3.3,11.2,6.2,2.8,86.3,83.6,4.3,2.3,93.5,80.4,93.5,82.4,6.5,17.6,0,2,88.7,78.4,4.8,2,91.1,73.3,96,79.1,4,20.9,5,5.8,83.2,69.8,7.9,3.5,92.1,84.7,98,85.6,2,14.4,5.9,0.9,90.1,83.8,2,0.9,86.4,81.6,93.2,83.7,6.8,16.3,6.8,2,77.3,81.6,9.1,0,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,'001907,-1,60,-1,60,-1,40,-1,0,-1,60,-1,0,89.1,87.4,95.5,92.2,4.5,7.8,6.4,4.9,82.7,83.5,6.4,3.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,86.2,79.6,93.6,83.2,6.4,16.8,7.4,3.5,77.7,75.2,8.5,4.4,90,83.9,93.3,83.9,6.7,16.1,3.3,0,86.7,80.6,3.3,3.2,90.1,90.1,100,93.7,0,6.3,9.9,3.6,88.1,86.5,2,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007
95.5,93.2,98.2,95.7,1.8,4.3,2.7,2.6,91,88,4.5,5.1,93.3,90,93.3,90,6.7,10,0,0,93.3,85,0,5,93.3,90.9,93.3,95.5,6.7,4.5,0,4.5,93.3,86.4,0,4.5,89.6,92.9,95.8,94.3,4.2,5.7,6.3,1.4,87.5,87.1,2.1,5.7,100,85.7,100,85.7,0,14.3,0,0,100,71.4,0,14.3,.,.,.,.,.,.,.,.,.,.,.,.,'001908,.,.,.,.,.,.,.,.,.,.,.,.,100,93.6,100,97.9,0,2.1,0,4.3,93.7,89.4,6.3,4.3,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,96.3,89.7,98.1,93.1,1.9,6.9,1.9,3.4,90.7,84.5,5.6,5.2,96,100,96,100,4,0,0,0,84,86.7,12,13.3,95.3,94.4,98.8,97.8,1.2,2.2,3.5,3.4,89.5,89.9,5.8,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007
94.7,88.5,94.7,92.3,5.3,7.7,0,3.8,89.5,84.6,5.3,3.8,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,80,90,80,90,20,10,0,0,60,80,20,10,100,100,100,100,0,0,0,0,100,100,0,0,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,'001909,.,.,.,.,.,.,.,.,.,.,.,.,90.9,78.6,90.9,85.7,9.1,14.3,0,7.1,81.8,71.4,9.1,7.1,.,.,.,.,.,.,.,.,.,.,.,.,83.3,100,83.3,100,16.7,0,0,0,66.7,83.3,16.7,16.7,-1,87.5,-1,87.5,-1,12.5,-1,0,-1,87.5,-1,0,94.7,87.5,94.7,91.7,5.3,8.3,0,4.2,89.5,87.5,5.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007
96.1,91.8,98.5,92.3,1.5,7.7,2.4,0.5,95.1,89.9,1,1.9,100,-1,100,-1,0,-1,0,-1,100,-1,0,-1,97.3,83.3,97.3,83.3,2.7,16.7,0,0,97.3,81.3,0,2.1,97.1,97.8,99,97.8,1,2.2,1.9,0,95.2,96.7,1.9,1.1,97.1,90.2,97.1,90.2,2.9,9.8,0,0,96.1,88,1,2.2,.,.,.,.,.,.,.,.,.,.,.,.,'002901,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,95,87.1,98,87.9,2,12.1,3,0.9,95,84.5,0,2.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,95.3,85.5,99.1,86.4,0.9,13.6,3.8,0.9,94.3,81.8,0.9,3.6,94.9,85.2,94.9,85.2,5.1,14.8,0,0,92.3,85.2,2.6,0,94.7,92.7,100,93.6,0,6.4,5.3,0.9,93.6,91.8,1.1,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,'003801,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007
93.3,92.5,95.7,94.3,4.3,5.7,2.4,1.9,87.8,83.6,5.5,8.8,100,83.3,100,83.3,0,16.7,0,0,100,66.7,0,16.7,88.2,91.1,92.6,94.6,7.4,5.4,4.4,3.6,79.4,85.7,8.8,5.4,96.8,91,97.8,92.3,2.2,7.7,1.1,1.3,91.4,85.9,5.4,5.1,90,96.6,90,96.6,10,3.4,0,0,83.3,82.8,6.7,13.8,.,.,.,.,.,.,.,.,.,.,.,.,'003902,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,88.7,93.8,93,96.3,7,3.7,4.2,2.5,83.1,81.5,5.6,12.3,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,86.7,84.6,91.7,87.7,8.3,12.3,5,3.1,71.7,67.7,15,16.9,94.1,89.5,100,94.7,0,5.3,5.9,5.3,94.1,73.7,0,15.8,93.8,91.9,96.9,94.3,3.1,5.7,3.1,2.4,88.4,84.6,5.4,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007
