DA1C407R,DA1C408R,DA2C407R,DA2C408R,DADC407R,DADC408R,DAEC407R,DAEC408R,DAGC407R,DAGC408R,DANC407R,DANC408R,DB1C407R,DB1C408R,DB2C407R,DB2C408R,DBDC407R,DBDC408R,DBEC407R,DBEC408R,DBGC407R,DBGC408R,DBNC407R,DBNC408R,DE1C407R,DE1C408R,DE2C407R,DE2C408R,DEDC407R,DEDC408R,DEEC407R,DEEC408R,DEGC407R,DEGC408R,DENC407R,DENC408R,DF1C407R,DF1C408R,DF2C407R,DF2C408R,DFDC407R,DFDC408R,DFEC407R,DFEC408R,DFGC407R,DFGC408R,DFNC407R,DFNC408R,DH1C407R,DH1C408R,DH2C407R,DH2C408R,DHDC407R,DHDC408R,DHEC407R,DHEC408R,DHGC407R,DHGC408R,DHNC407R,DHNC408R,DI1C407R,DI1C408R,DI2C407R,DI2C408R,DIDC407R,DIDC408R,DIEC407R,DIEC408R,DIGC407R,DIGC408R,DINC407R,DINC408R,DISTRICT,DL1C407R,DL1C408R,DL2C407R,DL2C408R,DLDC407R,DLDC408R,DLEC407R,DLEC408R,DLGC407R,DLGC408R,DLNC407R,DLNC408R,DM1C407R,DM1C408R,DM2C407R,DM2C408R,DMDC407R,DMDC408R,DMEC407R,DMEC408R,DMGC407R,DMGC408R,DMNC407R,DMNC408R,DP1C407R,DP1C408R,DP2C407R,DP2C408R,DPDC407R,DPDC408R,DPEC407R,DPEC408R,DPGC407R,DPGC408R,DPNC407R,DPNC408R,DR1C407R,DR1C408R,DR2C407R,DR2C408R,DRDC407R,DRDC408R,DREC407R,DREC408R,DRGC407R,DRGC408R,DRNC407R,DRNC408R,DS1C407R,DS1C408R,DS2C407R,DS2C408R,DSDC407R,DSDC408R,DSEC407R,DSEC408R,DSGC407R,DSGC408R,DSNC407R,DSNC408R,DW1C407R,DW1C408R,DW2C407R,DW2C408R,DWDC407R,DWDC408R,DWEC407R,DWEC408R,DWGC407R,DWGC408R,DWNC407R,DWNC408R,YEAR
97.8,96.8,97.8,96.8,2.2,3.2,0,0,97.8,96.8,0,0,100,-1,100,-1,0,-1,0,-1,100,-1,0,-1,92.9,100,92.9,100,7.1,0,0,0,92.9,100,0,0,100,100,100,100,0,0,0,0,100,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,'001902,.,.,.,.,.,.,.,.,.,.,.,.,96.3,93.3,96.3,93.3,3.7,6.7,0,0,96.3,93.3,0,0,.,.,.,.,.,.,.,.,.,.,.,.,92.9,100,92.9,100,7.1,0,0,0,92.9,100,0,0,90.9,100,90.9,100,9.1,0,0,0,90.9,100,0,0,97,100,97,100,3,0,0,0,97,100,0,0,2009
95.2,97.4,96.4,98.7,3.6,1.3,1.2,1.3,95.2,93.6,0,3.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,92.9,100,96.4,0,3.6,0,3.6,100,92.9,0,0,95,97.1,95,100,5,0,0,2.9,95,97.1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,'001903,.,.,.,.,.,.,.,.,.,.,.,.,95.3,97.7,97.7,97.7,2.3,2.3,2.3,0,95.3,90.9,0,6.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,87.9,93.1,90.9,96.6,9.1,3.4,3,3.4,87.9,86.2,0,6.9,92.9,94.4,92.9,94.4,7.1,5.6,0,0,92.9,94.4,0,0,97.4,97.1,98.7,98.6,1.3,1.4,1.3,1.4,97.4,92.8,0,4.3,2009
100,98.2,100,100,0,0,0,1.8,100,98.2,0,0,100,100,100,100,0,0,0,0,100,100,0,0,100,100,100,100,0,0,0,0,100,100,0,0,100,100,100,100,0,0,0,0,100,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,'001904,.,.,.,.,.,.,.,.,.,.,.,.,100,96.7,100,100,0,0,0,3.3,100,96.7,0,0,.,.,.,.,.,.,.,.,.,.,.,.,100,92.3,100,100,0,0,0,7.7,100,92.3,0,0,100,100,100,100,0,0,0,0,100,100,0,0,100,97.8,100,100,0,0,0,2.2,100,97.8,0,0,2009
80,89.5,85,94.7,15,5.3,5,5.3,80,84.2,0,5.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66.7,66.7,83.3,83.3,16.7,16.7,16.7,16.7,66.7,50,0,16.7,81.8,100,81.8,100,18.2,0,0,0,81.8,100,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,'001906,.,.,.,.,.,.,.,.,.,.,.,.,77.8,81.8,88.9,90.9,11.1,9.1,11.1,9.1,77.8,72.7,0,9.1,.,.,.,.,.,.,.,.,.,.,.,.,66.7,81.8,77.8,90.9,22.2,9.1,11.1,9.1,66.7,72.7,0,9.1,62.5,60,62.5,80,37.5,20,0,20,62.5,60,0,0,78.9,88.9,84.2,94.4,15.8,5.6,5.3,5.6,78.9,83.3,0,5.6,2009
81.2,92.3,85.2,95.7,14.8,4.3,4,3.3,80.3,88.5,0.9,3.8,77.6,92.1,81.6,93.7,18.4,6.3,3.9,1.6,77.6,90.5,0,1.6,75.5,88.8,79.6,93.8,20.4,6.3,4.1,5,74.5,88.8,1,0,86.1,93.6,86.1,96.3,13.9,3.7,0,2.8,86.1,92.7,0,0.9,87.5,93.9,87.5,95.9,12.5,4.1,0,2,83.3,83.7,4.2,10.2,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,'001907,100,.,100,.,0,.,0,.,80,.,20,.,77,91,84.4,95,15.6,5,7.4,4,75.4,84,1.6,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,77.9,87.5,81.4,92.3,18.6,7.7,3.4,4.8,76.6,83.7,1.4,3.8,88.2,88,91.2,88,8.8,12,2.9,0,88.2,88,0,0,80.2,91.6,86.5,96.8,13.5,3.2,6.3,5.3,80.2,89.5,0,2.1,2009
90.6,90,95.3,92.7,4.7,7.3,4.7,2.7,86.6,88.2,3.9,1.8,94.1,95.2,94.1,95.2,5.9,4.8,0,0,88.2,95.2,5.9,0,85.7,85,88.1,90,11.9,10,2.4,5,78.6,82.5,7.1,2.5,89.1,84.2,93.8,87.7,6.3,12.3,4.7,3.5,85.9,84.2,3.1,0,80,87.5,90,87.5,10,12.5,10,0,80,81.3,0,6.3,.,.,.,.,.,.,.,.,.,.,.,.,'001908,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,92.1,96.2,96.8,98.1,3.2,1.9,4.8,1.9,87.3,92.5,4.8,3.8,.,.,.,.,.,.,.,.,.,.,.,.,81.8,94.8,90.9,94.8,9.1,5.2,9.1,0,76.4,93.1,5.5,1.7,95.8,92,95.8,92,4.2,8,0,0,91.7,84,4.2,8,91,89,96,93.2,4,6.8,5,4.1,87,87.7,4,1.4,2009
81.8,88.5,87.9,96.2,12.1,3.8,6.1,7.7,78.8,84.6,3,3.8,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,84.6,90.9,84.6,90.9,15.4,9.1,0,0,76.9,90.9,7.7,0,85,87.5,90,100,10,0,5,12.5,85,75,0,12.5,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,'001909,.,.,.,.,.,.,.,.,.,.,.,.,76.9,88.9,84.6,94.4,15.4,5.6,7.7,5.6,69.2,88.9,7.7,0,.,.,.,.,.,.,.,.,.,.,.,.,66.7,92.9,77.8,100,22.2,0,11.1,7.1,66.7,85.7,0,7.1,75,100,75,100,25,0,0,0,62.5,100,12.5,0,81.3,88,87.5,96,12.5,4,6.3,8,78.1,84,3.1,4,2009
87.4,82.1,87.8,83,12.2,17,0.4,0.9,86.1,80.9,1.3,1.3,-1,100,-1,100,-1,0,-1,0,-1,100,-1,0,85.5,61.5,85.5,65.4,14.5,34.6,0,3.8,83.6,59.6,1.8,1.9,90.8,82,90.8,84,9.2,16,0,2,88.2,81,2.5,1,85.5,78.3,85.5,78.3,14.5,21.7,0,0,84.7,76,0.8,2.3,.,.,.,.,.,.,.,.,.,.,.,.,'002901,91.7,50,91.7,50,8.3,50,0,0,91.7,50,0,0,84,82.2,84.9,82.2,15.1,17.8,0.8,0,84,80.7,0,1.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75.2,63.9,76.1,66,23.9,34,0.9,2.1,74.3,60.8,0.9,3.1,86,58.1,86,60.5,14,39.5,0,2.3,81.4,55.8,4.7,2.3,90.1,85.7,91.1,87.8,8.9,12.2,1,2,88.1,85.7,2,0,2009
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,'003801,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2009
89.4,94.4,90.8,95,9.2,5,1.4,0.6,83,91.7,6.4,2.8,50,100,50,100,50,0,0,0,50,100,0,0,87.3,92.3,89.1,92.3,10.9,7.7,1.8,0,81.8,92.3,5.5,0,91.4,94.5,94.3,95.6,5.7,4.4,2.9,1.1,80,90.1,11.4,4.4,89.7,93.5,89.7,93.5,10.3,6.5,0,0,79.3,83.9,10.3,9.7,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,'003902,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,87.3,94.4,87.3,94.4,12.7,5.6,0,0,85.9,93.3,1.4,1.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,81.8,89.5,83.3,91.2,16.7,8.8,1.5,1.8,75.8,80.7,6.1,8.8,88.2,100,88.2,100,11.8,0,0,0,76.5,100,11.8,0,91.3,94.4,93.3,95.1,6.7,4.9,1.9,0.7,85.6,93,5.8,1.4,2009
