DA1C408R,DA1C409R,DA2C408R,DA2C409R,DADC408R,DADC409R,DADC508R,DAEC408R,DAEC409R,DAEC508R,DAGC408R,DAGC409R,DAGC508R,DANC408R,DANC409R,DANC508R,DB1C408R,DB1C409R,DB2C408R,DB2C409R,DBDC408R,DBDC409R,DBDC508R,DBEC408R,DBEC409R,DBEC508R,DBGC408R,DBGC409R,DBGC508R,DBNC408R,DBNC409R,DBNC508R,DE1C408R,DE1C409R,DE2C408R,DE2C409R,DEDC408R,DEDC409R,DEDC508R,DEEC408R,DEEC409R,DEEC508R,DEGC408R,DEGC409R,DEGC508R,DENC408R,DENC409R,DENC508R,DF1C408R,DF1C409R,DF2C408R,DF2C409R,DFDC408R,DFDC409R,DFDC508R,DFEC408R,DFEC409R,DFEC508R,DFGC408R,DFGC409R,DFGC508R,DFNC408R,DFNC409R,DFNC508R,DH1C408R,DH1C409R,DH2C408R,DH2C409R,DHDC408R,DHDC409R,DHDC508R,DHEC408R,DHEC409R,DHEC508R,DHGC408R,DHGC409R,DHGC508R,DHNC408R,DHNC409R,DHNC508R,DI1C408R,DI1C409R,DI2C408R,DI2C409R,DIDC408R,DIDC409R,DIDC508R,DIEC408R,DIEC409R,DIEC508R,DIGC408R,DIGC409R,DIGC508R,DINC408R,DINC409R,DINC508R,DISTRICT,DL1C408R,DL1C409R,DL2C408R,DL2C409R,DLDC408R,DLDC409R,DLDC508R,DLEC408R,DLEC409R,DLEC508R,DLGC408R,DLGC409R,DLGC508R,DLNC408R,DLNC409R,DLNC508R,DM1C408R,DM1C409R,DM2C408R,DM2C409R,DMDC408R,DMDC409R,DMDC508R,DMEC408R,DMEC409R,DMEC508R,DMGC408R,DMGC409R,DMGC508R,DMNC408R,DMNC409R,DMNC508R,DP1C408R,DP1C409R,DP2C408R,DP2C409R,DPDC408R,DPDC409R,DPDC508R,DPEC408R,DPEC409R,DPEC508R,DPGC408R,DPGC409R,DPGC508R,DPNC408R,DPNC409R,DPNC508R,DR1C408R,DR1C409R,DR2C408R,DR2C409R,DRDC408R,DRDC409R,DRDC508R,DREC408R,DREC409R,DREC508R,DRGC408R,DRGC409R,DRGC508R,DRNC408R,DRNC409R,DRNC508R,DS1C408R,DS1C409R,DS2C408R,DS2C409R,DSDC408R,DSDC409R,DSDC508R,DSEC408R,DSEC409R,DSEC508R,DSGC408R,DSGC409R,DSGC508R,DSNC408R,DSNC409R,DSNC508R,DW1C408R,DW1C409R,DW2C408R,DW2C409R,DWDC408R,DWDC409R,DWDC508R,DWEC408R,DWEC409R,DWEC508R,DWGC408R,DWGC409R,DWGC508R,DWNC408R,DWNC409R,DWNC508R,YEAR
96.8,100,96.8,100,3.2,0,3.2,0,0,0,96.8,93.9,96.8,0,6.1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,100,-1,0,-1,0,0,-1,0,100,-1,100,0,-1,0,100,100,100,100,0,0,0,0,0,0,100,100,100,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,'001902,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,93.3,100,93.3,100,6.7,0,6.7,0,0,0,93.3,88.2,93.3,0,11.8,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,100,100,100,0,0,0,0,0,0,100,100,100,0,0,0,100,100,100,100,0,0,0,0,0,0,100,83.3,100,0,16.7,0,100,100,100,100,0,0,0,0,0,0,100,93.3,100,0,6.7,0,2010
97.4,95.1,98.7,97.5,1.3,2.5,1.3,1.3,2.5,1.3,93.6,92.6,97.4,3.8,2.5,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,92.9,88.9,96.4,94.4,3.6,5.6,3.6,3.6,5.6,3.6,92.9,83.3,92.9,0,5.6,0,97.1,100,100,100,0,0,0,2.9,0,2.9,97.1,100,97.1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,'001903,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97.7,91.1,97.7,95.6,2.3,4.4,2.3,0,4.4,0,90.9,86.7,97.7,6.8,4.4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,93.1,91.7,96.6,94.4,3.4,5.6,3.4,3.4,2.8,3.4,86.2,86.1,93.1,6.9,5.6,0,94.4,95.8,94.4,100,5.6,0,5.6,0,4.2,0,94.4,95.8,94.4,0,0,0,97.1,95.9,98.6,98.6,1.4,1.4,1.4,1.4,2.7,1.4,92.8,93.2,97.1,4.3,2.7,0,2010
98.2,98.2,100,100,0,0,0,1.8,1.8,1.8,98.2,98.2,98.2,0,0,0,100,100,100,100,0,0,0,0,0,0,100,100,100,0,0,0,100,96.8,100,100,0,0,0,0,3.2,0,100,96.8,100,0,0,0,100,100,100,100,0,0,0,0,0,0,100,100,100,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,'001904,.,-1,.,-1,.,-1,.,.,-1,.,.,-1,.,.,-1,.,96.7,97.1,100,100,0,0,0,3.3,2.9,3.3,96.7,97.1,96.7,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,92.3,94.7,100,100,0,0,0,7.7,5.3,7.7,92.3,94.7,92.3,0,0,0,100,100,100,100,0,0,0,0,0,0,100,100,100,0,0,0,97.8,97.9,100,100,0,0,0,2.2,2.1,2.2,97.8,97.9,97.8,0,0,0,2010
89.5,97,94.7,100,5.3,0,5.3,5.3,3,10.5,84.2,97,84.2,5.3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66.7,-1,83.3,-1,16.7,-1,16.7,16.7,-1,33.3,50,-1,50,16.7,-1,0,100,100,100,100,0,0,0,0,0,0,100,100,100,0,0,0,.,-1,.,-1,.,-1,.,.,-1,.,.,-1,.,.,-1,.,.,-1,.,-1,.,-1,.,.,-1,.,.,-1,.,.,-1,.,'001906,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,81.8,95.5,90.9,100,9.1,0,9.1,9.1,4.5,18.2,72.7,95.5,72.7,9.1,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,81.8,100,90.9,100,9.1,0,9.1,9.1,0,18.2,72.7,100,72.7,9.1,0,0,60,90.9,80,100,20,0,20,20,9.1,20,60,90.9,60,0,0,0,88.9,96.2,94.4,100,5.6,0,5.6,5.6,3.8,11.1,83.3,96.2,83.3,5.6,0,0,2010
92.3,92.4,95.7,95.9,4.3,4.1,4.9,3.3,3.5,3.9,88.5,88.4,91.3,3.8,4.1,0,92.1,91.7,93.7,95.8,6.3,4.2,6.3,1.6,4.2,1.6,90.5,89.6,92.1,1.6,2.1,0,88.8,92.5,93.8,94,6.3,6,6.2,5,1.5,6.2,88.8,89.6,87.7,0,3,0,93.6,94,96.3,96.4,3.7,3.6,3.7,2.8,2.4,2.8,92.7,89.3,93.6,0.9,4.8,0,93.9,93.2,95.9,95.5,4.1,4.5,6.4,2,2.3,4.3,83.7,81.8,89.4,10.2,11.4,0,.,-1,.,-1,.,-1,.,.,-1,.,.,-1,.,.,-1,.,'001907,.,-1,.,-1,.,-1,.,.,-1,.,.,-1,.,.,-1,.,91,90.9,95,95.5,5,4.5,6.2,4,4.5,5.2,84,87.5,88.7,7,3.4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,87.5,88.3,92.3,90,7.7,10,8.8,4.8,1.7,4.9,83.7,78.3,86.3,3.8,10,0,88,95.7,88,95.7,12,4.3,12,0,0,0,88,95.7,88,0,0,0,91.6,93.5,96.8,97.4,3.2,2.6,3.2,5.3,3.9,5.3,89.5,92.2,91.5,2.1,1.3,0,2010
90,87.4,92.7,88.2,7.3,11.8,7.2,2.7,0.8,3.6,88.2,86.6,88.3,1.8,0.8,0.9,95.2,76.2,95.2,76.2,4.8,23.8,4.8,0,0,0,95.2,76.2,95.2,0,0,0,85,72.5,90,72.5,10,27.5,10,5,0,5,82.5,70,82.5,2.5,2.5,2.5,84.2,84.4,87.7,84.4,12.3,15.6,12.3,3.5,0,3.5,84.2,82.8,84.2,0,1.6,0,87.5,83.3,87.5,83.3,12.5,16.7,12.5,0,0,0,81.3,83.3,81.3,6.3,0,6.3,.,-1,.,-1,.,-1,.,.,-1,.,.,-1,.,.,-1,.,'001908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,96.2,90.5,98.1,92.1,1.9,7.9,1.9,1.9,1.6,3.7,92.5,90.5,92.6,3.8,0,1.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,94.8,82.5,94.8,84.2,5.2,15.8,5.1,0,1.8,1.7,93.1,82.5,93.2,1.7,0,0,92,64.7,92,64.7,8,35.3,8,0,0,0,84,58.8,88,8,5.9,4,89,90.8,93.2,92,6.8,8,6.8,4.1,1.1,5.4,87.7,89.7,87.8,1.4,1.1,0,2010
88.5,85.7,96.2,89.3,3.8,10.7,7.7,7.7,3.6,7.7,84.6,85.7,84.6,3.8,0,0,-1,.,-1,.,-1,.,-1,-1,.,-1,-1,.,-1,-1,.,-1,90.9,81.8,90.9,90.9,9.1,9.1,9.1,0,9.1,0,90.9,81.8,90.9,0,0,0,87.5,100,100,100,0,0,12.5,12.5,0,12.5,75,100,75,12.5,0,0,.,-1,.,-1,.,-1,.,.,-1,.,.,-1,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,'001909,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,88.9,76.5,94.4,82.4,5.6,17.6,5.6,5.6,5.9,5.6,88.9,76.5,88.9,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,92.9,100,100,100,0,0,7.1,7.1,0,7.1,85.7,100,85.7,7.1,0,0,100,66.7,100,77.8,0,22.2,0,0,11.1,0,100,66.7,100,0,0,0,88,92.3,96,92.3,4,7.7,8,8,0,8,84,92.3,84,4,0,0,2010
82.1,88,83,89,17,11,16.2,0.9,1,0.9,80.9,83,81.6,1.3,5,1.3,100,-1,100,-1,0,-1,0,0,-1,0,100,-1,100,0,-1,0,61.5,90.5,65.4,90.5,34.6,9.5,35.3,3.8,0,3.9,59.6,83.3,60.8,1.9,7.1,0,82,92.6,84,92.6,16,7.4,14.9,2,0,2,81,86.1,81.2,1,6.5,2,78.3,88.4,78.3,88.4,21.7,11.6,21.3,0,0,0,76,82.1,78,2.3,6.3,0.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,'002901,50,-1,50,-1,50,-1,50,0,-1,0,50,-1,50,0,-1,0,82.2,82.6,82.2,84.8,17.8,15.2,17.3,0,2.2,0,80.7,79.3,82,1.5,3.3,0.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63.9,82.9,66,84.3,34,15.7,32.3,2.1,1.4,2.1,60.8,75.7,62.5,3.1,7.1,3.1,58.1,88.9,60.5,88.9,39.5,11.1,39,2.3,0,2.4,55.8,81.5,58.5,2.3,7.4,0,85.7,88,87.8,90.4,12.2,9.6,11.1,2,2.4,2,85.7,84.3,84.8,0,3.6,2,2010
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,'003801,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2010
94.4,92.6,95,93.3,5,6.7,6.6,0.6,0.7,1.7,91.7,90.6,91.7,2.8,2,0,100,83.3,100,83.3,0,16.7,0,0,0,0,100,83.3,100,0,0,0,92.3,93.3,92.3,93.3,7.7,6.7,6.1,0,0,1.5,92.3,91.7,92.4,0,1.7,0,94.5,94.8,95.6,94.8,4.4,5.2,7.7,1.1,0,2.2,90.1,94.8,90.1,4.4,0,0,93.5,85.7,93.5,85.7,6.5,14.3,16.1,0,0,0,83.9,85.7,83.9,9.7,0,0,.,-1,.,-1,.,-1,.,.,-1,.,.,-1,.,.,-1,.,'003902,.,-1,.,-1,.,-1,.,.,-1,.,.,-1,.,.,-1,.,94.4,90.3,94.4,91.7,5.6,8.3,5.6,0,1.4,1.1,93.3,86.1,93.3,1.1,4.2,0,-1,.,-1,.,-1,.,-1,-1,.,-1,-1,.,-1,-1,.,-1,89.5,87,91.2,87,8.8,13,15.5,1.8,0,3.4,80.7,87,81,8.8,0,0,100,94.7,100,94.7,0,5.3,0,0,0,0,100,89.5,100,0,5.3,0,94.4,94.7,95.1,95.6,4.9,4.4,4.9,0.7,0.9,2.1,93,92,93,1.4,2.7,0,2010
