D20CA10R,D20CC10R,D20CS10R,D20CT10R,D2CRB10R,D2CRM10R,D2CRR10R,D30CA10R,D30CC10R,D30CS10R,D30CT10R,D3CRB10R,D3CRM10R,D3CRR10R,D40CA10R,D40CC10R,D40CS10R,D40CT10R,D4CRB10R,D4CRM10R,D4CRR10R,DA0CA09R,DA0CA10R,DA0CC09R,DA0CC10R,DA0CS09R,DA0CS10R,DA0CT09R,DA0CT10R,DACRB09R,DACRB10R,DACRM09R,DACRM10R,DACRR09R,DACRR10R,DB0CA09R,DB0CA10R,DB0CC09R,DB0CC10R,DB0CS09R,DB0CS10R,DB0CT09R,DB0CT10R,DBCRB09R,DBCRB10R,DBCRM09R,DBCRM10R,DBCRR09R,DBCRR10R,DECRB09R,DECRB10R,DECRM09R,DECRM10R,DECRR09R,DECRR10R,DF0CA09R,DF0CA10R,DF0CC09R,DF0CC10R,DF0CS09R,DF0CS10R,DF0CT09R,DF0CT10R,DFCRB09R,DFCRB10R,DFCRM09R,DFCRM10R,DFCRR09R,DFCRR10R,DH0CA09R,DH0CA10R,DH0CC09R,DH0CC10R,DH0CS09R,DH0CS10R,DH0CT09R,DH0CT10R,DHCRB09R,DHCRB10R,DHCRM09R,DHCRM10R,DHCRR09R,DHCRR10R,DI0CA09R,DI0CA10R,DI0CC09R,DI0CC10R,DI0CS09R,DI0CS10R,DI0CT09R,DI0CT10R,DICRB09R,DICRB10R,DICRM09R,DICRM10R,DICRR09R,DICRR10R,DISTRICT,DLCRB09R,DLCRB10R,DLCRM09R,DLCRM10R,DLCRR09R,DLCRR10R,DM0CA09R,DM0CA10R,DM0CC09R,DM0CC10R,DM0CS09R,DM0CS10R,DM0CT09R,DM0CT10R,DMCRB09R,DMCRB10R,DMCRM09R,DMCRM10R,DMCRR09R,DMCRR10R,DRCRB09R,DRCRB10R,DRCRM09R,DRCRM10R,DRCRR09R,DRCRR10R,DSCRB09R,DSCRB10R,DSCRM09R,DSCRM10R,DSCRR09R,DSCRR10R,DW0CA09R,DW0CA10R,DW0CC09R,DW0CC10R,DW0CS09R,DW0CS10R,DW0CT09R,DW0CT10R,DWCRB09R,DWCRB10R,DWCRM09R,DWCRM10R,DWCRR09R,DWCRR10R,YEAR
.,.,.,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,18.4,21.4,36.4,6.3,993,894,42.3,38.1,59,54,71,65,69,70,-1,.,-1,0,-1,776,-1,45.5,-1,33,-1,33,-1,67,-1,42,-1,67,-1,67,-1,21,50,0,1054,910,53.3,35,64,57,75,67,86,77,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,'001902,-1,-1,-1,-1,-1,-1,-1,-1,-1,11.1,-1,883,27.3,40.9,53,52,67,64,53,64,-3,-1,-3,-1,17,20,-3,-3,-3,20,-3,20,-1,21.3,37.5,10,1009,965,34.8,35.7,62,63,75,80,69,71,2011
-1,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,20.8,21.3,18.8,18.8,956,989,58.2,50.8,42,56,54,70,58,70,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,40,31,53,15,63,21.1,20.3,15,15.8,930,982,66.7,54.3,43,62,56,77,60,72,.,.,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,'001903,-1,-1,-1,-1,-1,-1,-1,-1,25,23.1,996,1001,48,46.4,41,48,51,61,56,68,4,-3,14,20,31,43,7,-3,6,-3,13,43,20.5,22.2,17.2,23.1,957,1004,56.9,49.1,44,57,55,72,59,68,2011
-1,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,19.6,17.3,22.7,9.7,959,905,44,60.8,52,45,63,60,67,62,-1,-1,-1,-1,-1,-1,-1,-2,-1,-3,-1,-3,-1,17,58,50,73,61,63,61,18.2,17.6,16.7,8.3,933,860,57.1,60,71,45,86,59,73,64,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,'001904,-1,-1,-1,-1,-1,-1,21.7,17,30,10.5,988,931,34.5,61.3,37,45,46,61,63,61,19,-3,19,8,53,31,-1,-1,-1,-1,20,-1,19.6,18.6,31.3,9.1,1015,940,38.1,52.4,50,49,61,66,68,68,2011
.,.,.,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,18.9,-1,9.1,33.3,816,920,50,54.5,28,36,52,40,41,64,.,-1,-1,-1,-1,-1,-1,60,-1,40,-1,60,-1,50,-1,22,-1,33,-1,44,-1,-1,-1,60,-1,-1,50,41.7,20,33,30,42,50,67,.,.,.,-1,.,-1,-1,80,-1,33,-1,33,-1,67,.,.,.,.,.,.,-1,.,-1,-1,-1,-1,-1,-1,'001906,-1,-1,-1,-1,-1,-1,19,-1,14.3,14.3,-1,900,50,70,32,38,63,38,37,63,9,-3,9,13,18,18,-3,-1,-3,-1,-3,17,18.9,-1,10,40,857,-1,52.6,45.5,33,38,58,38,46,73,2011
-1,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,20.8,20.2,25.4,18.2,971,878,45,44.8,38,53,51,68,49,64,16,16.9,6.3,0,818,737,42.1,65.9,11,23,24,43,22,41,17,39,27,64,30,46,21.1,20.4,25.7,16.3,981,872,47.3,46.7,41,55,51,68,51,69,-1,-1,0,12.5,891,784,28.1,14.8,22,49,33,63,34,58,-1,.,-1,.,.,.,-1,.,-1,-1,-1,-1,-1,-1,'001907,-1,-1,-1,-1,-1,-1,20.3,20.1,25,20.6,958,886,42.4,42.5,35,51,50,68,45,58,8,24,11,43,19,44,-3,-1,-3,-1,9,17,22.8,22.5,38.9,33.3,1052,996,52.9,52.7,62,70,76,83,70,79,2011
.,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,20.7,17.2,13.3,9.4,879,928,80.6,67.9,48,49,66,69,60,68,.,-1,0,0,725,822,92.3,81.8,31,27,46,36,33,73,28,38,52,62,37,56,20.8,17.9,12.5,3.8,865,890,94.1,70.3,55,46,65,59,70,73,.,-1,9.1,0,845,923,84.6,70,38,42,62,67,53,42,.,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,'001908,-1,-1,-1,-1,-1,-1,-1,16.3,14.3,14.8,897,967,67.3,65.9,42,51,67,77,51,64,20,27,39,57,38,53,-1,-3,-1,50,-3,29,20.7,17.7,16.9,13.9,920,963,77.6,66.7,53,57,70,76,66,75,2011
.,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,22.8,-1,33.3,11.1,971,939,52.9,47.4,55,50,55,65,80,68,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,38,33,38,50,63,63,21.6,-1,20,16.7,-1,972,55.6,46.2,70,62,70,69,80,86,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,'001909,-1,-1,-1,-1,-1,-1,-1,.,-1,-1,-1,-1,50,50,40,29,40,57,80,38,14,17,14,33,43,33,-1,-1,-1,-1,-1,-1,22.8,-1,33.3,12.5,971,950,52.9,47.1,55,50,55,67,80,65,2011
.,.,.,.,-1,-1,-1,.,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,19,22.9,16.9,25.5,931,946,42.2,32.9,33,40,50,54,46,53,.,.,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,18,39,34,42,28,40,19.6,23.2,17.5,14.3,936,859,43.5,34.6,35,36,51,49,55,52,16.6,20.4,7.7,4.2,807,858,30.2,25.3,20,33,43,47,32,46,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,'002901,-1,-3,-1,-3,-1,-3,18,22.6,16,37,923,1038,40.3,31.4,31,44,48,59,35,53,5,18,25,31,21,33,-3,-3,17,14,-3,7,20.3,24.5,21.6,41.4,1009,1023,56.9,42,48,52,57,65,63,62,2011
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,'003801,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2011
.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,18.7,21.8,22.7,21.8,964,980,63,70.5,43,56,69,80,52,63,-1,.,0,16.7,-1,812,-2,85.7,33,22,83,56,33,33,38,41,64,69,40,52,18.1,-1,11.9,20.8,934,984,65.6,70.7,41,66,61,84,55,70,-1,.,0,12.5,871,873,45,61.5,29,29,55,63,38,46,.,.,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,'003902,-1,-1,-1,-1,-1,-1,20,23.7,36.4,22.8,1001,977,60,70.4,46,48,78,77,50,57,18,23,31,54,39,38,-3,-1,18,-1,11,-3,19.6,21.8,29.8,23,989,1011,60.6,71.9,47,64,72,85,56,68,2011
