D20GR10N,D20GR10P,D30GR10N,D30GR10P,D40GR10N,D40GR10P,DA0GH10N,DA0GH10P,DA0GM10N,DA0GM10P,DA0GR10N,DA0GR10P,DAPID11N,DAPID11R,DAUND10C,DAUND10R,DB0GR10N,DB0GR10P,DH0GR10N,DH0GR10P,DI0GR10N,DI0GR10P,DISTRICT,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DPERSAKR,DPETALLC,DPETASIC,DPETASIP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETG01C,DPETG01P,DPETG02C,DPETG02P,DPETG03C,DPETG03P,DPETG04C,DPETG04P,DPETG05C,DPETG05P,DPETG06C,DPETG06P,DPETG07C,DPETG07P,DPETG08C,DPETG08P,DPETG09C,DPETG09P,DPETG10C,DPETG10P,DPETG11C,DPETG11P,DPETG12C,DPETG12P,DPETGEEC,DPETGEEP,DPETGIFC,DPETGIFP,DPETGKNC,DPETGKNP,DPETGPKC,DPETGPKP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTWOC,DPETTWOP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DS0GR10N,DS0GR10P,DW0GR10N,DW0GR10P,YEAR
2,4.2,0,0,0,0,41,85.4,7,14.6,48,100,0,0.0,2,0.6,12,25,2,4.2,0,0,'001902,2.4,7.1,2.2,0,2.2,0,0,0,10.3,40,0,0,0,0,0,0,0,0,606,3,0.5,3,0.5,45,7.4,2,0.3,235,38.8,36,5.9,48,7.9,28,4.6,45,7.4,47,7.8,55,9.1,46,7.6,61,10.1,46,7.6,49,8.1,42,6.9,48,7.9,2,0.3,63,10.4,45,7.4,8,1.3,33,5.4,1,0.2,3,0.5,0,0.0,155,25.6,74,12.2,23,3.8,154,25.4,501,82.7,6,12.5,32,66.7,2011
4,4.9,0,0,0,0,62,76.5,19,23.5,81,100,1,0.1,2,0.3,6,7.4,5,6.2,0,0,'001903,8.4,2.9,2.2,1.2,3.4,0,1.3,0,5.1,0,12.5,0,0,0,0,11.1,0,25,1325,8,0.6,12,0.9,74,5.6,14,0.9,708,53.4,86,6.5,100,7.5,113,8.5,98,7.4,95,7.2,95,7.2,99,7.5,82,6.2,104,7.8,100,7.5,79,6.0,75,5.7,2,0.2,58,4.4,82,6.2,115,8.7,93,7.0,5,0.4,12,0.9,2,0.2,460,34.7,110,8.3,30,2.3,333,25.1,1113,84.0,18,22.2,66,81.5,2011
2,3.4,0,0,0,0,50,86.2,8,13.8,58,100,0,0.0,2,0.5,9,15.5,4,6.9,0,0,'001904,3.9,2.5,2,2,2.1,1.9,0,0,0,16.7,0,0,0,0,0,0,0,0,798,11,1.4,29,3.6,96,12.0,5,0.6,440,55.1,49,6.1,57,7.1,52,6.5,53,6.6,63,7.9,61,7.6,59,7.4,56,7.0,59,7.4,50,6.3,65,8.1,53,6.6,1,0.1,47,5.9,73,9.1,47,5.9,66,8.3,3,0.4,29,3.6,0,0.0,275,34.5,88,11.0,27,3.4,224,28.1,595,74.6,7,12.1,43,74.1,2011
1,3.6,0,0,0,0,20,71.4,8,28.6,28,100,0,0.0,0,0,6,21.4,6,21.4,0,0,'001906,10.7,0,0,0,0,3.1,0,6.5,0,0,0,0,0,0,0,0,0,25,370,1,0.3,4,1.1,31,8.4,1,0.2,158,42.7,31,8.4,32,8.6,33,8.9,28,7.6,36,9.7,26,7.0,33,8.9,34,9.2,33,8.9,15,4.1,16,4.3,21,5.7,0,0.0,33,8.9,32,8.6,0,0.0,33,8.9,0,0.0,4,1.1,0,0.0,136,36.8,48,13.0,9,2.4,114,30.8,296,80.0,6,21.4,15,53.6,2011
3,1.6,0,0,0,0,176,92.6,14,7.4,190,100,6,0.2,48,3.1,49,25.8,58,30.5,0,0,'001907,10.5,9.5,3.7,1.3,2.2,0,0.5,4.2,3.8,27.8,0,11.1,0,15.4,0,5.3,21.4,22.2,3241,24,0.7,356,11.0,916,28.3,67,1.8,2379,73.4,291,9.0,271,8.4,262,8.1,246,7.6,241,7.4,236,7.3,203,6.3,218,6.7,225,6.9,244,7.5,169,5.2,170,5.2,20,0.6,118,3.6,267,8.2,178,5.5,1225,37.8,9,0.3,362,11.2,2,0.1,2139,66.0,196,6.0,49,1.5,693,21.4,1016,31.3,18,9.5,80,42.1,2011
2,2.2,0,0,0,0,72,77.4,21,22.6,93,100,0,0.0,0,0,13,14,13,14,1,1.1,'001908,8.3,4.1,0.9,1.6,3.8,0,0,0.9,6.8,0,0,10,0,0,0,0,0,18.2,1720,22,1.3,62,3.6,312,18.1,31,1.6,999,58.1,142,8.3,137,8.0,133,7.7,139,8.1,134,7.8,121,7.0,127,7.4,129,7.5,126,7.3,123,7.2,111,6.5,93,5.4,1,0.1,70,4.1,141,8.2,63,3.7,341,19.8,7,0.4,67,3.9,1,0.1,828,48.1,151,8.8,59,3.4,360,20.9,978,56.9,15,16.1,64,68.8,2011
1,3.6,0,0,0,0,18,64.3,10,35.7,28,100,3,0.7,1,0.5,1,3.6,1,3.6,0,0,'001909,7.1,6.9,6.9,0,8.3,4.3,7.1,3.7,3.1,20,0,0,0,0,0,0,0,0,404,0,0.0,3,0.7,8,2.0,2,0.4,199,49.3,30,7.4,25,6.2,33,8.2,31,7.7,28,6.9,26,6.4,35,8.7,33,8.2,29,7.2,29,7.2,28,6.9,21,5.2,1,0.2,24,5.9,30,7.4,25,6.2,19,4.7,2,0.5,3,0.7,0,0.0,139,34.4,47,11.6,15,3.7,155,38.4,360,89.1,9,32.1,25,89.3,2011
1,0.5,1,0.5,0,0,161,83,33,17,194,100,1,0.0,3,0.2,2,1,113,58.2,0,0,'002901,3.9,1,0.4,0,0,0,0.5,0.5,2.3,4.3,4.8,0,0,0,0,0,0,19,3242,14,0.4,390,12.0,67,2.1,83,2.4,1597,49.3,244,7.5,263,8.1,240,7.4,260,8.0,215,6.6,221,6.8,243,7.5,251,7.7,244,7.5,209,6.4,237,7.3,189,5.8,6,0.2,126,3.9,279,8.6,141,4.3,2053,63.3,4,0.1,327,10.1,0,0.0,1234,38.1,269,8.3,52,1.6,534,16.5,1052,32.4,27,13.9,77,39.7,2011
0,.,0,.,0,.,0,.,0,.,0,.,2,0.4,0,0,0,.,0,.,0,.,'003801,3.2,6.7,0,0,0,0,0,12.5,5.7,0,0,0,0,0,0,0,0,20,465,8,1.7,0,0.0,87,18.7,0,0,272,58.5,47,10.1,44,9.5,50,10.8,50,10.8,40,8.6,40,8.6,36,7.7,38,8.2,25,5.4,22,4.7,0,0.0,0,0.0,0,0.0,0,0.0,41,8.8,32,6.9,59,12.7,1,0.2,0,0.0,2,0.4,36,7.7,41,8.8,7,1.5,22,4.7,301,64.7,0,.,0,.,2011
1,0.6,1,0.6,0,0,144,87.3,21,12.7,165,100,2,0.1,14,1.2,9,5.5,27,16.4,0,0,'003902,7.8,4.8,1.6,0.5,0,1.2,0,0.6,6.4,25,45.5,0,0,0,12,9.1,0,50,2654,30,1.1,164,6.2,123,4.6,53,1.8,1500,56.5,196,7.4,192,7.2,200,7.5,212,8.0,202,7.6,225,8.5,197,7.4,199,7.5,213,8.0,190,7.2,155,5.8,187,7.0,7,0.3,156,5.9,182,6.9,97,3.7,561,21.1,18,0.7,171,6.4,3,0.1,713,26.9,197,7.4,48,1.8,588,22.2,1871,70.5,9,5.5,127,77,2011
