D20CA10R,D20CA11R,D20CC10R,D20CC11R,D20CS10R,D20CS11R,D20CT10R,D20CT11R,D2CRB10R,D2CRB11R,D2CRM10R,D2CRM11R,D2CRR10R,D2CRR11R,D30CA10R,D30CA11R,D30CC10R,D30CC11R,D30CS10R,D30CS11R,D30CT10R,D30CT11R,D3CRB10R,D3CRB11R,D3CRM10R,D3CRM11R,D3CRR10R,D3CRR11R,D40CA10R,D40CA11R,D40CC10R,D40CC11R,D40CS10R,D40CS11R,D40CT10R,D40CT11R,D4CRB10R,D4CRB11R,D4CRM10R,D4CRM11R,D4CRR10R,D4CRR11R,DA0CA10R,DA0CA11R,DA0CC10R,DA0CC11R,DA0CS10R,DA0CS11R,DA0CT10R,DA0CT11R,DACRB10R,DACRB11R,DACRM10R,DACRM11R,DACRR10R,DACRR11R,DB0CA10R,DB0CA11R,DB0CC10R,DB0CC11R,DB0CS10R,DB0CS11R,DB0CT10R,DB0CT11R,DBCRB10R,DBCRB11R,DBCRM10R,DBCRM11R,DBCRR10R,DBCRR11R,DECRB10R,DECRB11R,DECRM10R,DECRM11R,DECRR10R,DECRR11R,DF0CA10R,DF0CA11R,DF0CC10R,DF0CC11R,DF0CS10R,DF0CS11R,DF0CT10R,DF0CT11R,DFCRB10R,DFCRB11R,DFCRM10R,DFCRM11R,DFCRR10R,DFCRR11R,DH0CA10R,DH0CA11R,DH0CC10R,DH0CC11R,DH0CS10R,DH0CS11R,DH0CT10R,DH0CT11R,DHCRB10R,DHCRB11R,DHCRM10R,DHCRM11R,DHCRR10R,DHCRR11R,DI0CA10R,DI0CA11R,DI0CC10R,DI0CC11R,DI0CS10R,DI0CS11R,DI0CT10R,DI0CT11R,DICRB10R,DICRB11R,DICRM10R,DICRM11R,DICRR10R,DICRR11R,DISTRICT,DLCRB10R,DLCRB11R,DLCRM10R,DLCRM11R,DLCRR10R,DLCRR11R,DM0CA10R,DM0CA11R,DM0CC10R,DM0CC11R,DM0CS10R,DM0CS11R,DM0CT10R,DM0CT11R,DMCRB10R,DMCRB11R,DMCRM10R,DMCRM11R,DMCRR10R,DMCRR11R,DRCRB10R,DRCRB11R,DRCRM10R,DRCRM11R,DRCRR10R,DRCRR11R,DSCRB10R,DSCRB11R,DSCRM10R,DSCRM11R,DSCRR10R,DSCRR11R,DW0CA10R,DW0CA11R,DW0CC10R,DW0CC11R,DW0CS10R,DW0CS11R,DW0CT10R,DW0CT11R,DWCRB10R,DWCRB11R,DWCRM10R,DWCRM11R,DWCRR10R,DWCRR11R,YEAR
.,.,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,21.4,18.7,6.3,10,894,958,38.1,52.6,54,56,65,67,70,76,.,-1,0,0,776,-1,45.5,100,33,67,33,67,67,83,42,38,67,50,67,69,21,-1,0,14.3,910,969,35,46.7,57,53,67,65,77,71,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,'001902,-1,-1,-1,-1,-1,-1,-1,-1,11.1,7.7,883,952,40.9,56.5,52,57,64,68,64,79,-1,19,-1,31,20,56,-3,14,20,14,20,43,21.3,-1,10,15.4,965,995,35.7,46.4,63,56,80,69,71,72,2012
-1,.,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,21.3,23.2,18.8,19.4,989,978,50.8,56.3,56,65,70,76,70,75,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,59,53,73,63,65,20.3,-1,15.8,12.5,982,901,54.3,66.7,62,63,77,71,72,83,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,'001903,-1,-1,-1,-1,-1,-1,-1,24.8,23.1,25,1001,1033,46.4,50,48,67,61,79,68,70,-3,36,20,45,43,58,-3,-1,-3,-1,43,-1,22.2,23.2,23.1,22.6,1004,1009,49.1,55.4,57,67,72,76,68,77,2012
-1,.,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,17.3,19.2,9.7,21.4,905,936,60.8,58.3,45,64,60,83,62,67,-1,-1,-1,-1,-1,-1,-2,57.1,-3,43,-3,57,17,57,50,53,61,68,61,60,17.6,21.2,8.3,22.2,860,999,60,47.4,45,61,59,78,64,72,.,-1,-1,-1,-1,-1,-1,80,-1,60,-1,-4,-1,60,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,'001904,-1,-1,-1,-1,-1,-1,17,18,10.5,21.1,931,904,61.3,65.5,45,66,61,86,61,63,-3,35,8,59,31,44,-1,-1,-1,-1,-1,-1,18.6,20.2,9.1,22.2,940,962,52.4,54.5,49,66,66,84,68,67,2012
.,.,.,.,.,.,-1,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,21.6,33.3,16.7,920,-1,54.5,42.9,36,28,40,56,64,42,-1,.,-1,.,-1,.,60,.,40,-1,60,-1,50,-1,22,17,33,33,44,14,-1,-1,60,-1,-1,-1,41.7,80,33,29,42,57,67,43,.,.,-1,.,-1,.,80,.,33,-1,33,-1,67,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,'001906,-1,-1,-1,-1,-1,-1,-1,-1,14.3,-1,900,.,70,22.2,38,27,38,55,63,42,-3,-3,13,33,18,17,-1,-1,-1,-1,17,20,-1,21.6,40,16.7,-1,-1,45.5,42.9,38,28,38,56,73,42,2012
-1,.,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,20.2,21.2,18.2,27.5,878,978,44.8,41.8,53,46,68,66,64,56,16.9,17.7,0,5.3,737,876,65.9,45.2,23,29,43,43,41,41,39,35,64,56,46,48,20.4,21.6,16.3,22.9,872,975,46.7,40.2,55,46,68,60,69,61,-1,.,12.5,18.2,784,971,14.8,20.4,49,42,63,64,58,54,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,'001907,-1,-1,-1,-1,-1,-1,20.1,20.8,20.6,32.4,886,982,42.5,43.6,51,46,68,73,58,50,24,22,43,41,44,36,-1,-1,-1,-1,17,-3,22.5,22.9,33.3,42.1,996,1036,52.7,55.9,70,60,83,84,79,67,2012
.,.,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,17.2,19,9.4,10.3,928,898,67.9,82.9,49,51,69,72,68,61,-1,18.2,0,0,822,779,81.8,90.9,27,50,36,75,73,58,38,48,62,78,56,56,17.9,18.5,3.8,7.9,890,899,70.3,-2,46,52,59,71,73,62,-1,-1,0,20,923,933,70,90.9,42,45,67,55,42,73,.,.,.,.,.,.,-1,.,-1,-1,-1,-1,-1,-1,'001908,-1,-1,-1,-1,-1,-1,16.3,19.8,14.8,15,967,897,65.9,57.1,51,50,77,72,64,60,27,32,57,48,53,50,-3,-3,50,29,29,29,17.7,19.5,13.9,11.4,963,913,66.7,74.5,57,50,76,73,75,57,2012
.,.,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,11.1,20,939,989,47.4,58.8,50,35,65,59,68,47,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,33,38,50,63,63,33,-1,-1,16.7,11.1,972,967,46.2,75,62,25,69,50,86,50,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,'001909,-1,-1,-1,-1,-1,-1,.,-1,-1,-1,-1,-1,50,20,29,60,57,80,38,43,17,-1,33,-1,33,-1,-1,-1,-1,-1,-1,-1,-1,-1,12.5,20,950,989,47.1,62.5,50,38,67,63,65,53,2012
.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,22.9,21,25.5,14.7,946,944,32.9,41.2,40,52,54,75,53,55,.,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,39,38,42,68,40,46,23.2,21,14.3,11.4,859,932,34.6,46.7,36,52,49,77,52,57,20.4,19.9,4.2,4.3,858,894,25.3,26.1,33,40,47,67,46,48,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,'002901,-3,-1,-3,40,-3,-1,22.6,21.1,37,18.2,1038,962,31.4,36.7,44,51,59,73,53,54,18,15,31,36,33,27,-3,-3,14,13,7,-3,24.5,21.4,41.4,20.5,1023,975,42,60.3,52,66,65,83,62,65,2012
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,'003801,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2012
.,.,-1,40,-1,1012,-1,45.5,-1,56,-1,78,-1,78,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,21.8,21.6,21.8,23.4,980,979,70.5,70.1,56,57,80,74,63,69,.,-1,16.7,-1,812,-1,85.7,-1,22,-1,56,-1,33,-1,41,41,69,59,52,59,-1,21.6,20.8,24,984,973,70.7,78.9,66,60,84,72,70,74,.,-1,12.5,5.9,873,922,61.5,63,29,61,63,79,46,70,.,.,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,'003902,-1,-1,-1,-1,-1,-1,23.7,21.7,22.8,22.4,977,989,70.4,59.8,48,54,77,76,57,63,23,28,54,38,38,52,-1,-1,-1,-1,-3,-1,21.8,21.9,23,26.6,1011,989,71.9,74,64,57,85,73,68,69,2012
