D20708DR11R,D20912DR11R,D20AD10R,D20AD11R,D20AT10R,D20AT11R,D20BK10R,D20BK11R,D20BS10R,D20BS11R,D20BT10R,D20BT11R,D20GH10R,D20GH11R,D30708DR11R,D30912DR11R,D30AD10R,D30AD11R,D30AT10R,D30AT11R,D30BK10R,D30BK11R,D30BS10R,D30BS11R,D30BT10R,D30BT11R,D30GH10R,D30GH11R,D40708DR11R,D40912DR11R,D40AD10R,D40AD11R,D40AT10R,D40AT11R,D40BK10R,D40BK11R,D40BS10R,D40BS11R,D40BT10R,D40BT11R,D40GH10R,D40GH11R,DA0708DR11R,DA0912DR11R,DA0AD10R,DA0AD11R,DA0AT10R,DA0AT11R,DA0BK10R,DA0BK11R,DA0BS10R,DA0BS11R,DA0BT10R,DA0BT11R,DA0GH10R,DA0GH11R,DB0708DR11R,DB0912DR11R,DB0AD10R,DB0AD11R,DB0AT10R,DB0AT11R,DB0BK10R,DB0BK11R,DB0BS10R,DB0BS11R,DB0BT10R,DB0BT11R,DB0GH10R,DB0GH11R,DE0708DR11R,DE0912DR11R,DE0AD10R,DE0AD11R,DE0AT10R,DE0AT11R,DE0GH10R,DE0GH11R,DF0708DR11R,DF0912DR11R,DF0AD10R,DF0AD11R,DF0AT10R,DF0AT11R,DF0BK10R,DF0BK11R,DF0BS10R,DF0BS11R,DF0BT10R,DF0BT11R,DF0GH10R,DF0GH11R,DH0708DR11R,DH0912DR11R,DH0AD10R,DH0AD11R,DH0AT10R,DH0AT11R,DH0BK10R,DH0BK11R,DH0BS10R,DH0BS11R,DH0BT10R,DH0BT11R,DH0GH10R,DH0GH11R,DI0708DR11R,DI0912DR11R,DI0AD10R,DI0AD11R,DI0AT10R,DI0AT11R,DI0BK10R,DI0BK11R,DI0BS10R,DI0BS11R,DI0BT10R,DI0BT11R,DI0GH10R,DI0GH11R,DISTRICT,DL0708DR11R,DL0912DR11R,DL0AD10R,DL0AD11R,DL0AT10R,DL0AT11R,DL0GH10R,DL0GH11R,DM0708DR11R,DM0912DR11R,DM0AD10R,DM0AD11R,DM0AT10R,DM0AT11R,DM0BK10R,DM0BK11R,DM0BS10R,DM0BS11R,DM0BT10R,DM0BT11R,DM0GH10R,DM0GH11R,DR0708DR11R,DR0912DR11R,DR0AD10R,DR0AD11R,DR0AT10R,DR0AT11R,DR0GH10R,DR0GH11R,DS0708DR11R,DS0912DR11R,DS0AD10R,DS0AD11R,DS0AT10R,DS0AT11R,DS0GH10R,DS0GH11R,DW0708DR11R,DW0912DR11R,DW0AD10R,DW0AD11R,DW0AT10R,DW0AT11R,DW0BK10R,DW0BK11R,DW0BS10R,DW0BS11R,DW0BT10R,DW0BT11R,DW0GH10R,DW0GH11R,YEAR
-1,0,11.1,12.5,95.3,95,.,.,.,.,-1,-1,-1,-1,-1,.,-1,.,-1,-1,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0.5,21.2,18.4,96.2,96.5,.,.,.,.,0,0,85.4,68.9,0,0,13.8,25,96.6,96.8,.,.,.,.,0,0,100,83.3,0,1.6,18.8,17.2,95.7,95.7,83.3,56.3,0,1.3,24.1,19.2,96,96.4,.,.,.,.,0,0,95.5,82.4,0,0,37.5,33.3,95.7,96.3,.,.,.,.,-1,0,-1,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,'001902,.,.,.,.,-1,-1,.,.,0,0,19.3,17.9,96.4,96.5,.,.,.,.,0,0,76.9,60.7,0,1.8,35.6,16.7,95.9,96,80,31.3,0,0,34.6,3.8,95.5,96.1,16.7,0,0,0.7,22.5,16.7,96.3,96.5,.,.,.,.,0,0,81.3,75,2012
0,0,14.3,0,96.4,97.1,.,.,.,.,-1,.,-1,.,.,-1,-1,-1,97,97.9,.,.,.,.,-1,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,1.5,0.5,17.3,12.8,95.9,96.4,47.1,66.7,39.1,71.4,12.8,8.9,76.5,69.3,11.1,0,16.7,7.1,95.9,96.1,-1,.,-1,.,14.3,0,50,60,0,1.2,9.2,8.1,95.3,95.9,61.9,53.3,3.1,0.6,20.6,12.4,95.8,96.2,50,66.7,33.3,66.7,13.1,11.3,85.7,84.6,0,0,31.6,26.3,95.9,96.6,-1,-1,-1,-1,42.9,14.3,100,-1,.,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,.,-1,'001903,.,.,.,.,-1,97.7,.,.,0,0.5,14.4,13.1,96,96.5,44.4,66.7,45.5,75,12.5,7.3,66.7,61.2,1.4,1.6,4.4,4.2,95.2,95.9,35.7,33.3,0,0,2,0,94.8,95.6,11.1,9.1,1.1,0.6,16.7,12.6,95.9,96.3,61.5,72.7,50,76.9,11.4,9.1,77.3,70.8,2012
-1,0,33.3,25,96,95.2,.,.,.,.,-1,-1,-1,-1,-1,0,-1,-1,99,98.6,-1,-1,-1,-1,-1,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0.4,29.2,24.8,95.3,95.6,15.4,31.3,8.3,20.7,13,15.8,86.2,85.7,0,2.6,33.3,14.3,95.9,96.4,-1,-1,-1,-1,10,15.4,33.3,87.5,0,0.7,27.6,15.4,94.9,95.2,71.4,74.1,0,0,31.6,22.3,95.2,95.1,12.5,40,6.7,22.2,20,11.1,87,90.5,0,0,37.5,43.8,96.6,95.8,-1,.,16.7,.,33.3,0,-1,83.3,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,.,-1,'001904,-1,0,37.5,75,98.3,97.8,.,-1,0,0.7,27.5,26.8,95.5,96,20,27.3,11.1,20,8.3,19.6,85.7,82.9,0,0,13.9,13,94.7,94.9,61.1,72,0,0,19.4,0,94,94.3,0,0,0,0,26.6,23.5,95,95.4,12.5,38.5,6.7,26.1,10.4,17.3,95.3,86.8,2012
-1,-1,-1,-1,96.8,96.3,.,.,.,.,-1,-1,-1,.,.,-1,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,29.4,47.7,96.2,96.6,.,.,.,.,0,0,71.4,70,0,0,41.7,50,97.5,98.2,.,.,.,.,0,-1,50,.,0,0,28.1,41.7,95.4,95.9,55.6,42.9,0,0,35.7,48.8,96.3,96.4,.,.,.,.,0,0,75,71.4,0,0,62.5,16.7,94.8,95.7,.,.,.,.,0,.,66.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,'001906,-1,-1,.,-1,-1,-1,.,.,0,0,23.3,46.7,96,96.9,.,.,.,.,0,0,68.8,69.2,0,0,25.7,47.4,95.1,95.5,27.3,42.9,0,0,23.8,41.2,95.1,96.1,16.7,0,0,0,24.6,50.7,96.2,96.6,.,.,.,.,0,0,80,70,2012
0,0,25,-1,96.4,95.9,-1,.,-1,.,-1,-1,-1,.,-1,0,28.6,28.6,97.4,96.7,.,.,.,.,-1,-1,.,-1,.,-1,-1,-1,-1,-1,.,.,.,.,.,-1,.,.,0,0.1,12.9,28.3,95.8,96.1,62.5,56.8,46.3,41.5,9.3,14.1,92.6,93.8,0,0,6.8,21.1,96,96.3,-1,-1,60,-1,2.4,1.3,83.7,93.3,0,0,7,23.6,95.9,96.1,88.2,91,0,0,14.2,31.5,95.9,96.1,73.3,68.4,60.7,50,8.4,12.6,97.9,95.7,0,0,8.2,25,96.3,96.7,69.2,71.4,47.6,51.4,11.4,17.1,94.8,93.1,-1,-1,.,.,95.8,96.7,.,.,.,.,.,.,.,.,'001907,-1,0,0,3.8,96.6,96.7,-1,-1,0,0.2,11.8,25.5,95.8,96,52.9,48,35.9,35.4,10.2,15.6,87.4,91.6,0,0.2,3.6,15.9,95.9,96.1,91.7,90.8,0,0,1.3,3.6,94,94.2,33.3,18.2,0,0.3,22,36.9,95.1,95.1,56.3,45.5,47.4,34.1,11.3,20.4,96.3,94.4,2012
0,0,9.1,15.4,96.4,96,.,.,.,.,-1,-1,-1,-1,-1,0,-1,33.3,97.3,98.2,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,-1,-1,.,.,.,.,.,.,.,.,0,0.4,13.1,20,95.8,95.7,-1,0,28.6,0,2.5,8.6,77.4,75.5,0,0,5.6,9.9,96.7,96.7,.,.,.,.,0,0,76.9,80,0,0.9,11.1,14.4,95.6,95.5,76.9,75,0,0,16.1,22.3,95.6,95.8,-1,0,0,0,2.4,7.1,77.3,90.7,0,0,13,25.5,96,96,.,-1,.,0,0,18.2,76.9,90.9,-1,-1,-1,-1,-1,-1,.,.,.,.,.,-1,-1,.,'001908,-1,-1,-1,-1,97.3,96.7,.,.,0,0.8,10.2,17.8,96,95.7,-1,0,-1,0,2.7,10.4,77.6,62.7,0,0,5.6,6.2,95.5,95.3,66.7,48.4,0,0,1.3,0,95,94.8,13.3,33.3,0,0.6,15.6,22.3,95.4,95.3,-1,0,-1,0,2.9,8.3,78.1,72.3,2012
.,-1,-1,-1,95.3,97,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0.9,17.9,18.1,96.6,96.3,.,.,.,.,0,0,64.3,65,-1,.,-1,.,97.6,97.8,.,.,.,.,.,.,-1,.,0,0,8.5,13.5,95.9,95.7,44.4,50,0,0,26.3,16.4,96.5,96.6,.,.,.,.,0,0,82.4,76.9,-1,-1,-1,-1,93.8,95.4,.,.,.,.,-1,-1,-1,-1,.,-1,.,-1,-1,-1,.,.,.,.,.,-1,.,.,'001909,.,-1,.,-1,-1,-1,.,.,0,1.8,9.1,20,96.7,96,.,.,.,.,0,0,36.4,42.9,0,0,3.9,0,96,95.7,50,0,0,0,0,0,95.5,95,11.1,-1,0,0.9,18.4,18.6,96.6,96.3,.,.,.,.,0,0,64,72.2,2012
0,0,0,14.3,94.7,94.4,.,.,.,.,.,0,-1,-1,-1,0,25,40,95.5,97.3,.,.,.,.,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0.4,17.2,22.5,94.9,94.9,-1,-1,-1,-1,0.3,0.3,83,72.3,0,0,5.9,40,95.4,95,.,.,.,.,0,-1,-1,40,0,1,9.1,15.7,94.8,94.5,72.4,61.4,0,0.2,18.4,22.7,95,95,-1,-1,-1,-1,0.6,0.6,83.5,83.1,0,0.4,13.1,18.7,95,95,.,-1,.,-1,0,0.5,80.5,65.1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,'002901,0,0,3.5,18.9,94.9,95.4,41.7,16.7,0,0.6,16.2,22.2,94.8,94.7,.,.,.,.,0,0,82.5,64.3,0,0,6.8,16.3,94.1,94.4,74.7,50,0,0.8,1.7,17.2,93,93.4,14.8,10,0,0.6,24.3,27.4,94.7,94.5,-1,.,-1,.,0.7,0,85.7,84.1,2012
-1,.,.,.,-1,96.4,.,.,.,.,.,.,.,.,-1,.,.,.,-1,97.3,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,.,.,0,0,0,100,96.5,95.9,.,.,.,.,.,.,.,.,0,0,-1,100,96.5,97,.,.,.,.,.,.,.,.,0,0,0,100,96.5,95.9,.,.,0,0,0,100,96.8,95.9,.,.,.,.,.,.,.,.,0,0,-1,100,96.7,96,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,'003801,.,.,.,.,.,.,.,.,0,0,0,100,96.2,96,.,.,.,.,.,.,.,.,0,-1,-1,-1,96.6,95.4,.,.,0,0,-1,100,97,95.7,.,.,0,0,0,100,96.5,95.6,.,.,.,.,.,.,.,.,2012
0,0,11.1,28.6,95.6,94.5,-1,-1,-1,-1,14.3,7.7,-1,58.3,-1,0,20,42.9,98.3,97.6,-1,-1,-1,-1,20,40,-1,-1,.,-1,.,-1,-1,-1,.,.,.,.,.,.,.,-1,0.2,1.3,22.6,27.4,96.5,96.6,62.7,57.1,60.7,57.1,17.8,13.4,87.3,84.9,0,0,13.8,11.1,96.8,97.1,.,.,.,.,0,0,55.6,66.7,0.4,1.9,16.3,18.2,96.1,96.1,82.8,75.4,0.5,1,25.5,31.3,96.5,96.5,59,57.1,56.1,57.1,23.2,17.5,93.5,88.7,0,1.5,23.1,24.6,96.3,96.4,78.6,55.6,68.8,55.6,25.5,19.1,92.6,82.1,0,0,0,22.2,96.9,95.1,.,-1,.,-1,-1,-1,.,-1,'003902,0,16.7,-1,0,97.1,97.5,.,.,0,1.5,19.9,23.5,96.5,96.7,70,57.1,70,57.1,12.2,9.2,81.8,80.7,1.1,2.3,11.2,6.7,95.5,95.5,78.4,55.6,2.4,1.3,1.7,0,95.2,95.4,0,12.5,0.3,1.4,23.6,28.6,96.6,96.7,58.1,55.2,58.1,55.2,17.1,12.1,88.2,88.5,2012
