DISTRICT,DPCTENGA,DPCTFLAA,DPCTG01A,DPCTG02A,DPCTG03A,DPCTG04A,DPCTG05A,DPCTG06A,DPCTGKGA,DPCTGMEA,DPCTMATA,DPCTSCIA,DPCTSOCA,DPSAINHP,DPSAMIFC,DPSAMIFP,DPSATOFC,DPSCTOFC,DPSCTOFP,DPSCTOSA,DPSECOFC,DPSETOFC,DPSETOFP,DPSOTOFC,DPSPCOFC,DPSPTOFC,DPSPTOFP,DPSSTOFC,DPSSTOFP,DPSSTOSA,DPST00FC,DPST00FP,DPST00SA,DPST01FC,DPST01FP,DPST01SA,DPST06FC,DPST06FP,DPST06SA,DPST11FC,DPST11FP,DPST11SA,DPST20FC,DPST20FP,DPST20SA,DPSTASFC,DPSTASFP,DPSTBAFC,DPSTBAFP,DPSTBIFC,DPSTBIFP,DPSTBLFC,DPSTBLFP,DPSTCOFC,DPSTCOFP,DPSTEXPA,DPSTFEFC,DPSTFEFP,DPSTGIFC,DPSTGIFP,DPSTHIFC,DPSTHIFP,DPSTINFC,DPSTINFP,DPSTKIDR,DPSTMAFC,DPSTMAFP,DPSTMSFC,DPSTMSFP,DPSTNOFC,DPSTNOFP,DPSTOPFC,DPSTOPFP,DPSTPHFC,DPSTPHFP,DPSTPIFC,DPSTPIFP,DPSTREFC,DPSTREFP,DPSTSPFC,DPSTSPFP,DPSTTENA,DPSTTOFC,DPSTTOFP,DPSTTOSA,DPSTTWFC,DPSTTWFP,DPSTURNR,DPSTVOFC,DPSTVOFP,DPSTWHFC,DPSTWHFP,DPSUTOFC,DPSUTOFP,DPSUTOSA,DPSXCOFC,DPSXTOFC,DPSXTOFP,YEAR
'001902,13.9,11.5,11.3,18.5,15,8.7,15.7,15.9,13.3,.,13,13.6,15.1,78.997,14.96,14.344000000000001,104.32,1.5,1.4379,74932,21.8503,12.5,11.9828,1.9,14.5764,66.0,63.272,3.085,2.957,66126.52,0.5,0.9229999999999999,65020,8.92,16.451,37523.77,11.0,20.2971,38200.13,21.0,38.751999999999995,45633.5,12.78,23.5778,51073.11,0.0,0.0,47.72,88.04899999999999,0.258,0.4761,2.0,3.6910000000000003,0.0,0.0,14.0744,41.98,77.457,0.0,0.0,3.0,5.535,0.0,0.0,10.8865,12.22,22.5431,6.48,11.9509,0.0,0.0,1.012,1.8675,0.0,0.0,0.0,0.0,43.63,80.502,6.574,12.1308,8.1687,54.2,51.95399999999999,44252.04,0.0,0.0,7.1616,2.7230000000000003,5.0238,49.2,90.774,7.22,6.9237,52088.44,3.0,25.81,24.7451,2012
'001903,11.9,11.3,17.8,19,17,19.2,18.2,17.6,16.1,.,13.6,16.9,11.7,72.2835,8.0,5.237,152.75,2.556,1.6733,64668.83,0.0,0.0,0.0,0.0,0.0,112.56,73.685,5.0,3.273,59117,2.0,2.073,27050.5,12.0,12.437000000000001,30792.5,24.0,24.8711,36004.01,36.0,37.306999999999995,42980.1,22.5,23.3127,46686.73,0.0,0.0,79.9,82.803,0.0,0.0,1.0,1.036,1.2229999999999999,1.2669,14.5686,78.5,81.348,2.841,2.9439,3.0,3.108,0.0,0.0,13.1713,18.0,18.6521,16.59,17.1967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.76,79.547,11.224,11.6309,9.9706,96.5,63.172,40263.31,1.0,1.0362,14.9543,4.45,4.6111,91.5,94.819,8.5,5.567,44405.75,0.0,40.2,26.3146,2012
'001904,12.6,16,16.3,17.6,14.9,13.2,13.3,15.1,4.8,.,12.3,13.1,14.4,61.7971,9.5,7.898,120.27,2.0,1.6629,81325,0.0,8.0,6.6517,0.0,0.0,78.38,65.17,3.719,3.092,67085.45,0.0,0.0,.,9.0,13.662,31680.36,13.94,21.1527,37387.48,25.23,38.289,44800.13,17.72,26.8964,47635.8,0.0,0.0,54.44,82.62,0.0,0.0,1.0,1.517,1.17,1.7749,15.8172,49.73,75.471,0.0,0.0,1.0,1.518,0.9998,1.5174,11.1247,16.16,24.5286,11.45,17.3801,0.0,0.0,0.782,1.1864,0.0,0.0,0.0,0.0,51.55,78.237,3.825,5.805,10.0724,65.89,54.785,42202.45,0.0,0.0,7.1843,8.562999999999999,12.9963,62.89,95.448,6.77,5.6302,49445.7,1.22,33.89,28.1784,2012
'001906,13.6,14.2,16,15.5,16.5,17.8,16.9,16.1,16,14.1,10.6,16.8,15.9,61.8463,3.98,6.8839999999999995,57.8,1.0,1.7302,83000,0.0,4.88,8.4475,0.0,0.0,38.0,65.748,2.0,3.46,61904,1.0,3.03,29398,7.0,21.213,31233.74,8.0,24.2419,38320.37,11.0,33.333,46786.46,6.0,18.1813,49484.87,0.0,0.0,32.0,96.97,0.0,0.0,1.0,3.03,0.47100000000000003,1.426,12.2632,26.0,78.788,0.529,1.6042,0.0,0.0,0.0,0.0,12.212,7.0,21.2119,1.0,3.0303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.03,78.87899999999999,3.389,10.2696,4.3684,33.0,57.097,41398.59,0.0,0.0,14.4417,2.5810000000000004,7.8208,32.0,96.97,2.0,3.4604,42910,0.0,14.91,25.8048,2012
'001907,18.8,20.8,17.7,20.1,18.3,20.8,21.3,21.7,18.1,.,19.4,19.9,22,69.5925,98.48,22.809,431.74,7.0,1.6213,82331.43,0.0,61.19,14.1725,0.0,0.0,284.86,65.979,14.917,3.455,64647.68,17.0,7.244,33653.74,71.97,30.668000000000003,35237,41.65,17.7489,40692.7,54.14,23.07,48455.82,49.91,21.2686,51889,0.0,0.0,189.83,80.896,3.025,1.2890000000000001,17.12,7.297000000000001,23.234,9.9013,11.4861,180.53,76.932,0.763,0.3251,14.0,5.966,0.0,0.0,13.722000000000001,54.13,23.0683,42.89,18.2758,0.943,0.4019,13.075,5.5718,1.0,0.4262,0.0,0.0,161.66,68.889,23.193,9.8836,6.6886,234.66,54.352,42681.87,5.0,2.1306,21.2043,9.714,4.1398,198.54,84.60700000000001,28.28,6.5507,47463.49,0.0,85.7,19.8489,2012
'001908,15.4,15.9,22.8,20.5,23.6,22.3,25.3,26.8,19.5,.,12.7,15.5,16.3,65.1756,36.08,16.925,213.17,3.0,1.4073,78261.67,0.0,19.0,8.913,0.0,0.0,142.62,66.905,6.0,2.815,61520,4.0,3.3089999999999997,31220,34.79,28.788,33523.16,21.06,17.4296,38639.87,35.0,28.96,45350.2,26.0,21.513,48519.38,1.0,0.8274,99.85,82.62299999999999,0.165,0.1362,7.0,5.792000000000001,7.391,6.1158,12.2727,91.85,76.00399999999999,2.136,1.767,2.0,1.655,1.0,0.8275,14.2073,29.0,23.996,20.0,16.5497,0.0,0.0,0.165,0.1362,1.0,0.8274,0.0,0.0,90.75,75.09100000000001,12.015,9.9419,7.14,120.85,56.693000000000005,40990.02,4.0,3.3096,18.3569,8.232999999999999,6.8122,105.85,87.588,12.77,5.9896,43667.83,0.0,51.55,24.1822,2012
'001909,13.7,14,17,15.2,12.1,17.5,13.7,15.7,15,.,12.1,14,15.6,73.2688,1.0,1.7180000000000002,58.22,2.0,3.4355,69327,0.0,0.0,0.0,0.0,0.0,43.48,74.684,2.0,3.435,63161.5,1.0,2.668,33061,4.98,13.285,35095.52,7.0,18.6768,37655.17,16.0,42.69,45668.87,8.5,22.68,50726.48,0.0,0.0,35.98,95.99700000000001,0.14300000000000002,0.3824,0.0,0.0,1.0,2.6682,15.0945,28.98,77.32,0.0,0.0,1.0,2.668,0.0,0.0,11.5001,8.5,22.6802,1.5,4.0031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.99,77.362,3.7910000000000004,10.115,9.7951,37.48,64.377,43578.17,0.0,0.0,12.994,3.55,9.4728,36.48,97.33200000000001,2.0,3.4355,46153.5,0.0,14.74,25.3164,2012
'002901,16.4,19.2,24.6,18.3,18.6,19,14.9,18.6,22.8,.,17.9,17.9,19.2,62.8178,146.41,32.588,449.27,7.893,1.7568,99229.15,0.0,43.81,9.7509,0.0,0.0,273.78,60.93899999999999,8.23,1.8319999999999999,87593.79,12.001,5.121,43829.49,46.2,19.715999999999998,48276.06,43.0,18.3505,52402.44,79.75,34.035,55739.13,53.38,22.7778,66419.95,2.0,0.8537,195.28,83.334,3.825,1.6324,2.0,0.8540000000000001,25.593000000000004,10.9215,13.5264,177.02,75.544,1.511,0.645,40.78,17.404,4.43,1.8905,14.5435,57.31,24.4565,39.05,16.6657,0.0,0.0,13.901,5.932,0.0,0.0,0.0,0.0,164.43,70.17,15.837,6.7582,9.2376,234.33,52.159,55478.37,9.001,3.841,15.1983,9.234,3.9405,176.12,75.157,23.32,5.1917,65461.35,0.0,131.68,29.3098,2012
'003801,11.6,13.6,16,18,17.9,19.5,18.7,20,16,.,10.6,13.6,12.5,64.8263,11.48,16.118,71.23,4.0,5.6153,74222.5,0.0,1.0,1.4038,0.0,0.0,51.09,71.72800000000001,1.044,1.466,35284.23,3.0,7.4239999999999995,31926.04,20.0,49.501000000000005,39696.01,6.0,14.8473,41265.02,7.0,17.325,49815.5,4.41,10.902000000000001,66007.35,0.0,0.0,28.45,70.414,0.0,0.0,2.96,7.315,0.0,0.0,8.7779,35.41,87.625,0.0,0.0,2.0,4.95,0.0,0.0,13.7101,5.0,12.3755,11.0,27.223000000000003,0.0,0.0,0.0,0.0,0.955,2.3634,0.0,0.0,37.67,93.219,2.349,5.8132,1.7135,40.41,56.726000000000006,43973.84,0.0,0.0,11.2834,0.391,0.9681,35.45,87.735,5.64,7.92,40753.67,0.0,19.14,26.8686,2012
'003902,20.7,19.1,21.5,22.7,19.8,19.5,20.6,27.4,21,.,21.8,20.8,20.3,56.9579,53.51,14.636,365.59,3.0,0.8206,104519,0.0,20.0,5.4706,4.0,0.0,219.51,60.043,12.795,3.5,66860.32,8.001,4.558,38711.46,39.0,22.217,36562.7,40.0,22.787,39898.01,47.76,27.209,46029.99,40.78,23.2295,53023.21,0.0,0.0,149.34,85.072,17.151,9.7696,1.0,0.57,8.5,4.8416,12.8246,138.29,78.77199999999999,12.442,7.0877,4.0,2.279,1.0001,0.5697,15.4599,37.27,21.2277,24.21,13.7889,2.001,1.1396,1.6669999999999998,0.9496,0.0,0.0,0.0,0.0,119.15,67.872,8.369,4.7673,8.3609,175.55,48.018,43820.26,4.0,2.2784,9.0984,8.272,4.7119,165.55,94.303,28.17,7.7044,49633.14,2.57,126.08,34.4867,2012
