D20GR12N,D20GR12R,D30GR12N,D30GR12R,D40GR12N,D40GR12R,DA0GH12N,DA0GH12R,DA0GM12N,DA0GM12R,DA0GR12N,DA0GR12R,DAPID13N,DAPID13R,DAUND12C,DAUND12R,DB0GR12N,DB0GR12R,DH0GR12N,DH0GR12R,DI0GR12N,DI0GR12R,DISTRICT,DPEMALLC,DPEMALLP,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DPERSAKR,DPETALLC,DPETASIC,DPETASIP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETG01C,DPETG01P,DPETG02C,DPETG02P,DPETG03C,DPETG03P,DPETG04C,DPETG04P,DPETG05C,DPETG05P,DPETG06C,DPETG06P,DPETG07C,DPETG07P,DPETG08C,DPETG08P,DPETG09C,DPETG09P,DPETG10C,DPETG10P,DPETG11C,DPETG11P,DPETG12C,DPETG12P,DPETGEEC,DPETGEEP,DPETGIFC,DPETGIFP,DPETGKNC,DPETGKNP,DPETGPKC,DPETGPKP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTWOC,DPETTWOP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DS0GR12N,DS0GR12R,DW0GR12N,DW0GR12R,YEAR
0,0,0,0,0,0,30,81.1,7,18.9,37,100,0,0.0,0,0,5,13.5,1,2.7,0,0,'001902,93,15.6,3.1,5.4,10,0,0,0,0,2.4,2.9,50,0,0,0,0,0,0,0,0,595,4,0.7,5,0.8,34,5.7,5,0.8,227,38.2,42,7.1,39,6.6,36,6.1,42,7.1,29,4.9,43,7.2,50,8.4,53,8.9,51,8.6,66,11.1,39,6.6,50,8.4,4,0.7,53,8.9,40,6.7,11,1.8,45,7.6,0,0.0,5,0.8,368,61.8,0,0.0,162,27.2,73,12.3,30,5.0,180,30.3,482,81.0,3,8.1,31,83.8,2013
0,0,0,0,0,0,54,73,20,27,74,100,1,0.1,5,0.8,3,4.1,3,4.1,0,0,'001903,179,14.8,4.2,1.3,0,0,0,7.8,2.2,0,6.2,0,11.1,0,0,0,0,0,0,20,1236,10,0.8,16,1.3,54,4.4,5,0.4,636,51.5,80,6.5,82,6.6,80,6.5,91,7.4,105,8.5,92,7.4,91,7.4,101,8.2,98,7.9,76,6.1,96,7.8,79,6.4,1,0.1,52,4.2,59,4.8,105,8.5,112,9.1,2,0.2,16,1.3,600,48.5,2,0.2,344,27.8,113,9.1,47,3.8,315,25.5,1009,81.6,10,13.5,68,91.9,2013
1,1.8,1,1.8,0,0,50,89.3,6,10.7,56,100,0,0.0,7,2,9,16.1,4,7.1,0,0,'001904,132,17.9,1.7,0,4.3,0,0,0,0,2,3.6,0,0,0,0,0,0,0,0,0,751,2,0.3,14,1.9,79,10.5,1,0.1,443,59.0,58,7.7,64,8.5,53,7.1,53,7.1,50,6.7,52,6.9,58,7.7,59,7.9,54,7.2,46,6.1,61,8.1,49,6.5,2,0.3,26,3.5,55,7.3,37,4.9,79,10.5,2,0.3,14,1.9,308,41.0,0,0.0,238,31.7,81,10.8,32,4.3,264,35.2,557,74.2,6,10.7,41,73.2,2013
0,0,0,0,0,0,14,77.8,4,22.2,18,100,0,0.0,0,0,4,22.2,2,11.1,0,0,'001906,52,13.2,0,0,0,0,0,7.1,0,0,7.1,0,0,0,33.3,0,0,0,0,0,406,2,0.5,4,1.0,24,5.9,0,0,170,41.9,31,7.6,31,7.6,33,8.1,26,6.4,38,9.4,37,9.1,33,8.1,25,6.2,29,7.1,36,8.9,39,9.6,20,4.9,1,0.2,27,6.7,27,6.7,0,0.0,39,9.6,0,0.0,4,1.0,236,58.1,0,0.0,168,41.4,45,11.1,6,1.5,155,38.2,335,82.5,1,5.6,12,66.7,2013
2,1.4,2,1.4,1,0.7,124,89.2,15,10.8,139,100,6,0.2,2,0.1,35,25.2,62,44.6,0,0,'001907,625,19.9,3.8,5.2,4.1,2.6,0.9,3.6,0.5,1.1,3.7,13.6,3.8,0,0,0,0,9.1,0,5.3,3288,33,1.0,400,12.2,924,28.1,135,3.7,2502,76.1,272,8.3,267,8.1,248,7.5,236,7.2,235,7.1,237,7.2,208,6.3,235,7.1,237,7.2,213,6.5,200,6.1,200,6.1,37,1.1,109,3.3,303,9.2,160,4.9,1272,38.7,15,0.5,434,13.2,786,23.9,2,0.1,1938,58.9,252,7.7,64,1.9,1086,33.0,978,29.7,13,9.4,37,26.6,2013
2,2,0,0,0,0,78,76.5,24,23.5,102,100,1,0.1,0,0,20,19.6,13,12.7,0,0,'001908,313,18.4,9,4.8,0,0,1.8,0.9,0,3.5,5.5,0,7.7,0,0,5.9,0,0,0,0,1619,10,0.6,73,4.5,268,16.6,39,2,1002,61.9,137,8.5,130,8.0,134,8.3,126,7.8,138,8.5,117,7.2,130,8.0,111,6.9,131,8.1,130,8.0,82,5.1,86,5.3,6,0.4,44,2.7,115,7.1,46,2.8,341,21.1,6,0.4,80,4.9,617,38.1,2,0.1,718,44.3,151,9.3,74,4.6,302,18.7,918,56.7,25,24.5,67,65.7,2013
1,3.6,0,0,0,0,20,71.4,8,28.6,28,100,1,0.2,0,0,0,0,1,3.6,1,3.6,'001909,73,17.6,5.9,4,9.5,0,6.7,0,3.8,0,0,33.3,50,20,0,0,0,0,0,50,439,0,0.0,2,0.5,5,1.1,3,0.6,198,45.1,27,6.2,33,7.5,32,7.3,32,7.3,39,8.9,30,6.8,33,7.5,28,6.4,34,7.7,32,7.3,29,6.6,27,6.2,1,0.2,21,4.8,34,7.7,28,6.4,23,5.2,1,0.2,2,0.5,241,54.9,0,0.0,76,17.3,48,10.9,18,4.1,167,38.0,392,89.3,6,21.4,25,89.3,2013
4,1.7,2,0.8,0,0,160,67.5,77,32.5,237,100,2,0.0,6,0.4,2,0.8,130,54.9,0,0,'002901,639,19,4.5,0.4,1.2,0,0,0.9,0.5,0.4,1.2,0,5.9,0,0,0,11.1,0,0,15.8,3617,13,0.4,486,13.4,65,1.8,31,0.8,1489,41.2,307,8.5,289,8.0,297,8.2,308,8.5,271,7.5,294,8.1,246,6.8,237,6.6,270,7.5,252,7.0,242,6.7,175,4.8,4,0.1,132,3.6,308,8.5,117,3.2,2363,65.3,11,0.3,398,11.0,2128,58.8,0,0.0,1198,33.1,250,6.9,53,1.5,554,15.3,1112,30.7,22,9.3,99,41.8,2013
0,.,0,.,0,.,0,.,0,.,0,.,0,0.0,4,2.3,0,.,0,.,0,.,'003801,47,9.5,4.8,0,0,0,0,0,0,0,6.7,16.7,0,0,0,0,0,0,0,33.3,635,15,2.4,0,0.0,109,17.2,0,0,320,50.4,54,8.5,55,8.7,57,9.0,60,9.4,61,9.6,61,9.6,35,5.5,38,6.0,37,5.8,39,6.1,26,4.1,20,3.1,0,0.0,40,6.3,51,8.0,41,6.5,98,15.4,0,0.0,0,0.0,315,49.6,2,0.3,49,7.7,45,7.1,10,1.6,83,13.1,401,63.1,0,.,0,.,2013
7,4.5,0,0,0,0,122,79.2,32,20.8,154,100,1,0.0,1,0.1,6,3.9,27,17.5,1,0.6,'003902,363,13.9,7,3.9,2.8,3.3,1,1.5,1.5,0.6,6.8,14.3,6.7,0,7.1,0,0,0,4.8,42.1,2726,29,1.1,169,6.2,156,5.7,57,1.9,1490,54.7,199,7.3,199,7.3,199,7.3,187,6.9,202,7.4,238,8.7,208,7.6,218,8.0,207,7.6,194,7.1,196,7.2,165,6.1,4,0.1,161,5.9,217,8.0,93,3.4,629,23.1,11,0.4,177,6.5,1236,45.3,1,0.0,904,33.2,196,7.2,41,1.5,599,22.0,1859,68.2,12,7.8,113,73.4,2013
