DISTRICT,DPCTENGA,DPCTFLAA,DPCTG01A,DPCTG02A,DPCTG03A,DPCTG04A,DPCTG05A,DPCTG06A,DPCTGKGA,DPCTGMEA,DPCTMATA,DPCTSCIA,DPCTSOCA,DPFEIERP,DPSAINHP,DPSAMIFC,DPSAMIFP,DPSATOFC,DPSCTOFC,DPSCTOFP,DPSCTOSA,DPSECOFC,DPSETOFC,DPSETOFP,DPSOTOFC,DPSPCOFC,DPSPTOFC,DPSPTOFP,DPSSTOFC,DPSSTOFP,DPSSTOSA,DPST00FC,DPST00FP,DPST00SA,DPST01FC,DPST01FP,DPST01SA,DPST06FC,DPST06FP,DPST06SA,DPST11FC,DPST11FP,DPST11SA,DPST20FC,DPST20FP,DPST20SA,DPSTASFC,DPSTASFP,DPSTBAFC,DPSTBAFP,DPSTBIFC,DPSTBIFP,DPSTBLFC,DPSTBLFP,DPSTCOFC,DPSTCOFP,DPSTEXPA,DPSTFEFC,DPSTFEFP,DPSTGIFC,DPSTGIFP,DPSTHIFC,DPSTHIFP,DPSTINFC,DPSTINFP,DPSTKIDR,DPSTMAFC,DPSTMAFP,DPSTMSFC,DPSTMSFP,DPSTNOFC,DPSTNOFP,DPSTOPFC,DPSTOPFP,DPSTPHFC,DPSTPHFP,DPSTPIFC,DPSTPIFP,DPSTREFC,DPSTREFP,DPSTSPFC,DPSTSPFP,DPSTTENA,DPSTTOFC,DPSTTOFP,DPSTTOSA,DPSTTWFC,DPSTTWFP,DPSTURNR,DPSTVOFC,DPSTVOFP,DPSTWHFC,DPSTWHFP,DPSUTOFC,DPSUTOFP,DPSUTOSA,DPSXCOFC,DPSXTOFC,DPSXTOFP,YEAR
'001902,13,9.3,12.7,12.3,10.7,12.4,11.9,9.8,18.5,31,14.4,13.9,10.4,58.9,77.4,14.89,13.625,109.27,1.5,1.3727,77442,26.8878,12.5,11.4393,1.9,14.3861,66.12,60.509,3.091,2.8287,67047.58,3,5.465,30987.06,5,9.111,33663.99,8,14.5757,37747.6,22.91,41.7406,46702.83,15.98,29.108,50851.59,0,0,50.41,91.844,0.127,0.231,2,3.644,0.535,0.975,15.5745,43.98,80.124,0.338,0.6158,3,5.466,0,0,10.0747,10.91,19.876,4.48,8.156,0,0,0,0,0,0,0,0,44.55,81.169,5.68,10.3402,7.6596,54.89,50.233,44558.36,0,0,23.7602,3.661,6.6688,49.89,90.889,6.64,6.0739,53031.69,3,30.65,28.0521,2014
'001903,11.5,15.5,16.9,17.5,16.1,15.7,20.8,17.3,20.5,.,14.3,14.3,13,60.2,66.8,16.16,9.452,171.01,2,1.1696,91995,0,13.88,8.1145,0,0,114.13,66.739,5,2.9239,63337,3,3.038,32626.47,17.49,17.7098,32450.17,24.64,24.9482,38576.09,30,30.3797,43813.47,23.63,23.924,51631.69,0,0,84.09,85.148,0,0,1,1.013,0.985,0.9978,13.1441,82.75,83.798,2.346,2.3751,6,6.076,0,0,12.2223,16,16.202,14.67,14.852,0,0,0,0,0,0,0,0,79.08,80.075,12.24,12.3914,8.8559,98.75,57.749,42025,0,0,10.2807,4.109,4.1609,91.75,92.911,8.37,4.8972,49765.88,0.5088,43,25.1461,2014
'001904,15.1,17.6,18,21,20.4,17.4,17.9,16.3,19,.,16.6,16.1,15.9,60.6,60.4,9.44,8.384,112.6,3.888,3.453,70762.11,0,12.47,11.0725,0,0,68,60.388,3.31,2.9391,67356.24,2,3.498,39921.13,13.22,23.1261,32950.82,8.69,15.2001,38810.64,15.33,26.8205,46717.54,17.93,31.355,49177.06,0,0,51.69,90.405,0,0,1,1.749,0.687,1.2021,13.5059,44.49,77.806,0.108,0.1882,1,1.749,1.0002,1.7494,13.3275,12.69,22.194,5.37,9.399,0.112,0.196,0.298,0.521,0,0,0,0,44.6,78.012,3.74,6.5347,7.6824,57.18,50.776,42865.39,0,0,10.7384,7.743,13.5417,54.18,94.753,3.63,3.2193,50474.35,0,32.14,28.5399,2014
'001906,9.5,12.8,14.5,13.5,16.7,14.7,11.3,16.8,11.5,9.6,10.3,12.3,10.1,57.4,61.7,9.94,16.62,59.78,0.405,0.6771,89765,0,4.84,8.1043,0,0,39,65.239,2,3.3455,66950,3,8.609,30397.93,6,17.2178,32621.3,8,22.9596,37160.43,11.25,32.2871,45909.62,6.6,18.926,56860.67,0,0,34,97.575,0,0,2,5.739,0.471,1.3505,12.7907,26.25,75.334,0.529,1.5192,0,0,0,0,11.1633,8.6,24.666,0.85,2.425,0,0,0,0,0,0,0,0,28.19,80.886,2.88,8.2631,5.9535,34.85,58.289,42350.14,0,0,20.5878,2.781,7.9813,32.85,94.261,1.75,2.9273,44507.29,2.181,15.94,26.6566,2014
'001907,15.7,19.9,18.2,20.6,18,17.9,19.4,17.4,17,13,15.4,19.2,16.4,58.6,69.9,114.72,23.677,484.52,8,1.6511,90837.25,0,71.47,14.7507,0,0,318.07,65.645,16.702,3.4472,68740.65,27.75,10.651,32423.34,79.85,30.6439,36818.98,51.48,19.7564,41213.67,51.62,19.8112,49398.58,49.87,19.137,53684.8,0,0,226.72,87.01,2.88,1.1054,20.79,7.978,21.26,8.1588,10.7115,198.93,76.343,1,0.3838,17,6.524,1,0.3838,12.5224,61.64,23.657,32.89,12.623,0.957,0.367,12.216,4.6881,0,0,0,0,184.34,70.744,22.89,8.7826,5.6488,260.57,53.779,42938.81,4,1.535,23.2251,15.993,6.1377,217.79,83.579,32.79,6.7677,49409.16,0,94.99,19.604,2014
'001908,14,13.6,19.7,17.7,16.5,18.4,17.1,20.5,18.2,.,13.1,13.9,14,63.1,89.9,23.38,13.428,174.13,3.512,2.0168,84606.44,0,25.89,14.8664,0.2,0,143.77,82.565,6.808,3.9094,63901.73,6.5,5.268,31501.53,41.77,33.8329,33068.66,18.27,14.7977,38901.11,33.91,27.4711,45737.6,23,18.631,49528.11,0,0,108.18,87.632,0.311,0.252,9.5,7.698,5.132,4.157,11.3116,93.96,76.113,2.082,1.6867,4,3.24,1.0001,0.8101,12.9767,29.49,23.887,14.27,11.557,0,0,0.162,0.1314,1.001,0.8104,0,0,94.1,76.227,13.58,11.0012,6.0822,123.45,70.896,40395.96,2,1.62,18.6679,8.08,6.5448,106.95,86.632,10,5.7428,50923,0,4.47,2.5689,2014
'001909,9.4,11.2,12.1,12,16,9.9,10.8,14.3,17,.,10,13.6,13.3,66.9,72.7,0,0,57.58,2,3.4737,70367.5,0,0,0,0,0,43.76,76.009,2,3.4737,66010,0,0,.,5.51,14.5563,36102.27,10.86,28.6735,45216.44,13,34.3264,47250.68,8.5,22.444,49706.84,0,0,36.37,96.039,0,0,0,0,6.827,18.0261,14.3193,29.84,78.784,0,0,0,0,0,0,10.8787,8.03,21.216,1.5,3.961,0,0,0,0,0,0,0,0,26.54,70.079,0.62,1.6445,9.9814,37.87,65.778,45595.85,0,0,5.368,3.882,10.2505,37.87,100,1.89,3.2835,45212.74,0,13.81,23.9909,2014
'002901,15.8,14.5,20.5,16.7,17.2,21.6,20.8,18.8,22.9,.,17.6,19.1,16.8,63.3,65.6,167.24,34.772,480.95,7.893,1.6411,105267.7,0,56,11.6436,0,0,298,61.961,8.286,1.7228,86016.6,5,1.95,44919.17,56,21.8313,47906,53,20.6617,52968.91,84.85,33.0799,56367.51,57.66,22.477,66680.5,2,0.7798,204.5,79.723,5.291,2.0626,1,0.39,29.319,11.4299,13.2868,192.69,75.12,1.906,0.7432,51.82,20.202,4.0002,1.5594,14.6502,63.82,24.88,51.01,19.887,0,0,12.041,4.6941,1,0.39,0,0,183.66,71.598,15.3,5.9663,8.2463,256.52,53.335,55912.88,6.999,2.7286,12.5843,8.994,3.5062,190.69,74.34,25.31,5.2626,67500.32,0,126.95,26.395,2014
'003801,13.4,13.4,17.8,19.3,19,20.7,21,20.4,16.8,.,12.5,15,14.1,64,71,18.69,22.059,84.73,4,4.721,78359.5,0,1.89,2.2342,0,0,59.8,70.576,2,2.3605,50541.5,7,15.625,39540.62,14,31.2543,41417.23,15,33.4841,42605.59,6,13.3939,47738.07,2.8,6.243,57362.05,1,2.2323,33.8,75.444,0,0,4,8.929,0,0,7.1743,37.8,84.373,1.142,2.5493,2,4.465,0,0,15.6483,7,15.627,11,24.556,0,0,0,0,0,0,0,0,41.92,93.585,1.55,3.4683,2.9529,44.8,52.872,43363.94,0,0,15.983,0.178,0.3971,37.8,84.373,9,10.6223,50432.44,0,23.04,27.1902,2014
'003902,21.7,19.3,21.3,20,20.6,20.3,19.5,20.5,19.8,.,20.1,19.9,20.5,62,57.6,57.81,15.368,376.18,5,1.3291,93685.4,0,19.86,5.2796,3,0,232.26,61.741,12.083,3.2121,70256.66,10.1,5.454,39148.89,32,17.2704,38816.58,41,22.1287,41735.2,57,30.7641,47167.83,45.18,24.383,54301.1,0,0,147.26,79.478,18.171,9.8071,2,1.08,4.786,2.5831,13.524,150.18,81.054,11.916,6.4313,4,2.159,0,0,14.9716,35.1,18.946,37.92,20.465,0.105,0.057,0.984,0.5309,0,0,0,0,127.88,69.019,10.03,5.4137,8.1659,185.28,49.253,45825.36,4,2.1588,14.0555,11.516,6.2154,175.28,94.603,29.9,7.9469,51347.19,2.8341,124.06,32.9789,2014
