DISTRICT,YEAR,D30AD*R,DI0AD*R,D20AD*R,D40AD*R,DM0AD*R,DH0AD*R,DF0AD*R,DL0AD*R,DS0AD*R,DR0AD*R,DB0AD*R,DW0AD*R,DE0AD*R,DA0AD*R
'001902,1998,,.,,,27.4,.,49,,0,,20,40.3,20,38.9
'001903,1998,,.,,,23.9,16.7,30.4,,8.2,,23.5,27.3,13.9,26.8
'001904,1998,,.,,,21.2,.,20,,0,,26.7,19.3,14.8,20.7
'001906,1998,,.,,,27,.,23.8,,5.6,,40,23.2,30.8,25.3
'001907,1998,,.,,,11.3,9.4,25.6,,0.8,,12,24.2,9.8,18.8
'001908,1998,,.,,,18.9,22.2,26.1,,2.3,,28.8,21.9,9.8,22.9
'001909,1998,,.,,,0,.,0,,0,,.,0,0,0
'002901,1998,,20,,,15.8,8.2,13.7,,4.8,,0,19.3,7.5,14.7
'003902,1998,,.,,,5.2,1.9,2.6,,0,,0,4.1,1.9,3.8
'003903,1998,,.,,,14.8,7.3,20.1,,3.7,,12.3,22.4,8.4,17.5
'003904,1998,,.,,,4.6,0,15.4,,0.8,,6.9,10.9,7.4,10.4
'003905,1998,,.,,,5,3.4,5.7,,0,,0,8.6,2.1,5.4
'003906,1998,,.,,,12,.,11.9,,0,,.,12.5,12.1,12
'003907,1998,,.,,,7,11.1,16.5,,0,,16.7,12.2,9.3,12.3
'004901,1998,,.,,,12.1,7.2,12.9,,0.7,,28.6,12.8,9.7,12.5
'005901,1998,,.,,,9.1,.,19.7,,0,,.,14,0,13.8
'005902,1998,,.,,,11.9,16.7,9.7,,3.2,,.,10.2,4.3,10.9
'005903,1998,,.,,,25,.,10,,0,,.,5.9,23.1,18.2
'005904,1998,,.,,,26.1,.,27.1,,0,,.,28.4,11.8,26.6
'006902,1998,,.,,,16.9,0,24.6,,0,,.,22,5.3,21
'007901,1998,,.,,,25,15.5,12.3,,3.1,,.,33.3,16.5,18.2
'007902,1998,,.,,,10.1,5.1,10.2,,1.4,,.,14.2,8,10.1
'007904,1998,,.,,,7.8,9.6,12,,0,,.,11.5,5.4,10.3
'007905,1998,,.,,,11.2,7.5,11.7,,0,,0,15.4,5.9,11.4
'007906,1998,,.,,,3.6,5.4,8.1,,0,,.,7.2,4.4,5.8
'008901,1998,,.,,,16.3,10.3,17.2,,6.1,,3.8,18.8,1.8,16.7
'008902,1998,,.,,,11.5,7.7,8.9,,0,,6.5,11.8,6.5,10.2
'008903,1998,,.,,,19.4,9.3,23.3,,5.9,,23.1,25.8,9.4,21.5
'009901,1998,,.,,,17.4,11.5,24.2,,3.2,,0,31,7,20.9
'009903,1998,,.,,,0,0,0,,.,,.,0,0,0
'010901,1998,,.,,,6.8,0,10.6,,0,,.,9.9,11.4,8.8
'010902,1998,,.,,,19.7,14.1,23.3,,1,,.,23,9.9,21.5
