DISTRICT,DPETALLC,DPETBLAP,DPETECOP,DPETHISP,DPETLEPP,DPETWHIP,YEAR
'001902,619,12.9,17.1,2.7,0.0,83.5,1997
'001903,1121,7.3,37.8,2.8,0.3,89.9,1997
'001904,755,11.9,38.7,2.8,1.1,84.6,1997
'001906,332,12.7,37.3,1.5,0.0,85.8,1997
'001907,3781,31.7,47.7,16.8,6.1,51.0,1997
'001908,1837,15.3,29.6,7.0,0.4,77.1,1997
'001909,363,1.9,39.4,5.5,0.6,92.6,1997
'002901,3574,1.8,42.8,47.3,10.9,49.8,1997
'003902,2116,3.6,44.0,14.0,6.5,81.8,1997
'003903,8184,31.2,51.1,18.4,7.5,49.3,1997
'003904,1606,5.5,41.0,2.0,0.0,92.5,1997
'003905,1953,17.6,56.8,38.4,11.4,43.8,1997
'003906,414,0.0,51.2,1.9,0.0,98.1,1997
'003907,1552,2.7,38.6,5.9,2.2,91.3,1997
'004901,3419,2.2,52.5,27.7,4.9,62.4,1997
'005901,570,0.5,20.7,2.1,0.2,97.2,1997
'005902,977,0.1,11.0,3.6,0.4,96.2,1997
'005903,88,0.0,73.9,11.4,0.0,85.2,1997
'005904,388,0.5,27.8,12.6,12.9,86.9,1997
'006902,424,0.2,26.4,5.2,0.0,94.3,1997
'007901,515,0.0,75.3,86.2,10.5,13.8,1997
'007902,1234,0.5,60.5,52.0,4.1,47.1,1997
'007904,1213,0.2,63.6,67.8,10.2,31.8,1997
'007905,3477,0.7,58.4,57.1,3.2,41.9,1997
'007906,1664,0.2,73.2,81.1,5.4,18.6,1997
'008901,2068,15.0,24.3,11.5,3.7,73.3,1997
'008902,2244,15.2,39.0,26.1,4.9,58.2,1997
'008903,929,16.6,43.1,25.1,2.2,57.9,1997
'009901,1494,2.5,61.0,59.5,12.0,37.7,1997
'009903,120,0.0,60.8,50.0,1.7,50.0,1997
'010901,319,0.0,48.9,13.8,1.6,86.2,1997
'010902,2178,0.3,37.2,16.9,1.9,82.6,1997
'011901,5524,10.3,41.0,25.3,3.9,63.0,1997
'011902,2559,15.6,52.6,37.6,12.6,46.1,1997
'011904,1671,12.9,44.6,18.3,4.2,68.2,1997
'011905,167,3.0,55.7,33.5,19.2,62.9,1997
'012901,806,7.6,58.4,15.9,1.9,75.6,1997
'013901,4355,3.7,64.2,68.7,1.3,26.9,1997
'013902,130,1.5,52.3,60.0,6.9,38.5,1997
'013903,464,0.0,62.9,38.4,0.9,61.6,1997
'013905,750,0.8,61.3,58.7,6.4,40.5,1997
'014901,978,0.8,25.1,10.8,0.4,87.8,1997
'014902,571,19.1,57.6,37.1,5.1,43.3,1997
'014903,6365,5.1,38.2,21.0,4.8,72.9,1997
'014905,469,6.6,47.5,14.9,0.0,77.2,1997
'014906,28414,37.8,48.2,16.1,4.3,41.1,1997
'014907,859,2.6,37.5,14.8,2.0,82.5,1997
'014908,815,0.6,20.5,11.5,1.5,86.9,1997
'014909,8647,26.3,45.9,20.6,3.5,51.5,1997
'014910,1203,1.3,29.6,19.0,0.8,78.6,1997
'015801,153,2.6,79.7,96.1,0.0,1.3,1997
'015802,106,43.4,25.5,48.1,0.0,8.5,1997
'015901,4160,2.2,18.0,24.2,2.3,73.1,1997
'015904,15148,0.5,83.5,92.4,15.0,6.8,1997
'015905,14180,2.0,93.4,96.0,24.3,1.8,1997
'015906,986,18.3,32.3,12.2,0.4,64.9,1997
'015907,61361,10.8,91.1,83.7,15.8,5.2,1997
'015908,10391,1.9,91.8,93.2,21.4,4.6,1997
'015909,2330,0.1,75.7,76.3,13.6,23.2,1997
'015910,45184,8.9,35.2,34.4,3.3,54.2,1997
'015911,6903,12.0,46.9,39.2,2.9,48.3,1997
'015912,9219,4.7,74.0,80.0,14.0,14.6,1997
'015913,894,20.0,44.6,18.8,0.6,58.7,1997
'015914,1233,33.3,31.1,15.2,1.9,47.8,1997
'015915,59284,6.8,43.1,50.3,4.7,40.6,1997
'015916,15460,22.4,36.1,30.3,1.7,44.1,1997
'015917,3547,1.1,78.5,79.8,9.9,18.4,1997
'016901,644,0.0,31.7,18.5,3.4,80.4,1997
'016902,902,2.1,39.5,25.5,5.4,71.8,1997
'017901,208,0.5,30.3,21.2,6.7,76.0,1997
'018901,1210,5.3,41.6,18.1,7.2,76.5,1997
'018902,516,5.2,50.0,22.5,1.4,71.7,1997
'018903,206,0.0,82.0,33.0,6.3,67.0,1997
'018904,470,5.3,36.2,8.3,4.0,85.3,1997
'018905,229,1.3,57.6,26.6,1.3,72.1,1997
'018906,117,0.0,57.3,11.1,4.3,88.9,1997
'018907,332,0.0,44.0,4.2,0.0,95.5,1997
'018908,161,0.6,60.2,14.3,0.0,84.5,1997
'019901,1085,33.5,58.4,1.8,0.7,64.6,1997
'019902,1132,19.8,46.9,1.6,0.4,78.1,1997
'019903,450,16.4,39.8,1.3,0.0,82.2,1997
'019905,1520,22.4,37.6,1.1,0.1,75.7,1997
'019906,1168,5.2,18.8,1.5,0.0,92.8,1997
'019907,5401,49.3,56.5,2.5,1.0,47.3,1997
'019908,2682,41.8,57.1,0.9,0.3,56.8,1997
'019909,511,0.2,50.3,2.3,1.2,96.1,1997
'019910,114,0.0,60.5,0.0,0.0,100.0,1997
'019911,321,3.4,27.1,1.6,0.0,92.8,1997
'019912,1853,5.9,8.9,1.9,0.5,91.0,1997
'019913,75,0.0,36.0,5.3,0.0,93.3,1997
'019914,122,0.8,57.4,0.0,0.0,99.2,1997
'020901,11055,2.6,42.0,30.2,7.1,65.5,1997
'020902,6690,14.6,32.5,24.9,4.1,59.7,1997
'020904,752,0.9,19.1,13.8,4.9,84.8,1997
'020905,12970,8.4,35.7,32.0,8.1,58.0,1997
'020906,2246,19.2,28.3,12.2,2.0,68.2,1997
'020907,3668,16.8,30.8,14.9,2.4,68.0,1997
'020908,8896,6.0,15.7,20.1,3.8,69.9,1997
'020910,145,0.7,38.6,25.5,2.8,73.1,1997
'021901,6939,11.9,23.7,8.6,4.9,72.3,1997
'021902,13188,24.0,57.8,30.4,8.4,44.9,1997
'022004,144,0.0,85.4,67.4,41.7,31.9,1997
'022901,1288,0.9,53.3,54.6,5.7,44.0,1997
'022902,111,0.0,75.7,78.4,3.6,21.6,1997
'022903,23,0.0,0.0,47.8,4.3,52.2,1997
'023902,288,4.2,52.4,30.6,8.3,65.3,1997
'024901,1875,0.2,76.1,92.9,4.7,6.8,1997
'025901,1083,6.8,46.4,11.4,0.4,81.3,1997
'025902,4048,7.4,45.4,26.4,6.0,65.5,1997
'025904,240,1.7,53.8,19.2,0.0,79.2,1997
'025905,274,0.0,49.6,5.8,0.0,92.0,1997
'025906,172,0.0,46.5,12.2,0.0,87.8,1997
'025908,206,0.0,50.0,5.3,0.0,93.2,1997
'025909,1221,0.5,28.7,8.1,1.3,89.9,1997
'026901,1940,13.0,44.1,19.7,6.1,67.2,1997
'026902,819,29.4,57.8,14.2,2.7,56.2,1997
'026903,527,38.5,61.3,17.1,0.0,44.0,1997
'027903,2567,2.3,39.4,17.6,2.8,79.7,1997
'027904,3308,2.0,44.3,22.2,7.6,75.0,1997
'028902,4111,9.0,56.2,45.1,4.3,45.3,1997
'028903,1558,9.2,58.6,47.6,8.2,43.0,1997
'028906,194,7.2,74.7,39.7,2.6,53.1,1997
'029901,4414,3.3,43.4,47.4,6.0,44.7,1997
'030901,462,0.0,42.2,4.5,1.1,95.5,1997
'030902,1543,0.1,40.1,5.8,0.2,93.8,1997
'030903,447,0.0,32.4,14.8,0.0,83.9,1997
'030906,589,0.3,47.0,8.0,1.0,91.2,1997
'031901,40494,0.1,85.1,96.6,49.1,3.1,1997
'031903,16156,0.8,66.3,84.4,15.0,14.1,1997
'031905,2637,0.2,76.6,88.0,16.5,11.5,1997
'031906,5982,0.3,74.4,90.1,35.0,9.3,1997
'031909,2228,0.1,77.1,82.9,21.5,16.6,1997
'031911,2072,0.0,73.9,93.6,17.2,6.3,1997
'031912,8636,0.1,85.0,96.6,20.2,3.2,1997
'031913,500,0.0,98.0,99.8,41.6,0.0,1997
'031914,1206,0.1,93.6,97.3,30.8,2.5,1997
'031916,2111,0.7,54.4,73.9,8.0,21.8,1997
'032902,2100,25.9,49.9,14.7,9.2,59.3,1997
'033901,193,0.0,47.7,4.7,2.1,94.8,1997
'033902,724,0.1,21.0,9.9,1.8,89.5,1997
'033904,526,0.4,28.5,5.5,0.0,93.7,1997
'034901,2025,36.1,50.3,0.7,0.0,63.0,1997
'034902,186,28.5,54.8,2.2,0.0,69.4,1997
'034903,1006,16.8,49.3,4.1,1.0,78.6,1997
'034905,1108,27.3,45.3,0.8,0.0,71.8,1997
'034906,387,4.9,33.3,0.8,0.0,94.3,1997
'034907,1336,21.4,43.2,0.4,0.0,77.4,1997
'034908,47,40.4,74.5,0.0,0.0,59.6,1997
'034909,262,6.9,27.9,1.9,0.0,90.8,1997
'035901,1505,3.5,69.6,70.5,11.8,25.8,1997
'035902,449,2.4,79.5,79.3,24.9,18.3,1997
'035903,264,0.0,19.3,8.3,0.0,91.7,1997
'036901,1427,21.1,46.7,15.1,5.3,61.2,1997
'036902,2296,2.4,15.2,10.1,2.4,86.8,1997
'036903,1073,14.8,38.3,11.1,4.4,73.4,1997
'037901,669,40.1,65.5,7.8,6.0,52.0,1997
'037904,4634,22.7,48.9,17.4,9.5,59.4,1997
'037907,1902,18.1,45.5,6.3,3.9,75.0,1997
'037908,333,14.1,79.0,55.9,48.9,30.0,1997
'037909,281,12.5,53.0,3.2,2.5,84.3,1997
'038901,1287,7.8,44.0,28.7,2.3,62.0,1997
'039901,141,0.0,38.3,2.8,0.0,97.2,1997
'039902,1063,0.8,28.7,3.5,0.0,94.0,1997
'039903,476,0.0,26.1,6.9,1.9,92.9,1997
'039904,185,0.0,28.6,0.0,0.0,100.0,1997
'039905,174,0.0,21.8,5.2,1.7,94.3,1997
'040901,696,7.8,75.4,65.5,11.6,26.7,1997
'040902,536,1.9,51.9,41.4,5.0,56.3,1997
'041901,410,10.0,32.4,19.0,0.7,71.0,1997
'041902,356,0.0,44.4,25.6,1.4,74.2,1997
'042901,1201,4.8,54.9,22.9,2.1,71.9,1997
'042903,310,7.1,54.8,19.7,1.9,72.6,1997
'042905,247,0.0,56.7,8.9,0.0,90.7,1997
'042906,112,0.0,68.8,9.8,0.0,90.2,1997
'043901,8103,3.9,4.9,5.8,0.8,88.0,1997
'043902,844,0.0,7.6,14.5,5.9,85.5,1997
'043903,924,7.8,27.1,11.8,3.4,80.0,1997
'043904,1104,8.3,34.6,15.3,5.6,76.4,1997
'043905,3069,3.9,16.4,19.0,6.7,75.5,1997
'043907,7943,10.2,26.4,19.3,4.3,69.2,1997
'043908,326,0.0,23.0,8.3,0.0,90.2,1997
'043910,40864,5.7,10.1,7.3,6.7,77.2,1997
'043911,1913,1.5,32.4,9.1,2.0,88.6,1997
'043912,781,0.3,16.6,17.7,9.2,81.2,1997
'043914,3684,1.2,12.9,7.1,2.2,90.7,1997
'043917,433,0.5,18.7,4.6,0.0,94.7,1997
'043918,1008,2.3,32.4,7.1,3.3,90.1,1997
'043919,592,1.4,2.0,1.0,0.0,96.6,1997
'044902,691,9.1,58.3,36.0,13.9,53.4,1997
'044904,117,4.3,40.2,20.5,0.0,75.2,1997
'045902,1696,14.6,37.9,15.9,4.5,69.3,1997
'045903,1403,25.6,58.7,39.2,8.8,34.9,1997
'045905,671,21.8,44.1,20.3,7.3,57.7,1997
'046901,5841,1.5,37.3,43.3,7.4,54.8,1997
'046902,9156,0.9,31.1,18.9,1.6,79.7,1997
'047901,1366,0.3,51.0,36.2,11.7,63.1,1997
'047902,778,0.0,50.6,32.9,2.2,67.0,1997
'047903,209,0.0,60.8,29.7,16.7,70.3,1997
'047905,158,0.0,60.1,15.8,3.8,82.9,1997
'048901,404,0.0,51.2,47.5,3.7,52.2,1997
'048903,177,0.0,48.0,36.2,0.0,63.3,1997
'049901,2846,9.5,53.6,17.4,8.1,71.5,1997
'049902,464,0.4,28.9,1.5,0.0,97.4,1997
'049903,579,0.0,26.4,8.5,2.1,90.8,1997
'049905,1053,0.1,27.5,3.4,0.3,95.6,1997
'049906,392,0.0,28.6,3.3,1.0,96.2,1997
'049907,523,0.2,7.8,1.1,0.2,96.2,1997
'049908,72,1.4,72.2,8.3,0.0,90.3,1997
'049909,78,0.0,46.2,9.0,7.7,91.0,1997
'050901,321,0.3,14.6,15.9,5.9,83.2,1997
'050902,2466,4.5,32.2,10.3,0.9,84.8,1997
'050904,163,0.0,36.2,17.8,0.6,79.8,1997
'050909,232,0.0,33.6,2.2,0.4,96.6,1997
'050910,7557,25.3,35.6,10.3,1.0,59.8,1997
'051901,407,16.2,65.1,28.3,2.5,55.5,1997
'052901,1197,4.0,38.8,50.5,14.0,45.5,1997
'053001,1003,0.7,47.2,60.1,13.7,38.6,1997
'054901,561,6.6,64.3,54.2,9.3,38.9,1997
'054902,456,8.1,73.7,62.3,10.3,29.6,1997
'054903,710,1.7,75.8,69.6,9.6,28.7,1997
'055901,816,0.0,71.2,77.5,10.9,20.5,1997
'056901,1596,2.3,50.6,27.2,6.8,69.7,1997
'056902,183,0.0,48.1,19.1,1.6,80.9,1997
'057801,317,6.6,12.0,5.4,0.0,79.8,1997
'057804,221,52.0,0.0,38.9,14.0,5.9,1997
'057903,21283,8.5,28.9,25.2,14.3,53.9,1997
'057904,5806,31.6,22.5,11.2,1.5,54.5,1997
'057905,154847,41.5,75.3,45.5,30.2,11.0,1997
