DISTRICT,YEAR,D40912DR*R,DE0912DR*R,DR0912DR*R,DM0912DR*R,DF0912DR*R,D20912DR*R,DB0912DR*R,DS0912DR*R,DA0912DR*R,DI0912DR*R,DW0912DR*R,DH0912DR*R,DL0912DR*R,D30912DR*R
'001902,1998,,,,,,,,,,,,,,
'001903,1998,,,,,,,,,,,,,,
'001904,1998,,,,,,,,,,,,,,
'001906,1998,,,,,,,,,,,,,,
'001907,1998,,,,,,,,,,,,,,
'001908,1998,,,,,,,,,,,,,,
'001909,1998,,,,,,,,,,,,,,
'002901,1998,,,,,,,,,,,,,,
'003902,1998,,,,,,,,,,,,,,
'003903,1998,,,,,,,,,,,,,,
'003904,1998,,,,,,,,,,,,,,
'003905,1998,,,,,,,,,,,,,,
'003906,1998,,,,,,,,,,,,,,
'003907,1998,,,,,,,,,,,,,,
'004901,1998,,,,,,,,,,,,,,
'005901,1998,,,,,,,,,,,,,,
'005902,1998,,,,,,,,,,,,,,
'005903,1998,,,,,,,,,,,,,,
'005904,1998,,,,,,,,,,,,,,
'006902,1998,,,,,,,,,,,,,,
'007901,1998,,,,,,,,,,,,,,
'007902,1998,,,,,,,,,,,,,,
'007904,1998,,,,,,,,,,,,,,
'007905,1998,,,,,,,,,,,,,,
'007906,1998,,,,,,,,,,,,,,
'008901,1998,,,,,,,,,,,,,,
'008902,1998,,,,,,,,,,,,,,
'008903,1998,,,,,,,,,,,,,,
'009901,1998,,,,,,,,,,,,,,
'009903,1998,,,,,,,,,,,,,,
'010901,1998,,,,,,,,,,,,,,
'010902,1998,,,,,,,,,,,,,,
'011901,1998,,,,,,,,,,,,,,
'011902,1998,,,,,,,,,,,,,,
'011904,1998,,,,,,,,,,,,,,
'011905,1998,,,,,,,,,,,,,,
'012901,1998,,,,,,,,,,,,,,
'013901,1998,,,,,,,,,,,,,,
'013902,1998,,,,,,,,,,,,,,
'013903,1998,,,,,,,,,,,,,,
'013905,1998,,,,,,,,,,,,,,
'014901,1998,,,,,,,,,,,,,,
'014902,1998,,,,,,,,,,,,,,
'014903,1998,,,,,,,,,,,,,,
'014905,1998,,,,,,,,,,,,,,
'014906,1998,,,,,,,,,,,,,,
'014907,1998,,,,,,,,,,,,,,
'014908,1998,,,,,,,,,,,,,,
'014909,1998,,,,,,,,,,,,,,
'014910,1998,,,,,,,,,,,,,,
'015801,1998,,,,,,,,,,,,,,
'015802,1998,,,,,,,,,,,,,,
'015901,1998,,,,,,,,,,,,,,
'015904,1998,,,,,,,,,,,,,,
'015905,1998,,,,,,,,,,,,,,
'015906,1998,,,,,,,,,,,,,,
'015907,1998,,,,,,,,,,,,,,
'015908,1998,,,,,,,,,,,,,,
'015909,1998,,,,,,,,,,,,,,
'015910,1998,,,,,,,,,,,,,,
'015911,1998,,,,,,,,,,,,,,
'015912,1998,,,,,,,,,,,,,,
'015913,1998,,,,,,,,,,,,,,
'015914,1998,,,,,,,,,,,,,,
'015915,1998,,,,,,,,,,,,,,
'015916,1998,,,,,,,,,,,,,,
'015917,1998,,,,,,,,,,,,,,
'016901,1998,,,,,,,,,,,,,,
'016902,1998,,,,,,,,,,,,,,
'017901,1998,,,,,,,,,,,,,,
'018901,1998,,,,,,,,,,,,,,
'018902,1998,,,,,,,,,,,,,,
'018903,1998,,,,,,,,,,,,,,
'018904,1998,,,,,,,,,,,,,,
'018905,1998,,,,,,,,,,,,,,
'018906,1998,,,,,,,,,,,,,,
'018907,1998,,,,,,,,,,,,,,
'018908,1998,,,,,,,,,,,,,,
'019901,1998,,,,,,,,,,,,,,
'019902,1998,,,,,,,,,,,,,,
'019903,1998,,,,,,,,,,,,,,
'019905,1998,,,,,,,,,,,,,,
'019906,1998,,,,,,,,,,,,,,
'019907,1998,,,,,,,,,,,,,,
'019908,1998,,,,,,,,,,,,,,
'019909,1998,,,,,,,,,,,,,,
'019910,1998,,,,,,,,,,,,,,
'019911,1998,,,,,,,,,,,,,,
'019912,1998,,,,,,,,,,,,,,
'019913,1998,,,,,,,,,,,,,,
'019914,1998,,,,,,,,,,,,,,
'020901,1998,,,,,,,,,,,,,,
'020902,1998,,,,,,,,,,,,,,
'020904,1998,,,,,,,,,,,,,,
'020905,1998,,,,,,,,,,,,,,
'020906,1998,,,,,,,,,,,,,,
'020907,1998,,,,,,,,,,,,,,
'020908,1998,,,,,,,,,,,,,,
'020910,1998,,,,,,,,,,,,,,
'021901,1998,,,,,,,,,,,,,,
'021902,1998,,,,,,,,,,,,,,
'022004,1998,,,,,,,,,,,,,,
'022901,1998,,,,,,,,,,,,,,
'022902,1998,,,,,,,,,,,,,,
'022903,1998,,,,,,,,,,,,,,
'023902,1998,,,,,,,,,,,,,,
'024901,1998,,,,,,,,,,,,,,
'025901,1998,,,,,,,,,,,,,,
'025902,1998,,,,,,,,,,,,,,
'025904,1998,,,,,,,,,,,,,,
'025905,1998,,,,,,,,,,,,,,
'025906,1998,,,,,,,,,,,,,,
'025908,1998,,,,,,,,,,,,,,
'025909,1998,,,,,,,,,,,,,,
'026901,1998,,,,,,,,,,,,,,
'026902,1998,,,,,,,,,,,,,,
'026903,1998,,,,,,,,,,,,,,
'027903,1998,,,,,,,,,,,,,,
'027904,1998,,,,,,,,,,,,,,
'028902,1998,,,,,,,,,,,,,,
'028903,1998,,,,,,,,,,,,,,
'028906,1998,,,,,,,,,,,,,,
'029901,1998,,,,,,,,,,,,,,
'030901,1998,,,,,,,,,,,,,,
'030902,1998,,,,,,,,,,,,,,
'030903,1998,,,,,,,,,,,,,,
'030906,1998,,,,,,,,,,,,,,
'031901,1998,,,,,,,,,,,,,,
'031903,1998,,,,,,,,,,,,,,
'031905,1998,,,,,,,,,,,,,,
'031906,1998,,,,,,,,,,,,,,
'031909,1998,,,,,,,,,,,,,,
'031911,1998,,,,,,,,,,,,,,
'031912,1998,,,,,,,,,,,,,,
'031913,1998,,,,,,,,,,,,,,
'031914,1998,,,,,,,,,,,,,,
'031916,1998,,,,,,,,,,,,,,
'032902,1998,,,,,,,,,,,,,,
'033901,1998,,,,,,,,,,,,,,
'033902,1998,,,,,,,,,,,,,,
'033904,1998,,,,,,,,,,,,,,
'034901,1998,,,,,,,,,,,,,,
'034902,1998,,,,,,,,,,,,,,
'034903,1998,,,,,,,,,,,,,,
'034905,1998,,,,,,,,,,,,,,
'034906,1998,,,,,,,,,,,,,,
'034907,1998,,,,,,,,,,,,,,
'034908,1998,,,,,,,,,,,,,,
'034909,1998,,,,,,,,,,,,,,
'035901,1998,,,,,,,,,,,,,,
'035902,1998,,,,,,,,,,,,,,
'035903,1998,,,,,,,,,,,,,,
'036901,1998,,,,,,,,,,,,,,
'036902,1998,,,,,,,,,,,,,,
'036903,1998,,,,,,,,,,,,,,
'037901,1998,,,,,,,,,,,,,,
'037904,1998,,,,,,,,,,,,,,
'037907,1998,,,,,,,,,,,,,,
'037908,1998,,,,,,,,,,,,,,
'037909,1998,,,,,,,,,,,,,,
'038901,1998,,,,,,,,,,,,,,
'039901,1998,,,,,,,,,,,,,,
'039902,1998,,,,,,,,,,,,,,
'039903,1998,,,,,,,,,,,,,,
'039904,1998,,,,,,,,,,,,,,
'039905,1998,,,,,,,,,,,,,,
'040901,1998,,,,,,,,,,,,,,
'040902,1998,,,,,,,,,,,,,,
'041901,1998,,,,,,,,,,,,,,
'041902,1998,,,,,,,,,,,,,,
'042901,1998,,,,,,,,,,,,,,
'042903,1998,,,,,,,,,,,,,,
'042905,1998,,,,,,,,,,,,,,
'042906,1998,,,,,,,,,,,,,,
'043901,1998,,,,,,,,,,,,,,
'043902,1998,,,,,,,,,,,,,,
'043903,1998,,,,,,,,,,,,,,
'043904,1998,,,,,,,,,,,,,,
'043905,1998,,,,,,,,,,,,,,
'043907,1998,,,,,,,,,,,,,,
'043908,1998,,,,,,,,,,,,,,
'043910,1998,,,,,,,,,,,,,,
'043911,1998,,,,,,,,,,,,,,
'043912,1998,,,,,,,,,,,,,,
'043914,1998,,,,,,,,,,,,,,
'043917,1998,,,,,,,,,,,,,,
'043918,1998,,,,,,,,,,,,,,
'043919,1998,,,,,,,,,,,,,,
'044902,1998,,,,,,,,,,,,,,
'044904,1998,,,,,,,,,,,,,,
'045902,1998,,,,,,,,,,,,,,
'045903,1998,,,,,,,,,,,,,,
'045905,1998,,,,,,,,,,,,,,
'046901,1998,,,,,,,,,,,,,,
'046902,1998,,,,,,,,,,,,,,
'047901,1998,,,,,,,,,,,,,,
'047902,1998,,,,,,,,,,,,,,
'047903,1998,,,,,,,,,,,,,,
'047905,1998,,,,,,,,,,,,,,
'048901,1998,,,,,,,,,,,,,,
'048903,1998,,,,,,,,,,,,,,
'049901,1998,,,,,,,,,,,,,,
'049902,1998,,,,,,,,,,,,,,
'049903,1998,,,,,,,,,,,,,,
'049905,1998,,,,,,,,,,,,,,
'049906,1998,,,,,,,,,,,,,,
'049907,1998,,,,,,,,,,,,,,
'049908,1998,,,,,,,,,,,,,,
'049909,1998,,,,,,,,,,,,,,
'050901,1998,,,,,,,,,,,,,,
'050902,1998,,,,,,,,,,,,,,
'050904,1998,,,,,,,,,,,,,,
'050909,1998,,,,,,,,,,,,,,
'050910,1998,,,,,,,,,,,,,,
'051901,1998,,,,,,,,,,,,,,
'052901,1998,,,,,,,,,,,,,,
'053001,1998,,,,,,,,,,,,,,
'054901,1998,,,,,,,,,,,,,,
'054902,1998,,,,,,,,,,,,,,
'054903,1998,,,,,,,,,,,,,,
'055901,1998,,,,,,,,,,,,,,
'056901,1998,,,,,,,,,,,,,,
'056902,1998,,,,,,,,,,,,,,
'057801,1998,,,,,,,,,,,,,,
'057802,1998,,,,,,,,,,,,,,
'057803,1998,,,,,,,,,,,,,,
'057804,1998,,,,,,,,,,,,,,
'057903,1998,,,,,,,,,,,,,,
'057904,1998,,,,,,,,,,,,,,
'057905,1998,,,,,,,,,,,,,,
'057906,1998,,,,,,,,,,,,,,
'057907,1998,,,,,,,,,,,,,,
'057909,1998,,,,,,,,,,,,,,
