CAMPUS,YEAR,CFGC4*R,CAGC4*R,CSGC4*R,CMGC4*R,CRGC4*R,C3GC4*R,C2GC4*R,CHGC4*R,CIGC4*R,CWGC4*R,CLGC4*R,C4GC4*R,CEGC4*R
'001902001,2007,93.8,90.3,-1,86.7,,,,-1,.,91.3,.,,72.7
'001902041,2007,.,.,.,.,,,,.,.,.,.,,.
'001902103,2007,.,.,.,.,,,,.,.,.,.,,.
'001903001,2007,91.4,95.2,100,97.9,,,,-1,.,94.7,.,,100
'001903041,2007,.,.,.,.,,,,.,.,.,.,,.
'001903101,2007,.,.,.,.,,,,.,.,.,.,,.
'001904001,2007,100,100,100,100,,,,-1,.,100,.,,100
'001904041,2007,.,.,.,.,,,,.,.,.,.,,.
'001904102,2007,.,.,.,.,,,,.,.,.,.,,.
'001906002,2007,100,100,-1,100,,,,.,.,100,.,,.
'001906102,2007,.,.,.,.,,,,.,.,.,.,,.
'001907001,2007,83.8,83.6,80.6,83.5,,,,81.6,-1,86.5,60,,69.8
'001907041,2007,.,.,.,.,,,,.,.,.,.,,.
'001907101,2007,.,.,.,.,,,,.,.,.,.,,.
'001907107,2007,.,.,.,.,,,,.,.,.,.,,.
'001907110,2007,.,.,.,.,,,,.,.,.,.,,.
'001908002,2007,87.1,88,86.7,89.4,,,,71.4,.,89.9,.,,86.4
'001908041,2007,.,.,.,.,,,,.,.,.,.,,.
'001908101,2007,.,.,.,.,,,,.,.,.,.,,.
'001908102,2007,.,.,.,.,,,,.,.,.,.,,.
'001909001,2007,100,84.6,87.5,71.4,,,,-1,.,87.5,.,,80
'001909101,2007,.,.,.,.,,,,.,.,.,.,,.
'002901001,2007,96.7,90.3,85.2,85.2,,,,88,.,91.8,-1,,81.3
'002901002,2007,.,-1,.,-1,,,,.,.,.,.,,.
'002901041,2007,.,.,.,.,,,,.,.,.,.,,.
'002901101,2007,.,.,.,.,,,,.,.,.,.,,.
'002901103,2007,.,.,.,.,,,,.,.,.,.,,.
'002901104,2007,.,.,.,.,,,,.,.,.,.,,.
'002901105,2007,.,.,.,.,,,,.,.,.,.,,.
'003801001,2007,.,.,.,.,,,,.,.,.,.,,.
'003902001,2007,94.2,91.5,76.5,88.9,,,,88.9,.,92.6,-1,,88.7
'003902004,2007,22.2,22.2,-1,22.2,,,,-1,.,26.7,.,,-1
'003902041,2007,.,.,.,.,,,,.,.,.,.,,.
'003902101,2007,.,.,.,.,,,,.,.,.,.,,.
'003902102,2007,.,.,.,.,,,,.,.,.,.,,.
'003903001,2007,92.1,85.9,77.4,80.6,,,,76.6,.,94.6,46.2,,82.5
'003903004,2007,.,.,.,.,,,,.,.,.,.,,.
'003903044,2007,.,.,.,.,,,,.,.,.,.,,.
'003903120,2007,.,.,.,.,,,,.,.,.,.,,.
'003903121,2007,.,.,.,.,,,,.,.,.,.,,.
'003903122,2007,.,.,.,.,,,,.,.,.,.,,.
'003903123,2007,.,.,.,.,,,,.,.,.,.,,.
'003903124,2007,.,.,.,.,,,,.,.,.,.,,.
'003903125,2007,.,.,.,.,,,,.,.,.,.,,.
'003903126,2007,.,.,.,.,,,,.,.,.,.,,.
'003903127,2007,.,.,.,.,,,,.,.,.,.,,.
'003903128,2007,.,.,.,.,,,,.,.,.,.,,.
'003903129,2007,.,.,.,.,,,,.,.,.,.,,.
'003903130,2007,.,.,.,.,,,,.,.,.,.,,.
'003903140,2007,86.8,79.8,74.8,74,,,,68.5,.,88.5,41.4,,78.8
'003903141,2007,86.8,79.8,74.8,74,,,,68.5,.,88.5,41.4,,78.8
'003903201,2007,-1,-1,.,-1,,,,.,.,-1,.,,-1
'003904001,2007,100,96.2,94.1,92.2,,,,-1,.,96,.,,87.5
'003904005,2007,65.2,68.4,83.3,73.3,,,,.,.,71.4,.,,76.2
'003904041,2007,.,.,.,.,,,,.,.,.,.,,.
'003904101,2007,.,.,.,.,,,,.,.,.,.,,.
'003904102,2007,.,.,.,.,,,,.,.,.,.,,.
'003905001,2007,93.1,94,90,94.9,,,,100,.,88.2,100,,95.7
'003905004,2007,87.1,88.7,90,90.3,,,,94.2,.,83.3,85.7,,94.3
'003905005,2007,.,.,.,.,,,,.,.,.,.,,.
'003905041,2007,.,.,.,.,,,,.,.,.,.,,.
'003905101,2007,.,.,.,.,,,,.,.,.,.,,.
'003905102,2007,.,.,.,.,,,,.,.,.,.,,.
'003906001,2007,83.3,83.9,100,84.2,,,,.,.,83.9,.,,80
'003906101,2007,.,.,.,.,,,,.,.,.,.,,.
'003907001,2007,98.4,97.2,95.7,95.5,,,,83.3,.,99,.,,96.6
'003907004,2007,-1,40,33.3,46.2,,,,-1,.,38.5,.,,-1
'003907041,2007,.,.,.,.,,,,.,.,.,.,,.
'003907101,2007,.,.,.,.,,,,.,.,.,.,,.
'003907102,2007,.,.,.,.,,,,.,.,.,.,,.
'004901001,2007,97.1,93.1,92.6,89.3,,,,94.6,.,92.2,-1,,91
'004901041,2007,.,.,.,.,,,,.,.,.,.,,.
'004901101,2007,.,.,.,.,,,,.,.,.,.,,.
'004901102,2007,.,.,.,.,,,,.,.,.,.,,.
'004901103,2007,.,.,.,.,,,,.,.,.,.,,.
'005901001,2007,100,98.1,100,96.9,,,,.,.,98.1,.,,85.7
'005901101,2007,.,.,.,.,,,,.,.,.,.,,.
'005902001,2007,96,96.7,-1,97.1,,,,-1,.,96.5,.,,71.4
'005902041,2007,.,.,.,.,,,,.,.,.,.,,.
'005902101,2007,.,.,.,.,,,,.,.,.,.,,.
'005904001,2007,100,100,-1,100,,,,100,.,100,-1,,100
'005904101,2007,.,.,.,.,,,,.,.,.,.,,.
'006902001,2007,88.2,92.3,-1,100,,,,-1,.,92,.,,85.7
'006902101,2007,.,.,.,.,,,,.,.,.,.,,.
