DISTRICT,YEAR,DAGC4*R,DFGC4*R,DRGC4*R,DIGC4*R,DEGC4*R,D2GC4*R,D3GC4*R,DMGC4*R,D4GC4*R,DWGC4*R,DLGC4*R,DHGC4*R,DSGC4*R
'001902,2007.0,90.3,93.8,66.7,.,72.7,,,86.7,,91.3,.,-1,-1
'001903,2007.0,95.2,91.4,82.4,.,100,,,97.9,,94.7,.,-1,100
'001904,2007.0,100,100,100,.,100,,,100,,100,.,-1,100
'001906,2007.0,100,100,-1,.,.,,,100,,100,.,.,-1
'001907,2007.0,83.6,83.8,75.2,-1,69.8,,,83.5,,86.5,60,81.6,80.6
'001908,2007.0,88,87.1,84.5,.,86.4,,,89.4,,89.9,.,71.4,86.7
'001909,2007.0,84.6,100,83.3,.,80,,,71.4,,87.5,.,-1,87.5
'002901,2007.0,89.9,96.7,81.8,.,81.3,,,84.5,,91.8,-1,88,85.2
'003801,2007.0,.,.,.,.,.,,,.,,.,.,.,.
'003902,2007.0,83.6,85.9,67.7,.,85.7,,,81.5,,84.6,-1,82.8,73.7
'003903,2007.0,79.8,86.8,63.4,.,78.8,,,74,,88.5,41.4,68.5,74.8
'003904,2007.0,88.7,89.5,83.3,.,82.2,,,87.9,,89.6,.,-1,89.7
'003905,2007.0,88.7,87.1,83.8,.,94.3,,,90.3,,83.3,85.7,94.2,90
'003906,2007.0,83.9,83.3,70,.,80,,,84.2,,83.9,.,.,100
'003907,2007.0,90.2,95.4,85.7,.,93.5,,,84.2,,91.7,.,75,82.8
'004901,2007.0,87.3,91.8,83.1,.,85.4,,,82.9,,86.4,-1,88,86.2
'005901,2007.0,98.1,100,96.2,.,85.7,,,96.9,,98.1,.,.,100
'005902,2007.0,96.7,96,84.6,.,71.4,,,97.1,,96.5,.,-1,-1
'005904,2007.0,100,100,-1,.,100,,,100,,100,-1,100,-1
'006902,2007.0,92.3,88.2,87.5,.,85.7,,,100,,92,.,-1,-1
'007901,2007.0,88.2,82.4,76.5,.,83.3,,,94.1,,100,.,85.7,85.7
'007902,2007.0,86.2,87.3,84.7,.,83.3,,,84.4,,89.2,-1,84,68.8
'007904,2007.0,83.8,85.3,78.7,-1,80,,,82.6,,82.1,-1,84.3,88.2
'007905,2007.0,78,79.3,65.7,.,71,,,76.7,,84,-1,74.8,70.6
'007906,2007.0,85.6,82.8,70.5,.,82.7,,,88.5,,85,50,85.3,90.3
'008901,2007.0,92.2,92.5,86.7,.,96.6,,,92,,96,-1,91.7,100
'008902,2007.0,92.4,93.3,81,.,89.6,,,91.5,,93.3,100,86.7,96.6
'008903,2007.0,84.3,89.5,52.9,.,85.7,,,81.3,,85.7,.,87.5,87.5
'009901,2007.0,90.7,90,79.5,.,82.9,,,91.3,,96.6,71.4,87.5,90
'010901,2007.0,95.5,87.5,90,.,100,,,100,,94.4,.,-1,100
'010902,2007.0,86.1,88.4,72.8,-1,81.4,,,83.9,,87.4,-1,77.4,71.4
'011901,2007.0,81.6,88.2,70.4,.,75.7,,,75.7,,86.5,75,71.1,77.5
'011902,2007.0,80.9,83,63.5,-1,71.7,,,79.1,,85.7,33.3,77.8,80.5
'011904,2007.0,87,90.5,74,.,74.5,,,84,,89.3,-1,72.7,85.2
'011905,2007.0,.,.,.,.,.,,,.,,.,.,.,.
'012901,2007.0,93,100,85.7,.,92.9,,,87.5,,91.4,-1,-1,100
'013801,2007.0,.,.,.,.,.,,,.,,.,.,.,.
'013901,2007.0,82.4,83.5,72,.,75.2,,,81.3,,87.1,60,80.2,78.6
'013902,2007.0,.,.,.,.,.,,,.,,.,.,.,.
'013903,2007.0,94.3,100,90.5,.,95.5,,,87.5,,95.5,-1,91.7,87.5
'013905,2007.0,90.9,90,81.8,.,90.9,,,91.7,,94.4,-1,88.5,100
'014801,2007.0,50.8,57.6,44.2,.,53.6,,,43.8,,56.5,.,66.7,-1
'014802,2007.0,70.7,77.3,68.6,.,43.8,,,63.2,,92.3,.,66.7,62.5
'014803,2007.0,-1,-1,-1,.,-1,,,-1,,-1,.,.,-1
'014804,2007.0,22.2,-1,28.6,.,40,,,20,,-1,.,-1,-1
'014901,2007.0,96.3,97.3,91.4,.,93.3,,,95.6,,98.5,.,84.6,100
'014902,2007.0,89.7,100,90.5,-1,84.2,,,82.4,,100,.,92.3,84.6
'014903,2007.0,84.3,84.4,79.2,71.4,77.9,,,84.2,,84.7,62.5,82.1,82.7
'014905,2007.0,87.5,94.1,87.5,.,83.3,,,71.4,,88.9,.,83.3,-1
'014906,2007.0,79.8,83.6,74.3,66.7,73.5,,,76.1,,81.6,57.8,74.7,71.1
'014907,2007.0,97.9,96,91.7,-1,91.7,,,100,,100,-1,93.8,100
'014908,2007.0,91,97.7,84.6,-1,72.7,,,86,,91.9,-1,81.8,100
'014909,2007.0,80.7,84.1,70.2,-1,66.9,,,77.5,,85.4,27.3,78.6,80.2
'014910,2007.0,87.4,92.7,84.3,-1,72.2,,,82.6,,87,.,93.3,78.9
'015801,2007.0,39.8,40.3,29.6,.,38.5,,,39,,64.3,-1,36,54.5
'015802,2007.0,17.7,22.9,16.7,.,16.8,,,11.1,,44.4,.,10.2,26.7
'015803,2007.0,.,.,.,.,.,,,.,,.,.,.,.
'015805,2007.0,.,.,.,.,.,,,.,,.,.,.,.
'015806,2007.0,63.9,75,63,.,54.5,,,50,,-1,-1,65.2,55.6
