CAMPUS,YEAR,CAHEE*R,CAHEC#R,CAHEC*R,CAHEE#R
'001902001,1998,,,,
'001902041,1998,,,,
'001902103,1998,,,,
'001903001,1998,,,,
'001903041,1998,,,,
'001903101,1998,,,,
'001904001,1998,,,,
'001904041,1998,,,,
'001904102,1998,,,,
'001906002,1998,,,,
'001906102,1998,,,,
'001907001,1998,,,,
'001907002,1998,,,,
'001907041,1998,,,,
'001907042,1998,,,,
'001907101,1998,,,,
'001907104,1998,,,,
'001907107,1998,,,,
'001907110,1998,,,,
'001908002,1998,,,,
'001908041,1998,,,,
'001908101,1998,,,,
'001908102,1998,,,,
'001909001,1998,,,,
'001909101,1998,,,,
'002901001,1998,,,,
'002901002,1998,,,,
'002901041,1998,,,,
'002901101,1998,,,,
'002901102,1998,,,,
'002901103,1998,,,,
'002901104,1998,,,,
'002901105,1998,,,,
'003902001,1998,,,,
'003902004,1998,,,,
'003902041,1998,,,,
'003902102,1998,,,,
'003903002,1998,,,,
'003903004,1998,,,,
'003903041,1998,,,,
'003903042,1998,,,,
'003903043,1998,,,,
'003903103,1998,,,,
'003903104,1998,,,,
'003903105,1998,,,,
'003903106,1998,,,,
'003903107,1998,,,,
'003903109,1998,,,,
'003903110,1998,,,,
'003903112,1998,,,,
'003903114,1998,,,,
'003903115,1998,,,,
'003903116,1998,,,,
'003903117,1998,,,,
'003903201,1998,,,,
'003904001,1998,,,,
'003904005,1998,,,,
'003904041,1998,,,,
'003904101,1998,,,,
'003904102,1998,,,,
'003905001,1998,,,,
'003905004,1998,,,,
'003905041,1998,,,,
'003905101,1998,,,,
'003905102,1998,,,,
'003906001,1998,,,,
'003906101,1998,,,,
'003907001,1998,,,,
'003907004,1998,,,,
'003907041,1998,,,,
'003907101,1998,,,,
'003907102,1998,,,,
'004901001,1998,,,,
'004901041,1998,,,,
'004901042,1998,,,,
'004901101,1998,,,,
'004901102,1998,,,,
'004901103,1998,,,,
'005901001,1998,,,,
'005901101,1998,,,,
'005902001,1998,,,,
'005902041,1998,,,,
'005902101,1998,,,,
'005903001,1998,,,,
'005903101,1998,,,,
'005904001,1998,,,,
'005904101,1998,,,,
'006902001,1998,,,,
'006902101,1998,,,,
'007901001,1998,,,,
'007901002,1998,,,,
'007901041,1998,,,,
'007901101,1998,,,,
'007902001,1998,,,,
'007902002,1998,,,,
'007902004,1998,,,,
'007902041,1998,,,,
'007902101,1998,,,,
'007904001,1998,,,,
'007904002,1998,,,,
'007904041,1998,,,,
'007904101,1998,,,,
'007905001,1998,,,,
'007905003,1998,,,,
'007905004,1998,,,,
'007905041,1998,,,,
'007905042,1998,,,,
'007905101,1998,,,,
'007905102,1998,,,,
'007905103,1998,,,,
'007905104,1998,,,,
'007905105,1998,,,,
'007906001,1998,,,,
'007906002,1998,,,,
'007906003,1998,,,,
'007906041,1998,,,,
'007906101,1998,,,,
'008901001,1998,,,,
'008901041,1998,,,,
'008901101,1998,,,,
'008901102,1998,,,,
'008901105,1998,,,,
'008902001,1998,,,,
'008902041,1998,,,,
'008902102,1998,,,,
'008902103,1998,,,,
'008903001,1998,,,,
'008903041,1998,,,,
'008903101,1998,,,,
'008903102,1998,,,,
'009901001,1998,,,,
'009901041,1998,,,,
'009901101,1998,,,,
'009901103,1998,,,,
'009903001,1998,,,,
'010901001,1998,,,,
'010901101,1998,,,,
'010902001,1998,,,,
'010902041,1998,,,,
'010902101,1998,,,,
'010902102,1998,,,,
'011901001,1998,,,,
'011901022,1998,,,,
'011901033,1998,,,,
'011901038,1998,,,,
'011901041,1998,,,,
'011901101,1998,,,,
'011901102,1998,,,,
'011901103,1998,,,,
'011901104,1998,,,,
'011901105,1998,,,,
'011902001,1998,,,,
'011902002,1998,,,,
'011902041,1998,,,,
'011902101,1998,,,,
'011902102,1998,,,,
'011904002,1998,,,,
'011904039,1998,,,,
'011904041,1998,,,,
'011904101,1998,,,,
'011904102,1998,,,,
'011905101,1998,,,,
'012901001,1998,,,,
'012901101,1998,,,,
'013901001,1998,,,,
'013901002,1998,,,,
'013901041,1998,,,,
'013901101,1998,,,,
'013901102,1998,,,,
'013901104,1998,,,,
'013901105,1998,,,,
'013901106,1998,,,,
'013902101,1998,,,,
'013903001,1998,,,,
'013903101,1998,,,,
'013905001,1998,,,,
'013905041,1998,,,,
'013905101,1998,,,,
'014901001,1998,,,,
'014901041,1998,,,,
'014901101,1998,,,,
'014902001,1998,,,,
'014902041,1998,,,,
'014902101,1998,,,,
'014903001,1998,,,,
'014903041,1998,,,,
'014903102,1998,,,,
'014903103,1998,,,,
'014903104,1998,,,,
'014903107,1998,,,,
'014903108,1998,,,,
'014903109,1998,,,,
'014903110,1998,,,,
'014905001,1998,,,,
'014905041,1998,,,,
'014905101,1998,,,,
'014906001,1998,,,,
'014906002,1998,,,,
'014906004,1998,,,,
'014906006,1998,,,,
'014906009,1998,,,,
'014906011,1998,,,,
'014906012,1998,,,,
'014906022,1998,,,,
'014906023,1998,,,,
'014906025,1998,,,,
'014906041,1998,,,,
'014906042,1998,,,,
'014906043,1998,,,,
'014906044,1998,,,,
'014906045,1998,,,,
'014906046,1998,,,,
'014906048,1998,,,,
'014906102,1998,,,,
'014906103,1998,,,,
'014906104,1998,,,,
'014906105,1998,,,,
'014906106,1998,,,,
'014906108,1998,,,,
'014906109,1998,,,,
'014906110,1998,,,,
'014906111,1998,,,,
'014906112,1998,,,,
'014906113,1998,,,,
'014906114,1998,,,,
'014906115,1998,,,,
'014906116,1998,,,,
'014906117,1998,,,,
'014906119,1998,,,,
'014906120,1998,,,,
'014906121,1998,,,,
'014906122,1998,,,,
'014906123,1998,,,,
'014906124,1998,,,,
'014906125,1998,,,,
'014906126,1998,,,,
'014907001,1998,,,,
'014907041,1998,,,,
'014907102,1998,,,,
'014908001,1998,,,,
'014908101,1998,,,,
'014909002,1998,,,,
'014909041,1998,,,,
'014909042,1998,,,,
'014909044,1998,,,,
'014909101,1998,,,,
'014909102,1998,,,,
'014909104,1998,,,,
'014909105,1998,,,,
'014909106,1998,,,,
'014909107,1998,,,,
'014909108,1998,,,,
'014909109,1998,,,,
'014909110,1998,,,,
'014909111,1998,,,,
'014909113,1998,,,,
'014909114,1998,,,,
'014909115,1998,,,,
'014910001,1998,,,,
'014910041,1998,,,,
'014910101,1998,,,,
'015801001,1998,,,,
'015802001,1998,,,,
'015901001,1998,,,,
'015901002,1998,,,,
'015901041,1998,,,,
'015901101,1998,,,,
'015901102,1998,,,,
'015901104,1998,,,,
'015904001,1998,,,,
'015904002,1998,,,,
'015904003,1998,,,,
'015904004,1998,,,,
'015904006,1998,,,,
'015904007,1998,,,,
'015904041,1998,,,,
'015904042,1998,,,,
'015904043,1998,,,,
'015904044,1998,,,,
'015904101,1998,,,,
'015904102,1998,,,,
'015904103,1998,,,,
'015904104,1998,,,,
'015904105,1998,,,,
'015904106,1998,,,,
'015904107,1998,,,,
'015904108,1998,,,,
'015904109,1998,,,,
'015904110,1998,,,,
'015904111,1998,,,,
'015904113,1998,,,,
'015904114,1998,,,,
'015904115,1998,,,,
'015904116,1998,,,,
'015905002,1998,,,,
'015905003,1998,,,,
'015905006,1998,,,,
'015905011,1998,,,,
'015905041,1998,,,,
'015905044,1998,,,,
'015905045,1998,,,,
'015905046,1998,,,,
'015905047,1998,,,,
'015905101,1998,,,,
'015905102,1998,,,,
'015905104,1998,,,,
'015905105,1998,,,,
'015905106,1998,,,,
'015905107,1998,,,,
'015905108,1998,,,,
'015905109,1998,,,,
'015905110,1998,,,,
'015905112,1998,,,,
'015905113,1998,,,,
'015905114,1998,,,,
'015905115,1998,,,,
'015905116,1998,,,,
'015905117,1998,,,,
'015905118,1998,,,,
'015906001,1998,,,,
'015906041,1998,,,,
'015906101,1998,,,,
