CAMPUS,YEAR,CA0GM*R,CA0GM*N
'001902001,1997,,
'001902041,1997,,
'001902103,1997,,
'001903001,1997,,
'001903041,1997,,
'001903101,1997,,
'001904001,1997,,
'001904041,1997,,
'001904102,1997,,
'001906002,1997,,
'001906102,1997,,
'001907001,1997,,
'001907002,1997,,
'001907041,1997,,
'001907042,1997,,
'001907101,1997,,
'001907104,1997,,
'001907107,1997,,
'001907108,1997,,
'001907110,1997,,
'001908002,1997,,
'001908041,1997,,
'001908101,1997,,
'001908102,1997,,
'001909001,1997,,
'001909101,1997,,
'002901001,1997,,
'002901041,1997,,
'002901101,1997,,
'002901102,1997,,
'002901103,1997,,
'002901104,1997,,
'002901105,1997,,
'003902001,1997,,
'003902004,1997,,
'003902041,1997,,
'003902102,1997,,
'003903002,1997,,
'003903004,1997,,
'003903041,1997,,
'003903042,1997,,
'003903043,1997,,
'003903103,1997,,
'003903104,1997,,
'003903105,1997,,
'003903106,1997,,
'003903107,1997,,
'003903109,1997,,
'003903110,1997,,
'003903112,1997,,
'003903114,1997,,
'003903115,1997,,
'003903116,1997,,
'003903117,1997,,
'003903201,1997,,
'003904001,1997,,
'003904005,1997,,
'003904041,1997,,
'003904101,1997,,
'003904102,1997,,
'003905001,1997,,
'003905041,1997,,
'003905101,1997,,
'003905102,1997,,
'003906001,1997,,
'003906101,1997,,
'003907001,1997,,
'003907004,1997,,
'003907041,1997,,
'003907101,1997,,
'003907102,1997,,
'004901001,1997,,
'004901041,1997,,
'004901042,1997,,
'004901101,1997,,
'004901102,1997,,
'004901103,1997,,
'005901001,1997,,
'005901101,1997,,
'005902001,1997,,
'005902041,1997,,
'005902101,1997,,
'005903001,1997,,
'005903101,1997,,
'005904001,1997,,
'005904101,1997,,
'006902001,1997,,
'006902101,1997,,
'007901001,1997,,
'007901041,1997,,
'007901101,1997,,
'007902001,1997,,
'007902002,1997,,
'007902041,1997,,
'007902101,1997,,
'007904001,1997,,
'007904002,1997,,
'007904041,1997,,
'007904101,1997,,
'007905001,1997,,
'007905003,1997,,
'007905041,1997,,
'007905042,1997,,
'007905101,1997,,
'007905102,1997,,
'007905103,1997,,
'007905104,1997,,
'007906001,1997,,
'007906002,1997,,
'007906003,1997,,
'007906041,1997,,
'007906101,1997,,
'008901001,1997,,
'008901041,1997,,
'008901101,1997,,
'008901102,1997,,
'008901105,1997,,
'008902001,1997,,
'008902041,1997,,
'008902102,1997,,
'008902103,1997,,
'008903001,1997,,
'008903041,1997,,
'008903101,1997,,
'008903102,1997,,
'009901001,1997,,
'009901041,1997,,
'009901101,1997,,
'009901103,1997,,
'009903001,1997,,
'010901001,1997,,
'010901101,1997,,
'010902001,1997,,
'010902041,1997,,
'010902101,1997,,
'010902102,1997,,
'011901001,1997,,
'011901022,1997,,
'011901033,1997,,
'011901038,1997,,
'011901041,1997,,
'011901101,1997,,
'011901102,1997,,
'011901103,1997,,
'011901104,1997,,
'011901105,1997,,
'011902001,1997,,
'011902002,1997,,
'011902041,1997,,
'011902101,1997,,
'011902102,1997,,
'011904002,1997,,
'011904039,1997,,
'011904041,1997,,
'011904101,1997,,
'011904102,1997,,
'011905101,1997,,
'012901001,1997,,
'012901101,1997,,
'013901001,1997,,
'013901002,1997,,
'013901041,1997,,
'013901101,1997,,
'013901102,1997,,
'013901104,1997,,
'013901105,1997,,
'013901106,1997,,
'013902101,1997,,
'013903001,1997,,
'013903101,1997,,
'013905001,1997,,
'013905041,1997,,
'013905101,1997,,
'014901001,1997,,
'014901041,1997,,
'014901101,1997,,
'014902001,1997,,
'014902041,1997,,
'014902101,1997,,
'014903001,1997,,
'014903041,1997,,
'014903102,1997,,
'014903103,1997,,
'014903104,1997,,
'014903107,1997,,
'014903108,1997,,
'014903109,1997,,
'014903110,1997,,
'014905001,1997,,
'014905041,1997,,
'014905101,1997,,
'014906001,1997,,
'014906002,1997,,
'014906004,1997,,
'014906006,1997,,
'014906009,1997,,
'014906011,1997,,
'014906012,1997,,
'014906022,1997,,
'014906023,1997,,
'014906041,1997,,
'014906042,1997,,
'014906043,1997,,
'014906044,1997,,
'014906045,1997,,
'014906046,1997,,
'014906048,1997,,
'014906102,1997,,
'014906103,1997,,
'014906104,1997,,
'014906105,1997,,
'014906106,1997,,
'014906108,1997,,
'014906109,1997,,
'014906110,1997,,
'014906111,1997,,
'014906112,1997,,
'014906113,1997,,
'014906114,1997,,
'014906115,1997,,
'014906116,1997,,
'014906117,1997,,
'014906119,1997,,
'014906120,1997,,
'014906121,1997,,
'014906122,1997,,
'014906123,1997,,
'014906124,1997,,
'014906125,1997,,
'014906126,1997,,
'014907001,1997,,
'014907041,1997,,
'014907102,1997,,
'014908001,1997,,
'014908101,1997,,
'014909002,1997,,
'014909004,1997,,
'014909041,1997,,
'014909042,1997,,
'014909044,1997,,
'014909101,1997,,
'014909102,1997,,
'014909104,1997,,
'014909105,1997,,
'014909106,1997,,
'014909107,1997,,
'014909108,1997,,
'014909109,1997,,
'014909110,1997,,
'014909111,1997,,
'014909113,1997,,
'014909114,1997,,
'014909115,1997,,
'014909200,1997,,
'014910001,1997,,
'014910041,1997,,
'014910101,1997,,
'014910102,1997,,
'015801001,1997,,
'015802001,1997,,
'015901001,1997,,
'015901041,1997,,
'015901101,1997,,
'015901102,1997,,
'015901104,1997,,
'015904001,1997,,
'015904002,1997,,
'015904003,1997,,
'015904004,1997,,
'015904006,1997,,
'015904007,1997,,
'015904041,1997,,
'015904042,1997,,
'015904043,1997,,
'015904044,1997,,
'015904101,1997,,
'015904102,1997,,
'015904103,1997,,
'015904104,1997,,
'015904105,1997,,
'015904106,1997,,
'015904107,1997,,
'015904108,1997,,
'015904109,1997,,
'015904110,1997,,
'015904111,1997,,
'015904113,1997,,
'015904114,1997,,
'015904115,1997,,
'015904116,1997,,
'015905002,1997,,
'015905003,1997,,
'015905006,1997,,
'015905010,1997,,
'015905041,1997,,
'015905044,1997,,
'015905045,1997,,
'015905046,1997,,
'015905047,1997,,
'015905101,1997,,
'015905102,1997,,
'015905104,1997,,
'015905105,1997,,
'015905106,1997,,
'015905107,1997,,
'015905108,1997,,
'015905109,1997,,
'015905110,1997,,
'015905112,1997,,
'015905113,1997,,
'015905114,1997,,
'015905115,1997,,
'015905116,1997,,
'015905117,1997,,
'015905118,1997,,
'015906001,1997,,
'015906041,1997,,
'015906101,1997,,
'015907001,1997,,
'015907002,1997,,
'015907003,1997,,
'015907004,1997,,
'015907005,1997,,
'015907006,1997,,
'015907007,1997,,
'015907008,1997,,
'015907009,1997,,
'015907010,1997,,
'015907014,1997,,
'015907015,1997,,
'015907020,1997,,
'015907041,1997,,
'015907042,1997,,
'015907043,1997,,
'015907046,1997,,
'015907047,1997,,
'015907049,1997,,
'015907050,1997,,
'015907051,1997,,
'015907052,1997,,
'015907053,1997,,
'015907054,1997,,
'015907055,1997,,
'015907056,1997,,
'015907057,1997,,
'015907058,1997,,
'015907059,1997,,
'015907061,1997,,
'015907101,1997,,
'015907102,1997,,
'015907103,1997,,
'015907104,1997,,
'015907105,1997,,
'015907106,1997,,
'015907107,1997,,
'015907108,1997,,
'015907109,1997,,
'015907110,1997,,
'015907111,1997,,
'015907112,1997,,
'015907113,1997,,
'015907114,1997,,
'015907115,1997,,
'015907116,1997,,
'015907117,1997,,
'015907118,1997,,
'015907119,1997,,
'015907121,1997,,
'015907123,1997,,
'015907124,1997,,
'015907125,1997,,
'015907126,1997,,
'015907127,1997,,
'015907129,1997,,
'015907131,1997,,
'015907132,1997,,
'015907134,1997,,
'015907135,1997,,
'015907136,1997,,
'015907137,1997,,
'015907139,1997,,
'015907140,1997,,
'015907141,1997,,
'015907143,1997,,
'015907144,1997,,
'015907145,1997,,
'015907146,1997,,
'015907147,1997,,
'015907148,1997,,
'015907149,1997,,
'015907150,1997,,
'015907153,1997,,
'015907155,1997,,
'015907156,1997,,
'015907157,1997,,
'015907158,1997,,
'015907159,1997,,
'015907160,1997,,
'015907161,1997,,
'015907162,1997,,
'015907164,1997,,
'015907165,1997,,
'015907167,1997,,
'015907168,1997,,
'015907169,1997,,
'015907170,1997,,
'015907171,1997,,
'015907172,1997,,
'015907173,1997,,
'015907174,1997,,
'015907175,1997,,
'015907176,1997,,
'015907179,1997,,
'015907180,1997,,
'015907182,1997,,
'015907183,1997,,
'015907184,1997,,
'015907185,1997,,
'015907186,1997,,
'015907191,1997,,
'015907193,1997,,
'015907194,1997,,
'015907195,1997,,
'015907196,1997,,
'015907200,1997,,
'015907201,1997,,
'015907202,1997,,
'015908001,1997,,
'015908002,1997,,
'015908037,1997,,
'015908038,1997,,
'015908039,1997,,
'015908041,1997,,
'015908042,1997,,
'015908043,1997,,
'015908101,1997,,
'015908104,1997,,
'015908105,1997,,
'015908106,1997,,
'015908107,1997,,
'015908108,1997,,
'015908109,1997,,
'015908110,1997,,
'015908111,1997,,
'015908112,1997,,
'015909001,1997,,
'015909002,1997,,
'015909003,1997,,
'015909041,1997,,
'015909101,1997,,
'015910001,1997,,
'015910002,1997,,
'015910003,1997,,
'015910004,1997,,
'015910005,1997,,
'015910006,1997,,
'015910008,1997,,
'015910011,1997,,
'015910012,1997,,
'015910022,1997,,
'015910041,1997,,
'015910042,1997,,
'015910043,1997,,
'015910044,1997,,
'015910045,1997,,
'015910046,1997,,
'015910047,1997,,
'015910048,1997,,
'015910049,1997,,
'015910051,1997,,
'015910053,1997,,
'015910054,1997,,
'015910101,1997,,
'015910102,1997,,
'015910103,1997,,
'015910104,1997,,
'015910105,1997,,
'015910106,1997,,
'015910107,1997,,
'015910108,1997,,
'015910109,1997,,
'015910110,1997,,
'015910111,1997,,
'015910112,1997,,
'015910113,1997,,
'015910114,1997,,
'015910115,1997,,
'015910116,1997,,
'015910117,1997,,
'015910118,1997,,
'015910119,1997,,
'015910120,1997,,
'015910121,1997,,
'015910122,1997,,
'015910123,1997,,
'015910124,1997,,
'015910125,1997,,
'015910126,1997,,
'015910127,1997,,
'015910128,1997,,
'015910129,1997,,
'015910130,1997,,
'015910131,1997,,
'015910132,1997,,
'015910133,1997,,
'015911001,1997,,
'015911004,1997,,
'015911041,1997,,
'015911042,1997,,
'015911101,1997,,
'015911102,1997,,
'015911103,1997,,
'015911104,1997,,
'015911105,1997,,
'015912001,1997,,
'015912002,1997,,
'015912041,1997,,
'015912042,1997,,
'015912043,1997,,
'015912101,1997,,
'015912102,1997,,
'015912103,1997,,
'015912104,1997,,
'015912105,1997,,
'015912106,1997,,
'015912107,1997,,
'015913001,1997,,
'015913101,1997,,
'015914001,1997,,
'015914101,1997,,
'015914199,1997,,
'015915001,1997,,
'015915002,1997,,
'015915003,1997,,
'015915004,1997,,
'015915005,1997,,
'015915006,1997,,
'015915007,1997,,
'015915008,1997,,
'015915011,1997,,
'015915013,1997,,
'015915015,1997,,
'015915020,1997,,
'015915039,1997,,
'015915041,1997,,
'015915042,1997,,
'015915043,1997,,
'015915044,1997,,
'015915045,1997,,
'015915046,1997,,
'015915047,1997,,
'015915048,1997,,
'015915049,1997,,
'015915050,1997,,
'015915051,1997,,
'015915061,1997,,
'015915101,1997,,
'015915102,1997,,
'015915103,1997,,
'015915104,1997,,
'015915105,1997,,
'015915106,1997,,
'015915108,1997,,
'015915109,1997,,
'015915111,1997,,
'015915112,1997,,
'015915113,1997,,
'015915114,1997,,
'015915115,1997,,
'015915116,1997,,
'015915117,1997,,
'015915118,1997,,
'015915119,1997,,
'015915121,1997,,
'015915122,1997,,
'015915123,1997,,
'015915124,1997,,
'015915125,1997,,
'015915127,1997,,
'015915128,1997,,
'015915129,1997,,
'015915131,1997,,
'015915132,1997,,
'015915133,1997,,
'015915134,1997,,
'015915135,1997,,
'015915136,1997,,
'015915137,1997,,
'015915138,1997,,
'015915139,1997,,
'015915140,1997,,
'015915142,1997,,
'015915143,1997,,
'015915144,1997,,
'015915145,1997,,
'015915146,1997,,
'015915149,1997,,
'015915150,1997,,
'015915151,1997,,
'015915152,1997,,
'015915153,1997,,
'015915156,1997,,
'015915158,1997,,
'015915159,1997,,
'015915163,1997,,
'015915201,1997,,
'015915202,1997,,
'015915250,1997,,
'015916001,1997,,
'015916003,1997,,
'015916004,1997,,
'015916005,1997,,
'015916006,1997,,
'015916041,1997,,
'015916042,1997,,
'015916043,1997,,
'015916101,1997,,
'015916102,1997,,
'015916103,1997,,
'015916104,1997,,
'015916105,1997,,
'015916106,1997,,
'015916107,1997,,
'015916109,1997,,
'015916110,1997,,
'015916111,1997,,
'015916112,1997,,
'015916113,1997,,
'015917001,1997,,
'015917002,1997,,
'015917041,1997,,
'015917102,1997,,
'015917103,1997,,
'016901001,1997,,
'016901041,1997,,
'016901101,1997,,
'016902001,1997,,
'016902041,1997,,
'016902101,1997,,
'017901001,1997,,
'018901001,1997,,
'018901041,1997,,
'018901101,1997,,
'018902001,1997,,
'018902101,1997,,
'018903001,1997,,
'018904001,1997,,
'018904101,1997,,
'018905001,1997,,
'018906001,1997,,
'018907001,1997,,
'018908001,1997,,
'019901001,1997,,
'019901041,1997,,
'019901102,1997,,
'019902002,1997,,
'019902041,1997,,
'019902102,1997,,
'019903001,1997,,
'019905001,1997,,
'019905041,1997,,
'019905101,1997,,
'019906001,1997,,
'019906041,1997,,
'019906101,1997,,
'019907002,1997,,
'019907042,1997,,
'019907043,1997,,
'019907103,1997,,
'019907105,1997,,
'019907107,1997,,
'019907108,1997,,
'019907109,1997,,
'019907111,1997,,
'019907113,1997,,
'019907115,1997,,
'019907200,1997,,
'019908001,1997,,
'019908002,1997,,
'019908041,1997,,
'019908101,1997,,
'019908102,1997,,
'019908103,1997,,
'019909001,1997,,
'019909101,1997,,
'019910101,1997,,
'019911041,1997,,
'019911101,1997,,
'019912001,1997,,
'019912041,1997,,
'019912102,1997,,
'019913101,1997,,
'019914101,1997,,
'020901001,1997,,
'020901003,1997,,
'020901041,1997,,
'020901042,1997,,
'020901043,1997,,
'020901044,1997,,
'020901101,1997,,
'020901102,1997,,
'020901103,1997,,
'020901104,1997,,
'020901105,1997,,
'020901106,1997,,
'020901107,1997,,
'020901108,1997,,
'020901200,1997,,
'020902001,1997,,
'020902002,1997,,
'020902003,1997,,
'020902041,1997,,
'020902042,1997,,
'020902101,1997,,
'020902102,1997,,
'020902103,1997,,
'020902104,1997,,
'020902108,1997,,
'020902109,1997,,
'020904001,1997,,
'020904041,1997,,
'020904101,1997,,
'020905001,1997,,
'020905002,1997,,
'020905041,1997,,
'020905042,1997,,
'020905043,1997,,
'020905101,1997,,
'020905102,1997,,
'020905104,1997,,
'020905106,1997,,
'020905107,1997,,
'020905108,1997,,
'020905109,1997,,
'020905110,1997,,
'020905111,1997,,
'020905113,1997,,
'020905114,1997,,
'020905115,1997,,
'020905116,1997,,
'020906002,1997,,
'020906041,1997,,
'020906104,1997,,
'020907001,1997,,
'020907042,1997,,
'020907101,1997,,
'020907102,1997,,
'020907103,1997,,
'020907104,1997,,
'020907105,1997,,
'020907106,1997,,
'020908001,1997,,
'020908041,1997,,
'020908042,1997,,
'020908101,1997,,
'020908102,1997,,
'020908103,1997,,
'020908104,1997,,
'020908105,1997,,
'020908106,1997,,
'020908107,1997,,
'020910101,1997,,
'021901001,1997,,
'021901002,1997,,
'021901041,1997,,
'021901101,1997,,
'021901102,1997,,
'021901103,1997,,
'021901104,1997,,
'021901105,1997,,
'021901106,1997,,
'021901107,1997,,
'021901149,1997,,
'021902001,1997,,
'021902005,1997,,
'021902011,1997,,
'021902041,1997,,
'021902045,1997,,
'021902046,1997,,
'021902101,1997,,
'021902103,1997,,
'021902105,1997,,
'021902106,1997,,
'021902107,1997,,
'021902108,1997,,
'021902109,1997,,
'021902110,1997,,
'021902112,1997,,
'021902113,1997,,
'021902114,1997,,
'021902115,1997,,
'021902116,1997,,
'021902117,1997,,
'022004001,1997,,
'022004101,1997,,
'022901001,1997,,
'022901041,1997,,
'022901101,1997,,
'022902001,1997,,
'022903101,1997,,
'023902001,1997,,
'024901001,1997,,
'024901041,1997,,
'024901101,1997,,
'024901103,1997,,
'025901001,1997,,
'025901002,1997,,
'025901041,1997,,
'025901101,1997,,
'025901160,1997,,
'025901161,1997,,
'025902001,1997,,
'025902002,1997,,
'025902041,1997,,
'025902101,1997,,
'025902105,1997,,
'025902106,1997,,
'025902107,1997,,
'025902108,1997,,
'025902109,1997,,
'025902110,1997,,
'025904001,1997,,
'025904101,1997,,
'025904170,1997,,
'025905001,1997,,
'025905101,1997,,
'025905160,1997,,
'025905170,1997,,
'025906001,1997,,
'025906101,1997,,
'025906160,1997,,
'025908001,1997,,
'025908101,1997,,
'025909001,1997,,
'025909041,1997,,
'025909101,1997,,
'025909102,1997,,
'026901001,1997,,
'026901003,1997,,
'026901041,1997,,
'026901042,1997,,
'026901101,1997,,
'026902001,1997,,
'026902005,1997,,
'026902041,1997,,
'026902101,1997,,
'026903002,1997,,
'026903003,1997,,
'027903001,1997,,
'027903002,1997,,
'027903003,1997,,
'027903041,1997,,
'027903101,1997,,
'027903102,1997,,
'027903104,1997,,
'027904001,1997,,
'027904041,1997,,
'027904101,1997,,
'027904102,1997,,
'028902001,1997,,
'028902003,1997,,
'028902038,1997,,
'028902040,1997,,
'028902041,1997,,
'028902042,1997,,
'028902043,1997,,
'028902101,1997,,
'028902102,1997,,
'028902103,1997,,
'028902104,1997,,
'028903001,1997,,
'028903041,1997,,
'028903101,1997,,
'028903102,1997,,
'028903103,1997,,
'028906001,1997,,
'029901001,1997,,
'029901002,1997,,
'029901003,1997,,
'029901043,1997,,
'029901101,1997,,
'029901102,1997,,
'029901104,1997,,
'029901105,1997,,
'029901107,1997,,
'030901001,1997,,
'030901101,1997,,
'030902001,1997,,
'030902041,1997,,
'030902101,1997,,
'030902102,1997,,
'030902103,1997,,
'030903001,1997,,
'030903101,1997,,
'030906001,1997,,
'030906041,1997,,
'030906101,1997,,
'031901001,1997,,
'031901002,1997,,
'031901003,1997,,
'031901004,1997,,
'031901007,1997,,
'031901041,1997,,
'031901042,1997,,
'031901043,1997,,
'031901044,1997,,
'031901045,1997,,
'031901046,1997,,
'031901047,1997,,
'031901048,1997,,
'031901101,1997,,
'031901102,1997,,
'031901103,1997,,
'031901104,1997,,
'031901105,1997,,
'031901106,1997,,
'031901108,1997,,
'031901109,1997,,
'031901110,1997,,
'031901111,1997,,
'031901112,1997,,
'031901113,1997,,
'031901115,1997,,
'031901116,1997,,
'031901117,1997,,
'031901120,1997,,
'031901121,1997,,
'031901122,1997,,
'031901123,1997,,
'031901124,1997,,
'031901126,1997,,
