DISTRICT,YEAR,DA0GM*N,DA0GM*R
'001902,1997,,
'001903,1997,,
'001904,1997,,
'001906,1997,,
'001907,1997,,
'001908,1997,,
'001909,1997,,
'002901,1997,,
'003902,1997,,
'003903,1997,,
'003904,1997,,
'003905,1997,,
'003906,1997,,
'003907,1997,,
'004901,1997,,
'005901,1997,,
'005902,1997,,
'005903,1997,,
'005904,1997,,
'006902,1997,,
'007901,1997,,
'007902,1997,,
'007904,1997,,
'007905,1997,,
'007906,1997,,
'008901,1997,,
'008902,1997,,
'008903,1997,,
'009901,1997,,
'009903,1997,,
'010901,1997,,
'010902,1997,,
'011901,1997,,
'011902,1997,,
'011904,1997,,
'011905,1997,,
'012901,1997,,
'013901,1997,,
'013902,1997,,
'013903,1997,,
'013905,1997,,
'014901,1997,,
'014902,1997,,
'014903,1997,,
'014905,1997,,
'014906,1997,,
'014907,1997,,
'014908,1997,,
'014909,1997,,
'014910,1997,,
'015801,1997,,
'015802,1997,,
'015901,1997,,
'015904,1997,,
'015905,1997,,
'015906,1997,,
'015907,1997,,
'015908,1997,,
'015909,1997,,
'015910,1997,,
'015911,1997,,
'015912,1997,,
'015913,1997,,
'015914,1997,,
'015915,1997,,
'015916,1997,,
'015917,1997,,
'016901,1997,,
'016902,1997,,
'017901,1997,,
'018901,1997,,
'018902,1997,,
'018903,1997,,
'018904,1997,,
'018905,1997,,
'018906,1997,,
'018907,1997,,
'018908,1997,,
'019901,1997,,
'019902,1997,,
'019903,1997,,
'019905,1997,,
'019906,1997,,
'019907,1997,,
'019908,1997,,
'019909,1997,,
'019910,1997,,
'019911,1997,,
'019912,1997,,
'019913,1997,,
'019914,1997,,
'020901,1997,,
'020902,1997,,
'020904,1997,,
'020905,1997,,
'020906,1997,,
'020907,1997,,
'020908,1997,,
'020910,1997,,
'021901,1997,,
'021902,1997,,
'022004,1997,,
'022901,1997,,
'022902,1997,,
'022903,1997,,
'023902,1997,,
'024901,1997,,
'025901,1997,,
'025902,1997,,
'025904,1997,,
'025905,1997,,
'025906,1997,,
'025908,1997,,
'025909,1997,,
'026901,1997,,
'026902,1997,,
'026903,1997,,
'027903,1997,,
'027904,1997,,
'028902,1997,,
'028903,1997,,
'028906,1997,,
'029901,1997,,
'030901,1997,,
'030902,1997,,
'030903,1997,,
'030906,1997,,
'031901,1997,,
'031903,1997,,
'031905,1997,,
'031906,1997,,
'031909,1997,,
'031911,1997,,
'031912,1997,,
'031913,1997,,
'031914,1997,,
'031916,1997,,
'032902,1997,,
'033901,1997,,
'033902,1997,,
'033904,1997,,
'034901,1997,,
'034902,1997,,
'034903,1997,,
'034905,1997,,
'034906,1997,,
'034907,1997,,
'034908,1997,,
'034909,1997,,
'035901,1997,,
'035902,1997,,
'035903,1997,,
'036901,1997,,
'036902,1997,,
'036903,1997,,
'037901,1997,,
'037904,1997,,
'037907,1997,,
'037908,1997,,
'037909,1997,,
'038901,1997,,
'039901,1997,,
'039902,1997,,
'039903,1997,,
'039904,1997,,
'039905,1997,,
'040901,1997,,
'040902,1997,,
'041901,1997,,
'041902,1997,,
'042901,1997,,
'042903,1997,,
'042905,1997,,
'042906,1997,,
'043901,1997,,
'043902,1997,,
'043903,1997,,
'043904,1997,,
'043905,1997,,
'043907,1997,,
'043908,1997,,
'043910,1997,,
'043911,1997,,
'043912,1997,,
'043914,1997,,
'043917,1997,,
'043918,1997,,
'043919,1997,,
'044902,1997,,
'044904,1997,,
'045902,1997,,
'045903,1997,,
'045905,1997,,
'046901,1997,,
'046902,1997,,
'047901,1997,,
'047902,1997,,
'047903,1997,,
'047905,1997,,
'048901,1997,,
'048903,1997,,
'049901,1997,,
'049902,1997,,
'049903,1997,,
'049905,1997,,
'049906,1997,,
'049907,1997,,
'049908,1997,,
'049909,1997,,
'050901,1997,,
'050902,1997,,
'050904,1997,,
'050909,1997,,
'050910,1997,,
'051901,1997,,
'052901,1997,,
'053001,1997,,
'054901,1997,,
'054902,1997,,
'054903,1997,,
'055901,1997,,
'056901,1997,,
'056902,1997,,
'057801,1997,,
'057804,1997,,
'057903,1997,,
'057904,1997,,
'057905,1997,,
'057906,1997,,
'057907,1997,,
'057909,1997,,
'057910,1997,,
'057911,1997,,
'057912,1997,,
'057913,1997,,
'057914,1997,,
'057916,1997,,
'057919,1997,,
'057920,1997,,
'057922,1997,,
'058902,1997,,
'058905,1997,,
'058906,1997,,
'058909,1997,,
'059901,1997,,
'059902,1997,,
'060902,1997,,
'060914,1997,,
'061901,1997,,
'061902,1997,,
'061903,1997,,
'061905,1997,,
'061906,1997,,
'061907,1997,,
'061908,1997,,
'061910,1997,,
'061911,1997,,
'061912,1997,,
'061914,1997,,
'062901,1997,,
'062902,1997,,
'062903,1997,,
'062904,1997,,
'062905,1997,,
'062906,1997,,
'063903,1997,,
'063906,1997,,
'064901,1997,,
'064903,1997,,
'065901,1997,,
'065902,1997,,
'066005,1997,,
'066901,1997,,
'066902,1997,,
'066903,1997,,
'067902,1997,,
'067903,1997,,
'067904,1997,,
'067907,1997,,
'067908,1997,,
'068901,1997,,
'069901,1997,,
'069902,1997,,
'070901,1997,,
'070903,1997,,
'070905,1997,,
'070907,1997,,
'070908,1997,,
'070909,1997,,
'070910,1997,,
'070911,1997,,
'070912,1997,,
'070915,1997,,
'071901,1997,,
'071902,1997,,
'071903,1997,,
'071904,1997,,
'071905,1997,,
'071906,1997,,
'071907,1997,,
'071908,1997,,
'071909,1997,,
'072901,1997,,
'072902,1997,,
'072903,1997,,
'072904,1997,,
'072908,1997,,
'072909,1997,,
'072910,1997,,
'073901,1997,,
'073903,1997,,
'073904,1997,,
'073905,1997,,
'074903,1997,,
'074904,1997,,
'074905,1997,,
'074907,1997,,
'074909,1997,,
'074911,1997,,
'074912,1997,,
'074917,1997,,
'075901,1997,,
'075902,1997,,
'075903,1997,,
'075906,1997,,
'075908,1997,,
'076903,1997,,
'076904,1997,,
'077901,1997,,
'077902,1997,,
'078901,1997,,
'079901,1997,,
'079906,1997,,
'079907,1997,,
'079908,1997,,
'079910,1997,,
'080901,1997,,
'081902,1997,,
'081904,1997,,
'081905,1997,,
'081906,1997,,
'082902,1997,,
'082903,1997,,
'083901,1997,,
'083902,1997,,
'083903,1997,,
'084901,1997,,
'084902,1997,,
'084903,1997,,
'084904,1997,,
'084906,1997,,
'084908,1997,,
'084909,1997,,
'084910,1997,,
'084911,1997,,
'085902,1997,,
'085903,1997,,
'086024,1997,,
'086901,1997,,
'086902,1997,,
'087901,1997,,
'088902,1997,,
'089901,1997,,
'089903,1997,,
'089905,1997,,
'090902,1997,,
'090903,1997,,
'090904,1997,,
'090905,1997,,
'091901,1997,,
'091902,1997,,
'091903,1997,,
'091905,1997,,
'091906,1997,,
'091907,1997,,
'091908,1997,,
'091909,1997,,
'091910,1997,,
'091913,1997,,
'091914,1997,,
'091917,1997,,
'091918,1997,,
'092901,1997,,
'092902,1997,,
'092903,1997,,
'092904,1997,,
'092906,1997,,
'092907,1997,,
'092908,1997,,
'093901,1997,,
'093903,1997,,
'093904,1997,,
'093905,1997,,
'094901,1997,,
'094902,1997,,
'094903,1997,,
'094904,1997,,
'095901,1997,,
'095902,1997,,
'095903,1997,,
'095904,1997,,
'095905,1997,,
'096904,1997,,
'096905,1997,,
'096908,1997,,
'097902,1997,,
'097903,1997,,
'098901,1997,,
'098903,1997,,
'098904,1997,,
'099902,1997,,
'099903,1997,,
'100903,1997,,
'100904,1997,,
'100905,1997,,
'100907,1997,,
'100908,1997,,
'101801,1997,,
'101802,1997,,
'101803,1997,,
'101804,1997,,
'101805,1997,,
'101806,1997,,
'101902,1997,,
'101903,1997,,
'101905,1997,,
'101906,1997,,
'101907,1997,,
'101908,1997,,
'101909,1997,,
'101910,1997,,
'101911,1997,,
'101912,1997,,
'101913,1997,,
'101914,1997,,
'101915,1997,,
'101916,1997,,
'101917,1997,,
'101919,1997,,
'101920,1997,,
'101921,1997,,
'101924,1997,,
'101925,1997,,
'102901,1997,,
'102902,1997,,
'102903,1997,,
'102904,1997,,
'102905,1997,,
'102906,1997,,
'103901,1997,,
'103902,1997,,
'104901,1997,,
'104902,1997,,
'104903,1997,,
'104907,1997,,
'105902,1997,,
'105904,1997,,
'105905,1997,,
'105906,1997,,
'106901,1997,,
'107901,1997,,
'107902,1997,,
'107904,1997,,
'107905,1997,,
'107906,1997,,
'107907,1997,,
'107908,1997,,
'107910,1997,,
'108801,1997,,
'108902,1997,,
'108903,1997,,
'108904,1997,,
'108905,1997,,
'108906,1997,,
'108907,1997,,
'108908,1997,,
'108909,1997,,
'108910,1997,,
'108911,1997,,
'108912,1997,,
'108913,1997,,
'108914,1997,,
'108915,1997,,
'108916,1997,,
'109901,1997,,
'109902,1997,,
'109903,1997,,
'109904,1997,,
'109905,1997,,
'109907,1997,,
'109908,1997,,
'109910,1997,,
'109911,1997,,
'109912,1997,,
'109913,1997,,
'109914,1997,,
'110901,1997,,
'110902,1997,,
'110905,1997,,
'110906,1997,,
'110907,1997,,
'110908,1997,,
'111901,1997,,
'111902,1997,,
'111903,1997,,
'112901,1997,,
'112905,1997,,
'112906,1997,,
'112907,1997,,
'112908,1997,,
'112909,1997,,
'112910,1997,,
'113901,1997,,
'113902,1997,,
'113903,1997,,
'113905,1997,,
'113906,1997,,
'114901,1997,,
'114902,1997,,
'114904,1997,,
'115901,1997,,
'115902,1997,,
'115903,1997,,
'116901,1997,,
'116902,1997,,
'116903,1997,,
'116905,1997,,
'116906,1997,,
'116908,1997,,
'116909,1997,,
'116910,1997,,
'116915,1997,,
'116916,1997,,
'117901,1997,,
'117903,1997,,
'117904,1997,,
'117907,1997,,
'118902,1997,,
'119901,1997,,
'119902,1997,,
'119903,1997,,
'120901,1997,,
'120902,1997,,
'120905,1997,,
'121902,1997,,
'121903,1997,,
'121904,1997,,
'121905,1997,,
'121906,1997,,
'122901,1997,,
'122902,1997,,
'123905,1997,,
'123907,1997,,
'123908,1997,,
'123910,1997,,
'123913,1997,,
'123914,1997,,
'124901,1997,,
'125901,1997,,
'125902,1997,,
'125903,1997,,
'125905,1997,,
'125906,1997,,
'126901,1997,,
'126902,1997,,
'126903,1997,,
'126904,1997,,
'126905,1997,,
'126906,1997,,
'126907,1997,,
'126908,1997,,
'126911,1997,,
'127901,1997,,
'127903,1997,,
'127904,1997,,
'127905,1997,,
'127906,1997,,
'128901,1997,,
'128902,1997,,
'128903,1997,,
'128904,1997,,
'129901,1997,,
'129902,1997,,
'129903,1997,,
'129904,1997,,
'129905,1997,,
'129906,1997,,
'129910,1997,,
'130901,1997,,
'130902,1997,,
'131001,1997,,
'132902,1997,,
'133901,1997,,
'133902,1997,,
